ticker,close,r1d,r1m,r3m,r6m,mom_12_1,above_50,above_200,rsi14,off_52w_high,vol20,score
AMZN,254.98,0.0,-0.03828314022684731,0.0507273154962633,-0.038029132739376914,0.14093295168194686,False,True,42.68433518119154,-0.10224630099797272,0.2340438066405109,1.081044489778957
GDX,97.63,0.0,0.10603830255256708,0.24480424421183034,0.1057877023563154,-0.015942032930066907,True,True,55.35607279882996,-0.15719958270161194,0.4760255938734892,0.9246099841648823
BTC-USD,80980.0,0.04760026847344179,0.277243312100655,0.3170627608720249,0.061276735948253336,-0.27320044416793154,True,True,72.55572552321297,-0.16454594737757555,0.4473256742825004,0.7647664823666485
CRM,256.93,0.0,0.275910010954018,0.5467460823052337,0.45920315527293853,-0.2369953131554956,True,True,83.26606147886423,-0.030021571123934665,0.8271751204068704,0.7582863985871664
ETH-USD,2505.91,0.047839802980688795,0.3301069215157497,0.4756536435862262,0.11065199172654538,-0.3511487201529766,True,True,67.6157468013817,-0.25302024373289056,0.7350045826336467,0.6971706050778079
XLI,172.78,0.0,-0.07002527034273265,-0.060518757333403284,-0.007875533538154733,0.1858439874184532,False,False,23.970024558206276,-0.07361533500573791,0.10381863890004411,0.651037418978075
TIP,106.86,0.0,-0.002799580454511452,-0.00633154982182027,-0.00937288084286192,0.006947351411439984,False,False,43.47959209713124,-0.012938800722060106,0.03323409520289971,0.5689364906098658
IEF,92.18,0.0,-0.008454655669864142,-0.013719034480765724,-0.012886816295261339,-0.009281190484862978,False,False,40.317122474580565,-0.037239408090565806,0.03918234338175359,0.5079790094730945
LQD,105.35,0.0,-0.007111712232533374,-0.021996938878859118,-0.012885625871418394,-0.01094076030603408,False,False,42.20728733842742,-0.030968860960412403,0.04880478236625006,0.4775002689047088
XLC,112.42,0.0,-0.0011550855556415884,0.025729924581067154,-0.032594136364370474,-0.041384503926533034,True,False,53.83432647919954,-0.058359951153958645,0.13468061922531785,0.45414673616260604
AVGO,367.24,0.0,-0.12105695324109933,0.01883750255900618,-0.11884336604101187,0.19741627739990508,False,False,40.49473914273132,-0.23620408335026433,0.280979325239558,0.4336841602848884
GLD,402.78,0.0,0.009574913289642106,0.06518920365529768,-0.04928481495143777,-0.031485935599041115,True,False,47.13477421277162,-0.18777978677818985,0.24931823184863144,0.37982860850098393
TLT,81.95,0.0,-0.003946897568628427,-0.034084788064011495,-0.024365188166219687,-0.036657083780958444,False,False,45.38774204530539,-0.07348049628291553,0.09324611402567644,0.36700331926190194
XLY,114.86,0.0,-0.0303081167613648,-0.01929646587458289,-0.027554850715249435,-0.02990087735500324,False,False,39.61092994207168,-0.07388312430656252,0.14196135750306502,0.33557404330717133
COST,928.48,0.0,-0.03469355509091654,-0.02281651218796188,-0.08203255093388828,0.10808515892448378,False,False,39.64386482887234,-0.1501972137902956,0.18260012377549703,0.32950825732774136
NFLX,82.73,0.0,0.057387597338409924,0.06542178662239495,-0.11622686873708699,-0.16445965000274576,True,False,65.95101201362763,-0.23248907454999201,0.24755977918292496,0.3176460083622035
XLU,42.67,0.0,-0.03110814527932959,-0.06752622958759669,-0.08340519101003718,0.0425387659726717,False,False,38.20155675274231,-0.09401434018349442,0.11597105384040353,0.31221062472372385
SLV,59.07,0.0,0.01564648985212469,0.07360958203134782,-0.11386143939862159,-0.10824902240342071,True,False,49.06686020841978,-0.440624994807171,0.34382962559710223,0.2891353022636013
META,592.85,0.0,-0.003563196836106064,0.01706973881477669,-0.03025044303007618,-0.10713618708762362,True,False,59.498926598980866,-0.19558520081106878,0.2608326463832818,0.28695246400273294
GOOGL,337.12,0.0,-0.026677418365739336,-0.06332140899956085,-0.12338521484456055,0.10417667723445367,False,False,40.671378253493444,-0.16218432259195303,0.14333008628722013,0.2808366597699882
UNG,10.75,0.0,0.07823467523372907,-0.07167529612905399,0.014150906899257576,-0.19531880623378162,True,False,70.63709162072243,-0.36390531108574753,0.16277542213869498,0.242161589143348
ORCL,145.75,0.0,-0.06702087529695644,0.042682323121233656,-0.09376627698979889,-0.20134271956644556,True,False,50.115790584123324,-0.4106102801384912,0.3381437428432677,0.24213978828449118
ITB,92.82,0.0,-0.06741685086675997,-0.09795920001536262,-0.03515484975316796,0.018602923229503743,False,False,35.62155539180986,-0.1797981670673482,0.20717141973718592,0.22096519878752569
TSLA,357.01,0.0,0.05015301429315344,-0.0926166001037807,-0.06451273432954407,-0.29962918061433386,True,False,55.19560601499464,-0.24870050310108016,0.38916965003397097,0.05988176966972782
