panel,arm,cost,family,freq,n,CAGR,Sharpe,Vol,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,gross,p4a,f4b,p4b
B136,FWDVS20,10,FWDVS,W,20.0,0.08562483081901573,0.8345876318410279,0.10508422005166143,-0.18086909680048768,1.0453499818920553,0.6518870776277933,0.964751102094815,0.07661636631505586,0.7353784146937387,-0.18086909680048735,18.14353772733494,0.7501737929735106,True,"H2,OOS,CAGR",False
B136,FWDVS20,25,FWDVS,W,20.0,0.056470724895316904,0.5749143358208957,0.10520990693232378,-0.18559063162929956,0.7745162671167121,0.40114443328294197,0.7048124822726158,0.046788649325204545,0.4756961701035898,-0.18559063162929978,18.14353772733494,0.7501737929735106,False,"H1,H2,OOS,CAGR",False
B136,RAND20_s0,0,RAND,W,20.0,0.10529735796976847,0.9991394366811605,0.10583704819137985,-0.18023893264427482,1.1526293419245153,0.8549185331018703,1.0762494812776433,0.09684386144617707,0.9341194470332679,-0.18023893264427482,8.905515936418787,0.7501554722968606,True,CAGR,False
B136,RAND20_s0,10,RAND,W,20.0,0.09549869770512198,0.9148282500067328,0.10585643017998252,-0.18148345131617094,1.071204562626285,0.7678573865740973,0.995087034607691,0.08691387009748897,0.8471774333667629,-0.18148345131617083,8.905515936418787,0.7501554722968606,True,"H2,OOS,CAGR",False
B136,RAND20_s0,25,RAND,W,20.0,0.08095712623798113,0.7880575983198035,0.10593410817543701,-0.1956168803893108,0.9486858591607841,0.6370408362121979,0.8729874522838896,0.07218083490974636,0.7165094975327881,-0.1956168803893119,8.905515936418787,0.7501554722968606,True,"H1,H2,OOS,CAGR",False
B136,RAND20_s1,0,RAND,W,20.0,0.10908090626403233,1.0185956154921174,0.10732739995002724,-0.1884871849578108,1.1134377896865482,0.9299903125779315,1.03222136602953,0.10717088244873585,1.0070434964598058,-0.18848718495781192,9.239649711961315,0.7501646624942239,True,-,True
B136,RAND20_s1,10,RAND,W,20.0,0.09887957266163361,0.9321824397903569,0.10736478722106546,-0.19927455725389065,1.0331739139195766,0.8377007714505977,0.9522044695981705,0.09640391479960808,0.9153056886154728,-0.19927455725389087,9.239649711961315,0.7501646624942239,True,CAGR,False
B136,RAND20_s1,25,RAND,W,20.0,0.08374667264705504,0.8022997727077846,0.10747116933656177,-0.21519595805659253,0.9125585247683089,0.6989740176565076,0.8319848453833122,0.08044221658273298,0.7773766947760882,-0.2151959580565932,9.239649711961315,0.7501646624942239,False,"H1,H2,OOS,DD,CAGR",False
B136,RAND20_s2,0,RAND,W,20.0,0.13425815784423034,1.1507354222349557,0.1152930397041769,-0.18584757323121193,1.2044215520864918,1.1016377751229927,1.1113932331302154,0.1388517535593108,1.1827837300253063,-0.18584757323121204,9.272354008227216,0.7502146865001381,True,-,True
B136,RAND20_s2,10,RAND,W,20.0,0.123793797430648,1.070304974133366,0.11529370945550144,-0.1872766584425436,1.1284474022696989,1.0169620891437192,1.0341949895733282,0.12796882938460774,1.0997178897790436,-0.1872766584425437,9.272354008227216,0.7502146865001381,True,-,True
