panel,book,cost,dial,res,pts,window_w,window_contig,window_lo,window_hi,n_new_passers,new_passer_vals,best_mmin,best_mmin_val,bind_at_best,PUB_window_w,PUB_best_mmin,PUB_bind_at_best,PUB_best_val,n_pass4a_v2,exhausted
u56,TOP20,25.0,f,x4,49,18,True,0.1125,0.32499999999999996,14,0.1125;0.125;0.1375;0.1625;0.175;0.1875;0.2125;0.225;0.2375;0.2625;0.275;0.2875;0.3125;0.325,0.015016808918167895,0.175,DD,4,0.012951337307268038,CAGR,0.2,0,False
u56,TOP20,25.0,gross,PUB,19,2,True,0.8,0.85,0,,0.00995345392515487,0.85,DD,2,0.00995345392515487,DD,0.85,0,False
u56,TOP20,25.0,gross,x2,37,5,True,0.775,0.875,3,0.775;0.825;0.875,0.00995345392515487,0.85,DD,2,0.00995345392515487,DD,0.85,0,False
u56,TOP20,25.0,gross,x4,73,10,True,0.775,0.8875,8,0.775;0.7875;0.8125;0.825;0.8375;0.8625;0.875;0.8875,0.010451336368231687,0.8374999999999999,CAGR,2,0.00995345392515487,DD,0.85,0,False
u56,TOP20,25.0,n,PUB,5,0,False,,,0,,-0.014191656346839304,40.0,DD,0,-0.014191656346839304,DD,40.0,0,False
u56,TOP20,25.0,n,x2,9,0,False,,,0,,-0.010595321532346796,30.0,DD,0,-0.014191656346839304,DD,40.0,0,False
u56,TOP20,25.0,n,x4,15,0,False,,,0,,-0.0093813505841355,35.0,DD,0,-0.014191656346839304,DD,40.0,0,False
u56,TOP20,25.0,vol,PUB,7,4,True,0.5,1.0,0,,0.01761010405677131,0.8,CAGR,4,0.01761010405677131,CAGR,0.8,0,False
u56,TOP20,25.0,vol,x2,13,7,True,0.5,1.0,3,0.55;0.7;0.9,0.01761010405677131,0.8,CAGR,4,0.01761010405677131,CAGR,0.8,0,False
u56,TOP20,25.0,vol,x4,25,13,True,0.5,1.0,9,0.525;0.55;0.575;0.65;0.7;0.75;0.85;0.9;0.95,0.01761010405677131,0.8,CAGR,4,0.01761010405677131,CAGR,0.8,0,False
