panel,N,seeds,EDGE_pp,EDGE_IS_pp,book_CAGR,null_CAGR_med,null_CAGR_sd,EDGE_se_pp,lam_median,book_pct_of_null
U56,20,5,5.095211537554922,1.9123267082011175,0.15578668168705812,0.10483456631150889,0.01273498988944703,0.7137870131430503,0.794544425256914,1.0
U56,20,10,4.896681228388012,1.8995334831891308,0.15578668168705812,0.106819869403178,0.015461369268370332,0.6127777566191561,0.8059240280316647,1.0
U56,20,20,5.0856651744664365,1.8995334831891308,0.15578668168705812,0.10493002994239375,0.015901930497485898,0.4456458768928672,0.8090098318891542,1.0
U56,20,40,5.1181233929647245,1.78456177856946,0.15578668168705812,0.10460544775741087,0.014348629186363288,0.2843383613302251,0.8008220603408234,1.0
U56,25,5,3.041034334770276,0.039577000556278996,0.1489102187692648,0.11849987542156204,0.011401242501552602,0.6390314324510388,0.8945438858845476,1.0
U56,25,10,3.4504223786609445,0.13395829060780517,0.1489102187692648,0.11440599498265536,0.016018750099611925,0.6348683340720511,0.8861378959652823,1.0
U56,25,20,3.2382663523773725,0.7305179426655872,0.1489102187692648,0.11652755524549108,0.012958159666396006,0.3631477592209212,0.913745384437562,1.0
U56,25,40,2.9526013388686767,0.48965707176095163,0.1489102187692648,0.11938420538057803,0.012552728169440327,0.24875004514818405,0.9191826432388859,0.975
U56,30,5,1.8237355018370094,-0.028691402830105517,0.14008113065953998,0.12184377564116988,0.011270168348899717,0.6316848205781949,1.0,1.0
U56,30,10,1.6865539076063696,-0.019127374908256556,0.14008113065953998,0.12321559158347628,0.00789370304095961,0.31284975844619234,0.9967473773735096,1.0
U56,30,20,1.5949226047668574,-0.019127374908256556,0.14008113065953998,0.1241319046118714,0.00765223116805778,0.21445102339085123,0.9916316281707929,1.0
U56,30,40,1.5456520589598344,-0.30410341298847676,0.14008113065953998,0.12462461006994163,0.009171185398128173,0.1817399971585989,0.9725049194479826,1.0
U56,40,5,0.10384234400429015,0.37845007830630273,0.13457634739318403,0.13353792395314112,0.007767751220840572,0.43537686255696156,1.0,0.8
U56,40,10,0.38370585294800197,0.5127399990321635,0.13457634739318403,0.130739288863704,0.005389496354038949,0.21360097076856163,1.0,0.9
U56,40,20,0.491736489695882,0.46838036837196784,0.13457634739318403,0.1296589824962252,0.004498145035617337,0.12605889512005541,1.0,0.95
U56,40,40,0.41353549317942884,0.28538514020063355,0.13457634739318403,0.13044099246138974,0.004592661261552584,0.09101007213258701,1.0,0.925
B136,5,5,4.860177054826953,13.919770802682873,0.18905908768145907,0.14045731713318954,0.021312063882044364,1.1945258342830822,1.0,1.0
B136,5,10,5.035491746418708,10.540768777076126,0.18905908768145907,0.138704170217272,0.018741611149839004,0.7427830120661363,1.0,1.0
B136,5,20,5.357428001503406,10.413220689778434,0.18905908768145907,0.135484807666425,0.024166401908490294,0.6772547126625478,1.0,1.0
B136,5,40,5.717068769790689,10.725835384222693,0.18905908768145907,0.13188839998355217,0.023513976126890386,0.4659626612019666,1.0,0.975
B136,8,5,5.704801235885215,9.106334523284154,0.1782211925038646,0.12117318014501244,0.004558987634972846,0.2555279741226921,0.891940360371585,1.0
B136,8,10,5.409433532713514,7.400141456165555,0.1782211925038646,0.12412685717672944,0.015838984275977117,0.6277437064784859,0.9086949840427055,1.0
