panel,frame,cost,chooser,g,oCAGR,oSharpe,oMaxDD,o4a,o4b,base_oCAGR,base_oSharpe,base_oMaxDD
U56,INC,10.0,argmaxISsharpe,0.98,0.22744191318806073,1.186412472946809,-0.24473899333243487,False,False,0.17323365236641486,1.1856777042016955,-0.19127562163086187
U56,INC,10.0,argmaxIScagr|ISddcap,0.71,0.1638363290836109,1.1855240737656336,-0.18173398538029273,False,True,0.17323365236641486,1.1856777042016955,-0.19127562163086187
U56,INC,10.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.57,0.13104787379862737,1.1849316761231183,-0.14781776972348448,False,True,0.17323365236641486,1.1856777042016955,-0.19127562163086187
U56,INC,25.0,argmaxIScagr,1.0,0.2249581656672084,1.1556427567633574,-0.2502064042820037,False,False,0.16805521021708936,1.1546480761334217,-0.19202939307160538
U56,INC,25.0,argmaxISsharpe,0.95,0.21357759240249163,1.155503135238664,-0.23879576072389153,False,False,0.16805521021708936,1.1546480761334217,-0.19202939307160538
U56,INC,25.0,argmaxIScagr|ISddcap,0.7,0.15669043195734345,1.1543645780564977,-0.1800812686774761,False,True,0.16805521021708936,1.1546480761334217,-0.19202939307160538
U56,INC,25.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.59,0.13173529232038295,1.153652268442375,-0.1534808415017369,False,True,0.16805521021708936,1.1546480761334217,-0.19202939307160538
U56,INC,50.0,argmaxIScagr,1.0,0.21303532178820261,1.1041838869367877,-0.25175582723021095,False,False,0.1594724503665481,1.1028400192915062,-0.19351328384534194
U56,INC,50.0,argmaxISsharpe,0.94,0.2002152278805358,1.1039934482032292,-0.23798210293929256,False,False,0.1594724503665481,1.1028400192915062,-0.19351328384534194
U56,INC,50.0,argmaxIScagr|ISddcap,0.68,0.14443974567394435,1.1022174420708497,-0.17672920243751733,False,True,0.1594724503665481,1.1028400192915062,-0.19351328384534194
U56,INC,50.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.62,0.13155865258798927,1.101607158374756,-0.16214281463979718,False,True,0.1594724503665481,1.1028400192915062,-0.19351328384534194
B136,LIVE,0.0,argmaxIScagr,1.0,0.10781635410691504,1.1303426658411189,-0.16120589976447586,False,True,0.08074281555114382,1.1315885153512089,-0.12211674782076976
B136,LIVE,0.0,argmaxISsharpe,1.0,0.10781635410691504,1.1303426658411189,-0.16120589976447586,False,True,0.08074281555114382,1.1315885153512089,-0.12211674782076976
B136,LIVE,0.0,argmaxIScagr|ISddcap,1.0,0.10781635410691504,1.1303426658411189,-0.16120589976447586,False,True,0.08074281555114382,1.1315885153512089,-0.12211674782076976
B136,LIVE,0.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.95,0.10239858033596949,1.1305942231458692,-0.15345331807212348,False,False,0.08074281555114382,1.1315885153512089,-0.12211674782076976
B136,LIVE,10.0,argmaxIScagr,1.0,0.10473004292318322,1.1008385728264358,-0.16158091944280462,False,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,LIVE,10.0,argmaxISsharpe,1.0,0.10473004292318322,1.1008385728264358,-0.16158091944280462,False,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,LIVE,10.0,argmaxIScagr|ISddcap,1.0,0.10473004292318322,1.1008385728264358,-0.16158091944280462,False,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,LIVE,10.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.97,0.10157941395348669,1.100975457941607,-0.15692375616736387,False,False,0.07847283605551292,1.1019125044197382,-0.12241069123223403
B136,LIVE,25.0,argmaxIScagr,1.0,0.10011623648394741,1.0565397718726377,-0.16214332877286775,False,False,0.07507655272231117,1.057355425834723,-0.12285153570594698
