timing,panel,anchor,ladder,fold,pick_CH_ISSHARPE,oos_CH_ISSHARPE,pick_CH_ISCAGR,oos_CH_ISCAGR,pick_CH_ISDD,oos_CH_ISDD
T_REC,U56,B,GROSS,2012,"(12, 63, 0.75, 'M')",0.8609842657622354,"(12, 63, 0.75, 'M')",0.8609842657622354,"(12, 63, 0.3, 'M')",0.8566176401190614
T_REC,U56,B,CADENCE,2012,"(12, 63, 0.55, 'W')",1.26717611500139,"(12, 63, 0.55, 'W')",1.26717611500139,"(12, 63, 0.55, 'D')",0.8463638626773717
T_REC,U56,B,N,2013,"(40, 63, 0.55, 'M')",2.5894497717662603,"(5, 63, 0.55, 'M')",2.2347389601524985,"(40, 63, 0.55, 'M')",2.5894497717662603
T_REC,U56,B,H,2013,"(12, 252, 0.55, 'M')",2.8622008888222212,"(12, 252, 0.55, 'M')",2.8622008888222212,"(12, 21, 0.55, 'M')",2.3555318822806863
T_REC,U56,B,GROSS,2013,"(12, 63, 0.75, 'M')",2.64675085267626,"(12, 63, 0.75, 'M')",2.64675085267626,"(12, 63, 0.3, 'M')",2.6322993835482484
T_REC,U56,B,CADENCE,2013,"(12, 63, 0.55, 'W')",2.236601161185987,"(12, 63, 0.55, 'W')",2.236601161185987,"(12, 63, 0.55, 'D')",2.314135316030416
T_REC,U56,B,N,2014,"(25, 63, 0.55, 'M')",0.9848539954927462,"(5, 63, 0.55, 'M')",1.2342389552833934,"(40, 63, 0.55, 'M')",1.1718210031128176
T_REC,U56,B,H,2014,"(12, 252, 0.55, 'M')",1.1740739916406808,"(12, 252, 0.55, 'M')",1.1740739916406808,"(12, 21, 0.55, 'M')",1.1025844544402141
T_REC,U56,B,GROSS,2014,"(12, 63, 0.75, 'M')",1.3047008802702307,"(12, 63, 0.75, 'M')",1.3047008802702307,"(12, 63, 0.3, 'M')",1.2973956805038744
T_REC,U56,B,CADENCE,2014,"(12, 63, 0.55, 'W')",0.9223443425293297,"(12, 63, 0.55, 'W')",0.9223443425293297,"(12, 63, 0.55, 'D')",0.7645793081950767
T_REC,U56,B,N,2015,"(40, 63, 0.55, 'M')",0.7103387660233198,"(5, 63, 0.55, 'M')",1.2946396759505006,"(40, 63, 0.55, 'M')",0.7103387660233198
T_REC,U56,B,H,2015,"(12, 252, 0.55, 'M')",1.262185765036639,"(12, 252, 0.55, 'M')",1.262185765036639,"(12, 21, 0.55, 'M')",1.2672720590064008
T_REC,U56,B,GROSS,2015,"(12, 63, 0.75, 'M')",0.8553426178112724,"(12, 63, 0.75, 'M')",0.8553426178112724,"(12, 63, 0.3, 'M')",0.8389129542807663
T_REC,U56,B,CADENCE,2015,"(12, 63, 0.55, 'W')",1.2532647544686746,"(12, 63, 0.55, 'W')",1.2532647544686746,"(12, 63, 0.55, 'D')",1.1632563981919282
T_REC,U56,B,N,2016,"(5, 63, 0.55, 'M')",2.1733475863368543,"(5, 63, 0.55, 'M')",2.1733475863368543,"(40, 63, 0.55, 'M')",1.0873131979919395
T_REC,U56,B,H,2016,"(12, 252, 0.55, 'M')",0.9775001921298617,"(12, 252, 0.55, 'M')",0.9775001921298617,"(12, 21, 0.55, 'M')",1.0730461744023931
T_REC,U56,B,GROSS,2016,"(12, 63, 0.75, 'M')",1.291087122287118,"(12, 63, 0.75, 'M')",1.291087122287118,"(12, 63, 0.3, 'M')",1.2936160543521054
T_REC,U56,B,CADENCE,2016,"(12, 63, 0.55, 'W')",1.3706587499050986,"(12, 63, 0.55, 'W')",1.3706587499050986,"(12, 63, 0.55, 'D')",1.4103827939105962
T_REC,U56,B,N,2017,"(5, 63, 0.55, 'M')",0.8403484380850377,"(5, 63, 0.55, 'M')",0.8403484380850377,"(40, 63, 0.55, 'M')",2.9131411317150686
T_REC,U56,B,H,2017,"(12, 252, 0.55, 'M')",2.1548900890899776,"(12, 252, 0.55, 'M')",2.1548900890899776,"(12, 21, 0.55, 'M')",1.7192013397416506
