panel,flag,arm,cost,end,depth,published,turnover_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1_Sharpe,H2_Sharpe,H1_CAGR,H2_CAGR,R8_IS_CAGR,R8_IS_Sharpe,R8_IS_MaxDD,R8_OOS_CAGR,R8_OOS_Sharpe,R8_OOS_MaxDD,mean_held,BindSharpe,Sharpe,CAGR,MaxDD,OOS_Sharpe,pass4a,pass4b
B136,m,0.02963,10,lo,3,0,0.5396707845612269,0.0027434330775746307,0.8600926316294047,-0.006297604126754175,1.0381195200579487,0.7147896175018064,0.0030275562672810175,0.0024595182992415143,0.0028680231808180245,0.9578243600225469,-0.002853333743143227,0.002640627162112663,0.7899729074472142,-0.006297604126754286,18.796978080442646,0.7147896175018064,0.8600926316294047,0.0027434330775746307,-0.006297604126754175,0.7899729074472142,0.0,0.0
B136,m,0.02963,25,lo,3,0,0.5396707845612269,0.001932030837023646,0.6057654249467419,-0.006382290409339131,0.7648161534714846,0.4749368011133472,0.002230993417556837,0.0016332920437409637,0.0020823375717335946,0.695384972886245,-0.002978009854580632,0.0018080076784374732,0.5410317666521379,-0.006382290409338465,18.796978080442646,0.4749368011133472,0.6057654249467419,0.001932030837023646,-0.006382290409339131,0.5410317666521379,0.0,0.0
B136,volcap,0.3,10,pub,0,1,11.17281886452981,0.08398088888045141,0.947153489375673,-0.15768671805657464,1.1326054202046305,0.7667163823901231,0.10072469533777895,0.06749915362414649,0.09136288070164911,1.0043761887486742,-0.09714960935396133,0.07792654492865458,0.8982542609372899,-0.15768671805657397,71.66099170036178,0.7667163823901231,0.947153489375673,0.08398088888045141,-0.15768671805657464,0.8982542609372899,0.0,0.0
B136,volcap,0.3,25,pub,0,1,11.17281886452981,0.06596401897956716,0.7590956925757328,-0.17056123281321856,0.9652681734993972,0.5583837880334035,0.08468967472467948,0.04756985301377914,0.07461814292411684,0.8340873568204702,-0.10094894809665556,0.058874745238713944,0.6949312519807314,-0.17056123281321722,71.66099170036178,0.5583837880334035,0.7590956925757328,0.06596401897956716,-0.17056123281321856,0.6949312519807314,0.0,0.0
B136,volcap,0.45,10,pub,0,1,8.796826838723579,0.09839126055425784,0.9824672295398575,-0.1708886245115857,1.0751238467965503,0.8955479762546867,0.10556637098064958,0.09126591711320597,0.09570020853922201,0.9526710465885441,-0.1081644094343297,0.10061701935560974,1.0071628671724224,-0.17088862451158549,83.53436901468397,0.8955479762546867,0.9824672295398575,0.09839126055425784,-0.1708886245115857,1.0071628671724224,0.0,0.0
B136,volcap,0.45,25,pub,0,1,8.796826838723579,0.08399223605853812,0.8510658021205172,-0.1729540054190818,0.9503382992003964,0.7577454794370124,0.09223243603868325,0.07581787302716902,0.0817621297427309,0.8257427409283116,-0.11899338958388272,0.08583608608377236,0.8720666654247419,-0.17295400541908212,83.53436901468397,0.7577454794370124,0.8510658021205172,0.08399223605853812,-0.1729540054190818,0.8720666654247419,0.0,0.0
B136,volcap,0.6,10,pub,0,1,8.266497294317862,0.10716215168162102,1.0261183690583502,-0.17687931105226473,1.1455748414127866,0.9144263370785016,0.11735656804756389,0.09706527539471455,0.1087705617421808,1.0349765743906882,-0.11419871026772854,0.10583657394304091,1.0185476662771331,-0.17687931105226462,86.48882741008725,0.9144263370785016,1.0261183690583502,0.10716215168162102,-0.17687931105226473,1.0185476662771331,0.0,1.0
B136,volcap,0.6,25,pub,0,1,8.266497294317862,0.09351400604438043,0.9068788945396131,-0.18217043484345752,1.0329532064597644,0.7888934896185209,0.1047484937207368,0.08239874849924189,0.09557686988054592,0.9205282070047853,-0.12098355538992067,0.09181456009217115,0.8953399181114371,-0.18217043484345774,86.48882741008725,0.7888934896185209,0.9068788945396131,0.09351400604438043,-0.18217043484345752,0.8953399181114371,0.0,0.0
B136,volcap,0.9,10,pub,0,1,7.952160135930798,0.11305409850713755,1.0455618647978995,-0.1932294532449128,1.1616334529891474,0.9419452656720649,0.12096274606695578,0.10520477307546594,0.11222394146170656,1.050407186975298,-0.11266784436253985,0.11373964952112448,1.0415668978946178,-0.19322945324491325,87.85911896148117,0.9419452656720649,1.0455618647978995,0.11305409850713755,-0.1932294532449128,1.0415668978946178,0.0,1.0
B136,volcap,0.9,25,pub,0,1,7.952160135930798,0.09985097429107692,0.9344962148918307,-0.19738327764098107,1.0539793535736217,0.8275879425921305,0.10869144335214265,0.0910849318996303,0.09938008156902112,0.9409877635603245,-0.11940159083215907,0.1002397288619663,0.9291854573481874,-0.1973832776409813,87.85911896148117,0.8275879425921305,0.9344962148918307,0.09985097429107692,-0.19738327764098107,0.9291854573481874,0.0,0.0
