uni,book,cost,selector,pick,lag,IS_rate,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_dMaxDD,ctl_Sharpe,v1_Sharpe,spy_Sharpe,p4a,p4b
universe_broad.json,TOP20,25.0,S1 idea94,ebud-0.10,t+1,-0.11686405929870719,0.10539299399804758,0.7510865702437203,-0.23016855578352646,3.1327547082015905,0.8066189970303554,0.15539928865606328,0.8820239235972316,True,False
universe_broad.json,TOP20,25.0,S1 idea94,ebud-0.10,t+2,-0.11686405929870719,0.10256644316475727,0.7270879434713148,-0.24491218532044134,2.1773984222654086,0.7926865367895278,0.12525941199983634,0.8820239235972316,True,False
universe_broad.json,TOP20,25.0,S1 idea94,ebud-0.10,nr,-0.11686405929870719,0.10545412000204535,0.7359326797824413,-0.24309018194769605,1.8491134769465845,0.7602944391915915,-0.055628638070400645,0.8820239235972316,True,False
universe_broad.json,TOP20,25.0,S2 lag-screened,ddctl-8/.5/recover,t+1,5.133998597733405,0.08507541264992868,0.7098858343615876,-0.20173813025209775,5.9757972613444625,0.8066189970303554,0.15539928865606328,0.8820239235972316,True,False
universe_broad.json,TOP20,25.0,S2 lag-screened,ddctl-8/.5/recover,t+2,5.133998597733405,0.08734588281716382,0.7175136121020876,-0.16999881610551115,9.668735343758428,0.7926865367895278,0.12525941199983634,0.8820239235972316,True,False
universe_broad.json,TOP20,25.0,S2 lag-screened,ddctl-8/.5/recover,nr,5.133998597733405,0.0803821832625522,0.6615545555018102,-0.1939986722229028,6.75826444942591,0.7602944391915915,-0.055628638070400645,0.8820239235972316,True,False
universe_broad.json,EWall,10.0,S1 idea94,stop25,t+1,0.385554959929468,0.13287927830521795,1.0951469664818427,-0.26584745557548783,-1.2136794511985238,1.1022031339130582,0.5762505378038233,0.8820239235972316,False,False
universe_broad.json,EWall,10.0,S1 idea94,stop25,t+2,0.385554959929468,0.14718616139069485,1.2073516572237855,-0.19014319605905938,6.381384568129544,1.106533424515519,0.5416765435810322,0.8820239235972316,True,True
universe_broad.json,EWall,10.0,S1 idea94,stop25,nr,0.385554959929468,0.12153742915935739,0.9763934002118685,-0.2558935020337145,-0.218284097021193,1.1020097524834447,0.343543134209446,0.8820239235972316,False,False
universe_broad.json,EWall,10.0,S2 lag-screened,vol60-dg,t+1,0.5038692185620792,0.12011126700793429,1.1224553129457142,-0.18696236312424186,6.674829793926074,1.1022031339130582,0.5762505378038233,0.8820239235972316,True,True
universe_broad.json,EWall,10.0,S2 lag-screened,vol60-dg,t+2,0.5038692185620792,0.1117298356128773,1.0258138645325667,-0.2231961124824019,3.076092925795293,1.106533424515519,0.5416765435810322,0.8820239235972316,True,False
universe_broad.json,EWall,10.0,S2 lag-screened,vol60-dg,nr,0.5038692185620792,0.11243924107162506,1.0151625014274175,-0.23295840927472766,2.0752251788774934,1.1020097524834447,0.343543134209446,0.8820239235972316,False,False
