panel,form,cadence,cash_bps,slope_Sharpe,r2_Sharpe,slope_CAGR,r2_CAGR,slope_MaxDD,r2_MaxDD,Sharpe_span,CAGR_span,DD_span,mean_cash_w
SMALL663,MA20,W,0.0,0.0028431492390569276,0.9910980381464441,0.17908422027430743,0.9989661124364959,-0.3758227489431802,0.9985004439108137,0.002272967675445048,0.1429996494387249,0.30087945594573295,0.3997050064408352
SMALL663,MA20,W,150.0,-0.22039645265872007,0.8186316220898313,0.16349527286785917,0.9984980750993867,-0.37702893317448977,0.9984910150227613,0.21601818645726856,0.13054359063532384,0.30184665004515887,0.39972548139244585
SMALL663,MA20,W,300.0,-0.4404212218494095,0.8201751173898106,0.1479498058121788,0.9978503600229054,-0.37821872199462153,0.9984816997225183,0.43116565495473924,0.1181236912342325,0.3028007073416765,0.39974565619953845
SMALL663,TOP10,M,0.0,0.03998452326609269,0.9980332283196555,0.19449269781569964,0.9982682253169932,-0.5327258590539109,0.9950315460317674,0.03209101049670815,0.15523519882656922,0.4278499563957643,0.40060594209244604
SMALL663,TOP10,M,150.0,-0.13406298236869574,0.7413302452223153,0.1789250135720545,0.9976385723633701,-0.5427355429568012,0.9948388483952993,0.137979107821379,0.14279876597203311,0.43593956548255586,0.4007117922724208
SMALL663,TOP10,M,300.0,-0.3057622661089692,0.7872558439994235,0.163397506063291,0.9967992380674142,-0.5526907565045249,0.994646312373746,0.3057546541086692,0.1303956829221944,0.44398745015763585,0.40081609539293994
SMALL663,TOP10,W,0.0,0.00708583624400823,0.9995350602958816,0.18865676744030532,0.9972110930236621,-0.4764626323500909,0.9989109202500984,0.005664740438204086,0.15051113452581255,0.3855943727102594,0.399659895244919
SMALL663,TOP10,W,150.0,-0.17347653980174282,0.8103159926162613,0.1729763705183851,0.9962505218004956,-0.4766460767177927,0.9981303800053176,0.1708814149360679,0.13799271850863715,0.3902970107006273,0.3996803685725725
SMALL663,TOP10,W,300.0,-0.35143895755420074,0.8161676271241697,0.15733962176711092,0.9949654300498245,-0.4782921580456969,0.9977061769960488,0.3448854036275657,0.125510648530345,0.3949550042199328,0.3997005417798743
SMALL663,TOP20,M,0.0,0.02215733889727727,0.9992266677625077,0.16728457009236208,0.9990882303283249,-0.4362493047230294,0.9979607486174801,0.017790541418532646,0.1336215953661024,0.3494425252254305,0.40080929743896265
SMALL663,TOP20,M,150.0,-0.19424129712958554,0.7892968050959811,0.15183045726816174,0.9986613699900311,-0.4466942507050936,0.9978281571522342,0.19383493438916044,0.12126963220376297,0.35783910158790866,0.40091519008159965
SMALL663,TOP20,M,300.0,-0.40771974849515,0.8061402602340528,0.13641637830710923,0.9980596978147462,-0.4569467057341382,0.9977261564942943,0.4026041736322775,0.10895073387820275,0.3658461368413106,0.4010195350024781
SMALL663,TOP20,W,0.0,0.0027874051117887585,0.9906055341441162,0.17999693074914933,0.9989849927448501,-0.3755121578797256,0.9985069950245501,0.0022282828240154373,0.14372875842473998,0.30062958832333775,0.39970378723267136
SMALL663,TOP20,W,150.0,-0.22046156286464968,0.8187123057142469,0.16440575423718023,0.9985244775511923,-0.3767184936589257,0.9984975840061122,0.2160720139383585,0.1312708477600124,0.30159689635843323,0.3997242621673869
SMALL663,TOP20,W,300.0,-0.440495561297772,0.8202153067192482,0.14885805526218657,0.9978877654370664,-0.37790843198916346,0.9984882863052653,0.4312284914434559,0.11884910229876589,0.30255106604149884,0.39974443695784373
U56,EWall,M,0.0,0.0003963676533870746,0.41008552221572414,0.17892402470657567,0.999981090051778,-0.2841293343890692,0.9995402919864561,0.0005247151643468229,0.14309794532187925,0.22737309669014627,0.39867758226396727
U56,EWall,M,150.0,-0.3954780114025312,0.8210786553693152,0.1634657672331494,0.999997181647164,-0.28546178555987123,0.9995397830107012,0.3870172823567146,0.13072999529082185,0.22843861090288797,0.3987839606357524
U56,EWall,M,300.0,-0.7860034106071402,0.8208857036523816,0.14804839631120467,0.9999983150798449,-0.28677644955391424,0.9995392785399538,0.769113380961238,0.11839589278837304,0.22948989422101929,0.39888878421821955
U56,EWall,W,0.0,0.002936914726270432,0.9776841074750955,0.17804688648176928,0.999994510795281,-0.2846737357017689,0.9993172279308623,0.002333355002517523,0.1423710759056973,0.22780959227424868,0.39977245068578565
U56,EWall,W,150.0,-0.3883235553271622,0.8199851058189992,0.16255453710141904,0.999999148836886,-0.2859623573351812,0.9993102170324899,0.3802921959211474,0.12997652113160862,0.2288417243940306,0.3997929334695
U56,EWall,W,300.0,-0.7739487009773859,0.8207700113509417,0.14710541689286863,0.9999820853842042,-0.287233520592369,0.9993032802217284,0.7574066629411611,0.11761795186711654,0.22985988329058704,0.3998131159938605
U56,MA-DG,M,0.0,0.0072755259647692815,0.9995258038985966,0.12017087043331692,0.9999755132557876,-0.1524837146838961,0.9997392381675302,0.005818654224375663,0.09612816145130076,0.12201352907825813,0.5726468675334941
U56,MA-DG,M,150.0,-0.6214484614015586,0.8182839363399786,0.10976785824774175,0.9999894308914582,-0.15322594031845316,0.9997408501192588,0.6090288518648017,0.08780495665574573,0.12260705667666771,0.5727634783015708
U56,MA-DG,M,300.0,-1.2417220148110355,0.8199301692857464,0.09933753344688893,0.9999979450151563,-0.15395828267640982,0.9997424308409129,1.2156120180265126,0.07946028119426263,0.12319268118958604,0.5728783686685016
U56,MA-DG,W,0.0,1.5920976156639983e-05,0.0053126574394686266,0.10997254482979003,0.99999433503461,-0.1569637494117837,0.999903392001992,0.00016328777645457926,0.0879621513374258,0.1255723695019041,0.5741210272603778
U56,MA-DG,W,150.0,-0.6590417358436726,0.82197277783491,0.09956305951426345,0.9999999000245818,-0.15762417609877089,0.9999022489922053,0.6444232947769499,0.07963419356132873,0.12610078631275068,0.5741434629178885
U56,MA-DG,W,300.0,-1.3086430055271872,0.8218830644744158,0.08912514434050106,0.9999956705386294,-0.15827560215578274,0.9999011178170631,1.2796068413356891,0.07128392305717401,0.1266220017317219,0.5741655690306661
U56,MA-RS,M,0.0,0.006587266473574405,0.9995385068019724,0.1699464108675707,0.9999686706152366,-0.23297217333918033,0.9995830511805264,0.0052702995657785134,0.13593213370122892,0.18643525097210045,0.39872012123944733
U56,MA-RS,M,150.0,-0.42000833471909693,0.8164779750728824,0.15451585885356253,0.9999905875867889,-0.23413576342301615,0.9995833241190266,0.41207374499685256,0.12358591209057956,0.1873657534111749,0.39882650373785095
U56,MA-RS,M,300.0,-0.8408472679586008,0.818698006614867,0.139126132139102,0.9999998493972849,-0.23528363485850368,0.9995835880449766,0.8237847425550768,0.11127343286378055,0.1882836809430869,0.39893133138378406
U56,MA-RS,W,0.0,0.0005380614609489423,0.9539818091729139,0.15449962005145818,0.9999990010391275,-0.23869323098955894,0.999602462648303,0.00042921496006154136,0.12355612039988007,0.1909796948613719,0.3997643731254971
U56,MA-RS,W,150.0,-0.43394598449037747,0.8213808078854581,0.13907146575325843,0.9999945595177336,-0.23982575393427655,0.9995976745561498,0.424461747816677,0.11121361932441376,0.19188637239910933,0.3997848559955777
U56,MA-RS,W,300.0,-0.8621764405742708,0.8214842509213459,0.12368657028989168,0.9999644625299386,-0.24094277432435687,0.9995929351603288,0.843237159654098,0.09890692526073219,0.19278064503950298,0.3998050386050553
U56,MA20,M,0.0,0.009243437424359378,0.9992148473496432,0.2195693310674903,0.999950979396078,-0.2701242932790312,0.9992414553173673,0.007392544350893759,0.17560312166782444,0.21623296122352476,0.39838348305279775
U56,MA20,M,150.0,-0.33632712555668826,0.813311455600238,0.2040126841874718,0.9999798105600735,-0.27128370651276046,0.9992423700382408,0.3306648470500484,0.16315472171292966,0.217160017747284,0.3984898396882567
U56,MA20,M,300.0,-0.6772370175384965,0.8171786699657337,0.1884969105483926,0.9999965593454576,-0.27242746091102427,0.9992432611957301,0.6641620836403492,0.15074045353010201,0.21807454771891166,0.39859464191097094
