panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,is525
q0.50_k40_d0,ladder,0.5,40,0,CAND30,30.0,21.703971119133573,0.5425992779783394,0.0643176622018653,0.8219580598314843,-0.15881698766472563,1.0383711586586595,0.6030200317814131,0.049610176910726445,0.6546868999558259,-0.15881698766472574,1.0846442801135114,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
q0.50_k40_d0,ladder,0.5,40,0,EWall,,21.703971119133573,0.5425992779783394,0.10214717594095113,0.8791945343787438,-0.23554725034012236,1.085467515948198,0.6931980696018502,0.08459944132272446,0.7397037641901363,-0.23554725034012336,1.1093604598914149,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.9552863422637294,1.0773103592949453,0.8289171205776424,-0.15772591609432995,0.8485011403638141,False,False,True
q0.50_k40_d1,ladder,0.5,40,1,CAND5,5.0,22.756919374247893,0.5689229843561974,0.18177778282112578,0.9994999256145286,-0.2914684687242157,1.1053588691597147,0.9102371274415317,0.1421145044405765,0.7940289792769998,-0.2914684687242155,1.3666014037214331,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,False,True
q0.50_k40_d1,ladder,0.5,40,1,CAND10,10.0,22.756919374247893,0.5689229843561974,0.14653769170194098,1.0112649888413603,-0.24727967353440417,1.128024950017068,0.9116902704024159,0.13129765010602612,0.8952421032133178,-0.24727967353440383,1.2190175617798777,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,False,True
q0.50_k40_d1,ladder,0.5,40,1,CAND15,15.0,22.756919374247893,0.5689229843561974,0.11914130516004606,0.9550591824449666,-0.1932694192150125,1.0799075257697717,0.8405266543642245,0.11001406843052197,0.8722191712429301,-0.19326941921501273,1.099389681467117,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,False,True
q0.50_k40_d1,ladder,0.5,40,1,CAND20,20.0,22.756919374247893,0.5689229843561974,0.11066921581686229,0.9884711163988379,-0.16151633544120214,1.0622133901855662,0.9189329196783581,0.10988223838079025,0.963015214685552,-0.16151633544120225,1.033141448261073,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,True,True
q0.50_k40_d1,ladder,0.5,40,1,CAND30,30.0,22.756919374247893,0.5689229843561974,0.08884515648331126,1.0076116314686343,-0.12389481655454071,1.1095797823245888,0.9087097894907157,0.08803868756905997,0.9807552319234083,-0.12389481655454082,1.054283377453628,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,False,True
q0.50_k40_d1,ladder,0.5,40,1,EWall,,22.756919374247893,0.5689229843561974,0.11938363593989743,0.9240667278288324,-0.2659130287892808,1.061815021820188,0.8087497068472184,0.11713367069772662,0.8919261654109745,-0.2659130287892809,0.9801035259964141,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0319435932772285,1.2066698286315642,0.8737017393426992,-0.11213875528347017,0.9498383592647073,False,False,True
q0.50_k40_d2,ladder,0.5,40,2,CAND5,5.0,20.335740072202167,0.5083935018050542,0.11675361173416343,0.729806639806757,-0.3537003569931071,1.0034571806046682,0.49062169789338483,0.11326484490014943,0.6914077104186858,-0.35370035699310687,0.8016057678707381,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
q0.50_k40_d2,ladder,0.5,40,2,CAND10,10.0,20.335740072202167,0.5083935018050542,0.114465183167342,0.8413752756143407,-0.2655754346817465,1.1219700361154687,0.5973590335525837,0.09486018337730906,0.6941216481584487,-0.26557543468174605,1.109360910719889,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,0.999539847164335,1.148486280029211,0.8489457160790719,-0.11501059784261658,0.8972451430156004,False,False,True
