panel,char,flavour,level,seed,n_from_B,n_from_S,cvol,rho,breadth,beta,reach_lo,reach_hi,feasible,bandwidth,n_pool
breadth~SONLY~L0.460~5,breadth,SONLY,0.46,5,0,36,0.5623795153225708,0.1787898548379234,0.45125133531794837,1.105026652910937,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~0,breadth,SONLY,0.52,0,0,36,0.5525993368492867,0.19074084236569522,0.4956539263976928,1.115424570585465,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~1,breadth,SONLY,0.52,1,0,36,0.517924535165291,0.2045334611278001,0.5031581179784386,1.0906930527143242,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~2,breadth,SONLY,0.52,2,0,36,0.5376831990105155,0.17959849108190382,0.4902563985773544,1.067986772889811,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~3,breadth,SONLY,0.52,3,0,36,0.4904149284719412,0.2060741478065157,0.5186914283672611,1.0410279056272156,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~4,breadth,SONLY,0.52,4,0,36,0.5381511091747095,0.1768411661397957,0.4983020139437709,1.0497654203165347,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.520~5,breadth,SONLY,0.52,5,0,36,0.4820134401045246,0.19816610433519277,0.5063089946104289,1.0688982032791334,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~0,breadth,SONLY,0.58,0,0,36,0.49539026396398345,0.17594997676320853,0.5278782497813067,0.972213530350961,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~1,breadth,SONLY,0.58,1,0,36,0.4600830679789175,0.20460627034270304,0.5305560522816422,1.0058932788688828,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~2,breadth,SONLY,0.58,2,0,36,0.4529758071873069,0.19239748417625682,0.5452057986028247,0.9610107684239477,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~3,breadth,SONLY,0.58,3,0,36,0.470465093381904,0.21318935364164013,0.5299612881741764,1.0471199075226223,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~4,breadth,SONLY,0.58,4,0,36,0.44074497011458014,0.2161481228311678,0.5392897701615299,0.9894129809863568,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
breadth~SONLY~L0.580~5,breadth,SONLY,0.58,5,0,36,0.49456647820458266,0.16243711977355926,0.5394355364059169,0.9578251572136423,0.23389454128470982,0.6271665061840509,True,0.06849664891348795,439
