panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
broad,EWall,10.0,family,0.75,True,4,control,0.75,1.1440383684058923,0.10434322903917992,1.103169433060587,-0.19507316687908183,0.562797730691137
broad,EWall,25.0,family,0.75,True,3,control,0.75,1.1337249005530656,0.10318388195573047,1.0919616381522665,-0.19526084308620473,0.562797730691137
small,V1u,10.0,family,0.75,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
small,V1u,25.0,family,0.75,False,0,ebud-0.10,0.55,0.3345266507133192,-0.0051370045036592815,-0.08032899661556017,-0.21615856687247348,0.25720349749242327
small,TOP20,10.0,family,0.75,False,0,ebud-0.10,0.55,0.7215547596671987,0.0912221901498882,0.7812637673835188,-0.17234949340241323,0.403366427178002
small,TOP20,25.0,family,0.75,False,0,ebud-0.10,0.55,0.5879712300097495,0.07681903526773048,0.6716221500328897,-0.1731025959817878,0.403366427178002
small,EWall,10.0,family,0.75,False,0,control,0.75,0.7736362379330319,0.07792908473041704,0.6377139158926167,-0.28055321733121297,0.5626499698955618
small,EWall,25.0,family,0.75,False,0,control,0.75,0.7567665133775591,0.07563766316461229,0.6214812209040566,-0.28277710458576544,0.5626499698955618
u56,V1u,10.0,family,0.8,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,family,0.8,False,0,ebud-0.10,0.8,0.30000115557564605,0.011405832972620988,0.25446900817308427,-0.10816730486513726,0.36947505325454116
u56,TOP20,10.0,family,0.8,True,8,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,0.8,False,0,ebud-0.20,0.75,1.0690687277640532,0.11302931306425279,1.0712042196541898,-0.17118080543662506,0.560313375886336
