panel,theta,arm,construction,cadence,gross,IS_spread,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,turn_yr,base_oSharpe,base_oCAGR,base_oMaxDD,spy_oSharpe,spy_oCAGR,spy_oMaxDD,beat_base,beat_spy,p4a,p4b,f4b
SMALL439,-0.4,MA-THRESH,DEGROSS,Q,0.5,0.09022121060387689,0.0577602962306758,0.644397780788525,-0.217168255072003,0.7522542426342371,0.5739881695057237,0.74168800998544,0.05568480069935888,0.5956501642850824,-0.217168255072004,0.3872791785581483,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.4,MA-THRESH,RESPREAD,Q,0.5,0.08853582409134508,0.06450870050025426,0.6581580093501481,-0.2302983883548051,0.7515948740784754,0.6039913783860394,0.7403064306098139,0.06400647675596005,0.6198788527098863,-0.23029838835480543,0.4453658775714553,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.4,MOM-D,DEGROSS,D,1.0,0.07246311968153307,0.10844050019508988,0.6361274785917845,-0.3996462528535826,0.7706209361961539,0.5440053466843304,0.7607325117291209,0.09893742597837063,0.571623900889655,-0.3996462528535828,5.845384352381001,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD"
SMALL439,-0.4,MOM-D,RESPREAD,D,1.0,0.06931892713356924,0.12189719209105587,0.6434582519723778,-0.47732443915436396,0.77226819212462,0.5686231060733243,0.7611557218770688,0.11531309406469825,0.5893349106923956,-0.47732443915436507,6.66414546796606,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD"
SMALL439,-0.25,MA-THRESH,DEGROSS,Q,0.5,0.10306068426947146,0.04683529917896356,0.5922100602674463,-0.22320851747894677,0.7234580661379515,0.4957268785150893,0.6926183143575947,0.04405314690220519,0.5392324092051838,-0.22320851747894532,0.4633646754035672,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.25,MA-THRESH,RESPREAD,Q,0.5,0.1354164341409959,0.060141570927215726,0.6349270041028765,-0.24296343662747533,0.7329417699931515,0.5752466699973998,0.705291166788713,0.06004426081477887,0.6021382442687127,-0.242963436627477,0.631239855684753,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.25,MOM-D,DEGROSS,D,1.0,0.09944310699997216,0.09180392496962408,0.6169166791675726,-0.3453875410492835,0.7639311861154645,0.5022047921787368,0.7593497537542988,0.07968117530490915,0.5370423966251543,-0.3453875410492845,7.525391444084275,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.25,MOM-D,RESPREAD,D,1.0,0.06233375354289039,0.11462141686844851,0.6222967244026477,-0.49059902713070525,0.7608177855761016,0.5374096865349094,0.7521976759311307,0.10567163880403041,0.5604540966917457,-0.49059902713070624,10.41425705912807,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD"
SMALL439,-0.12,MA-THRESH,DEGROSS,M,1.0,0.19787373546799747,0.07140855402307533,0.5802902108459036,-0.32683666932740574,0.6827514118775196,0.4935481943268179,0.6723886977947232,0.06445305178224636,0.5257751231775392,-0.3268366693274043,2.0834735766964516,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.12,MA-THRESH,RESPREAD,Q,0.5,0.3056913752243365,0.06350757106600868,0.6822846707498429,-0.24450200382701948,0.7502629904718611,0.6473238622907239,0.7214585036836353,0.06604564517927791,0.6670543430281201,-0.2445020038270186,1.0021875437447734,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.12,MOM-D,DEGROSS,M,1.0,0.11709984796598238,0.07264697825308053,0.5850569149108259,-0.31574983540617585,0.7055267556296871,0.48359247630791585,0.7120731071200855,0.06271361828791622,0.5101513362849265,-0.31574983540617774,2.057245369543432,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.12,MOM-D,RESPREAD,M,1.0,0.0293769265281405,0.11003083879289832,0.6145062267036168,-0.46225656780268165,0.7044890290303426,0.562547889776064,0.694163078188638,0.10715443224613574,0.5774993487692037,-0.4622565678026809,3.479226391697422,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD"
SMALL439,-0.06,MA-THRESH,DEGROSS,M,1.0,0.32027603048227354,0.06561406238720768,0.6127055563353132,-0.2724996013354538,0.7203680699222018,0.518346675572711,0.7205972382267501,0.05823812429432729,0.5477231933895266,-0.27249960133545514,2.2953306134093716,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.06,MA-THRESH,RESPREAD,Q,0.5,0.41357536169852754,0.06623518732002354,0.7090567827294985,-0.239719889185665,0.7788293864063399,0.6740500368346077,0.7115186500904328,0.07132032326761406,0.7130465821331853,-0.23971988918566633,1.3006686745241367,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.06,MOM-D,DEGROSS,M,1.0,0.13759915070606454,0.06552107997915213,0.608111087164282,-0.25693974554302623,0.7424036084293317,0.49132637730066414,0.7510051258791844,0.05564492352132988,0.5225488358099778,-0.2569397455430271,2.204268213913723,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,False,False,False,False,"H1,H2,OOS,DD,CAGR"
SMALL439,-0.06,MOM-D,RESPREAD,Q,0.5,0.08473461134959082,0.06310702082373787,0.6556498480311751,-0.23451106983997383,0.7349316491112166,0.6134723712498842,0.707325102764981,0.06480295000060154,0.6340277956080664,-0.23451106983997183,1.2347248696231763,0.5664863714962136,0.03837588361212907,-0.1470362580000889,0.8820106885412021,0.15450723909089636,-0.33717256775620263,True,False,False,False,"H1,H2,OOS,DD,CAGR"
