panel,book,gross,cadence,leg,RANDFIX,RANDROT,RANDROT_FREE,cert_ROT,cert_FIX,cert_BOTH
U56,TOP20,0.5,M,L_H2,1.0,1.0,0.885,False,False,False
U56,TOP20,0.5,M,L_OOS,1.0,1.0,0.905,False,False,False
U56,TOP20,0.5,Q,L_CAGR,0.0,0.0,0.0,True,True,True
U56,TOP20,0.5,Q,L_DD,1.0,1.0,1.0,False,False,False
U56,TOP20,0.5,Q,L_H1,1.0,1.0,0.965,False,False,False
U56,TOP20,0.5,Q,L_H2,0.89,0.86,0.93,True,True,True
U56,TOP20,0.5,Q,L_OOS,0.935,0.905,0.96,False,False,False
U56,TOP20,0.5,W,L_CAGR,0.0,0.0,0.0,True,True,True
U56,TOP20,0.5,W,L_DD,1.0,1.0,0.975,False,False,False
U56,TOP20,0.5,W,L_H1,0.78,0.0,0.0,True,True,True
U56,TOP20,0.5,W,L_H2,0.96,0.025,0.015,True,False,False
U56,TOP20,0.5,W,L_OOS,0.99,0.06,0.005,True,False,False
U56,TOP20,0.75,M,L_CAGR,0.87,0.775,0.935,True,True,True
U56,TOP20,0.75,M,L_DD,1.0,1.0,0.055,False,False,False
U56,TOP20,0.75,M,L_H1,0.975,0.945,0.79,False,False,False
U56,TOP20,0.75,M,L_H2,1.0,1.0,0.885,False,False,False
U56,TOP20,0.75,M,L_OOS,1.0,1.0,0.9,False,False,False
U56,TOP20,0.75,Q,L_CAGR,0.83,0.83,0.985,True,True,True
U56,TOP20,0.75,Q,L_DD,0.195,0.18,0.13,True,True,True
U56,TOP20,0.75,Q,L_H1,1.0,0.995,0.965,False,False,False
U56,TOP20,0.75,Q,L_H2,0.875,0.85,0.93,True,True,True
U56,TOP20,0.75,Q,L_OOS,0.93,0.9,0.96,True,False,False
U56,TOP20,0.75,W,L_CAGR,0.33,0.0,0.0,True,True,True
U56,TOP20,0.75,W,L_DD,1.0,1.0,0.02,False,False,False
U56,TOP20,0.75,W,L_H1,0.78,0.0,0.0,True,True,True
U56,TOP20,0.75,W,L_H2,0.96,0.025,0.015,True,False,False
U56,TOP20,0.75,W,L_OOS,0.99,0.06,0.005,True,False,False
U56,TOP20,1.0,M,L_CAGR,1.0,1.0,1.0,False,False,False
U56,TOP20,1.0,M,L_DD,0.04,0.03,0.0,True,True,True
U56,TOP20,1.0,M,L_H1,0.975,0.95,0.8,False,False,False
U56,TOP20,1.0,M,L_H2,1.0,1.0,0.885,False,False,False
U56,TOP20,1.0,M,L_OOS,1.0,1.0,0.9,False,False,False
U56,TOP20,1.0,Q,L_CAGR,1.0,1.0,1.0,False,False,False
U56,TOP20,1.0,Q,L_DD,0.0,0.0,0.0,True,True,True
U56,TOP20,1.0,Q,L_H1,1.0,0.995,0.965,False,False,False
U56,TOP20,1.0,Q,L_H2,0.85,0.84,0.93,True,True,True
U56,TOP20,1.0,Q,L_OOS,0.915,0.885,0.96,True,False,False
U56,TOP20,1.0,W,L_CAGR,0.98,0.025,0.285,True,False,False
U56,TOP20,1.0,W,L_DD,0.25,0.085,0.0,True,True,True
U56,TOP20,1.0,W,L_H1,0.78,0.0,0.0,True,True,True
U56,TOP20,1.0,W,L_H2,0.96,0.025,0.015,True,False,False
U56,TOP20,1.0,W,L_OOS,0.99,0.06,0.005,True,False,False
U56,TOP5,0.5,M,L_CAGR,0.035,0.0,0.01,True,True,True
U56,TOP5,0.5,M,L_DD,1.0,1.0,0.825,False,False,False
U56,TOP5,0.5,M,L_H1,0.525,0.255,0.245,True,True,True
U56,TOP5,0.5,M,L_H2,0.715,0.6,0.485,True,True,True
U56,TOP5,0.5,M,L_OOS,0.765,0.63,0.44,True,True,True
U56,TOP5,0.5,Q,L_CAGR,0.055,0.0,0.075,True,True,True
U56,TOP5,0.5,Q,L_DD,0.865,0.93,0.82,False,True,False
U56,TOP5,0.5,Q,L_H1,0.75,0.61,0.52,True,True,True
U56,TOP5,0.5,Q,L_H2,0.415,0.4,0.545,True,True,True
U56,TOP5,0.5,Q,L_OOS,0.465,0.42,0.535,True,True,True
U56,TOP5,0.5,W,L_CAGR,0.025,0.0,0.0,True,True,True
U56,TOP5,0.5,W,L_DD,0.995,0.845,0.49,True,False,False
U56,TOP5,0.5,W,L_H1,0.385,0.0,0.0,True,True,True
U56,TOP5,0.5,W,L_H2,0.545,0.015,0.015,True,True,True
U56,TOP5,0.5,W,L_OOS,0.565,0.0,0.015,True,True,True
U56,TOP5,0.75,M,L_CAGR,0.64,0.4,0.635,True,True,True
U56,TOP5,0.75,M,L_DD,0.58,0.55,0.05,True,True,True
U56,TOP5,0.75,M,L_H1,0.53,0.26,0.25,True,True,True
U56,TOP5,0.75,M,L_H2,0.715,0.6,0.49,True,True,True
U56,TOP5,0.75,M,L_OOS,0.77,0.63,0.45,True,True,True
U56,TOP5,0.75,Q,L_CAGR,0.58,0.615,0.775,True,True,True
U56,TOP5,0.75,Q,L_DD,0.21,0.145,0.07,True,True,True
U56,TOP5,0.75,Q,L_H1,0.75,0.615,0.525,True,True,True
U56,TOP5,0.75,Q,L_H2,0.42,0.405,0.555,True,True,True
U56,TOP5,0.75,Q,L_OOS,0.47,0.41,0.55,True,True,True
U56,TOP5,0.75,W,L_CAGR,0.35,0.0,0.005,True,True,True
U56,TOP5,0.75,W,L_DD,0.595,0.14,0.005,True,True,True
U56,TOP5,0.75,W,L_H1,0.385,0.0,0.0,True,True,True
U56,TOP5,0.75,W,L_H2,0.545,0.015,0.015,True,True,True
U56,TOP5,0.75,W,L_OOS,0.565,0.0,0.015,True,True,True
U56,TOP5,1.0,M,L_CAGR,0.91,0.91,0.92,False,False,False
U56,TOP5,1.0,M,L_DD,0.13,0.03,0.0,True,True,True
U56,TOP5,1.0,M,L_H1,0.545,0.275,0.25,True,True,True
U56,TOP5,1.0,M,L_H2,0.715,0.6,0.485,True,True,True
U56,TOP5,1.0,M,L_OOS,0.765,0.63,0.455,True,True,True
U56,TOP5,1.0,Q,L_CAGR,0.91,0.96,0.95,False,False,False
U56,TOP5,1.0,Q,L_DD,0.04,0.0,0.005,True,True,True
U56,TOP5,1.0,Q,L_H1,0.75,0.625,0.525,True,True,True
U56,TOP5,1.0,Q,L_H2,0.415,0.39,0.535,True,True,True
U56,TOP5,1.0,Q,L_OOS,0.47,0.41,0.535,True,True,True
U56,TOP5,1.0,W,L_CAGR,0.74,0.01,0.025,True,True,True
U56,TOP5,1.0,W,L_DD,0.13,0.0,0.0,True,True,True
U56,TOP5,1.0,W,L_H1,0.375,0.0,0.0,True,True,True
U56,TOP5,1.0,W,L_H2,0.55,0.015,0.015,True,True,True
U56,TOP5,1.0,W,L_OOS,0.565,0.0,0.015,True,True,True
