cash,gross,k,KEEP4b,cagr_margin_pp,dd_margin_pp,h1,h2,dd,cagr
FLAT150,0.5,16,False,-1.058211580984389,5.372413250833629,True,True,True,False
FLAT150,0.5,17,False,-0.6022366606820734,5.929564205384619,True,True,True,False
FLAT150,0.5,18,False,-0.6147620728149977,5.95646639591898,True,True,True,False
FLAT150,0.5,19,False,-0.34553581573129877,6.935163228743879,True,True,True,False
FLAT150,0.5,20,False,-0.2164682366837617,5.570582008206237,True,True,True,False
FLAT150,0.55,0,True,0.8827865411663499,5.622800509470471,True,True,True,True
FLAT150,0.55,1,True,0.3774486571055974,4.359190726682005,True,True,True,True
FLAT150,0.55,2,True,0.7731384485123588,5.017064741596345,True,True,True,True
FLAT150,0.55,3,True,0.32009926596149596,5.0344998642954835,True,True,True,True
FLAT150,0.55,4,True,0.603632409932589,5.096092154376808,True,True,True,True
FLAT150,0.55,5,True,0.3847719962771473,4.711823307063301,True,True,True,True
FLAT150,0.55,6,False,-0.03220389585777139,6.612769905894734,True,True,True,False
FLAT150,0.55,7,True,0.9962692939994439,6.01996810396106,True,True,True,True
FLAT150,0.55,8,True,0.42421212227433946,9.35645831841847,True,True,True,True
FLAT150,0.55,9,False,-0.20727034546267065,6.455773650375574,True,True,True,False
FLAT150,0.55,10,True,0.33839608207985317,5.706241039871829,True,True,True,True
FLAT150,0.55,11,False,-0.2691684759138363,3.9540327924997065,True,True,True,False
FLAT150,0.55,12,False,-0.284874546061506,4.277279390954469,True,True,True,False
FLAT150,0.55,13,False,-0.2899482352100108,5.018991113115279,True,True,True,False
FLAT150,0.55,14,True,0.13967012112902355,4.282532842644116,True,True,True,True
FLAT150,0.55,15,True,0.1250492493137495,3.953565087836075,True,True,True,True
FLAT150,0.55,16,False,-0.2537388946539071,3.950628380204313,True,True,True,False
FLAT150,0.55,17,True,0.25272052670687606,4.565854433933081,True,True,True,True
FLAT150,0.55,18,True,0.24059460167335234,4.609484507941053,True,True,True,True
FLAT150,0.55,19,True,0.5402533782645907,5.679223175485982,True,True,True,True
FLAT150,0.55,20,True,0.6805606987833418,4.167614766378613,True,True,True,True
FLAT150,0.6,0,True,1.803453979240102,4.381704593460012,True,True,True,True
FLAT150,0.6,1,True,1.2410083048921243,2.9827853055012787,True,True,True,True
FLAT150,0.6,2,True,1.6784808660939814,3.702224489197614,True,True,True,True
FLAT150,0.6,3,True,1.1825988488774946,3.700669175282223,True,True,True,True
FLAT150,0.6,4,True,1.4927040586033251,3.7792407444958376,True,True,True,True
FLAT150,0.6,5,True,1.2533045512565537,3.36825545972399,True,True,True,True
FLAT150,0.6,6,True,0.7916909180031434,5.414228577565671,True,True,True,True
FLAT150,0.6,7,True,1.9275574272331757,4.781731844749293,True,True,True,True
FLAT150,0.6,8,True,1.2965876111904167,8.378342908527525,True,True,True,True
FLAT150,0.6,9,True,0.6007793722817484,5.208362787932808,True,True,True,True
FLAT150,0.6,10,True,1.2034014239784478,4.388536276197518,True,True,True,True
FLAT150,0.6,11,True,0.5294276147264659,2.479164501429809,True,True,True,True
FLAT150,0.6,12,True,0.5149554845986698,2.8177410593872687,True,True,True,True
FLAT150,0.6,13,True,0.5092042782579492,3.6361807439644456,True,True,True,True
FLAT150,0.6,14,True,0.9777201427006249,2.851006728296901,True,True,True,True
FLAT150,0.6,15,True,0.9638174476032685,2.5152022622441206,True,True,True,True
FLAT150,0.6,16,True,0.5505119996989466,2.5422118771373348,True,True,True,True
FLAT150,0.6,17,True,1.1084168415838618,3.2157407711460473,True,True,True,True
FLAT150,0.6,18,True,1.0970408503979594,3.2786440430709995,True,True,True,True
FLAT150,0.6,19,True,1.427822081963717,4.437853058535524,True,True,True,True
FLAT150,0.6,20,True,1.579006504671923,2.7779835408599074,True,True,True,True
FLAT150,0.65,0,True,2.7261654326262845,3.1557407355658817,True,True,True,True
FLAT150,0.65,1,True,2.104595311628868,1.618939193304847,True,True,True,True
FLAT150,0.65,2,True,2.5848734224030694,2.400262645292417,True,True,True,True
FLAT150,0.65,3,True,2.0458911882051427,2.376568715501759,True,True,True,True
FLAT150,0.65,4,True,2.382689643891092,2.4738750065447457,True,True,True,True
FLAT150,0.65,5,True,2.122626204963987,2.037488934152887,True,True,True,True
FLAT150,0.65,6,True,1.615175117469661,4.224071237871518,True,True,True,True
FLAT150,0.65,7,True,2.8608980977398084,3.5541903072366154,True,True,True,True
FLAT150,0.65,8,True,2.1697669866325513,7.403357267485267,True,True,True,True
FLAT150,0.65,9,True,1.40838838846066,3.9636020719179377,True,True,True,True
FLAT150,0.65,10,True,2.069331045809211,3.0726921966703125,True,True,True,True
FLAT150,0.65,11,True,1.326801004448766,1.006869084054196,True,True,True,True
FLAT150,0.65,12,True,1.3141105602892638,1.358269253888711,True,True,True,True
FLAT150,0.65,13,True,1.3076296041055007,2.254895697312931,True,True,True,True
FLAT150,0.65,14,True,1.8149694582444558,1.423918546501135,True,True,True,True
FLAT150,0.65,15,True,1.8021795660393551,1.087793521420899,True,True,True,True
FLAT150,0.65,16,True,1.3544231218389684,1.1470128357631837,True,True,True,True
FLAT150,0.65,17,True,1.9647574212102197,1.8790273018043036,True,True,True,True
FLAT150,0.65,18,True,1.954496212337689,1.9637266000396614,True,True,True,True
FLAT150,0.65,19,True,2.317085315053538,3.2108768631516127,True,True,True,True
FLAT150,0.65,20,True,2.478786191463769,1.4015469231262068,True,True,True,True
FLAT150,0.7,0,True,3.6508549088703517,1.9446858176040083,True,True,True,True
FLAT150,0.7,1,True,2.968106554535335,0.26752500686546554,True,True,True,True
FLAT150,0.7,2,True,3.4922272123941194,1.1110688968199,True,True,True,True
FLAT150,0.7,3,True,2.9098874064832274,1.06212860094963,True,True,True,True
FLAT150,0.7,4,True,3.273490511862978,1.1799349152952776,True,True,True,True
