panel,window,ref,rung,keying,L,f,c,share
SMALL,WFULL,ABS63,f1,FRAC,1502,1.0,20,0.8333333333333334
SMALL,WFULL,FRACf0.04,1,ABS,1,0.0006657789613848,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,10,ABS,10,0.0066577896138482,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,1008,ABS,1008,0.6711051930758988,6,0.25
SMALL,WFULL,FRACf0.04,126,ABS,126,0.0838881491344873,0,0.0
SMALL,WFULL,FRACf0.04,2,ABS,2,0.0013315579227696,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,21,ABS,21,0.0139813581890812,0,0.0
SMALL,WFULL,FRACf0.04,252,ABS,252,0.1677762982689747,2,0.08333333333333333
SMALL,WFULL,FRACf0.04,42,ABS,42,0.0279627163781624,0,0.0
SMALL,WFULL,FRACf0.04,5,ABS,5,0.0033288948069241,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,504,ABS,504,0.3355525965379494,3,0.125
SMALL,WFULL,FRACf0.04,63,ABS,63,0.0419440745672436,0,0.0
SMALL,WFULL,FRACf0.04,T,ABS,1502,1.0,20,0.8333333333333334
SMALL,WFULL,FRACf0.04,f0.0006,FRAC,1,0.0006657789613848,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,f0.002,FRAC,3,0.0019973368841544,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,f0.005,FRAC,8,0.0053262316910785,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,f0.01,FRAC,15,0.0099866844207723,0,0.0
SMALL,WFULL,FRACf0.04,f0.02,FRAC,30,0.0199733688415446,0,0.0
SMALL,WFULL,FRACf0.04,f0.08,FRAC,120,0.0798934753661784,0,0.0
SMALL,WFULL,FRACf0.04,f0.15,FRAC,225,0.1498002663115845,1,0.041666666666666664
SMALL,WFULL,FRACf0.04,f0.3,FRAC,451,0.3002663115845539,3,0.125
SMALL,WFULL,FRACf0.04,f0.6,FRAC,901,0.5998668442077231,6,0.25
SMALL,WFULL,FRACf0.04,f1,FRAC,1502,1.0,20,0.8333333333333334
