panel,cost,pool,N,grid,K,distinct_rand_scores,pct_step_at_one_end,min_attainable_p,rand_mean,exact_pool_mean,mc_se,rand_median,rand_sd,median_atom_mass,G7,G8
U56,10.0,WIDE80,80,Q32,32,2000,0.0125,0.00625,1.1998529978916408,1.1999177346593817,0.0002617786090260115,1.1994166326420772,0.011707095296750033,0.0,True,True
U56,25.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.18324241895674,1.1851646417544406,0.00184068461583651,1.1753946432731082,0.08231791852297045,0.055,True,False
U56,25.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,1.133053990600084,1.1329928097005073,0.0005798864252076844,1.1328495973318429,0.0259333093198746,0.0,True,True
U56,25.0,GRID18,18,Q16,16,2000,0.05555555555555555,0.027777777777777776,1.1484259738401261,1.1481268551163428,0.0004257912250226378,1.149080932787479,0.01904196246747055,0.0,True,True
U56,25.0,GRID18,18,Q32,32,2000,0.05555555555555555,0.027777777777777776,1.1315849816217187,1.1315862043020246,0.00028033952299928684,1.131375801905685,0.012537164604125423,0.0,True,True
U56,25.0,GRIDSHELF,24,REC1,1,21,0.041666666666666664,0.020833333333333332,1.172233109348946,1.175478488519028,0.0019864586256969166,1.1753946432731082,0.08883713043098233,0.038,True,True
U56,25.0,GRIDSHELF,24,Q8,8,2000,0.041666666666666664,0.020833333333333332,1.122952747234633,1.1241385281311678,0.0006506172154793198,1.1229322878715178,0.02909648642286775,0.0,True,True
U56,25.0,GRIDSHELF,24,Q16,16,2000,0.041666666666666664,0.020833333333333332,1.1411139039892004,1.1406901632034663,0.000464495258075964,1.1413156660935313,0.020772859445683276,0.0,True,True
U56,25.0,GRIDSHELF,24,Q32,32,2000,0.041666666666666664,0.020833333333333332,1.1280411268432595,1.1285265968253848,0.00031266832994370863,1.1283052600954524,0.01398295280330931,0.0,True,True
U56,25.0,WIDE10,10,REC1,1,10,0.1,0.05,1.1536203844090958,1.1547304750862657,0.0017220954167875828,1.1776544647472031,0.07701444831355736,0.0915,True,False
U56,25.0,WIDE10,10,Q8,8,2000,0.1,0.05,1.0974983086761474,1.0982600521082537,0.0005195065377801173,1.098703992254444,0.023233038664638102,0.0,True,True
U56,25.0,WIDE10,10,Q16,16,2000,0.1,0.05,1.1168574857877684,1.1166894130659317,0.00037316062345514893,1.1174020402205278,0.01668825041143831,0.0,True,True
U56,25.0,WIDE10,10,Q32,32,2000,0.1,0.05,1.106607620805802,1.1071117693902934,0.0002536878297374032,1.1070858635514997,0.011345264647144523,0.0,True,True
U56,25.0,WIDE20,20,REC1,1,20,0.05,0.025,1.1560135675769132,1.1542648076998354,0.0017152398446952622,1.1776544647472031,0.07670785780909577,0.057,True,False
U56,25.0,WIDE20,20,Q8,8,2000,0.05,0.025,1.0984485119850742,1.099265914915947,0.0005607794676137408,1.0985530036346045,0.025078820199409324,0.0,True,True
U56,25.0,WIDE20,20,Q16,16,2000,0.05,0.025,1.1163375290165765,1.1158606352988278,0.0004036051615906935,1.1163166115043828,0.018049771547731557,0.0,True,True
U56,25.0,WIDE20,20,Q32,32,2000,0.05,0.025,1.104889545911373,1.1048806225351784,0.0002732115705281469,1.1050073824016895,0.012218392878808292,0.0,True,True
U56,25.0,WIDE40,40,REC1,1,40,0.025,0.0125,1.1431429121961405,1.144494168736939,0.0016672137443088334,1.1386066702144424,0.0745600653059301,0.0225,True,True
U56,25.0,WIDE40,40,Q8,8,2000,0.025,0.0125,1.0906143238605215,1.0904221697033445,0.000568133862913169,1.0903259174258282,0.025407718755867854,0.0,True,True
U56,25.0,WIDE40,40,Q16,16,2000,0.025,0.0125,1.1068426741073258,1.107152891479203,0.00040220724047452557,1.1071034814384304,0.01798725461487288,0.0,True,True
U56,25.0,WIDE40,40,Q32,32,2000,0.025,0.0125,1.0992978408868899,1.0993305295621423,0.0002806949452961834,1.0991082858673895,0.01255305957245702,0.0,True,True
U56,25.0,WIDE80,80,REC1,1,80,0.0125,0.00625,1.1549022245890979,1.1550906169254318,0.0016582278003503738,1.1472965822027033,0.07415820167526771,0.014,True,True
U56,25.0,WIDE80,80,Q8,8,2000,0.0125,0.00625,1.1016047101863304,1.1009983560287115,0.0005586221743365554,1.1014785451202447,0.02498234311110553,0.0,True,True
U56,25.0,WIDE80,80,Q16,16,2000,0.0125,0.00625,1.1176199259658324,1.1173099239281592,0.0003936982803530359,1.1174519500646896,0.017606722349883166,0.0,True,True
U56,25.0,WIDE80,80,Q32,32,2000,0.0125,0.00625,1.1070296233400008,1.1071291565130108,0.00027632594084734237,1.1068505872650538,0.012357671753624868,0.0,True,True
B136,0.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.201578386668771,1.203090198831013,0.0017044351404731212,1.1774082139884465,0.07622465674674604,0.0505,True,False
B136,0.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,1.121003649439199,1.121308944796584,0.0006474426835656831,1.1208172296848105,0.02895451703975507,0.0,True,True
B136,0.0,GRID18,18,Q16,16,2000,0.05555555555555555,0.027777777777777776,1.1540516342477178,1.1540499382341847,0.00042743862192916017,1.1539745447378031,0.01911563629684869,0.0,True,True
B136,0.0,GRID18,18,Q32,32,2000,0.05555555555555555,0.027777777777777776,1.1555237283759963,1.155740675543043,0.00025556113801290066,1.1555351406214498,0.011429041540081028,0.0,True,True
B136,0.0,GRIDSHELF,20,REC1,1,19,0.05,0.025,1.200824131067599,1.2007606503635824,0.00172069998170195,1.1774082139884465,0.0769520425593641,0.045,True,False
B136,0.0,GRIDSHELF,20,Q8,8,2000,0.05,0.025,1.1208881119670608,1.1202716070786691,0.0006296490667263189,1.1205547331140149,0.028158762303387003,0.0,True,True
B136,0.0,GRIDSHELF,20,Q16,16,2000,0.05,0.025,1.1547909786234272,1.1543864607559808,0.0004120454237525875,1.1546773097732586,0.018427231546569844,0.0,True,True
B136,0.0,GRIDSHELF,20,Q32,32,2000,0.05,0.025,1.1591653270419655,1.1589366678400261,0.00025660979774300694,1.1592734422178022,0.011475939028916714,0.0,True,True
B136,0.0,WIDE10,10,REC1,1,10,0.1,0.05,1.1821226515126981,1.181616803514912,0.0017726757167999528,1.1537942253622497,0.07927646809655721,0.0975,True,False
B136,0.0,WIDE10,10,Q8,8,2000,0.1,0.05,1.0930992743262995,1.09316974607037,0.0005969246124043527,1.0907010918746116,0.026695280215576937,0.0,True,True
B136,0.0,WIDE10,10,Q16,16,2000,0.1,0.05,1.1305631109932395,1.1306948356607547,0.00040937404801897064,1.1292456640637356,0.01830776399189363,0.0,True,True
B136,0.0,WIDE10,10,Q32,32,2000,0.1,0.05,1.136602109289006,1.1365394590410158,0.000219745587650555,1.1361546246550893,0.009827321434845587,0.0,True,True
B136,0.0,WIDE20,20,REC1,1,20,0.05,0.025,1.1796922269751762,1.179260036029724,0.0018180523635610633,1.1537942253622497,0.08130577343153399,0.058,True,False
B136,0.0,WIDE20,20,Q8,8,2000,0.05,0.025,1.0944939746550844,1.0946646276381786,0.0006663578575549562,1.0931248167752454,0.02980042933668008,0.0,True,True
B136,0.0,WIDE20,20,Q16,16,2000,0.05,0.025,1.130648380225039,1.1301078987581588,0.0004388658306999295,1.1296308974151366,0.01962667660893913,0.0,True,True
B136,0.0,WIDE20,20,Q32,32,2000,0.05,0.025,1.1370769630093531,1.1373736881996361,0.00024771413485374493,1.1370339110452141,0.011078112890410472,0.0,True,True
B136,0.0,WIDE40,40,REC1,1,40,0.025,0.0125,1.1732517255481052,1.1732158959957504,0.0015529215321352402,1.1636097582277962,0.06944876219155043,0.0245,True,True
B136,0.0,WIDE40,40,Q8,8,2000,0.025,0.0125,1.088848150340153,1.0881051153795291,0.0005887077451636601,1.0883431889557338,0.026327810741331344,0.0,True,True
B136,0.0,WIDE40,40,Q16,16,2000,0.025,0.0125,1.1250146482945893,1.123981294335542,0.00040332179003065043,1.124284210462004,0.018037098786308627,0.0,True,True
B136,0.0,WIDE40,40,Q32,32,2000,0.025,0.0125,1.1354642746143437,1.1355034928725865,0.00023231287786732677,1.1351968054324981,0.010389347739198982,0.0,True,True
B136,0.0,WIDE80,80,REC1,1,80,0.0125,0.00625,1.1784199430513989,1.1794644735029707,0.0016091461237419272,1.1642572513251181,0.07196320236834475,0.015,True,True
B136,0.0,WIDE80,80,Q8,8,2000,0.0125,0.00625,1.0946490771615172,1.0945264276343227,0.0006397052840303918,1.0950130249962275,0.028608490013155335,0.0,True,True
B136,0.0,WIDE80,80,Q16,16,2000,0.0125,0.00625,1.1294233760494352,1.1294848465076854,0.00042881292639913366,1.1286940366413147,0.01917709706118154,0.0,True,True
B136,0.0,WIDE80,80,Q32,32,2000,0.0125,0.00625,1.1378240759857043,1.1376944392356958,0.00024806448743898424,1.1377666125067598,0.01109378113434423,0.0,True,True
B136,10.0,GRID18,18,REC1,1,18,0.05555555555555555,0.027777777777777776,1.1394151518864262,1.1381793772793098,0.0012777160970657406,1.1156643550566097,0.057141200979694315,0.0585,True,False
B136,10.0,GRID18,18,Q8,8,2000,0.05555555555555555,0.027777777777777776,1.054353330981798,1.0547177377668369,0.0004577760986838844,1.0534081711296404,0.02047236950263635,0.0,True,True
B136,10.0,GRID18,18,Q16,16,2000,0.05555555555555555,0.027777777777777776,1.0875228724668236,1.0879619108626948,0.00031706278270219934,1.0868760919596623,0.014179478705147245,0.0,True,True
B136,10.0,GRID18,18,Q32,32,2000,0.05555555555555555,0.027777777777777776,1.0897733455783079,1.0895371015753748,0.00021667479574263905,1.089565837074848,0.00968999144582846,0.0,True,True
B136,10.0,GRIDSHELF,20,REC1,1,19,0.05,0.025,1.1353450499806013,1.1342204916663075,0.0012958382093526185,1.1156643550566097,0.05795164647908118,0.056,True,True
B136,10.0,GRIDSHELF,20,Q8,8,2000,0.05,0.025,1.05183533516773,1.0521294460024904,0.00047706429567296856,1.0514981557596483,0.02133496389525633,0.0,True,True
B136,10.0,GRIDSHELF,20,Q16,16,2000,0.05,0.025,1.086384358593177,1.0866872516880455,0.00031795817094772426,1.086019756640027,0.014219521684812204,0.0,True,True
B136,10.0,GRIDSHELF,20,Q32,32,2000,0.05,0.025,1.0910954781702924,1.0911275599811485,0.0002199558388243191,1.091246151736573,0.0098367241531833,0.0,True,True
B136,10.0,WIDE10,10,REC1,1,10,0.1,0.05,1.1173579879844215,1.116371389642683,0.0014797707554684656,1.0974353329692366,0.06617736000687416,0.108,True,False
B136,10.0,WIDE10,10,Q8,8,2000,0.1,0.05,1.026547474753128,1.0263328112864976,0.0004787256608690761,1.0248181546950423,0.021409262405535305,0.0,True,True
B136,10.0,WIDE10,10,Q16,16,2000,0.1,0.05,1.0644054419767772,1.064325156246167,0.00032807960799749653,1.0632404054516538,0.01467216611027772,0.0,True,True
B136,10.0,WIDE10,10,Q32,32,2000,0.1,0.05,1.0696529979899991,1.0698235878535367,0.00018140853580148788,1.0693790887396637,0.008112836355016624,0.0,True,True
B136,10.0,WIDE20,20,REC1,1,20,0.05,0.025,1.1173673597693459,1.1160169395133201,0.0014613552097192794,1.1048029424254944,0.0653537917641154,0.0435,True,False
B136,10.0,WIDE20,20,Q8,8,2000,0.05,0.025,1.0296299794420145,1.0298139574376035,0.000529196877637502,1.0286752442209806,0.023666403837561856,0.0,True,True
B136,10.0,WIDE20,20,Q16,16,2000,0.05,0.025,1.065997243357962,1.0657102887429475,0.0003506590888075863,1.065388193656419,0.015681951190037974,0.0,True,True
