panel,volfilter,family,cost,arm,gross,TO,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_Calmar,IS_H1,IS_H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,pass4b_phi70,pass4b_phi00,bind,adm_S0,adm_S1,adm_S2,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
broad,False,F_CADENCE,10.0,cadence=M,0.7512965443861909,3.0641827890101796,0.12295696058626171,1.0870986363744126,-0.22475215354099942,1.1800631603143399,1.0133673743433054,0.11570410466888026,1.0737543103904716,-0.11030279526865994,1.0489680192334616,0.9239223758100888,1.2805073876455997,0.12897785214434676,1.098653011188656,-0.2247521535409993,0.22342476237866482,0.1793346825074702,0.21662908759142452,-0.02245643369664138,0.016358624084245446,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,10.0,cadence=Q,0.7541002644987885,1.8291025694945298,0.12728895134866658,1.110839213467408,-0.24274923664339787,1.2738682746153849,0.9826513455349576,0.12712832447253453,1.1736458200146862,-0.11515061370362645,1.1040177762294536,1.0558905801608638,1.330366206147492,0.12742152538972107,1.0669097480115384,-0.24274923664339776,0.3172298766797098,0.14861865369912242,0.1848858244143068,-0.04045351679903983,0.020690614846650315,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,25.0,cadence=D,0.75,6.499076061180663,0.1043041214696574,0.9697174636580479,-0.19742709626615118,1.0765244418448552,0.8756649848082032,0.10153844811176915,0.9615584605816739,-0.10661889175431649,0.952349498677455,0.7747169395116323,1.2173455436659188,0.10659171325496897,0.9762675957992958,-0.19742709626615118,0.11988604390918012,0.041632292972368035,0.0942436722020642,0.00486862357820686,-0.002294215032358868,False,True,CAGR,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,25.0,cadence=W,0.750212727056559,4.804176471053953,0.10931100688100726,1.002418282621371,-0.18745349090203722,1.1069926740602507,0.9111599598058345,0.1060657623156247,0.9934623968696469,-0.10624359770925718,0.9983261542580746,0.8110174671199447,1.2464885630130274,0.11199630421691209,1.0096448187449274,-0.18745349090203722,0.15035427612457564,0.07712726796999936,0.1276208951476958,0.014842228942320818,0.0027126703789909917,True,True,CAGR,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,25.0,cadence=M,0.7512965443861909,3.0641827890101796,0.11780583612360584,1.045991430961654,-0.22537479132447946,1.1391821957357788,0.9718674146362597,0.11077006370461939,1.0322498777288125,-0.11056393459693914,1.0018643430919105,0.8796501641567284,1.241784193132561,0.12364563588974531,1.0577946460066647,-0.22537479132447935,0.18254379780010377,0.13783472280042453,0.17577072240943314,-0.02307907148012142,0.011207499621589581,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_CADENCE,25.0,cadence=Q,0.7541002644987885,1.8291025694945298,0.12419679577503429,1.0863529468665174,-0.24274923664339787,1.2485178582410952,0.9587108748209804,0.12412271804000019,1.148288895734308,-0.115539351543265,1.0742895505478154,1.0274904723109557,1.3083379151278156,0.12425793185870093,1.043009429878405,-0.2427492366433981,0.2918794603054201,0.12467818298514521,0.16098550628117336,-0.04045351679903983,0.01759845927301802,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_N,10.0,n=5,0.7504721191721482,19.014975512603336,0.21568084984628721,0.9818308376468554,-0.2932365818139925,1.1479497841624469,0.8846996424125867,0.20645087311265264,1.0983241532950625,-0.22533125395967535,0.916210554393837,0.9462472232858501,1.2701144603877625,0.22335101641615362,0.9270523362060039,-0.29323658181399215,0.1913113862267718,0.050666950576751524,0.04502841260877233,-0.09094086196963444,0.10908251334427095,False,False,DD,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_N,10.0,n=10,0.7503947659049902,16.02603199466546,0.17496945823222698,0.9810732093801937,-0.25555784829485295,1.2739560647702308,0.779127687573526,0.19172986966989347,1.204046411455737,-0.15168073768410384,1.2640357147339136,0.9857683200338945,1.461146104364623,0.16131565788771463,0.8492344222286721,-0.25555784829485306,0.31731766683455576,-0.054905004262309154,-0.032789501368559515,-0.05326212845049491,0.06837112173021072,False,False,H2,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_N,10.0,n=20,0.7503238958047238,13.417809237211024,0.14735830244485015,0.9901852027053052,-0.2215178792968524,1.171606533296762,0.850871485739973,0.14918434312719953,1.084090080120124,-0.13097240512979058,1.1390517184086322,0.9384302305515607,1.2708425873878366,0.14585355385823795,0.9290227683653336,-0.22151787929685252,0.21496813536108694,0.016838793904137783,0.04699884476810201,-0.019222159452494364,0.04075996594283389,False,False,DD,True,True,True,0.8820239235972316,0.1545044425578177,-0.3371595330739301
broad,False,F_N,10.0,n=40,0.7502772904407481,10.261895329219394,0.13541246883387936,1.0471603673385472,-0.21068170086625726,1.1479172350527282,0.9642588621408583,0.12870412596368497,1.0459118677963402,-0.11801406102567047,1.090582976681814,0.8042898204663708,1.3617558557312777,0.14097852429876645,1.049643260611068,-0.21068170086625748,0.19127883711705318,0.13022617030502315,0.16761933701383636,-0.00838598102189922,0.0288141323318631,False,False,DD,True,False,False,0.8820239235972316,0.1545044425578177,-0.3371595330739301
