difference,panel,key,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,TO_ratio,cost_share,maj_cost,flip
CADENCE M vs W,SMALL439,M12_1_VS,5,1.0,LIT,-0.04830280835449463,0.014466357760153425,0.10845356220713101,0.00514115346808941,-0.018099022645576168,-20.89780537360575,0.42487329423672987,4.338975100390601,True,True
CADENCE D vs W,SMALL439,M12_1_VS,5,1.0,LIT,-0.05274203795927607,-0.18823813790127586,-0.3913267518869652,-0.06632620905142517,-0.020329355289611106,44.8499553865928,2.2343117678614943,0.7198121563073612,True,False
CADENCE M vs W,SMALL439,M12_1,5,1.0,LIT,-0.05360152864818202,0.0064804267464625975,0.09646010506668137,0.002321026673884008,-0.020620419300400483,-20.752049988592077,0.41655948561903006,9.271296126823888,True,True
CADENCE D vs W,SMALL439,M12_1,5,1.0,LIT,-0.0023897003771759517,-0.13460361619269767,-0.33271901565197703,-0.04883504917022452,-0.002232786067513093,44.376672264835506,2.2476429319968085,0.9822463879889016,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,LIT,-0.021864244857292714,-0.03165370453491373,-0.046412898497639965,-0.010166061754202538,-0.00965445166275214,1.2408780076868737,1.0155216307342017,0.3092674245070853,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,LIT,0.0284880927248074,0.021980817173664458,0.012194837737348252,0.007325098126998109,0.008442117559345874,0.7675948859295829,1.021580805526642,0.2960433863641524,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,LIT,0.03378681301849479,0.029966748187355285,0.02418829487779789,0.01014522492120351,0.010963514214170189,0.621839500915911,1.0419697958098488,0.12747678884796082,False,False
CADENCE M vs W,SMALL439,M12_1_VS,5,1.0,NORM,-0.050682709256153535,0.012194375777650979,0.10634500182749645,0.0043178328999831095,-0.019003357384165476,-20.935917401619218,0.42604395418760865,5.156236463455666,True,True
CADENCE D vs W,SMALL439,M12_1_VS,5,1.0,NORM,-0.07319223883444909,-0.2087660217795432,-0.4119490088819811,-0.07351094221124077,-0.027762362968703824,45.12557809018544,2.237113132842125,0.649405405101123,True,False
CADENCE M vs W,SMALL439,M12_1,5,1.0,NORM,-0.05589559027681029,0.0042929492279646375,0.09443383749972001,0.001502323082515078,-0.021519145648173588,-20.79016201660555,0.4177880247470115,14.020324096241728,True,True
CADENCE D vs W,SMALL439,M12_1,5,1.0,NORM,-0.021403118825224055,-0.1537979862371336,-0.3521660476076911,-0.05577786961626252,-0.009364336989979405,44.67557420506285,2.2511039732502245,0.8608361569037475,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,NORM,-0.02315522952465493,-0.03285782342692409,-0.047483473401329995,-0.01039993604056888,-0.009945455624291943,1.2175987710521667,1.0151471842010475,0.295290219811661,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,NORM,0.0286338904845701,0.022110212115485528,0.01229948787295998,0.00733313655440937,0.008452570354432476,0.7675948859295758,1.0214958851390479,0.2950527265414847,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,1.0,NORM,0.03384677150522686,0.03001163866517187,0.024210652200736427,0.010148646371877401,0.010968358618440588,0.6218395009159092,1.0416817149188151,0.12778818520514884,False,False
CADENCE M vs W,SMALL439,M12_1_VS,10,0.75,LIT,0.01588053520375199,0.07821178756418634,0.17145046427969662,0.018721725926529764,0.005070838389296783,-12.378711100241444,0.46268060277822004,0.7969547085122015,True,False
CADENCE D vs W,SMALL439,M12_1_VS,10,0.75,LIT,-0.0295442416382109,-0.1615018469022802,-0.3594305825466061,-0.03589835735876745,-0.008167632848752548,25.94382974574198,2.126136868993951,0.8170656112924379,True,False
CADENCE M vs W,SMALL439,M12_1,10,0.75,LIT,0.009296663717835885,0.06885747968918643,0.1579920143783099,0.01812121327055438,0.004862553739404696,-12.012853727429103,0.46068183309290406,0.8649868720173931,True,False
CADENCE D vs W,SMALL439,M12_1,10,0.75,LIT,-0.06730138057297519,-0.1997626934400345,-0.39843331419485545,-0.04463642036257309,-0.015906483727717857,27.19970921522876,2.2211334331715555,0.6630933463400764,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,LIT,0.047561715060624565,0.041662745839573745,0.0328070201302808,0.007573589659896962,0.007406221204365737,-0.4921283921083628,0.9900527591685131,0.14158858476984082,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,LIT,0.009804576125860276,0.0034018993018194443,-0.00619571151796855,-0.0011644733439086785,-0.0003326296745995716,0.7637510773784193,1.0342886744791158,1.8820888732998287,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,LIT,0.01638844761177638,0.012756207176819356,0.007262738383418177,-0.0005639606879332959,-0.000124345024707484,0.3978937045660782,1.038776163891353,0.2847429792107445,False,False
CADENCE M vs W,SMALL439,M12_1_VS,10,0.75,NORM,0.018290457390966686,0.08045927444288836,0.17343718348799214,0.018853048576070508,0.005117481709582927,-12.452245566124192,0.46321847775360003,0.772674343416437,True,False
CADENCE D vs W,SMALL439,M12_1_VS,10,0.75,NORM,-0.061923003576069835,-0.19376773629283606,-0.39149269434319406,-0.042782167143480265,-0.015096030417422801,26.211512852906893,2.129905099835237,0.6804266553308584,True,False
CADENCE M vs W,SMALL439,M12_1,10,0.75,NORM,0.011512431427519565,0.07096499273120671,0.15991931514073915,0.018252957836165207,0.004909132519040682,-12.086464294018015,0.4612507167889592,0.8377730908657305,True,False
CADENCE D vs W,SMALL439,M12_1,10,0.75,NORM,-0.09818830260316624,-0.23060216859922084,-0.4291719878241163,-0.05147258452952452,-0.02279151937662527,27.467485189950597,2.22435210146774,0.5742091100027148,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,NORM,0.045937560840538016,0.040141198333108974,0.03144424003832386,0.0075260622287849355,0.007362748311675382,-0.49229736037145244,0.9901346748294869,0.14439933903637672,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,NORM,0.009672261813441607,0.003306766026724195,-0.006235053442598337,-0.0011643551572593225,-0.00033274064752708554,0.7636749766722524,1.034040504839121,1.9249912861307905,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,0.75,NORM,0.016450287776888728,0.012801047738405846,0.007282814904654655,-0.0005642644173540212,-0.00012439145698484033,0.39789370456607465,1.0384518682629982,0.28507354343616664,False,False
CADENCE M vs W,SMALL439,M12_1_VS,10,1.0,LIT,0.01611727380158945,0.07895337932433077,0.17295080364442367,0.02645067926440281,0.007776785497705108,-16.54063632395073,0.46196159347284216,0.7958634077538129,True,False
CADENCE D vs W,SMALL439,M12_1_VS,10,1.0,LIT,-0.03101454600403819,-0.16324482239219817,-0.3615810827500911,-0.049004384344365715,-0.011496727239033833,34.63611532257387,2.12665316687148,0.8100120692984353,True,False
CADENCE M vs W,SMALL439,M12_1,10,1.0,LIT,0.008377282409265496,0.06835794734294831,0.15812245617265258,0.024915186741612194,0.006779488284808455,-16.044533753735806,0.46013549024068134,0.8774497664882022,True,False
CADENCE D vs W,SMALL439,M12_1,10,1.0,LIT,-0.06862934825082345,-0.2013580918431433,-0.40043027756702176,-0.06093098829840682,-0.022264794229237772,36.3067969947584,2.2216466655469196,0.6591676668038486,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,LIT,0.047561715060624454,0.041622494517486175,0.03270781616213177,0.01085869333184375,0.010852176918521694,-0.6477555361239666,0.9901894394786076,0.14269256593074045,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,LIT,0.009946912813839193,0.003509225066541055,-0.006141378654798912,-0.0010679106221973544,8.410992831775488e-05,1.0229261360605655,1.0344192935388818,1.8345040928490761,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,LIT,0.017686904206163145,0.014104657047923519,0.008686968816972174,0.0004675819005932613,0.0010814071412144077,0.526823565845639,1.038524511361469,0.2539761970864087,False,False
CADENCE M vs W,SMALL439,M12_1_VS,10,1.0,NORM,0.01847577890768559,0.08111205895735807,0.17479315310338578,0.026688194901379747,0.0079009681548734,-16.636751751206738,0.46253046218359156,0.7722190862224493,True,False
CADENCE D vs W,SMALL439,M12_1_VS,10,1.0,NORM,-0.0634277122151049,-0.19557918560489007,-0.39376095664350175,-0.05840048195804837,-0.021115507586042304,34.99345369479719,2.1305040590377455,0.6756929321546422,True,False
CADENCE M vs W,SMALL439,M12_1,10,1.0,NORM,0.010534392973162054,0.07037589790012933,0.15991391261267024,0.02515400981608784,0.00690316623028675,-16.14140665816183,0.4607250366212144,0.8503124892543261,True,False
CADENCE D vs W,SMALL439,M12_1,10,1.0,NORM,-0.09955862715520614,-0.23226897140663672,-0.43128281370898686,-0.07023354210443444,-0.03179692487973873,36.663904127795675,2.2249196104506006,0.5713649285469673,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,NORM,0.04593756084053813,0.04010262667324904,0.0313494400524967,0.010766371952779075,0.010765560324297763,-0.648281774107943,0.9902653942578213,0.14550004953120318,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,NORM,0.009806645900436894,0.0034128408715023983,-0.006172417012988429,-0.0010666881936070016,8.414303060133577e-05,1.0221686588905463,1.0341500575361202,1.8734553615796976,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,10,1.0,NORM,0.01774803183496043,0.014149001928731142,0.00870682347772711,0.00046749689168490427,0.0010819449551879856,0.5268235658456408,1.0382025417746632,0.2543663450155487,False,False
