panel,eps,conv,n_tied,pick_N,pick_cad,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,full_Sharpe,full_CAGR,full_MaxDD,H1,H2,keep4a,keep4b,oos4b,strict4b
SMALL,0.0,O_HOLD,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,1e-12,O_1199,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-12,O_BUILD,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-12,O_IDXMAX,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-12,O_LAST,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,1e-12,O_HOLD,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,1e-06,O_1199,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-06,O_BUILD,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-06,O_IDXMAX,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,1e-06,O_LAST,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,1e-06,O_HOLD,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,0.001,O_1199,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.001,O_BUILD,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.001,O_IDXMAX,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.001,O_LAST,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
SMALL,0.001,O_HOLD,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
