panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
SMALL439,0.05,skip,10,RS16,0.9367816091954023,-0.46383905998962277,0.46383905998962277,-0.4638390599896227,False,False,False,1.7970660931548317e-16,1.0,False,False
SMALL439,0.05,skip,10,RS2,0.9367816091954023,-0.46383905998962277,0.2704323410518744,-0.012705390946210024,True,True,False,630.9303044091189,0.9409202453987732,False,False
SMALL439,0.05,skip,10,RS4,0.9367816091954023,-0.46383905998962277,0.19946902216035967,-0.07999073646284548,True,True,False,513.7491587236569,0.9492024539877301,False,False
SMALL439,0.05,skip,10,RS8,0.9367816091954023,-0.46383905998962277,0.22719992729674846,-0.06841203895287944,True,True,False,359.2476813163724,0.9674233128834357,False,False
SMALL439,0.05,skip,25,ROT,0.9367816091954023,-0.28301102592941946,0.2517316507518498,-0.0035631545456470876,True,True,False,298.7860501098346,0.9336809815950919,False,False
SMALL439,0.05,skip,25,RS1,0.9367816091954023,-0.28301102592941946,0.3745515092958427,0.18590158149627994,False,True,False,700.3421289026428,0.9367484662576688,False,False
SMALL439,0.05,skip,25,RS16,0.9367816091954023,-0.28301102592941946,0.28301102592941946,-0.2830110259294195,False,False,False,1.7970660931548317e-16,1.0,False,False
SMALL439,0.05,skip,25,RS2,0.9367816091954023,-0.28301102592941946,0.316781578805179,0.1430415214245225,False,True,False,630.9303044091189,0.9409202453987732,False,False
SMALL439,0.05,skip,25,RS4,0.9367816091954023,-0.28301102592941946,0.14743644670018718,0.07915197720595216,True,True,False,513.7491587236569,0.9492024539877301,False,False
SMALL439,0.05,skip,25,RS8,0.9367816091954023,-0.28301102592941946,0.23184770692052992,0.09681029618272871,True,True,False,359.2476813163724,0.9674233128834357,False,False
SMALL439,0.1,half,10,ROT,0.9264367816091954,0.04214087965251262,0.06768091709883389,0.04278909805048681,False,False,False,0.037999152177988084,0.9232009925558314,False,False
SMALL439,0.1,half,10,RS1,0.9264367816091954,0.04214087965251262,0.07526309061783848,0.042889670774717226,False,False,False,0.04410976938147178,0.9264267990074441,False,False
SMALL439,0.1,half,10,RS16,0.9264367816091954,0.04214087965251262,0.050164193787786526,0.04527112833018071,False,False,False,0.0005340130896168949,0.9902605459057071,False,False
SMALL439,0.1,half,10,RS2,0.9264367816091954,0.04214087965251262,0.06417058157662164,0.04397810575014307,False,False,False,0.031799460697008584,0.9324441687344912,False,False
SMALL439,0.1,half,10,RS4,0.9264367816091954,0.04214087965251262,0.05583310568094452,0.04551162719108248,False,False,False,0.02207982310696246,0.9437344913151365,False,False
SMALL439,0.1,half,10,RS8,0.9264367816091954,0.04214087965251262,0.05368984462894716,0.04430890701708469,False,False,False,0.01137399187258731,0.9662531017369729,False,False
SMALL439,0.1,half,25,ROT,0.9264367816091954,0.10266685305748618,0.12458543833583224,0.09876626104336783,False,False,False,0.037999152177988084,0.9232009925558314,False,False
SMALL439,0.1,half,25,RS1,0.9264367816091954,0.10266685305748618,0.13023401633226822,0.09829092115128049,False,False,False,0.04410976938147178,0.9264267990074441,False,False
SMALL439,0.1,half,25,RS16,0.9264367816091954,0.10266685305748618,0.11063225515523972,0.10569476151108823,False,False,False,0.0005340130896168949,0.9902605459057071,False,False
SMALL439,0.1,half,25,RS2,0.9264367816091954,0.10266685305748618,0.12092009414907329,0.10094223897526466,False,False,False,0.031799460697008584,0.9324441687344912,False,False
SMALL439,0.1,half,25,RS4,0.9264367816091954,0.10266685305748618,0.11392054606721297,0.10355818168900832,False,False,False,0.02207982310696246,0.9437344913151365,False,False
SMALL439,0.1,half,25,RS8,0.9264367816091954,0.10266685305748618,0.11286816987629394,0.1034724615389369,False,False,False,0.01137399187258731,0.9662531017369729,False,False
SMALL439,0.1,skip,10,ROT,0.9264367816091954,-0.018162807411138182,0.2621351473367726,-0.020005144253875094,False,False,False,2.1377645855635268,0.9232009925558314,False,False
SMALL439,0.1,skip,10,RS1,0.9264367816091954,-0.018162807411138182,0.31641016082714296,0.03185998303275249,False,False,False,4.483672772289294,0.9258684863523573,False,False
SMALL439,0.1,skip,10,RS16,0.9264367816091954,-0.018162807411138182,0.2890214062159352,-0.130760659625335,False,False,False,0.012401460317899515,0.990818858560794,False,False
SMALL439,0.1,skip,10,RS2,0.9264367816091954,-0.018162807411138182,0.22149898281581232,-0.08887615771381208,False,False,False,3.8043754175109563,0.9325062034739453,False,False
SMALL439,0.1,skip,10,RS4,0.9264367816091954,-0.018162807411138182,0.24295438586605936,-0.08130920662996292,False,False,False,3.1033947402766744,0.9435483870967742,False,False
SMALL439,0.1,skip,10,RS8,0.9264367816091954,-0.018162807411138182,0.24531729138089423,-0.07150791118816703,False,False,False,1.8342619415448957,0.9674317617866006,False,False
SMALL439,0.1,skip,25,ROT,0.9264367816091954,0.15630113828628617,0.4258964008263817,0.14297705134405478,False,False,False,2.1377645855635268,0.9232009925558314,False,False
SMALL439,0.1,skip,25,RS1,0.9264367816091954,0.15630113828628617,0.36494985692240445,0.18150800044767773,False,False,False,4.483672772289294,0.9258684863523573,False,False
