panel,k,phase,turnover_yr,cut,CAGR,dCAGR,Sharpe,MaxDD,OOS_Sharpe,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,6,4,2.115344975819966,0.39671592899000685,0.1165162322128166,0.00028669821978799526,1.1890890886932686,-0.20079709150854896,1.2378632224130481,False,True,True,True,True,True,True
U56,6,5,2.0606823097014453,0.41230540310661445,0.12193239764668928,0.005702863653660684,1.249337491715736,-0.1798289647539697,1.323607427284002,False,True,True,True,True,True,True
U56,13,0,1.4639135583608773,0.5825003764445845,0.12513642589026275,0.008906891897234148,1.2680011621385223,-0.17656608315379807,1.322197017728829,False,True,True,True,True,True,True
U56,13,1,1.5721807776890269,0.5516231958523743,0.1114375630333162,-0.004791970959712399,1.1322486521260353,-0.20908402543338755,1.1352946027095678,False,False,True,True,True,False,True
U56,13,2,1.5735831113944374,0.5512232584443462,0.1210509348190294,0.004821400826000799,1.1959088815853138,-0.21099821020731957,1.1977453841998749,False,False,True,True,True,False,True
U56,13,3,1.5661962687913673,0.5533299429466045,0.11259532969693264,-0.0036342042960959553,1.1168532806789713,-0.21294489870206967,1.0663495903522124,False,False,True,True,True,False,True
U56,13,4,1.5890022593598898,0.5468258072189272,0.11387797058238869,-0.002351563410639912,1.1397425900363618,-0.2121322363657998,1.1064076682272794,False,False,True,True,True,False,True
U56,13,5,1.4791738758177126,0.5781482227554702,0.11533806746835396,-0.0008914665246746445,1.1271599349509767,-0.2103115789993939,1.1204363021137949,False,False,True,True,True,False,True
U56,13,6,1.4877705226820879,0.5756965091216855,0.11323717602301886,-0.0029923579700097402,1.1287795040642334,-0.20728268054518795,1.1481431265028572,False,False,True,True,True,False,True
U56,13,7,1.4894954863889218,0.575204559515688,0.11675570771025079,0.0005261737172221892,1.1531513653544894,-0.2053031512927579,1.2006030360316242,False,False,True,True,True,False,True
U56,13,8,1.499109929519256,0.5724625763127291,0.1182359543438325,0.0020064203508038947,1.1625894723783878,-0.20213117762285038,1.234979650514721,False,True,True,True,True,True,True
U56,13,9,1.5049701345290993,0.570791279963574,0.11897413819783154,0.002744604204802936,1.1755260121674018,-0.2001846775572651,1.2232709084634703,False,True,True,True,True,True,True
U56,13,10,1.4243386371418605,0.5937869135606659,0.12292046496260833,0.006690930969579734,1.196618478613035,-0.2016339808685612,1.2879750453235501,False,True,True,True,True,True,True
U56,13,11,1.4170647989881608,0.5958613698519055,0.13087420213760925,0.014644668144580653,1.287679926493164,-0.1841006040556461,1.4167770060468337,False,True,True,True,True,True,True
