pool,lam,subset,n,MAE,RMSE,bias,maxAE,R2_vs_zero
CELL,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
CELL,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
CELL,0.25,ALL,162,0.22589983548212497,0.3550195137211711,0.13548162978437747,1.2436623157216453,0.3377511023568879
CELL,0.25,MA-THRESH,81,0.3782183410173953,0.49540732542076,0.3433796807459038,1.2436623157216453,0.3509431424846362
CELL,0.25,QUANTILE,81,0.07358132994685458,0.08154319202166915,-0.07241642117714882,0.15305819768069334,-1.6511456935188704
CELL,0.25,panel:SMALL439,54,0.30810521379732775,0.44704821568955966,0.1948139957420605,1.2436623157216453,0.21824420746442308
CELL,0.25,panel:U56,54,0.1437170709065273,0.23045071759320515,0.05616919395467436,0.9955450394288254,0.5019940299808838
CELL,0.25,panel:B136,54,0.2258772217425199,0.3537752464178467,0.1554616996563977,0.9335146682201267,0.40022419733428993
CELL,0.5,ALL,162,0.2122409371396507,0.3427999716310404,0.13548162978437747,1.1364985598941397,0.3825548990936134
CELL,0.5,MA-THRESH,81,0.37061992444556047,0.4809554477175052,0.32175894093937724,1.1364985598941397,0.3882589964344255
CELL,0.5,QUANTILE,81,0.05386194983374103,0.06087280518703194,-0.05079568137062217,0.1309724534996996,-0.47742284617122377
CELL,0.5,panel:SMALL439,54,0.3110455445739851,0.4533809602359054,0.21861633042944129,1.1364985598941397,0.19593912133802294
CELL,0.5,panel:U56,54,0.12787932967867913,0.20475499633141342,0.04291829926572305,0.7255635977346355,0.6068598170252179
CELL,0.5,panel:B136,54,0.1977979371662879,0.32412429409659743,0.144910259657968,0.8803013673582833,0.4965489810093704
CELL,0.75,ALL,162,0.20651862784978123,0.3424533591293171,0.13548162978437747,1.1062254670883958,0.3838028921601484
CELL,0.75,MA-THRESH,81,0.3777633108003532,0.4824518152433461,0.30013820113285045,1.1062254670883958,0.3844465295041104
CELL,0.75,QUANTILE,81,0.03527394489920925,0.04229482623567933,-0.029174941564095534,0.1088867093187059,0.28676496332461565
CELL,0.75,panel:SMALL439,54,0.3143631306798792,0.4654936865102378,0.24241866511682245,1.1062254670883958,0.1524019160019474
