scope,centre,n,mean_d,win
drop:SLEEVE+,0.875,128,0.005894858655178489,0.5703125
drop:SLEEVE+,0.9,122,0.005716750368517932,0.5491803278688525
drop:SLEEVE+,0.925,203,0.0026839683593965036,0.2955665024630542
drop:SLEEVE+,0.95,194,0.0018113118423831265,0.26288659793814434
drop:SLEEVE+,0.975,164,0.0009470871875416442,0.17073170731707318
drop:SLEEVE+,1.0,158,0.0009895566774358571,0.1518987341772152
dial-demeaned,0.2,27,-0.003655962052131778,0.4444444444444444
dial-demeaned,0.225,34,-0.003765346973487496,0.4411764705882353
dial-demeaned,0.25,45,-0.001586359737985937,0.4888888888888889
dial-demeaned,0.275,72,-0.0026928748549486727,0.5277777777777778
dial-demeaned,0.3,92,-0.006581491615337846,0.45652173913043476
dial-demeaned,0.325,105,-0.006770183815206528,0.45714285714285713
dial-demeaned,0.35,115,-0.005237882294991169,0.45217391304347826
dial-demeaned,0.375,122,-0.004955028031659505,0.45901639344262296
dial-demeaned,0.4,126,-0.0038970599499481584,0.47619047619047616
dial-demeaned,0.425,115,-0.002931573250883958,0.4434782608695652
dial-demeaned,0.45,106,0.0025524088624287572,0.5094339622641509
dial-demeaned,0.475,91,0.004948969394422873,0.5714285714285714
dial-demeaned,0.5,80,0.0055401898482249235,0.6125
dial-demeaned,0.525,75,0.008447070297001976,0.6133333333333333
dial-demeaned,0.55,68,0.008667496564897481,0.5882352941176471
dial-demeaned,0.575,72,0.010972961887921628,0.6805555555555556
dial-demeaned,0.6,54,0.012125902647969984,0.7222222222222222
dial-demeaned,0.625,63,0.014910431840129131,0.6349206349206349
dial-demeaned,0.65,59,0.016502375497767372,0.6779661016949152
dial-demeaned,0.675,72,0.012279076529124742,0.6666666666666666
dial-demeaned,0.7,72,0.011589718402664932,0.6527777777777778
dial-demeaned,0.725,53,0.009909160693479045,0.5849056603773585
dial-demeaned,0.75,80,0.0061966936535957,0.575
dial-demeaned,0.775,75,0.001924880514939105,0.52
dial-demeaned,0.8,101,0.0003581337984823463,0.46534653465346537
dial-demeaned,0.825,108,0.0002560675691642379,0.49074074074074076
dial-demeaned,0.85,92,-0.000319009028653943,0.5
dial-demeaned,0.875,132,-0.0019365453238308946,0.32575757575757575
dial-demeaned,0.9,123,-0.0023716418912033224,0.2601626016260163
dial-demeaned,0.925,209,-0.003947280711462431,0.24880382775119617
dial-demeaned,0.95,200,-0.004073976568134871,0.24
dial-demeaned,0.975,169,-0.00449152060782071,0.1834319526627219
dial-demeaned,1.0,163,-0.004602230950124048,0.17177914110429449
standardised,0.2,27,-0.00020455948870834375,
standardised,0.225,34,0.0005647165008499789,
standardised,0.25,45,0.002067844687960828,
standardised,0.275,72,-0.00040641718801151354,
standardised,0.3,92,-0.003305168611809924,
standardised,0.325,105,-0.003751505670614136,
standardised,0.35,115,-0.0021199360180210406,
standardised,0.375,122,-0.0019480443694626934,
standardised,0.4,126,0.0005521990959521704,
standardised,0.425,115,0.0006514616181209013,
standardised,0.45,106,0.003937208375904837,
standardised,0.475,91,0.0060091208766758384,
standardised,0.5,80,0.007720436980223915,
standardised,0.525,75,0.02034864235663781,
standardised,0.55,68,0.01873814400724178,
standardised,0.575,72,0.016994597917960257,
standardised,0.6,54,0.015207549227289154,
standardised,0.625,63,0.01746654071702175,
standardised,0.65,59,0.021178022197744898,
standardised,0.675,72,0.02078511721122425,
standardised,0.7,72,0.02050643039322993,
standardised,0.725,53,0.023786232824072186,
standardised,0.75,80,0.01671160980616403,
standardised,0.775,75,0.006424903247146539,
standardised,0.8,101,0.004948253988300338,
standardised,0.825,108,0.00476141167741257,
standardised,0.85,92,0.0043334294225651025,
standardised,0.875,132,0.0032170330720227543,
standardised,0.9,123,0.004425434422740279,
standardised,0.925,209,0.0017508577495495843,
standardised,0.95,200,0.001282906148379813,
standardised,0.975,169,0.0007385788071562105,
standardised,1.0,163,0.0007872927021271075,
