panel,book,g,levered,CAGR,Vol,Sharpe,MaxDD,H1,H2,lam,s,v,rho,IS_CAGR,IS_Vol,IS_Sharpe,IS_MaxDD,IS_lam,OOS_CAGR,OOS_Vol,OOS_Sharpe,OOS_MaxDD,OOS_lam,f4b,f4a,pass4b,pass4a
u56,V1,1.1,True,0.09166811887690418,0.1477942690440474,0.6676472155615101,-0.19983933182773994,0.6416925013448983,0.6930871250599896,1.3521453377071166,0.7509842308443081,0.8342112204969816,0.7104818459803748,0.0698308940347998,0.1394390424197135,0.5539473470483317,-0.18910952574546935,1.3562164689588658,0.11002452299578258,0.1543687823565147,0.7537895119700896,-0.19983933182773994,1.2945579331332098,"H1,H2,OOS,CAGR",DD,False,False
u56,V1,1.2,True,0.09911198060195825,0.1612526284056726,0.6670407697113799,-0.21707354113403143,0.6418156283681976,0.6918397708261105,1.3461705603205856,0.750302087251564,0.9101756977501712,0.7073424121129307,0.07540217678254635,0.15215462266688168,0.5540116323816392,-0.20533715961842713,1.3495295510539969,0.11907161128252719,0.1684124611681367,0.7526925262693521,-0.21707354113403166,1.2889399016460756,"H1,H2,OOS,DD,CAGR",DD,False,False
u56,V1,1.3,True,0.1063822097565914,0.17471639721082383,0.6664006720717645,-0.2341480296424473,0.6419049992575219,0.6905586234531653,1.3401605881324894,0.7495820913879587,0.9861707081120886,0.7041844852130531,0.0808256475913669,0.16487795623919688,0.5540424215670571,-0.22139771818067044,1.3427975651243362,0.12792717467803127,0.18245982792252996,0.7515613243883025,-0.2341480296424472,1.283285380176196,"H1,H2,OOS,DD,CAGR",DD,False,False
u56,V1,1.4,True,0.11347298952538964,0.18818593074198914,0.6657273831171556,-0.25106453971238185,0.6419643843343957,0.6892412480506418,1.3341302334476957,0.7488247612052998,1.0621982569422102,0.7010158483743284,0.08609822978405868,0.17760939151723265,0.5540456270723767,-0.23729452282554475,1.3360471583087492,0.13658280778127851,0.19651124411239898,0.7503923533636616,-0.25106453971238196,1.2776090286659627,"H1,H2,OOS,DD",DD,False,False
u56,V1,1.5,True,0.12037900396928602,0.20166160930203947,0.6650233716908036,-0.26781958845283405,0.6419997588138344,0.6878870796900144,1.3280643221075668,0.7480328737126216,1.1382604908252727,0.6978285283678887,0.09121698369704312,0.19034920505001401,0.5540262688315039,-0.2530241779315754,1.3292631186197683,0.1450309064466735,0.2105671682429377,0.7491861747914673,-0.2678195884528345,1.2718962347626908,"H1,H2,OOS,DD",DD,False,False
u56,V1,1.6,True,0.12709538649173813,0.21514384031419767,0.664292201017398,-0.28441341508018714,0.6420149982041835,0.6864994400577773,1.3219686636848522,0.7472104369032034,1.2143597094243563,0.694625577821182,0.09617865241976187,0.20309767112897786,0.5539865469290652,-0.2685844275450514,1.3224397210073668,0.1532649710135261,0.22462810738716807,0.7479473584452568,-0.284413415080187,1.266152390225918,"H1,H2,OOS,DD","H2,DD",False,False
u56,V1,1.7,True,0.13361735644264594,0.2286330344261196,0.6635367880260118,-0.3008437886957118,0.642009584079779,0.6850842546630752,1.3158369237885716,0.74636073180284,1.2904982306025583,0.6914036683421547,0.1009794378906903,0.21585511663576512,0.5539256674656111,-0.2839724860433155,1.3155698621797876,0.16127913096975566,0.23869453462842663,0.7466816063855782,-0.30084378869571127,1.260371500185506,"H1,H2,OOS,DD","H2,DD",False,False
u56,V1,1.8,True,0.1399407591718398,0.24212962973329327,0.6627614834079568,-0.3171096002513416,0.6419867523239308,0.68364688232735,1.3096687117584043,0.7454886521645383,1.3666785271497515,0.6881625946591858,0.10561668816972247,0.22862180951519037,0.5538475696027686,-0.2991878627249718,1.3086584493378912,0.16906769070830285,0.25276701546764596,0.7453935601738104,-0.3171096002513416,1.2545529315391686,"H1,H2,OOS,DD","H2,DD",False,False
u56,V1,1.9,True,0.14606116453762374,0.2556340449433664,0.66196862621953,-0.3332110635544828,0.6419511882982132,0.6821876309690159,1.303469041568008,0.7445968290101209,1.442902962422919,0.6849049913538995,0.11008827276906841,0.241398092146039,0.5537570545752605,-0.3142284467058203,1.3017022790541402,0.1766239809755623,0.26684602660325984,0.7440837398841671,-0.3332110635544827,1.2487016119220422,"H1,H2,OOS,DD","H2,DD",False,False
u56,V1,2.0,True,0.15197375530490254,0.26914670923590545,0.6611586595780027,-0.34914706781163896,0.6419036909638316,0.6807066429472687,1.2972369931731682,0.743685760767613,1.519173958886831,0.6816303749910512,0.1143912014424684,0.2541842918883399,0.5536547756975505,-0.3290929000266667,1.2947019565285853,0.18394135279170576,0.28093207392709507,0.7427524359278626,-0.34914706781163907,1.2428166813813026,"H1,H2,OOS,DD","H2,DD",False,False
