panel,family,form,decile,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,mean_names,keep4a,keep4b,fail4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
SMALL663,volQ,MA-DG,10,0.06046856793479738,0.6341678415438989,-0.2346785381034503,0.34314562000056525,0.847561357056659,0.055572540719385125,0.0012613056982779813,0.09870679961983408,0.8996037639006867,-0.19207465416771763,10.063108904166581,53.58278313864906,False,False,"H1,DD,CAGR",False,True,True,False,False
SMALL663,momQ,MA-RS,1,0.06741114162525319,0.36491612184141725,-0.7479517821884549,0.06291210387502737,0.5809023720347306,-0.02327991796562492,-0.041641991610495976,0.14074960766858768,0.5526197539917025,-0.7479517821884551,32.912669197084234,51.038598273235145,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,2,-0.015019300035503003,0.051669988935955244,-0.6803260082099852,-0.09746806382313296,0.15421482243340312,-0.09407872948072979,-0.03770493227404925,-0.0007659507192218085,0.12280532279193339,-0.6354938946915594,41.7318740656397,51.49822244794312,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,3,-0.030439602641680774,-0.06306933123573959,-0.6789000557457668,0.18342361263863569,-0.21470209223741007,0.14783373483082737,0.01101312717766234,-0.055147160176258314,-0.15639854917131155,-0.6789000557457675,45.815788035203234,51.45784662265109,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,4,-0.006595797921831847,0.057203005318742735,-0.5697019036444007,-0.05754100683722576,0.12010290546969371,-0.035581579073280196,-0.012804949417591471,-0.0027478829851241837,0.09341059552234765,-0.5541007927794859,47.463034870995514,51.47054342305739,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,5,0.01262399444357687,0.15888058723875306,-0.32703761365616346,0.202830765288356,0.13916229853390938,0.25552817161742036,0.022757390759192697,0.006426000100964169,0.12019082410958497,-0.32703761365616346,47.40754793045225,51.61122397155917,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,6,-0.0004197905312092187,0.0694294177231964,-0.5049664901588562,0.29720880089109936,-0.06104508681005595,0.3487812465955341,0.03221503964291483,-0.020025596675542157,-0.043033779960162166,-0.5049664901588558,46.668272084549244,51.33798882681564,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,7,0.03044378659370195,0.289916481264837,-0.4127683117850749,0.31002706689252985,0.2904351352445693,0.33313792476585935,0.029515755440030267,0.031016413151195188,0.27783915224388045,-0.4127683117850749,43.703761166536395,51.37836465210767,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,8,0.0187215814437256,0.2011937503401716,-0.4562769985640901,0.2873995221902037,0.16050703105661315,0.3289381521008821,0.029987710406446322,0.011836561970110626,0.15400729128111423,-0.456276998564091,38.37203587747057,51.55002539360081,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,momQ,MA-RS,9,0.05006965525103735,0.41067767620382645,-0.37204497913492784,0.34475995332531467,0.46779072770818386,0.24804101332419282,0.022686144430654087,0.06731809017928492,0.4914063801400414,-0.3720449791349283,29.783617761629927,51.4060436769934,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
