cell,panel,arm,book,n_bars,observed,N_IID,N_BLOCK,phi_L63,denom,iid_seed_spread,block_seed_spread,se_iid,se_block,phi_seed_min,phi_seed_max,phi_seed_spread,CAGR,Sharpe,MaxDD,band_lo_0.8,band_hi_0.8,band_width_0.8,band_lo_spread_0.8,band_hi_spread_0.8,band_lo_0.9,band_hi_0.9,band_width_0.9,band_lo_spread_0.9,band_hi_spread_0.9,band_lo_0.95,band_hi_0.95,band_width_0.95,band_lo_spread_0.95,band_hi_spread_0.95,bar_R_1164,phi_est_R_1164,band_bar_R_1164,band_est_R_1164,bar_R_STRICT,phi_est_R_STRICT,band_bar_R_STRICT,band_est_R_STRICT,bar_R_LOOSE,phi_est_R_LOOSE,band_bar_R_LOOSE,band_est_R_LOOSE,bar_R_TSTAT,phi_est_R_TSTAT,band_bar_R_TSTAT,band_est_R_TSTAT
B136/N5/H252/W,B136,POP,N5/H252/W,4443,26.122084031553523,30.85871522916167,26.282409475841902,0.9661520102368666,-4.736631197608148,0.8657521948484934,0.2851538596257477,0.2902683718524628,0.1511305778823715,0.93159949438255,0.9846820056495394,0.053082511266989485,0.20093847226968897,1.0686974395970021,-0.26122084031553494,21.83341374871893,34.28386623431541,12.450452485596482,0.6450572013675071,0.5318160652608697,20.270526639552063,36.742876876982564,16.4723502374305,0.6795301793772879,0.6022393394991994,18.95315609147499,40.27529797594231,21.322141884467317,0.6027662815066712,1.3981674455257291,2.5972565845454803,True,2.0385905381318636,True,4.328760974242467,True,3.3976508968864394,True,0.8657521948484934,True,0.6795301793772879,True,0.5805367437049256,True,0.5805367437049256,True
B136/N5/H252/M,B136,POP,N5/H252/M,4443,26.178485973312878,30.523769780586868,27.654917647649036,0.6602220384628004,-4.34528380727399,0.9285380148246887,0.8677304386195601,0.3416782189664005,0.21119894190148614,0.6602220384628004,0.8151341655208265,0.15491212705802615,0.18646169884350328,1.0241087578878028,-0.2617848597331286,22.385140653823917,35.36911855398658,12.983977900162664,0.7867517996146773,0.5135107235216836,20.40425820556038,37.498848864462786,17.094590658902405,0.4207805750804283,1.0782396496805475,19.25703138483182,40.36003624801375,21.10300486318193,0.3290021231272888,1.5106917470628076,2.785614044474066,True,3.2347189490416426,True,4.642690074123443,False,5.391198248402738,True,0.9285380148246887,True,1.0782396496805475,True,0.683356437932801,True,0.683356437932801,True
B136/N10/H63/W,B136,POP,N10/H63/W,4443,28.15890183683046,28.677141775276915,28.158901836830402,1.0000000000001097,-0.518239938446456,0.450189024572758,3.552713678800501e-15,0.20495656183406297,3.552713678800501e-15,1.0000000000000622,1.0000000000001228,6.061817714453355e-14,0.20763352445123573,1.1465914539764797,-0.2815890183683041,18.661856620707884,33.263073356864616,14.601216736156733,0.5827407250777412,1.011586669598195,16.838302213050017,36.317399119476114,19.479096906426097,1.4184051282745784,1.3385233261953005,15.879451079955995,38.54597435736281,22.666523277406814,1.0620587853383174,1.0184296166170625,1.350567073718274,False,4.255215384823735,True,2.25094512286379,False,7.092025641372892,True,0.450189024572758,True,1.4184051282745784,True,0.40991312366812593,True,0.40991312366812593,True
B136/N10/H63/M,B136,POP,N10/H63/M,4443,28.45034306480202,31.99246355233521,28.450343064802,1.000000000000006,-3.5421204875331895,0.6303443591183466,3.552713678800501e-15,0.26403417427019704,1.0658141036401503e-14,1.0000000000000053,1.0000000000000062,8.881784197001252e-16,0.14711162867616112,0.8726808050004009,-0.28450343064801953,20.317793431611843,35.60849569752712,15.290702265915275,0.6015939848743059,0.2841021058976807,19.067287223147083,38.50578321471078,19.4384959915637,1.0416416925318899,1.0125087931070595,17.471492572414984,41.181105580450904,23.70961300803592,0.8118958186158309,0.27160391888632773,1.89103307735504,True,3.1249250775956696,True,3.151721795591733,True,5.208208462659449,True,0.6303443591183466,True,1.0416416925318899,True,0.5280683485403941,True,0.5280683485403941,True
B136/N10/H126/W,B136,POP,N10/H126/W,4443,20.203288162979305,29.551443286802215,24.659383999655027,0.5233181544752319,-9.34815512382291,0.6006108089281597,0.30804569019972305,0.30703393429687686,0.23771697493613786,0.486788911366664,0.5389782122488571,0.05218930088219309,0.18094572346347748,1.0436862417648118,-0.2020328816297925,19.433469667339587,32.36158658659859,12.928116919259004,0.01934051317440577,0.8730040678596964,18.921791495305985,34.50861446718142,15.586822971875431,0.03249580021461895,0.5952125310208345,18.62443590327923,37.260648192820845,18.636212289541614,0.3433463101877514,0.8250461356119843,1.801832426784479,True,1.7856375930625035,True,3.0030540446407983,True,2.9760626551041724,True,0.6006108089281597,True,0.5952125310208345,True,0.6140678685937537,True,0.6140678685937537,True
B136/N10/H126/M,B136,POP,N10/H126/M,4443,28.45034306480202,29.657744472975033,28.450343064802,1.0000000000000178,-1.2074014081730127,0.6220218937258757,1.4210854715202004e-14,0.29755593798990176,7.105427357601002e-15,1.0000000000000178,1.0000000000000364,1.865174681370263e-14,0.19121062866990912,1.0789576175184745,-0.28450343064801986,20.527559712389614,34.81863309624942,14.291073383859807,0.6079943816935867,1.030207094182316,19.5289141244934,37.938966520802104,18.410052396308703,8.881784197001252e-14,1.1789736618127478,17.422536773354636,40.88855321748086,23.466016444126225,0.9624854468347657,0.7551097028508096,1.866065681177627,False,3.5369209854382433,True,3.1101094686293784,False,5.894868309063739,True,0.6220218937258757,True,1.1789736618127478,True,0.5951118759798035,True,0.5951118759798035,True
B136/N10/H252/W,B136,POP,N10/H252/W,4443,25.91829634412996,28.76919215373252,25.91829634412999,0.99999999999999,-2.8508958096025587,0.4042718967620793,0.039580043809451126,0.1654879591116174,0.010150604124939733,0.9857249970568928,0.999999999999994,0.014275002943101245,0.1661679358217556,1.0010173729831724,-0.2591829634413001,19.064505659915127,33.18109837723603,14.116592717320906,0.9510733682412358,1.4003990437487843,17.411486847045843,35.83877907874397,18.427292231698125,0.854325418083544,1.42539612951812,16.237047120281506,38.31855721025218,22.081510089970674,0.7701478101913324,2.4347964425963227,1.212815690286238,True,4.27618838855436,True,2.0213594838103965,True,7.1269806475905995,True,0.4042718967620793,True,1.42539612951812,True,0.3309759182232348,True,0.3309759182232348,True
B136/N10/H252/M,B136,POP,N10/H252/M,4443,26.80308333632067,31.139065367034878,28.04490206375834,0.7136015051166805,-4.335982030714206,0.7108440859810656,0.3704753723717289,0.3184854876269245,0.22482183761147034,0.7068818883568614,0.7963246856301665,0.08944279727330506,0.123804913372207,0.7958257904291622,-0.268030833363207,21.201206032784533,37.26999077936202,16.068784746577485,0.6143543314144679,0.8134914370649753,19.860609915145343,39.96389524295375,20.103285327808404,0.18443683676163047,1.0359597001478988,19.108784689971664,42.11040079469332,23.001616104721656,1.1191706695019867,1.560257243220775,2.132532257943197,True,3.1078791004436965,True,3.554220429905328,True,5.179798500739494,True,0.7108440859810656,True,1.0359597001478988,True,0.636970975253849,True,0.636970975253849,True
B136/N20/H63/W,B136,POP,N20/H63/W,4443,28.694818362899372,26.344847643587308,28.694818362899337,0.9999999999999849,2.349970719312065,0.6772119334034414,0.0,0.25090119129044197,0.09153397861952328,0.999999999999982,0.9999999999999866,4.551914400963142e-15,0.1695140686096932,1.0823369425839768,-0.28694818362899377,16.93099103779654,33.04134760151611,16.110356563719566,1.0552835084521384,0.8242899579090022,15.471864304431076,35.59984099611891,20.12797669168783,0.708074671367033,1.1069596166592035,15.043877856446022,37.71490323136362,22.671025374917598,0.40480066748752286,1.9948607817045314,2.0316358002103243,True,3.3208788499776105,True,3.386059667017207,False,5.5347980832960175,True,0.6772119334034414,True,1.1069596166592035,True,0.5018023825808839,True,0.5018023825808839,True
B136/N20/H63/M,B136,POP,N20/H63/M,4443,27.33543500562533,27.412797293791428,27.33543500562532,1.0000000000001377,-0.07736228816609625,0.5614532635441165,3.552713678800501e-14,0.28761405819039254,0.0,0.9999999999998938,1.0000000000001377,2.439159985101469e-13,0.15771609622309146,1.0193740994284537,-0.2733543500562535,17.538922748814525,32.809290006215086,15.270367257400562,0.457648867051077,0.7461356677452216,16.31859397532632,35.855719319242766,19.537125343916447,0.4414570124180024,0.776370574274118,15.833572341179504,38.42915797061234,22.595585629432833,1.0664128909604056,1.0531154886874035,1.6843597906323495,False,2.329111722822354,True,2.8072663177205825,False,3.88185287137059,True,0.5614532635441165,False,0.776370574274118,True,0.5752281163807851,False,0.5752281163807851,True
B136/N20/H126/W,B136,POP,N20/H126/W,4443,20.74030226784948,25.71726167223377,22.946004584681702,0.5568172979491894,-4.976959404384292,0.2653074363388548,0.6616163464437612,0.27665793419157403,0.19617424389067217,0.5568172979491894,0.696518928854648,0.1397016309054585,0.16040704123612182,1.063431890092473,-0.20740302267849497,18.17429218033618,29.940146421938742,11.765854241602561,0.5907948054745695,0.7960386618307389,17.307229473216278,32.50510434534676,15.19787487213048,0.5644259159206086,1.342886973672904,15.441779854031399,34.407847010687156,18.966067156655757,0.4434774296629467,1.5271803313085002,1.9848490393312836,True,4.028660921018712,True,3.308081732218806,True,6.7144348683645205,True,0.6616163464437612,True,1.342886973672904,True,0.5533158683831481,True,0.5533158683831481,True
B136/N20/H126/M,B136,POP,N20/H126/M,4443,27.627863638644705,26.334418512661514,27.62786363864468,0.9999999999999808,1.2934451259831903,0.7629217886405577,2.4868995751603507e-14,0.2275449816093591,5.329070518200751e-15,0.999999999999966,0.9999999999999851,1.9095836023552692e-14,0.1667276717164461,1.0720591396653438,-0.2762786363864471,17.4887530565689,32.0013488304567,14.5125957738878,0.5509303303985753,1.099967417394815,16.756502861874925,34.619424343036734,17.86292148116181,0.7307414998738437,0.7915170733928036,15.29522097723484,36.75356291094858,21.45834193371374,0.8042282408988104,1.5647140765727698,2.288765365921673,False,2.374551220178411,True,3.8146089432027885,False,3.957585366964018,True,0.7629217886405577,True,0.7915170733928036,True,0.4550899632187182,True,0.4550899632187182,True
