uni,q,book,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,frac_priceable,dMaxDD_med,dCAGR_med,rate_med
universe.json(56),0.1,VS10,v1gate-dg,0.925,0.425,0.925,0.9,1.842842442045789,0.5894827493221122,0.346551846153882
universe.json(56),0.1,VS10,v1gate-rw,0.7,0.375,0.7,0.7,0.3079786849460975,0.3467971702993289,0.6264657360704734
universe.json(56),0.1,VS10,vol60-dg,0.975,0.25,1.0,0.975,1.5021835864192312,0.33882823207288526,0.22203654769112044
universe.json(56),0.1,VS10,vol60-rw,0.75,0.375,0.775,0.725,0.6005002986393837,0.30653869750441043,0.3170534012052925
universe.json(56),0.1,VS20,abs12-dg,1.0,0.8,1.0,0.9,0.44316610742194396,1.3043960075653227,2.9298141332694545
universe.json(56),0.1,VS20,abs12-rw,0.05,0.125,0.05,0.0,-0.43626898342939424,0.7603980451456938,
universe.json(56),0.1,VS20,band3-dg,1.0,0.3,1.0,1.0,2.049738568207732,1.3184745931836495,0.6326406491121594
universe.json(56),0.1,VS20,band3-rw,1.0,0.275,1.0,1.0,2.0497385682077596,0.8841472805607764,0.41481343164833784
universe.json(56),0.1,VS20,ddctl-8/.5/high,1.0,0.95,1.0,1.0,7.907302634510666,4.690009338605794,0.5728908128856758
universe.json(56),0.1,VS20,ddctl-8/.5/recover,1.0,0.95,1.0,1.0,4.818088005676807,3.393287745208595,0.7192369593199943
universe.json(56),0.1,VS20,ebud-0.10,1.0,0.925,1.0,1.0,2.4840572580254348,0.3849409197277498,0.15378764083699759
universe.json(56),0.1,VS20,ebud-0.20,0.225,0.55,0.225,0.15,-0.05757820525706392,-0.0005268862014351505,-0.085834839459821
universe.json(56),0.1,VS20,g200-dg,1.0,0.375,1.0,1.0,2.136218414043345,1.5310276443263215,0.702872561072424
universe.json(56),0.1,VS20,g200-rw,1.0,0.325,1.0,1.0,1.257115587862101,0.9954131762954566,0.7376203381968186
universe.json(56),0.1,VS20,stop15,0.0,0.625,0.0,0.0,-1.1784242450938287,0.517303250465706,
universe.json(56),0.1,VS20,stop25,0.0,0.65,0.0,0.0,-1.3267259103914075,0.094414195803183,
universe.json(56),0.1,VS20,v1gate-dg,1.0,0.25,1.0,1.0,4.325342922272296,1.9638469372150968,0.44713346506165613
universe.json(56),0.1,VS20,v1gate-rw,1.0,0.175,1.0,1.0,1.989771920122968,1.591487815035153,0.7996979357223647
universe.json(56),0.1,VS20,vol60-dg,1.0,0.225,1.0,1.0,4.188727449148649,0.5949960021234713,0.1457049845036008
universe.json(56),0.1,VS20,vol60-rw,1.0,0.1,1.0,1.0,2.536221743489908,0.6911074913094062,0.2858579935472445
universe.json(56),0.1,VS3,abs12-dg,0.525,0.4,0.625,0.4,0.004331644236998944,0.12258471144451777,0.051214048363582766
universe.json(56),0.1,VS3,abs12-rw,0.3,0.275,0.25,0.3,-0.7329551241720078,0.4828904840721959,0.10441900706913637
universe.json(56),0.1,VS3,band3-dg,0.575,0.425,0.65,0.3,3.3306690738754696e-14,0.029172242715658214,0.06320386133848956
universe.json(56),0.1,VS3,band3-rw,0.575,0.325,0.65,0.375,4.440892098500626e-14,-0.12906641237855343,-0.06688053470586204
universe.json(56),0.1,VS3,ddctl-8/.5/high,1.0,0.975,1.0,1.0,3.907823076417438,2.337277868590415,0.5981413773278232
