arm,G,max_vol,bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,TO,y2020,y2022,p4a,p4b,fail4b,iSharpe,dd2020,dd2022,Vol
INCL5,0.85,0.4,10,0.10723025581991497,1.0278454427753014,-0.16858707097626813,1.0792375214415746,0.9826187254325507,0.11495461800144291,1.082080241154003,-0.16858707097626802,10.372249811689432,0.128987757392917,-0.0978594231969141,False,True,-,0.9602442056564489,-0.16858707097626802,-0.1642732234214208,0.10444257664409262
INCL5,0.85,0.4,25,0.0901309699580346,0.8780308885770991,-0.1773489201927797,0.9321113927562257,0.829996281377134,0.09746777645457261,0.9321851914195659,-0.1773489201927798,10.372249811689432,0.1068120578430789,-0.12646407341943788,False,False,"H1,H2,CAGR",0.8105918372151485,-0.1706506384293499,-0.17734892019278037,0.10454353361823258
INCL5,0.85,0.5,10,0.11666756893535024,1.065392447363238,-0.17859863571400403,1.0768177235412235,1.0575896644415048,0.12949815507129903,1.1506471504153617,-0.17859863571400414,9.71505401203847,0.14559442829631064,-0.07575927331051668,False,True,-,0.957995505215197,-0.17859863571400403,-0.15103703532110457,0.1092115689669783
INCL5,0.85,0.5,25,0.10050878383058759,0.9312575949929162,-0.1803773105027623,0.9455778306004822,0.9205155820375927,0.1128099426733069,1.016224952434708,-0.18037731050276207,9.71505401203847,0.1250314484535271,-0.10319233571773401,False,False,"H1,CAGR",0.8242047851487813,-0.1803773105027623,-0.16221647601226885,0.10929371236411184
INCL5,0.85,0.6,10,0.12165557061908405,1.0757815758278169,-0.17890021444619453,1.1010977894013705,1.0564923741696446,0.13345691719025976,1.1442725436165686,-0.17890021444619464,9.34635509722574,0.1928936963026049,-0.11231550423612424,False,True,-,0.9888785752224128,-0.17890021444619453,-0.17321173289421044,0.11265670193811667
INCL5,0.85,0.6,25,0.10603596503222956,0.9506516058984027,-0.18794540163300144,0.9780460616937419,0.9291179363159162,0.11729638005354381,1.0191630437816541,-0.18794540163300122,9.34635509722574,0.17292830024246153,-0.1380413176606481,False,False,CAGR,0.8636609385803373,-0.18066130884961362,-0.18744314192189926,0.11273790632418822
INCL5,0.85,0.8,10,0.1267483301154173,1.092465029258214,-0.19794089128920722,1.1993065944019796,1.0049046896025686,0.13242234714717993,1.1015229334637358,-0.1979408912892071,8.96393263312539,0.24716932715706363,-0.14546406063142814,False,True,-,1.0822755131387394,-0.18164177824492378,-0.18771493478282275,0.11536930614632585
INCL5,0.85,0.8,25,0.11169357624071719,0.9751361499378361,-0.21456829773121822,1.0837190703825168,0.8855430180228688,0.11679521745320187,0.9844146468652367,-0.21456829773121755,8.96393263312539,0.22713669126793334,-0.17017754626873316,False,False,DD,0.9644737314527855,-0.18335281437829531,-0.20354094664367717,0.11546185983581386
INCL5,0.85,99.0,10,0.13933902023951839,1.1447240011945459,-0.21674139335730747,1.24040269485587,1.0780315619319034,0.1531789901291245,1.1795893605585017,-0.21674139335730713,8.578337180831193,0.3358166783444294,-0.1311135985741574,False,False,DD,1.102661129562967,-0.21674139335730702,-0.1740740035228685,0.12033289822342366
INCL5,0.85,99.0,25,0.12476464700689682,1.036920180254835,-0.21949724106693458,1.1270462600628237,0.9737152880411596,0.13828139225682623,1.0770031904699813,-0.21949724106693447,8.578337180831193,0.31826336094632524,-0.15527538285062426,False,False,DD,0.986914981775727,-0.2194972410669347,-0.18923793168477876,0.1204340057570449
INCL5,1.0,0.3,10,0.09941717254841387,0.91086890087721,-0.277910498049563,1.0685475604098214,0.7614804902829214,0.09632232958042297,0.8881121242529656,-0.2779104980495636,14.067318226930608,0.13846488322933825,-0.21836514828920717,False,False,"H2,DD,CAGR",0.9380230595049773,-0.14072996504080726,-0.2674560385018466,0.1108349559174955
INCL5,1.0,0.3,25,0.07644504529297014,0.7192353839531398,-0.30822114670416934,0.8940330781747252,0.5534928582929727,0.07214697668484638,0.6852110797208948,-0.3082211467041698,14.067318226930608,0.10823634654258107,-0.2533876893439678,False,False,"H1,H2,OOS,DD,CAGR",0.7599798243341709,-0.14827052501209237,-0.2930787020725929,0.11102782053913803
INCL5,1.0,0.4,10,0.12610903041458976,1.028024221702055,-0.19688939792559568,1.0801979270170552,0.9821157469882638,0.13524599892204847,1.0815679145791217,-0.19688939792559623,12.157711037286912,0.1501895393126933,-0.11573959634156539,False,True,-,0.9612681053388565,-0.1968893979255958,-0.19126494181783915,0.12293159428720535
