panel,char,flavour,level,seed,K,n_from_B,n_from_S,cvol,mrho
cvol~BONLY~L0.433143~1~k20,cvol,BONLY,0.433143,1,20,20,0,0.3297237836303257,0.3217421335517346
cvol~BONLY~L0.433143~2~k20,cvol,BONLY,0.433143,2,20,20,0,0.3409421517264428,0.33951475468587666
cvol~BONLY~L0.433143~3~k20,cvol,BONLY,0.433143,3,20,20,0,0.3548578873767213,0.4056410753458739
cvol~BONLY~L0.433143~4~k20,cvol,BONLY,0.433143,4,20,20,0,0.35110408534539744,0.31021111842123034
cvol~BONLY~L0.433143~5~k20,cvol,BONLY,0.433143,5,20,20,0,0.35273694547217194,0.34862074202688337
cvol~SONLY~L0.313730~0~k20,cvol,SONLY,0.31373,0,20,0,20,0.38844439407410014,0.21317024328497852
cvol~SONLY~L0.313730~1~k20,cvol,SONLY,0.31373,1,20,0,20,0.41937224489354125,0.24670729983331235
cvol~SONLY~L0.313730~2~k20,cvol,SONLY,0.31373,2,20,0,20,0.38113860489366347,0.2041906113257716
cvol~SONLY~L0.313730~3~k20,cvol,SONLY,0.31373,3,20,0,20,0.3956381976168017,0.2678419340853231
cvol~SONLY~L0.313730~4~k20,cvol,SONLY,0.31373,4,20,0,20,0.41325782655553905,0.1979807296571184
cvol~SONLY~L0.313730~5~k20,cvol,SONLY,0.31373,5,20,0,20,0.4258434862177071,0.19500741182127626
cvol~SONLY~L0.378049~0~k20,cvol,SONLY,0.378049,0,20,0,20,0.4204531527390946,0.17737729158853371
cvol~SONLY~L0.378049~1~k20,cvol,SONLY,0.378049,1,20,0,20,0.428628048627426,0.22086071775847851
cvol~SONLY~L0.378049~2~k20,cvol,SONLY,0.378049,2,20,0,20,0.43521144966210157,0.20413785363827663
cvol~SONLY~L0.378049~3~k20,cvol,SONLY,0.378049,3,20,0,20,0.4335921216824767,0.22826600632537644
cvol~SONLY~L0.378049~4~k20,cvol,SONLY,0.378049,4,20,0,20,0.39709443103413966,0.2443653414155695
cvol~SONLY~L0.378049~5~k20,cvol,SONLY,0.378049,5,20,0,20,0.4140993853037577,0.22834140266671432
cvol~SONLY~L0.433143~0~k20,cvol,SONLY,0.433143,0,20,0,20,0.47473897637300777,0.23175033098107828
cvol~SONLY~L0.433143~1~k20,cvol,SONLY,0.433143,1,20,0,20,0.4518691517087673,0.1811719172778804
cvol~SONLY~L0.433143~2~k20,cvol,SONLY,0.433143,2,20,0,20,0.47369041931449896,0.1870997063794857
cvol~SONLY~L0.433143~3~k20,cvol,SONLY,0.433143,3,20,0,20,0.4954776951377135,0.21910756060866343
cvol~SONLY~L0.433143~4~k20,cvol,SONLY,0.433143,4,20,0,20,0.4842673158127898,0.17886603564617332
cvol~SONLY~L0.433143~5~k20,cvol,SONLY,0.433143,5,20,0,20,0.43926907836590134,0.18292659441194226
cvol~SONLY~L0.472186~0~k20,cvol,SONLY,0.472186,0,20,0,20,0.4968816627182944,0.19426614568664366
cvol~SONLY~L0.472186~1~k20,cvol,SONLY,0.472186,1,20,0,20,0.45830490917304295,0.25698588667193795
cvol~SONLY~L0.472186~2~k20,cvol,SONLY,0.472186,2,20,0,20,0.47774021765969027,0.20731022500563864
cvol~SONLY~L0.472186~3~k20,cvol,SONLY,0.472186,3,20,0,20,0.4967959120165844,0.19015688158738356
cvol~SONLY~L0.472186~4~k20,cvol,SONLY,0.472186,4,20,0,20,0.4629881106322594,0.22042208771703675
cvol~SONLY~L0.472186~5~k20,cvol,SONLY,0.472186,5,20,0,20,0.47008477739478866,0.234846255989181
cvol~SONLY~L0.515932~0~k20,cvol,SONLY,0.515932,0,20,0,20,0.49630279275085554,0.24029504028734983
cvol~SONLY~L0.515932~1~k20,cvol,SONLY,0.515932,1,20,0,20,0.502091635681679,0.18365239514356974
cvol~SONLY~L0.515932~2~k20,cvol,SONLY,0.515932,2,20,0,20,0.48189366448486204,0.1995986406045558
cvol~SONLY~L0.515932~3~k20,cvol,SONLY,0.515932,3,20,0,20,0.5052938320189375,0.20206615009137854
cvol~SONLY~L0.515932~4~k20,cvol,SONLY,0.515932,4,20,0,20,0.49005679189825174,0.20809618542241656
cvol~SONLY~L0.515932~5~k20,cvol,SONLY,0.515932,5,20,0,20,0.5017395336023498,0.19983293621735168
cvol~SONLY~L0.571754~0~k20,cvol,SONLY,0.571754,0,20,0,20,0.561106559381218,0.1905913747641655
cvol~SONLY~L0.571754~1~k20,cvol,SONLY,0.571754,1,20,0,20,0.5208744910167937,0.16095282661879995
cvol~SONLY~L0.571754~2~k20,cvol,SONLY,0.571754,2,20,0,20,0.5376946240844225,0.17552510659740625
cvol~SONLY~L0.571754~3~k20,cvol,SONLY,0.571754,3,20,0,20,0.5202563542477894,0.14899178718477876
cvol~SONLY~L0.571754~4~k20,cvol,SONLY,0.571754,4,20,0,20,0.5350949653143364,0.20235697225735647
cvol~SONLY~L0.571754~5~k20,cvol,SONLY,0.571754,5,20,0,20,0.5535855756474704,0.17594456286176888
cvol~SONLY~L0.653302~0~k20,cvol,SONLY,0.653302,0,20,0,20,0.5730422915586219,0.2086903108648112
cvol~SONLY~L0.653302~1~k20,cvol,SONLY,0.653302,1,20,0,20,0.6417755455226597,0.1797479196025878
cvol~SONLY~L0.653302~2~k20,cvol,SONLY,0.653302,2,20,0,20,0.6451974823746929,0.17675499030899147
cvol~SONLY~L0.653302~3~k20,cvol,SONLY,0.653302,3,20,0,20,0.6119865535889915,0.18400871372076377
cvol~SONLY~L0.653302~4~k20,cvol,SONLY,0.653302,4,20,0,20,0.5824833715091828,0.1781950902508057
cvol~SONLY~L0.653302~5~k20,cvol,SONLY,0.653302,5,20,0,20,0.626663350668922,0.1706989361070442
cvol~SONLY~L0.763602~0~k20,cvol,SONLY,0.763602,0,20,0,20,0.7110440554327482,0.1464822938763024
cvol~SONLY~L0.763602~1~k20,cvol,SONLY,0.763602,1,20,0,20,0.6980524184500735,0.1602279895003577
cvol~SONLY~L0.763602~2~k20,cvol,SONLY,0.763602,2,20,0,20,0.7239923232597419,0.12873549269877876
cvol~SONLY~L0.763602~3~k20,cvol,SONLY,0.763602,3,20,0,20,0.6650689616788039,0.13606232862799833
cvol~SONLY~L0.763602~4~k20,cvol,SONLY,0.763602,4,20,0,20,0.7192499936877865,0.12802366923815117
cvol~SONLY~L0.763602~5~k20,cvol,SONLY,0.763602,5,20,0,20,0.6874253927013132,0.13305717350958274
mrho~POOL~L0.114289~0~k28,mrho,POOL,0.114289,0,28,2,26,0.5916053381675426,0.1129451598733192
mrho~POOL~L0.114289~1~k28,mrho,POOL,0.114289,1,28,2,26,0.5839811796067302,0.0908441603701088
mrho~POOL~L0.114289~2~k28,mrho,POOL,0.114289,2,28,2,26,0.6361668631067623,0.11054203053734084
mrho~POOL~L0.114289~3~k28,mrho,POOL,0.114289,3,28,1,27,0.6410993091773854,0.09666131859181443
mrho~POOL~L0.114289~4~k28,mrho,POOL,0.114289,4,28,3,25,0.5865273668070011,0.10438976801661248
mrho~POOL~L0.114289~5~k28,mrho,POOL,0.114289,5,28,2,26,0.6256198730251592,0.10676888691690509
mrho~POOL~L0.148271~0~k28,mrho,POOL,0.148271,0,28,4,24,0.5550084798792192,0.13386749417931565
mrho~POOL~L0.148271~1~k28,mrho,POOL,0.148271,1,28,3,25,0.5434828051464561,0.13425363300961674
mrho~POOL~L0.148271~2~k28,mrho,POOL,0.148271,2,28,4,24,0.49760589292180507,0.12792678841056956
mrho~POOL~L0.148271~3~k28,mrho,POOL,0.148271,3,28,2,26,0.55713378608939,0.1379235493687475
mrho~POOL~L0.148271~4~k28,mrho,POOL,0.148271,4,28,4,24,0.5054962887214431,0.11815086252860564
mrho~POOL~L0.148271~5~k28,mrho,POOL,0.148271,5,28,1,27,0.58884993626642,0.13794980238542945
mrho~POOL~L0.163402~0~k28,mrho,POOL,0.163402,0,28,3,25,0.5495488716503826,0.1530810243966643
mrho~POOL~L0.163402~1~k28,mrho,POOL,0.163402,1,28,1,27,0.5600908522217137,0.14494966642567586
mrho~POOL~L0.163402~2~k28,mrho,POOL,0.163402,2,28,5,23,0.4471761414477582,0.16674918719768939
mrho~POOL~L0.163402~3~k28,mrho,POOL,0.163402,3,28,4,24,0.5377112231282993,0.15327030775630127
mrho~POOL~L0.163402~4~k28,mrho,POOL,0.163402,4,28,2,26,0.5857608958522666,0.15906656800186839
mrho~POOL~L0.163402~5~k28,mrho,POOL,0.163402,5,28,2,26,0.5658577167436736,0.1416791522338868
mrho~POOL~L0.180327~0~k28,mrho,POOL,0.180327,0,28,6,22,0.46816713604823296,0.15891294986926766
mrho~POOL~L0.180327~1~k28,mrho,POOL,0.180327,1,28,5,23,0.49868602396808337,0.17022738782766958
mrho~POOL~L0.180327~2~k28,mrho,POOL,0.180327,2,28,3,25,0.5037801117289864,0.18021208056865537
mrho~POOL~L0.180327~3~k28,mrho,POOL,0.180327,3,28,3,25,0.513201587010959,0.17088587468992852
mrho~POOL~L0.180327~4~k28,mrho,POOL,0.180327,4,28,3,25,0.5742707966071838,0.16826368978625167
mrho~POOL~L0.180327~5~k28,mrho,POOL,0.180327,5,28,5,23,0.5384192119370173,0.18121761438459627
mrho~POOL~L0.194679~0~k28,mrho,POOL,0.194679,0,28,2,26,0.4871297466651943,0.1828204415038999
mrho~POOL~L0.194679~1~k28,mrho,POOL,0.194679,1,28,3,25,0.55145036864274,0.18005909321423028
mrho~POOL~L0.194679~2~k28,mrho,POOL,0.194679,2,28,7,21,0.49473406390997265,0.20419586350810515
mrho~POOL~L0.194679~3~k28,mrho,POOL,0.194679,3,28,2,26,0.5181131261614809,0.17318806202970335
mrho~POOL~L0.194679~4~k28,mrho,POOL,0.194679,4,28,7,21,0.5041633429240339,0.1880184960187912
mrho~POOL~L0.194679~5~k28,mrho,POOL,0.194679,5,28,3,25,0.5218599765645481,0.195521079444617
mrho~POOL~L0.210029~0~k28,mrho,POOL,0.210029,0,28,5,23,0.48384471845119537,0.20159621135706965
mrho~POOL~L0.210029~1~k28,mrho,POOL,0.210029,1,28,4,24,0.481443176667573,0.21257846979359035
mrho~POOL~L0.210029~2~k28,mrho,POOL,0.210029,2,28,4,24,0.4800798800794393,0.2201941991080541
mrho~POOL~L0.210029~3~k28,mrho,POOL,0.210029,3,28,6,22,0.5382440938932795,0.19926838345444933
mrho~POOL~L0.210029~4~k28,mrho,POOL,0.210029,4,28,6,22,0.4884483004978032,0.20055283272312913
mrho~POOL~L0.210029~5~k28,mrho,POOL,0.210029,5,28,3,25,0.504428269224585,0.21960338881546004
mrho~POOL~L0.226987~0~k28,mrho,POOL,0.226987,0,28,6,22,0.45667553420130247,0.24568916948163555
mrho~POOL~L0.226987~1~k28,mrho,POOL,0.226987,1,28,9,19,0.44255048332608365,0.2222480936469448
mrho~POOL~L0.226987~2~k28,mrho,POOL,0.226987,2,28,7,21,0.4225886280783287,0.27364063511312303
mrho~POOL~L0.226987~3~k28,mrho,POOL,0.226987,3,28,6,22,0.4809582293998934,0.2512275042977913
mrho~POOL~L0.226987~4~k28,mrho,POOL,0.226987,4,28,5,23,0.46473440776838837,0.258139141958407
mrho~POOL~L0.226987~5~k28,mrho,POOL,0.226987,5,28,6,22,0.49505031422330237,0.2314796736142121
mrho~POOL~L0.250883~0~k28,mrho,POOL,0.250883,0,28,7,21,0.43801985270833416,0.3026351526757829
mrho~POOL~L0.250883~1~k28,mrho,POOL,0.250883,1,28,7,21,0.4382727492081645,0.2998279443773347
mrho~POOL~L0.250883~2~k28,mrho,POOL,0.250883,2,28,8,20,0.40432886153891684,0.3070083941465678
mrho~POOL~L0.250883~3~k28,mrho,POOL,0.250883,3,28,9,19,0.41990148615243184,0.2997180436133416
mrho~POOL~L0.250883~4~k28,mrho,POOL,0.250883,4,28,10,18,0.4348552086282678,0.28797234245467473
mrho~POOL~L0.250883~5~k28,mrho,POOL,0.250883,5,28,9,19,0.42708129438503256,0.28898274690193737
mrho~POOL~L0.278135~0~k28,mrho,POOL,0.278135,0,28,12,16,0.41886334866195035,0.33699802719307387
mrho~POOL~L0.278135~1~k28,mrho,POOL,0.278135,1,28,12,16,0.36350698566558,0.37380885663907804
mrho~POOL~L0.278135~2~k28,mrho,POOL,0.278135,2,28,12,16,0.3930309917862414,0.3599356629485069
mrho~POOL~L0.278135~3~k28,mrho,POOL,0.278135,3,28,12,16,0.3827495780270057,0.36864608221795303
mrho~POOL~L0.278135~4~k28,mrho,POOL,0.278135,4,28,14,14,0.3747889744252158,0.33370830819705266
mrho~POOL~L0.278135~5~k28,mrho,POOL,0.278135,5,28,10,18,0.38862818856852066,0.35323484817501644
mrho~BONLY~L0.114289~0~k28,mrho,BONLY,0.114289,0,28,28,0,0.2839682693032702,0.21724260393133765
mrho~BONLY~L0.114289~1~k28,mrho,BONLY,0.114289,1,28,28,0,0.250914955565443,0.25901414013137836
mrho~BONLY~L0.114289~2~k28,mrho,BONLY,0.114289,2,28,28,0,0.276907394542658,0.21551135547770991
mrho~BONLY~L0.114289~3~k28,mrho,BONLY,0.114289,3,28,28,0,0.2644792540046313,0.2254945179671632
mrho~BONLY~L0.114289~4~k28,mrho,BONLY,0.114289,4,28,28,0,0.24731463541932341,0.25668467834797887
mrho~BONLY~L0.114289~5~k28,mrho,BONLY,0.114289,5,28,28,0,0.2659267345001742,0.22727436885103403
mrho~BONLY~L0.148271~0~k28,mrho,BONLY,0.148271,0,28,28,0,0.2983302881329946,0.22649705250794802
mrho~BONLY~L0.148271~1~k28,mrho,BONLY,0.148271,1,28,28,0,0.2710234932634345,0.23885206022070105
mrho~BONLY~L0.148271~2~k28,mrho,BONLY,0.148271,2,28,28,0,0.27706863411200117,0.2387968524826962
mrho~BONLY~L0.148271~3~k28,mrho,BONLY,0.148271,3,28,28,0,0.28995945435832704,0.22863813819271606
mrho~BONLY~L0.148271~4~k28,mrho,BONLY,0.148271,4,28,28,0,0.25721693788490546,0.25871751750193867
mrho~BONLY~L0.148271~5~k28,mrho,BONLY,0.148271,5,28,28,0,0.27322309944290196,0.2576496072581881
mrho~BONLY~L0.163402~0~k28,mrho,BONLY,0.163402,0,28,28,0,0.2798340479230244,0.24890202119580057
mrho~BONLY~L0.163402~1~k28,mrho,BONLY,0.163402,1,28,28,0,0.2713477819774829,0.2632071322912988
mrho~BONLY~L0.163402~2~k28,mrho,BONLY,0.163402,2,28,28,0,0.2637787759668902,0.250584508572271
mrho~BONLY~L0.163402~3~k28,mrho,BONLY,0.163402,3,28,28,0,0.2826401759006642,0.2661625468523201
mrho~BONLY~L0.163402~4~k28,mrho,BONLY,0.163402,4,28,28,0,0.31276226114680883,0.22092186970489006
mrho~BONLY~L0.163402~5~k28,mrho,BONLY,0.163402,5,28,28,0,0.30617238999313173,0.25565241650523457
mrho~BONLY~L0.180327~0~k28,mrho,BONLY,0.180327,0,28,28,0,0.2993006431895268,0.26843333792664187
mrho~BONLY~L0.180327~1~k28,mrho,BONLY,0.180327,1,28,28,0,0.2818170067212181,0.29316882204230976
mrho~BONLY~L0.180327~2~k28,mrho,BONLY,0.180327,2,28,28,0,0.31065299640969274,0.25801048995763143
mrho~BONLY~L0.180327~3~k28,mrho,BONLY,0.180327,3,28,28,0,0.2862307235614759,0.2700938234024747
mrho~BONLY~L0.180327~4~k28,mrho,BONLY,0.180327,4,28,28,0,0.3064341736827631,0.2611699872590366
mrho~BONLY~L0.180327~5~k28,mrho,BONLY,0.180327,5,28,28,0,0.29871513655479404,0.2652037540711013
mrho~BONLY~L0.194679~0~k28,mrho,BONLY,0.194679,0,28,28,0,0.2891249598070811,0.2911035782898634
mrho~BONLY~L0.194679~1~k28,mrho,BONLY,0.194679,1,28,28,0,0.32970787279325775,0.2615456879572284
mrho~BONLY~L0.194679~2~k28,mrho,BONLY,0.194679,2,28,28,0,0.314917514115558,0.29148968599471525
mrho~BONLY~L0.194679~3~k28,mrho,BONLY,0.194679,3,28,28,0,0.2820712711399703,0.30278713547002484
mrho~BONLY~L0.194679~4~k28,mrho,BONLY,0.194679,4,28,28,0,0.288910521392244,0.2932414296420713
mrho~BONLY~L0.194679~5~k28,mrho,BONLY,0.194679,5,28,28,0,0.27916706742228414,0.2961264869605844
mrho~BONLY~L0.210029~0~k28,mrho,BONLY,0.210029,0,28,28,0,0.33489494785423807,0.29739621478588024
mrho~BONLY~L0.210029~1~k28,mrho,BONLY,0.210029,1,28,28,0,0.29458667784139675,0.30336026017875833
mrho~BONLY~L0.210029~2~k28,mrho,BONLY,0.210029,2,28,28,0,0.2930404144859188,0.313735370990773
mrho~BONLY~L0.210029~3~k28,mrho,BONLY,0.210029,3,28,28,0,0.3125887067614182,0.3151906962526073
mrho~BONLY~L0.210029~4~k28,mrho,BONLY,0.210029,4,28,28,0,0.31451157909787925,0.303656230774066
mrho~BONLY~L0.210029~5~k28,mrho,BONLY,0.210029,5,28,28,0,0.29684447120188545,0.2932962255953785
mrho~BONLY~L0.226987~0~k28,mrho,BONLY,0.226987,0,28,28,0,0.30851907081551744,0.3323562532115854
mrho~BONLY~L0.226987~1~k28,mrho,BONLY,0.226987,1,28,28,0,0.28251868962061993,0.34570660774206047
mrho~BONLY~L0.226987~2~k28,mrho,BONLY,0.226987,2,28,28,0,0.2782711679532083,0.37114060798987525
mrho~BONLY~L0.226987~3~k28,mrho,BONLY,0.226987,3,28,28,0,0.30632807738575957,0.34439448756154284
mrho~BONLY~L0.226987~4~k28,mrho,BONLY,0.226987,4,28,28,0,0.3277820089877153,0.3291298150541421
mrho~BONLY~L0.226987~5~k28,mrho,BONLY,0.226987,5,28,28,0,0.30797842637918876,0.3439629202305095
mrho~BONLY~L0.250883~0~k28,mrho,BONLY,0.250883,0,28,28,0,0.2878105106267176,0.35992377191934943
mrho~BONLY~L0.250883~1~k28,mrho,BONLY,0.250883,1,28,28,0,0.2812277021098815,0.36840333996218044
mrho~BONLY~L0.250883~2~k28,mrho,BONLY,0.250883,2,28,28,0,0.29975852275079895,0.40913557401519496
mrho~BONLY~L0.250883~3~k28,mrho,BONLY,0.250883,3,28,28,0,0.29617865481417116,0.38136437105920035
mrho~BONLY~L0.250883~4~k28,mrho,BONLY,0.250883,4,28,28,0,0.2952854910658709,0.38481471799522454
mrho~BONLY~L0.250883~5~k28,mrho,BONLY,0.250883,5,28,28,0,0.31518559071745644,0.3883767289611883
mrho~BONLY~L0.278135~0~k28,mrho,BONLY,0.278135,0,28,28,0,0.30107448215828464,0.424791733875509
mrho~BONLY~L0.278135~1~k28,mrho,BONLY,0.278135,1,28,28,0,0.3130875669633181,0.4446671692193503
mrho~BONLY~L0.278135~2~k28,mrho,BONLY,0.278135,2,28,28,0,0.3041783409141834,0.4086862254711523
mrho~BONLY~L0.278135~3~k28,mrho,BONLY,0.278135,3,28,28,0,0.30362337424160113,0.4154256351866463
mrho~BONLY~L0.278135~4~k28,mrho,BONLY,0.278135,4,28,28,0,0.29609523143573124,0.42493470603630373
mrho~BONLY~L0.278135~5~k28,mrho,BONLY,0.278135,5,28,28,0,0.3026069377287701,0.42444205380891326
mrho~SONLY~L0.114289~0~k28,mrho,SONLY,0.114289,0,28,0,28,0.6662416809859515,0.09229041126201903
mrho~SONLY~L0.114289~1~k28,mrho,SONLY,0.114289,1,28,0,28,0.613933866192121,0.0993903963858258
mrho~SONLY~L0.114289~2~k28,mrho,SONLY,0.114289,2,28,0,28,0.6032405385734231,0.09571930153781424
mrho~SONLY~L0.114289~3~k28,mrho,SONLY,0.114289,3,28,0,28,0.6732998602423018,0.11034060452539265
mrho~SONLY~L0.114289~4~k28,mrho,SONLY,0.114289,4,28,0,28,0.6695233697932924,0.09962888982355102
mrho~SONLY~L0.114289~5~k28,mrho,SONLY,0.114289,5,28,0,28,0.6527913516835919,0.09647232488415486
mrho~SONLY~L0.148271~0~k28,mrho,SONLY,0.148271,0,28,0,28,0.6016530163586301,0.13769062566667603
mrho~SONLY~L0.148271~1~k28,mrho,SONLY,0.148271,1,28,0,28,0.6243172984673592,0.12167393437161415
mrho~SONLY~L0.148271~2~k28,mrho,SONLY,0.148271,2,28,0,28,0.6522078341773563,0.1317446469411219
mrho~SONLY~L0.148271~3~k28,mrho,SONLY,0.148271,3,28,0,28,0.6474797232753978,0.135179247020861
mrho~SONLY~L0.148271~4~k28,mrho,SONLY,0.148271,4,28,0,28,0.5570503880978668,0.14394833549895258
mrho~SONLY~L0.148271~5~k28,mrho,SONLY,0.148271,5,28,0,28,0.5889029919528115,0.12490991045761299
mrho~SONLY~L0.163402~0~k28,mrho,SONLY,0.163402,0,28,0,28,0.5660613911968209,0.1440573681703421
mrho~SONLY~L0.163402~1~k28,mrho,SONLY,0.163402,1,28,0,28,0.587382453369449,0.14677121187188671
mrho~SONLY~L0.163402~2~k28,mrho,SONLY,0.163402,2,28,0,28,0.5689450789150216,0.16155246869432013
mrho~SONLY~L0.163402~3~k28,mrho,SONLY,0.163402,3,28,0,28,0.5719342527088866,0.15402931595199623
mrho~SONLY~L0.163402~4~k28,mrho,SONLY,0.163402,4,28,0,28,0.625042853390144,0.17033246102863356
mrho~SONLY~L0.163402~5~k28,mrho,SONLY,0.163402,5,28,0,28,0.5711130699290631,0.17111375409856885
mrho~SONLY~L0.180327~0~k28,mrho,SONLY,0.180327,0,28,0,28,0.5735994413611233,0.165597817449326
mrho~SONLY~L0.180327~1~k28,mrho,SONLY,0.180327,1,28,0,28,0.554798598417759,0.17484020866277694
mrho~SONLY~L0.180327~2~k28,mrho,SONLY,0.180327,2,28,0,28,0.5663390138093659,0.1849490326405093
mrho~SONLY~L0.180327~3~k28,mrho,SONLY,0.180327,3,28,0,28,0.4889561720674606,0.18652493843591114
mrho~SONLY~L0.180327~4~k28,mrho,SONLY,0.180327,4,28,0,28,0.5434107221995147,0.1637967927620268
mrho~SONLY~L0.180327~5~k28,mrho,SONLY,0.180327,5,28,0,28,0.5456060400738546,0.16631969536752148
mrho~SONLY~L0.194679~0~k28,mrho,SONLY,0.194679,0,28,0,28,0.5428179635853956,0.21125890626546062
mrho~SONLY~L0.194679~1~k28,mrho,SONLY,0.194679,1,28,0,28,0.5441516727794012,0.1929485358832349
mrho~SONLY~L0.194679~2~k28,mrho,SONLY,0.194679,2,28,0,28,0.54286792012292,0.19259303594656932
mrho~SONLY~L0.194679~3~k28,mrho,SONLY,0.194679,3,28,0,28,0.5588883279694945,0.2087470614264313
mrho~SONLY~L0.194679~4~k28,mrho,SONLY,0.194679,4,28,0,28,0.5497466214805002,0.19465560629970244
mrho~SONLY~L0.194679~5~k28,mrho,SONLY,0.194679,5,28,0,28,0.5046182285933166,0.1793139307294765
mrho~SONLY~L0.210029~0~k28,mrho,SONLY,0.210029,0,28,0,28,0.5189740053744686,0.21864441315041155
mrho~SONLY~L0.210029~1~k28,mrho,SONLY,0.210029,1,28,0,28,0.5435198763552086,0.21081836796464587
mrho~SONLY~L0.210029~2~k28,mrho,SONLY,0.210029,2,28,0,28,0.4772317255473439,0.22786643613602472
mrho~SONLY~L0.210029~3~k28,mrho,SONLY,0.210029,3,28,0,28,0.5229783037502785,0.21050617119197448
mrho~SONLY~L0.210029~4~k28,mrho,SONLY,0.210029,4,28,0,28,0.5142280307415694,0.19425381247980553
mrho~SONLY~L0.210029~5~k28,mrho,SONLY,0.210029,5,28,0,28,0.48095158927359244,0.2091100645630593
mrho~SONLY~L0.226987~0~k28,mrho,SONLY,0.226987,0,28,0,28,0.5014660124121868,0.24426089449750787
mrho~SONLY~L0.226987~1~k28,mrho,SONLY,0.226987,1,28,0,28,0.5017784326362827,0.2442275008295885
mrho~SONLY~L0.226987~2~k28,mrho,SONLY,0.226987,2,28,0,28,0.49226313089497686,0.2324295622567478
mrho~SONLY~L0.226987~3~k28,mrho,SONLY,0.226987,3,28,0,28,0.4864712499037552,0.2508527679657738
mrho~SONLY~L0.226987~4~k28,mrho,SONLY,0.226987,4,28,0,28,0.48927812742644494,0.25308817419758994
mrho~SONLY~L0.226987~5~k28,mrho,SONLY,0.226987,5,28,0,28,0.515992941229731,0.23491009150131664
mrho~SONLY~L0.250883~0~k28,mrho,SONLY,0.250883,0,28,0,28,0.5013114986752123,0.28800299502334775
mrho~SONLY~L0.250883~1~k28,mrho,SONLY,0.250883,1,28,0,28,0.46659688691239826,0.30617889496349476
mrho~SONLY~L0.250883~2~k28,mrho,SONLY,0.250883,2,28,0,28,0.5116450582996193,0.2814964781226004
mrho~SONLY~L0.250883~3~k28,mrho,SONLY,0.250883,3,28,0,28,0.5382322027155594,0.2637160322975855
mrho~SONLY~L0.250883~4~k28,mrho,SONLY,0.250883,4,28,0,28,0.5161078379950438,0.27009689706194195
mrho~SONLY~L0.250883~5~k28,mrho,SONLY,0.250883,5,28,0,28,0.5066737534959007,0.2904504307603229
cvol~POOL~L0.247206~0~k28,cvol,POOL,0.247206,0,28,19,9,0.2999091561999871,0.3024144281779323
cvol~POOL~L0.247206~1~k28,cvol,POOL,0.247206,1,28,19,9,0.28666524397150817,0.30747490059584054
cvol~POOL~L0.247206~2~k28,cvol,POOL,0.247206,2,28,17,11,0.288716642338042,0.31057789108055484
cvol~POOL~L0.247206~3~k28,cvol,POOL,0.247206,3,28,9,19,0.3482214779348461,0.22802854328026137
cvol~POOL~L0.247206~4~k28,cvol,POOL,0.247206,4,28,16,12,0.3001994243952447,0.31289903135698943
cvol~POOL~L0.247206~5~k28,cvol,POOL,0.247206,5,28,18,10,0.2887322095062891,0.32503764213399333
cvol~POOL~L0.313730~0~k28,cvol,POOL,0.31373,0,28,11,17,0.3718476259287784,0.2723016322065902
cvol~POOL~L0.313730~1~k28,cvol,POOL,0.31373,1,28,16,12,0.3408223625093178,0.30856057557380495
cvol~POOL~L0.313730~2~k28,cvol,POOL,0.31373,2,28,12,16,0.3457916309052031,0.27814190906646385
cvol~POOL~L0.313730~3~k28,cvol,POOL,0.31373,3,28,13,15,0.3405069764610079,0.2594762494355204
cvol~POOL~L0.313730~4~k28,cvol,POOL,0.31373,4,28,8,20,0.35162475417130123,0.23765381056850923
cvol~POOL~L0.313730~5~k28,cvol,POOL,0.31373,5,28,16,12,0.3162117798532251,0.28695298611318165
cvol~POOL~L0.378049~0~k28,cvol,POOL,0.378049,0,28,6,22,0.4069909812874207,0.23412845786512196
cvol~POOL~L0.378049~1~k28,cvol,POOL,0.378049,1,28,9,19,0.38757041405251785,0.23571292656424078
cvol~POOL~L0.378049~2~k28,cvol,POOL,0.378049,2,28,8,20,0.4183801538704271,0.21549158110102984
cvol~POOL~L0.378049~3~k28,cvol,POOL,0.378049,3,28,7,21,0.3859492359973106,0.24736215181763022
cvol~POOL~L0.378049~4~k28,cvol,POOL,0.378049,4,28,11,17,0.4017150453501458,0.24276342308334484
cvol~POOL~L0.378049~5~k28,cvol,POOL,0.378049,5,28,5,23,0.3990948690740886,0.2890921936806081
cvol~POOL~L0.433143~0~k28,cvol,POOL,0.433143,0,28,9,19,0.39270376670019386,0.2562445725755711
cvol~POOL~L0.433143~1~k28,cvol,POOL,0.433143,1,28,7,21,0.42688698962643373,0.20778733045830847
cvol~POOL~L0.433143~2~k28,cvol,POOL,0.433143,2,28,5,23,0.44296957918903807,0.22454781298487916
cvol~POOL~L0.433143~3~k28,cvol,POOL,0.433143,3,28,2,26,0.4429057716990378,0.2089633994508936
cvol~POOL~L0.433143~4~k28,cvol,POOL,0.433143,4,28,4,24,0.41276869052965043,0.23775294809973213
cvol~POOL~L0.433143~5~k28,cvol,POOL,0.433143,5,28,4,24,0.44690985766050545,0.2128810892055398
cvol~POOL~L0.472186~0~k28,cvol,POOL,0.472186,0,28,4,24,0.4575343515126739,0.22082295485919723
cvol~POOL~L0.472186~1~k28,cvol,POOL,0.472186,1,28,3,25,0.4662023119909232,0.20042290290888978
