ladder,panel,book,cost,family,IS_argmax,OOS_argmax,IS_max,OOS_max,OOS_at_IS_pick,regret,hit
EXT,u56,EWALL0,10,abs,126.0,21.0,2.6687842574528275,3.9719319509974427,3.2489435826990376,0.7229883682984051,False
EXT,u56,EWALL0,10,band,0.02,0.03,2.7913248171704153,4.82162076600493,4.750028904279857,0.07159186172507326,False
EXT,u56,EWALL0,10,ddctl,0.02,0.02,3.9829494373284646,9.254214647083604,9.254214647083604,0.0,True
EXT,u56,EWALL0,10,dg,0.0,0.0,12.483256139855104,22.456690505495068,22.456690505495068,0.0,True
EXT,u56,EWALL0,10,stop,0.04,0.02,0.9966778325119829,5.441629335585462,5.139734694467402,0.30189464111806075,False
EXT,u56,EWALL0,25,200d,200.0,250.0,0.712141394146526,4.030469265931503,3.605953506180415,0.4245157597510878,False
EXT,u56,EWALL0,25,abs,504.0,504.0,1.1418882874982939,3.5976064788850626,3.5976064788850626,0.0,True
EXT,u56,EWALL0,25,band,0.02,0.03,2.155024954174678,4.6687212344773465,4.574913580531071,0.09380765394627577,False
EXT,u56,EWALL0,25,ddctl,0.02,0.03,3.5584689429132954,9.21152089169468,9.211520891694637,4.263256414560601e-14,False
EXT,u56,EWALL0,25,dg,0.0,0.0,12.505240935676321,22.478632766792707,22.478632766792707,0.0,True
EXT,u56,EWALL0,25,stop,0.06,0.04,0.3863442883347501,2.8436817506120926,2.3568657475737997,0.48681600303829287,False
