panel,gross,cadence,band,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,spy_H1,spy_H2,spy_OOS,spy_CAGR,spy_MaxDD,pass4a,pass4b
SMALL439,0.5,W,0.05,0.02968205398307222,0.6561450449056716,-0.08184003952227059,0.6048560122088655,0.7037866507474705,0.7026111737405852,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,True,False
SMALL439,0.5,W,0.08,0.029824837753095634,0.6512061926515366,-0.09969696895905,0.6359621108227473,0.6679756007544926,0.6812189908582235,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,W,0.12,0.03157964177059891,0.6721852181811134,-0.10607312597960883,0.6671367728610388,0.6797669444248606,0.6896557914397345,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,W,0.2,0.0326845021122395,0.6723602482840058,-0.11442789566529332,0.704470582464788,0.6495395233845955,0.6747883153348976,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,M,0.0,0.03047131983814122,0.6561302647105074,-0.10998122923239873,0.6862451238445265,0.634896310242433,0.6456646971412425,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,M,0.02,0.03181640189581958,0.6817845190407028,-0.1096414557866553,0.6974831568581371,0.6726671580836135,0.674618710759878,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,M,0.03,0.03226952658913529,0.6905383898190963,-0.10792656458374894,0.7038130323519178,0.683593058294049,0.6828149428452756,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,True,False
SMALL439,0.5,M,0.05,0.03386959849925475,0.7173200100045073,-0.10996881389795155,0.7323525858042254,0.7096321839600536,0.7117015045359434,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,True,False
SMALL439,0.5,M,0.08,0.033913665232550905,0.7093464992357532,-0.12392902819153984,0.7386972783890131,0.6892293504359248,0.7123499519513188,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,M,0.12,0.03429413665600234,0.7000175364611664,-0.13172747268403062,0.7255669677255298,0.6825952449265814,0.6978207776520801,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,M,0.2,0.03427510194954775,0.6825726201374895,-0.1305485018365341,0.7245727435184892,0.6534315411681252,0.6729684150991984,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.0,0.03830407516205314,0.5837279003714455,-0.11803894908190571,0.48723550288484846,0.6687075459385772,0.6528919099838452,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.02,0.039948356871867485,0.6051526531888638,-0.12124696331981555,0.5394765593605378,0.6645557982332297,0.6531361780863809,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.03,0.04069577813760494,0.6147280980418327,-0.12087781649545659,0.5417200039867754,0.6803816553277646,0.6630483911212459,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.05,0.04400163404050672,0.6558786557013887,-0.12122684898793445,0.6058294687451632,0.7024709241329801,0.7015783269138443,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.08,0.044195916967047166,0.6509066969012938,-0.14669431826902335,0.6367677364343625,0.6667266145687513,0.6802660225894416,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.12,0.04683903405238832,0.6720558057602521,-0.15587898265676325,0.6680717863762341,0.6787128170122434,0.6888962293786327,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,W,0.2,0.048464773468620104,0.6722103363091546,-0.16803641992384488,0.705245615307869,0.6486182355529486,0.6741426427913716,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,M,0.0,0.045323649329415794,0.6585221161880711,-0.1616347659876134,0.6884689643004256,0.6372231911413248,0.6478142635223935,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,M,0.02,0.04734984772202666,0.6839111347452602,-0.16122891148445118,0.6997161187588954,0.6745222329225469,0.6763549553067465,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,M,0.03,0.04803918121577344,0.6926779164538207,-0.15881615275381622,0.7060304290499424,0.6854928573593875,0.6846013457354929,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.75,M,0.05,0.050455254181867915,0.7192909363528813,-0.16191219588144268,0.7345510374643023,0.7112311962066289,0.7132164126667251,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
