default,pool,panel,book,cost,pool_empty,n_pool,n_arms,moved_off_control,cell_arms_pass4b,TO_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD,rand_pctile,v1_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beat_v2,beat_spy,arm,TO,pass4a_v2,pass4a_v1,pass4b,fail4b,pass4b_oos,fail4b_oos,full_CAGR,full_Sharpe,full_MaxDD,H1,H2
D_NONE,P_S1,broad,EWall,25.0,False,1,17,False,2,1.0,0.13778891144087635,1.0913501695849346,-0.25391347869315706,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.0,0.0,0.0,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,control,0.8657057588560485,False,True,False,DD,False,DD,0.1400924235152614,1.1115111687130292,-0.25391347869315684,1.2210337678029726,1.0132839604042891
MENU_SEP,P_S1,broad,EWall,25.0,False,1,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_SEP(1),1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
MENU_NET,P_S1,broad,EWall,25.0,False,1,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_NET(1),1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
K_Sharpe,P_S1,broad,EWall,25.0,False,1,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
K_CAGR,P_S1,broad,EWall,25.0,False,1,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
K_Random,P_S1,broad,EWall,25.0,False,1,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.0,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
D_NONE,P_ALL,broad,R10,0.0,False,17,17,False,0,1.0,0.18162134881683234,0.9332568834700512,-0.2594921243060311,0.9332568834700512,0.18162134881683234,-0.2594921243060311,0.0,0.0,0.0,0.8235294117647058,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,control,15.849246461184421,False,False,False,DD,False,"H1,DD",0.19388144066525337,1.066080211627242,-0.2594921243060313,1.3618287434939624,0.8639429390731223
MENU_SEP,P_ALL,broad,R10,0.0,False,17,17,True,0,0.9656808769447416,0.16112489878245584,0.921882537436888,-0.22561862405369681,0.9332568834700512,0.18162134881683234,-0.2594921243060311,-0.01137434603316323,-0.0204964500343765,0.033873500252334265,0.7058823529411765,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_SEP(17),15.305314221549914,False,False,False,DD,False,"H1,DD",0.17323249202623936,1.0496059648098575,-0.22561862405369715,1.32598117601018,0.8458473728700061
MENU_NET,P_ALL,broad,R10,0.0,False,17,17,True,0,0.9476816969692566,0.16112489878245584,0.921882537436888,-0.22561862405369681,0.9332568834700512,0.18162134881683234,-0.2594921243060311,-0.01137434603316323,-0.0204964500343765,0.033873500252334265,0.7058823529411765,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_NET(17),15.020040782019239,False,False,False,DD,False,"H1,DD",0.17323249202623936,1.0496059648098575,-0.22561862405369715,1.32598117601018,0.8458473728700061
K_Sharpe,P_ALL,broad,R10,0.0,False,17,17,True,0,0.9921383147926394,0.18033342863074564,0.9376244367006763,-0.2406642746279749,0.9332568834700512,0.18162134881683234,-0.2594921243060311,0.004367553230625099,-0.0012879201860866996,0.018827849678056174,0.9411764705882353,0.8568806821147589,1.1481353293632495,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,band3-dg,15.724644674732716,False,False,False,DD,False,DD,0.19352552319172855,1.0743578437522232,-0.24066427462797502,1.3733510272294367,0.8672788625839084
