panel,sleeve,gross,CAGR,Sharpe,MaxDD,H1,H2,vol,sbar,sbar_oos,turn,drag_bp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,IS_vol,IS_sbar,keep4a,keep4b,keep4a_oos,keep4b_oos,fail_legs,fail_legs_oos,FD_resid_daily,FD_CAGR,FD_dCAGR,FD_dSharpe,FD_dMaxDD,script
B136,CASH,0.4,0.08935966505090476,1.0607938524541016,-0.10865523989775028,1.2299198850766107,0.9381057102713439,0.08403055617337625,0.5995492660210254,0.599523844473691,1.7964966368320225,17.964966368320226,0.09341136763988156,1.0361869460101387,-0.10865523989775105,1.1054720595974623,0.08445203894693232,0.07596450736715846,0.5995801848038073,False,False,False,False,CAGR,"H1,CAGR",1.0408340855860843e-17,0.08935966505090476,0.0,-2.220446049250313e-16,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,CASH,0.5,0.1118436921706365,1.0619196813632898,-0.13444874214426494,1.2309005572982308,0.9393922796934177,0.10506339581543798,0.49953803469188157,0.4995125290746486,2.223415236219555,22.23415236219555,0.11686475829787213,1.037485112885105,-0.13444874214426472,1.1063699753430032,0.10576726782058765,0.0949739720104171,0.4995690557241016,False,True,False,False,-,H1,1.3877787807814457e-17,0.1118436921706365,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,CASH,0.6,0.13434740379052235,1.0630027470342966,-0.15970515323140955,1.2318389322712402,0.9406397253110835,0.12610928417549097,0.3995637624160409,0.3995402174414919,2.6461090252500337,26.461090252500338,0.14031312750474934,1.0387406949495885,-0.15970515323140955,1.1072271217299616,0.12713368125728342,0.11399215766870287,0.39959239883002906,False,True,False,False,-,H1,1.3877787807814457e-17,0.13434740379052235,0.0,0.0,1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,CASH,0.75,0.16809453857370849,1.0645419785273542,-0.1965988040807657,1.2331655787646585,0.9424300675461218,0.1577060456451429,0.24966768929622443,0.24965040410686573,3.2782131640831613,32.782131640831615,0.17542191013185815,1.0405365149955723,-0.1965988040807658,1.1084351478890073,0.159244207100252,0.1425372771460418,0.2496887122893607,False,True,False,False,-,H1,2.0816681711721685e-17,0.16809453857370826,-2.220446049250313e-16,0.0,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,CASH,0.9,0.20176480517663564,1.0659675604992018,-0.23232359507074363,1.2343849574382273,0.9441121555622223,0.18934128025226904,0.09984457509882218,0.09983681558542373,3.917825672755879,39.17825672755879,0.2103750319611668,1.0422170209766635,-0.23232359507074374,1.1095378080980574,0.1913751834443862,0.17110577159057241,0.09985401255383246,False,False,False,False,DD,"H1,DD",5.551115123125783e-17,0.20176480517663498,-6.661338147750939e-16,0.0,-2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,SHY,0.4,0.09769711039997198,1.1571885582695798,-0.10260620270447662,1.3094929726669986,1.05263803722519,0.08358938926752608,0.599559364083738,0.5995338074292627,2.055001367619683,20.55001367619683,0.10441705880926433,1.1471105112818025,-0.10260620270447651,1.1838951753875413,0.08957910196487484,0.07484628706822295,0.5995904471896546,True,False,False,False,CAGR,CAGR,1.3877787807814457e-17,0.09769711039997198,0.0,2.220446049250313e-16,2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,SHY,0.5,0.11888912892904546,1.1267407958725202,-0.12955524761725312,1.2841093402324655,1.016499276632741,0.10458235580340666,0.4995486530842566,0.4995229431039038,2.492429721457039,24.92429721457039,0.12617355443948397,1.1122969793174835,-0.1295552476172538,1.158699113323639,0.11009296949622893,0.09397371208824258,0.4995799226717211,False,True,False,True,-,-,1.3877787807814457e-17,0.11888912892904546,0.0,0.0,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,SHY,0.6,0.14006075996239797,1.106319977066368,-0.15590551192644053,1.2672500780551215,0.9922214711264369,0.12566362402563636,0.39957405270534,0.39955025105787256,2.9042041595101065,29.042041595101065,0.14786849758472798,1.088844652754409,-0.15590551192643987,1.142001918214034,0.13063619321228925,0.1131554327348466,0.3996030012960067,False,True,False,True,-,-,2.0816681711721685e-17,0.14006075996239797,0.0,0.0,6.661338147750939e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,SHY,0.75,0.171736474286454,1.086154179586005,-0.19432878350033744,1.2507489812286223,0.9682045851914258,0.15738912325830146,0.24967584339531015,0.24965828766833745,3.4795369332503423,34.79536933250343,0.1802438987691748,1.0656002432822547,-0.1943287835003369,1.125675087334208,0.161471982524251,0.14199134513522516,0.24969719542796598,False,True,False,True,-,-,2.0816681711721685e-17,0.17173647428645378,-2.220446049250313e-16,0.0,1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,SHY,0.9,0.20324933592064398,1.0731301498218444,-0.2314559809976804,1.2401895402744363,0.9526669085206818,0.18920410372164664,0.09984854511167263,0.09984062263082051,4.014348012542133,40.14348012542133,0.21234276226906124,1.0505416711847728,-0.23145598099768128,1.1152221188843499,0.19228139446735315,0.17088117222260302,0.09985818077473195,False,False,False,False,DD,"H1,DD",5.551115123125783e-17,0.20324933592064398,0.0,0.0,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
