panel,family,group,cost,selector,arm,IS_lift,OOS_lift,d_vs_ctl,pool_IS,pool_OOS,disp_sd,disp_span
broad,LOOKBACK,EXT,10.0,K_CAGR,lb=126,0.2242805469035254,0.020769427474068403,0.10403525932148816,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_Calmar,lb=126,0.2242805469035254,0.020769427474068403,0.10403525932148816,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_Sortino,lb=126,0.2242805469035254,0.020769427474068403,0.10403525932148816,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_MaxDD,lb=126,0.2242805469035254,0.020769427474068403,0.10403525932148816,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_Vol,lb=21,-0.28836192203798505,-0.042061247328998186,0.04120458451842157,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_TO,lb=252,0.02613878922275159,0.043159359280315446,0.1264251911277352,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_ANTI,lb=21,-0.28836192203798505,-0.042061247328998186,0.04120458451842157,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,10.0,K_MEDIAN,lb=composite,0.04797828072135779,-0.08326583184741976,0.0,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
broad,LOOKBACK,EXT,25.0,K_Sharpe,lb=126,0.26386030774653646,0.06016343142406899,0.10638836255548556,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_CAGR,lb=126,0.26386030774653646,0.06016343142406899,0.10638836255548556,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_Calmar,lb=126,0.26386030774653646,0.06016343142406899,0.10638836255548556,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_Sortino,lb=126,0.26386030774653646,0.06016343142406899,0.10638836255548556,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_MaxDD,lb=126,0.26386030774653646,0.06016343142406899,0.10638836255548556,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
broad,LOOKBACK,EXT,25.0,K_Vol,lb=21,-0.47570521521363995,-0.2341187877097951,-0.18789385657837854,0.8549732270397752,0.8420254453645738,0.2660802550433811,0.7395655229601764
