=== 2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud
Book: top-n eligible by the v1 composite (vol scaler OFF), NORM weights g/k_t at g=0.75, weekly, next-day execution.  Band m: sell only past rank n+m.

[panels]
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
    SMALL: dropped 44 tickers with max_1d_move >= 1.0 -> 439 names + SPY

================ U56: 55 names + SPY, 2008-01-02 -> 2026-09-04, eval from 2009-01-13
    eligible/day mean 37.5 min 3 max 55
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    RULES v2 (live, 10 bps) CAGR 8.66% Sharpe 1.206 MaxDD -12.05% H1/H2 1.226/1.191 | OOS Sharpe 1.285 CAGR 9.53% MaxDD -12.05%

[0] GATES
    fast_backtest vs engine.backtest: max|dr| 0.000e+00  max|dturnover| 0.000e+00
    derived rung r(25) vs live backtest(cost_bps=25): max|d| 0.000e+00
    sel_band(n=20, m=0) nests sel_hard(n=20) on rebalance days: 0 disagreements of 54600
    idea 44 U56 anchor (FIXED g/n, 10 bps): 12.66% / 1.092 / -18.31%  H1/H2 1.088/1.102   [published 12.66% / 1.092 / -18.31%]

[A/B] GRID U56 (all points; ann.turnover = mean yearly sum|dw|)
       n   m  turn/yr  names  gross | c=0     CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=10    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=25    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a
      60  10    12.53   58.4  0.750 |   6.59%  0.514 -33.89%  0.573/0.472   0.518 n  n |   5.26%  0.427 -35.17%  0.491/0.381   0.428 n  n |   3.30%  0.297 -37.04%  0.367/0.243   0.292 n  n |
      60  20    11.11   58.4  0.750 |   6.50%  0.509 -33.07%  0.601/0.440   0.514 n  n |   5.33%  0.432 -34.20%  0.530/0.357   0.434 n  n |   3.58%  0.316 -35.85%  0.423/0.234   0.313 n  n |
      60  40     9.80   58.4  0.750 |   6.70%  0.523 -32.97%  0.636/0.437   0.506 n  n |   5.66%  0.455 -33.96%  0.574/0.364   0.435 n  n |   4.12%  0.352 -35.42%  0.481/0.253   0.327 n  n |
      80   0    14.82   76.4  0.750 |   6.58%  0.523 -35.26%  0.566/0.495   0.544 n  n |   5.01%  0.418 -36.73%  0.462/0.387   0.436 n  n |   2.70%  0.259 -38.89%  0.305/0.226   0.275 n  n |
      80   5    13.30   76.4  0.750 |   6.36%  0.509 -35.09%  0.562/0.472   0.523 n  n |   4.95%  0.414 -36.42%  0.471/0.373   0.425 n  n |   2.87%  0.272 -38.35%  0.334/0.225   0.279 n  n |
      80  10    12.31   76.4  0.750 |   6.33%  0.508 -35.57%  0.563/0.469   0.512 n  n |   5.03%  0.420 -36.80%  0.480/0.376   0.421 n  n |   3.11%  0.288 -38.59%  0.355/0.238   0.285 n  n |
      80  20    11.13   76.4  0.750 |   6.52%  0.519 -36.21%  0.567/0.487   0.533 n  n |   5.34%  0.440 -37.31%  0.494/0.402   0.451 n  n |   3.59%  0.321 -38.92%  0.385/0.274   0.327 n  n |
      80  40    10.04   76.4  0.750 |   6.02%  0.487 -37.56%  0.547/0.445   0.476 n  n |   4.96%  0.416 -38.54%  0.481/0.368   0.401 n  n |   3.39%  0.308 -39.98%  0.383/0.251   0.288 n  n |
     ALL   0    13.38  140.2  0.750 |   5.04%  0.434 -38.85%  0.529/0.365   0.392 n  n |   3.65%  0.334 -40.22%  0.434/0.260   0.288 n  n |   1.59%  0.185 -42.21%  0.293/0.102   0.133 n  n |


[A] IS THE n-ORDERING A COST ARTEFACT?  Spearman(n, Sharpe) at each rung, m=0 only.
    U56       c=0: rho +0.306 c=10: rho +0.306 c=25: rho +0.414   | wide(n=80) - narrow(n=20) dSharpe: 0bps -0.0227  10bps -0.0144  cost channel +0.0083 (-57.8% of the 10-bps gap) | turnover 20 11.00x vs 80 8.21x
    B136      c=0: rho +1.000 c=10: rho +1.000 c=25: rho +1.000   | wide(n=80) - narrow(n=20) dSharpe: 0bps +0.0594  10bps +0.0814  cost channel +0.0219 ( 26.9% of the 10-bps gap) | turnover 20 14.31x vs 80 8.77x
    SMALL439  c=0: rho +0.000 c=10: rho +0.071 c=25: rho +0.107   | wide(n=80) - narrow(n=20) dSharpe: 0bps -0.0470  10bps -0.0324  cost channel +0.0147 (-45.3% of the 10-bps gap) | turnover 20 20.45x vs 80 14.82x
    READ: if the 0-bps gap is ~0 and the 10-bps gap is positive, 'wider is better' is a
          cost artefact.  If the 0-bps gap is already positive, width earns its keep gross.

[B] TURNOVER-MATCHED NARROW BOOK vs the WIDE BOOK (10 bps, the PROTOCOL rung).
    panel      target (n=80,m=0) |    matched narrow cell    turn  Sharpe  dSharpe vs wide     CAGR    MaxDD
    U56           8.21x S  1.049 | n= 10 m=  5    8.07x   1.023          -0.0266   14.58%  -17.99%
    U56           8.21x S  1.049 | n= 20 m=  5    7.22x   1.087          +0.0380   13.00%  -17.46%
    U56           8.21x S  1.049 | n= 30 m=  0    9.29x   1.053          +0.0040   11.52%  -17.47%
    B136          8.77x S  1.025 | n= 10 m= 10    8.33x   1.041          +0.0163   17.18%  -22.58%
    B136          8.77x S  1.025 | n= 20 m=  5    9.52x   0.980          -0.0450   13.62%  -20.08%
    B136          8.77x S  1.025 | n= 30 m=  5    8.86x   1.000          -0.0244   12.86%  -19.98%
    SMALL439     14.82x S  0.418 | n= 10 m= 10   14.67x   0.597          +0.1791   10.41%  -30.50%
    SMALL439     14.82x S  0.418 | n= 20 m=  5   15.59x   0.491          +0.0735    7.15%  -31.95%
    SMALL439     14.82x S  0.418 | n= 30 m=  5   15.28x   0.445          +0.0271    5.97%  -32.09%

[B2] does the BAND alone buy Sharpe at fixed n?  dSharpe(m) - dSharpe(m=0), 10 bps.
    U56       n= 10 | m=0   turn 14.69x dS +0.0000  m=5   turn  8.07x dS +0.0921  m=10  turn  6.37x dS +0.1527  m=20  turn  5.39x dS +0.1545  m=40  turn  4.57x dS +0.1688
    U56       n= 20 | m=0   turn 11.00x dS +0.0000  m=5   turn  7.22x dS +0.0236  m=10  turn  6.13x dS +0.0248  m=20  turn  5.26x dS +0.0481  m=40  turn  5.07x dS +0.0634
    U56       n= 40 | m=0   turn  8.43x dS +0.0000  m=5   turn  7.26x dS +0.0081  m=10  turn  7.14x dS +0.0054  m=20  turn  7.13x dS +0.0073  m=40  turn  7.13x dS +0.0073
    B136      n= 10 | m=0   turn 17.92x dS +0.0000  m=5   turn 10.46x dS +0.1025  m=10  turn  8.33x dS +0.1462  m=20  turn  6.64x dS +0.1676  m=40  turn  5.40x dS +0.1552
    B136      n= 20 | m=0   turn 14.31x dS +0.0000  m=5   turn  9.52x dS +0.0364  m=10  turn  7.61x dS +0.0332  m=20  turn  6.20x dS +0.0654  m=40  turn  5.09x dS +0.0337
    B136      n= 40 | m=0   turn 11.28x dS +0.0000  m=5   turn  8.43x dS +0.0009  m=10  turn  7.22x dS +0.0173  m=20  turn  6.00x dS +0.0169  m=40  turn  5.05x dS +0.0097
    SMALL439  n= 10 | m=0   turn 24.27x dS +0.0000  m=5   turn 16.82x dS +0.0468  m=10  turn 14.67x dS +0.1193  m=20  turn 12.55x dS +0.1602  m=40  turn 10.77x dS +0.0811
    SMALL439  n= 20 | m=0   turn 20.45x dS +0.0000  m=5   turn 15.59x dS +0.0411  m=10  turn 13.70x dS +0.0408  m=20  turn 11.96x dS +0.0550  m=40  turn 10.21x dS +0.1120
    SMALL439  n= 40 | m=0   turn 17.56x dS +0.0000  m=5   turn 14.66x dS +0.0037  m=10  turn 12.97x dS +0.0496  m=20  turn 11.38x dS +0.0433  m=40  turn  9.78x dS +0.0658

[C] KEEP-path census over the whole grid
    c= 0 bps: 4b 54/108   4a 0/108
    c=10 bps: 4b 37/108   4a 0/108
    c=25 bps: 4b 9/108   4a 0/108
    binding 4b bars at 10 bps: DD 54/108, H2 50/108, CAGR 46/108, OOS 43/108, H1 39/108
    4b passes at 10 bps:
      U56       n= 10 m= 10 turn  6.37x 15.48% / 1.083 / -18.26% H1/H2 1.021/1.142 OOS 1.196
      U56       n= 10 m= 20 turn  5.39x 15.27% / 1.085 / -17.84% H1/H2 1.004/1.160 OOS 1.197
      U56       n= 10 m= 40 turn  4.57x 14.61% / 1.099 / -18.66% H1/H2 1.082/1.122 OOS 1.194
      U56       n= 20 m=  0 turn 11.00x 12.79% / 1.064 / -18.31% H1/H2 1.068/1.066 OOS 1.131
      U56       n= 20 m=  5 turn  7.22x 13.00% / 1.087 / -17.46% H1/H2 1.085/1.095 OOS 1.169
      U56       n= 20 m= 10 turn  6.13x 12.98% / 1.088 / -17.48% H1/H2 1.106/1.080 OOS 1.159
      U56       n= 20 m= 20 turn  5.26x 12.87% / 1.112 / -17.22% H1/H2 1.144/1.093 OOS 1.187
      U56       n= 20 m= 40 turn  5.07x 12.73% / 1.127 / -15.27% H1/H2 1.183/1.089 OOS 1.189
      U56       n= 30 m=  0 turn  9.29x 11.52% / 1.053 / -17.47% H1/H2 1.021/1.086 OOS 1.153
      U56       n= 30 m=  5 turn  6.86x 11.79% / 1.078 / -17.42% H1/H2 1.065/1.093 OOS 1.156
      U56       n= 30 m= 10 turn  6.15x 11.72% / 1.083 / -17.60% H1/H2 1.106/1.068 OOS 1.153
      U56       n= 30 m= 20 turn  5.85x 11.75% / 1.109 / -16.15% H1/H2 1.152/1.077 OOS 1.168
      U56       n= 30 m= 40 turn  5.85x 11.77% / 1.111 / -16.15% H1/H2 1.156/1.077 OOS 1.168
      U56       n= 40 m=  0 turn  8.43x 10.73% / 1.051 / -16.66% H1/H2 1.050/1.055 OOS 1.136
      U56       n= 40 m=  5 turn  7.26x 10.75% / 1.059 / -17.21% H1/H2 1.051/1.069 OOS 1.152
      U56       n= 40 m= 20 turn  7.13x 10.66% / 1.058 / -16.35% H1/H2 1.063/1.058 OOS 1.142
      U56       n= 40 m= 40 turn  7.13x 10.66% / 1.058 / -16.35% H1/H2 1.063/1.058 OOS 1.142
      B136      n= 30 m=  5 turn  8.86x 12.86% / 1.000 / -19.98% H1/H2 1.148/0.870 OOS 0.965
      B136      n= 30 m= 10 turn  7.43x 13.31% / 1.027 / -19.79% H1/H2 1.185/0.887 OOS 0.985
      B136      n= 30 m= 20 turn  6.06x 13.27% / 1.019 / -19.96% H1/H2 1.164/0.893 OOS 0.997
      B136      n= 30 m= 40 turn  4.96x 13.15% / 1.018 / -20.03% H1/H2 1.197/0.863 OOS 0.978
      B136      n= 40 m=  0 turn 11.28x 12.04% / 0.989 / -19.11% H1/H2 1.108/0.880 OOS 0.971
      B136      n= 40 m=  5 turn  8.43x 12.07% / 0.990 / -19.28% H1/H2 1.103/0.887 OOS 0.983
      B136      n= 40 m= 10 turn  7.22x 12.33% / 1.006 / -18.88% H1/H2 1.121/0.903 OOS 1.003
      B136      n= 40 m= 20 turn  6.00x 12.30% / 1.006 / -18.76% H1/H2 1.152/0.874 OOS 0.980
      B136      n= 40 m= 40 turn  5.05x 12.11% / 0.998 / -18.57% H1/H2 1.147/0.866 OOS 0.978
      B136      n= 60 m=  0 turn  9.75x 11.38% / 1.000 / -18.68% H1/H2 1.097/0.911 OOS 1.005
      B136      n= 60 m=  5 turn  7.90x 11.70% / 1.025 / -18.46% H1/H2 1.124/0.934 OOS 1.028
      B136      n= 60 m= 10 turn  6.91x 11.84% / 1.034 / -18.46% H1/H2 1.142/0.934 OOS 1.033
      B136      n= 60 m= 20 turn  6.09x 11.67% / 1.024 / -18.41% H1/H2 1.125/0.930 OOS 1.030
      B136      n= 60 m= 40 turn  5.39x 11.44% / 1.017 / -18.62% H1/H2 1.165/0.883 OOS 0.998
      B136      n= 80 m=  0 turn  8.77x 11.20% / 1.025 / -18.44% H1/H2 1.112/0.943 OOS 1.044
      B136      n= 80 m=  5 turn  7.48x 11.26% / 1.028 / -18.45% H1/H2 1.129/0.934 OOS 1.037
      B136      n= 80 m= 10 turn  6.86x 11.30% / 1.032 / -18.56% H1/H2 1.155/0.918 OOS 1.027
      B136      n= 80 m= 20 turn  6.34x 11.27% / 1.034 / -18.45% H1/H2 1.154/0.923 OOS 1.030
      B136      n= 80 m= 40 turn  6.11x 11.32% / 1.050 / -18.28% H1/H2 1.169/0.941 OOS 1.053
      B136      n=ALL m=  0 turn  8.27x 10.70% / 1.025 / -17.69% H1/H2 1.143/0.915 OOS 1.019

[E] COST LADDER on every cell that still clears 4b at 25 bps (idea 323's rung).
    breakeven c* = the largest whole bps at which all five 4b bars still hold.
    U56       n= 10 m= 40 turn  4.57x | 25 bps 13.82%/1.047/-19.06% | breakeven c* =  47 bps, first bar to fail above it: H1
    U56       n= 20 m=  5 turn  7.22x | 25 bps 11.78%/0.996/-17.57% | breakeven c* =  30 bps, first bar to fail above it: H1
    U56       n= 20 m= 10 turn  6.13x | 25 bps 11.95%/1.011/-17.57% | breakeven c* =  38 bps, first bar to fail above it: H1
    U56       n= 20 m= 20 turn  5.26x | 25 bps 11.98%/1.043/-17.32% | breakeven c* =  47 bps, first bar to fail above it: CAGR
    U56       n= 20 m= 40 turn  5.07x | 25 bps 11.88%/1.059/-16.16% | breakeven c* =  46 bps, first bar to fail above it: CAGR
    U56       n= 30 m= 10 turn  6.15x | 25 bps 10.69%/0.996/-17.76% | breakeven c* =  25 bps, first bar to fail above it: CAGR
    U56       n= 30 m= 20 turn  5.85x | 25 bps 10.77%/1.025/-16.30% | breakeven c* =  26 bps, first bar to fail above it: CAGR
    U56       n= 30 m= 40 turn  5.85x | 25 bps 10.79%/1.027/-16.30% | breakeven c* =  27 bps, first bar to fail above it: CAGR
    B136      n= 60 m= 10 turn  6.91x | 25 bps 10.69%/0.943/-18.95% | breakeven c* =  25 bps, first bar to fail above it: CAGR

[D] RULE 8 WALK-FORWARD: (n, m) chosen on IS <= 2016 by Sharpe, OOS 2017+ read once (10 bps)

    --- U56
    arm                           OOS CAGR  OOS Sharpe  OOS MaxDD
    IS-chosen n=5 m=10              20.45%       1.076    -22.35%
    anchor n=20 m=0                 14.45%       1.131    -18.31%
    OOS-best n=10 m=20              18.19%       1.197    -17.84%
    RULES v2 (live)                  9.53%       1.285    -12.05%
    SPY                             15.45%       0.882    -33.72%
    regret (IS-chosen - OOS-best) -0.1216 Sharpe; IS-chosen - anchor -0.0549

    --- B136
    arm                           OOS CAGR  OOS Sharpe  OOS MaxDD
    IS-chosen n=10 m=20             15.63%       0.922    -22.24%
    anchor n=20 m=0                 12.45%       0.884    -20.05%
    OOS-best n=80 m=40              11.42%       1.053    -18.28%
    RULES v2 (live)                  7.98%       1.119    -12.24%
    SPY                             15.45%       0.882    -33.72%
    regret (IS-chosen - OOS-best) -0.1315 Sharpe; IS-chosen - anchor +0.0381

    --- SMALL439
    arm                           OOS CAGR  OOS Sharpe  OOS MaxDD
    IS-chosen n=10 m=40              8.05%       0.480    -30.74%
    anchor n=20 m=0                  6.95%       0.466    -33.48%
    OOS-best n=10 m=10              11.77%       0.639    -30.50%
    RULES v2 (live)                  3.85%       0.568    -14.68%
    SPY                             15.45%       0.882    -33.72%
    regret (IS-chosen - OOS-best) -0.1595 Sharpe; IS-chosen - anchor +0.0139

wrote 2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud.grid.csv (108 rows), .match.csv, .walkforward.csv
