outcome,device,m,cells,native_claims,bar,real_share,real_sub_p5,real_sub_med,real_sub_p95,null_p5,null_med,null_p95,null_sd,draws_used,excess,z,p_left,verdict,stable_below
DDnorm,BAR,4,36,9,2.4331516020668955,0.25,,,,0.0,0.25,0.5,0.19463106124151922,400.0,0.0,0.0,0.8175,INSIDE,
DDnorm,SUB,6,36,9,1.96,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.18374206643243637,383.0,-0.3333333333333333,-1.8141372838859577,0.13577023498694518,INSIDE,0.238
DDnorm,BAR,6,36,9,2.3706442741792535,0.16666666666666666,,,,0.1583333333333338,0.3333333333333333,0.6666666666666666,0.17979492561743163,400.0,-0.16666666666666666,-0.9269820385326151,0.2425,INSIDE,
DDnorm,SUB,9,36,9,1.96,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8888888888888888,0.1616024691169394,250.0,-0.3333333333333333,-2.0626747546296795,0.08,INSIDE,0.0
DDnorm,BAR,9,36,9,2.1809503967446977,0.2222222222222222,,,,0.2222222222222222,0.5555555555555556,0.7777777777777778,0.14849839962557854,400.0,-0.33333333333333337,-2.244693102240796,0.0675,INSIDE,
DDnorm,SUB,12,36,9,,,,,,,,,,,,,,NA (m > native claims),
DDnorm,BAR,12,36,9,1.8182627716087187,0.3333333333333333,,,,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.13839842218713655,400.0,-0.3333333333333333,-2.408505299884228,0.055,INSIDE,
DDnorm,SUB,15,36,9,,,,,,,,,,,,,,NA (m > native claims),
DDnorm,BAR,15,36,9,1.556105751645129,0.3333333333333333,,,,0.4,0.6666666666666666,0.8666666666666667,0.13503086067019396,400.0,-0.3333333333333333,-2.468571493056562,0.015,BELOW,
DDnorm,SUB,19,36,9,,,,,,,,,,,,,,NA (m > native claims),
DDnorm,BAR,19,36,9,1.2091628523823295,0.42105263157894735,,,,0.5763157894736843,0.7368421052631579,0.8947368421052632,0.10333731711261544,400.0,-0.3157894736842105,-3.0559093511211244,0.0075,BELOW,
DDnorm,SUB,24,36,9,,,,,,,,,,,,,,NA (m > native claims),
DDnorm,BAR,24,36,9,0.989858882397461,0.4166666666666667,,,,0.625,0.7916666666666666,0.9166666666666666,0.08593787878704401,400.0,-0.37499999999999994,-4.363617130104623,0.0,BELOW,
DDnorm,SUB,28,36,9,,,,,,,,,,,,,,NA (m > native claims),
DDnorm,BAR,28,36,9,0.7186482111356047,0.42857142857142855,,,,0.6785714285714286,0.7857142857142857,0.9285714285714286,0.07683299001465345,400.0,-0.35714285714285715,-4.648300906612427,0.0,BELOW,
CAGRnorm,SUB,4,36,20,1.96,0.7,0.25,0.75,1.0,0.5,0.75,1.0,0.19593426034004363,400.0,-0.050000000000000044,-0.25518763238866504,0.1775,INSIDE,0.063
CAGRnorm,BAR,4,36,20,3.915048537271948,0.0,,,,0.0,0.25,0.5,0.19587942719948923,400.0,-0.25,-1.2762953393027479,0.19,INSIDE,
CAGRnorm,SUB,6,36,20,1.96,0.7,0.5,0.6666666666666666,1.0,0.5,0.8333333333333334,1.0,0.15863950660398424,400.0,-0.13333333333333341,-0.8404800051867076,0.405,INSIDE,0.0425
CAGRnorm,BAR,6,36,20,3.8186416038719155,0.3333333333333333,,,,0.16666666666666666,0.5,0.6666666666666666,0.16239526539349053,400.0,-0.16666666666666669,-1.0263024988002352,0.4175,INSIDE,
CAGRnorm,SUB,9,36,20,1.96,0.7,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.7777777777777778,1.0,0.12458542361680108,400.0,-0.07777777777777783,-0.6242927584932098,0.29,INSIDE,0.042
