uni,q,draw,nkeep,book,arm,dCAGR_full,dMaxDD_full,rate_full,dCAGR_IS,dMaxDD_IS,rate_IS,dCAGR_OOS,dMaxDD_OOS,rate_OOS
universe.json(56),0.05,16,53,V1u,v1gate-dg,0.16063557659469208,1.0976769550268717,0.14634139476013655,0.15618605709024624,-0.5716185792193906,,0.16433739815484572,1.0976769550268717,0.14971380915145718
universe.json(56),0.05,16,53,V1u,v1gate-rw,-0.16955522505248677,2.35098975515865,-0.07212078431241177,0.28762792772207835,0.3350998669975347,0.8583349504110499,-0.5517203629223033,2.3509897551587278,-0.23467578355527702
universe.json(56),0.05,16,53,V1u,stop15,0.020828001573525157,-0.524843951050058,,0.020053881639015003,-5.551115123125783e-14,,0.02147218019450392,-0.524843951050058,
universe.json(56),0.05,16,53,V1u,stop25,0.0,0.0,,0.0,0.0,,0.0,0.0,
universe.json(56),0.05,16,53,V1u,ddctl-8/.5/recover,2.0501273422246724,3.201852376678571,0.640294148836232,1.0846021034639497,1.3223787683641297,0.8201901977038504,2.8473741858892065,3.2018523766787044,0.88928965202412
universe.json(56),0.05,16,53,V1u,ddctl-8/.5/high,1.9985218602358357,3.6700077684198584,0.5445552125074411,1.5972942431799142,1.3223787683641297,1.207894652721832,2.331440538399421,3.6700077684199472,0.635268556775611
universe.json(56),0.05,16,53,V1u,ebud-0.10,3.062484875779603,6.93382460315709,0.44167325409200586,2.1923309067682473,6.097824070255475,0.3595267560214142,3.781569067597945,6.9338246031571575,0.5453799719531548
universe.json(56),0.05,16,53,V1u,ebud-0.20,0.9614359546097129,2.5672895087224035,0.37449455986292945,0.7406177914631051,0.8493047198033787,0.8720283476519057,1.144940306697162,2.5672895087225145,0.44597241674815447
universe.json(56),0.05,17,53,TOP3,g200-dg,-0.29480412799798295,0.0,,-0.5551480285571841,1.4957665707199252,-0.37114616640348275,-0.08854675585336924,1.1102230246251565e-14,
universe.json(56),0.05,17,53,TOP3,g200-rw,-0.2862470137984685,1.1102230246251565e-14,,-0.5007605068452881,1.15976418152679,-0.4317778690026915,-0.11623024286449013,-1.1102230246251565e-14,
universe.json(56),0.05,17,53,TOP3,band3-dg,0.19854145797981726,-1.1102230246251565e-14,,0.1322213946724382,0.0,,0.2510510452964354,1.1102230246251565e-14,
universe.json(56),0.05,17,53,TOP3,band3-rw,0.20524282764657897,0.0,,-0.006368848876325828,0.0,,0.3727676783351619,0.0,
universe.json(56),0.05,17,53,TOP3,abs12-dg,0.2085568387207637,-1.1102230246251565e-14,,0.4879014435708928,-7.771561172376096e-14,,-0.013514536842462732,0.0,
universe.json(56),0.05,17,53,TOP3,abs12-rw,-0.2688871137606297,0.0,,-0.49681868451216804,1.1102230246251565e-14,,-0.08826558282297725,0.0,
universe.json(56),0.05,17,53,TOP3,vol60-dg,8.830403345130033,13.146002112552935,0.6717177792553375,10.876357115755608,2.02988136965645,5.358124508328481,7.183823744633866,13.146002112552912,0.5464645207818843
universe.json(56),0.05,17,53,TOP3,vol60-rw,5.786848698034586,8.522893947094412,0.6789769688507521,10.917726288239793,-0.12693336483542428,,1.5645903244362769,8.522893947094378,0.1835750079900591
universe.json(56),0.05,17,53,TOP3,v1gate-dg,8.62145894835622,13.146002112552935,0.6558236393499214,10.656641101715758,3.5023596628426246,3.0427032422668137,6.983671077989406,13.146002112552956,0.5312391568323866
universe.json(56),0.05,17,53,TOP3,v1gate-rw,6.024751069684942,8.856682580808062,0.6802491807418097,10.670254826023529,1.712527334764491,6.230706283874246,2.2156741173998684,8.85668258080814,0.25016975568268546
universe.json(56),0.05,17,53,TOP3,stop15,1.9803188374727831,0.836660893657537,2.3669312770382325,2.318132237621051,1.438036348596039,1.6120122692894747,1.7111846156503852,0.8366608936575592,2.04525468875418
universe.json(56),0.05,17,53,TOP3,stop25,0.26216552771121115,-1.7233073080902606,,0.4412420948507023,-0.08546552085501036,,0.11986158094043908,-1.7233073080902384,
universe.json(56),0.05,17,53,TOP3,ddctl-8/.5/recover,13.362265737363654,10.234479854790612,1.3056125887148988,14.828235466249872,4.218562389035007,3.514997313964537,12.18623543674251,10.234479854790813,1.1907039350942756
universe.json(56),0.05,17,53,TOP3,ddctl-8/.5/high,12.044526304509763,14.878354221887125,0.8095335092097351,13.956803955671027,6.773355238600088,2.060545101212735,10.50672923527831,14.878354221887191,0.7061755002325535
universe.json(56),0.05,17,53,TOP3,ebud-0.10,8.649768168297388,1.0639044765569428,8.130211272623056,9.452711481657294,5.472040562637659,1.7274563982948352,8.007618034147157,1.0639044765569317,7.526632522556787
universe.json(56),0.05,17,53,TOP3,ebud-0.20,3.4332650862514136,0.21235546119120485,16.167538461184673,3.0019468054490295,1.8432825879464487,1.628587404383512,3.772751129008034,0.21235546119123816,17.766207225584168
universe.json(56),0.05,17,53,TOP5,g200-dg,0.1638747988562672,-3.3306690738754696e-14,,-0.1834688318243627,0.2425328982240238,-0.7564698775623232,0.45578262178667117,2.220446049250313e-14,
universe.json(56),0.05,17,53,TOP5,g200-rw,-0.10745823213531569,-1.1102230246251565e-14,,-0.36213305806496177,0.06871077732757414,,0.10673250928920908,2.220446049250313e-14,
universe.json(56),0.05,17,53,TOP5,band3-dg,0.2712822697533701,-1.1102230246251565e-14,,-0.24869691968572027,-0.1823344119721515,,0.7077142407975412,-2.220446049250313e-14,
universe.json(56),0.05,17,53,TOP5,band3-rw,0.17186538187128342,-1.1102230246251565e-14,,-0.3783454216901516,0.04505341203198121,,0.6335724873162141,0.0,
universe.json(56),0.05,17,53,TOP5,abs12-dg,0.2028891357345186,-3.3306690738754696e-14,,0.10114445152704654,1.1102230246251565e-13,,0.2885377916238774,2.220446049250313e-14,
universe.json(56),0.05,17,53,TOP5,abs12-rw,0.022349228200790883,-1.1102230246251565e-14,,-0.2595378844814533,9.992007221626409e-14,,0.25936909045500833,2.220446049250313e-14,
universe.json(56),0.05,17,53,TOP5,vol60-dg,6.910332116619933,7.818005196057232,0.8838996576908064,7.414452944336336,1.4540800085999894,5.099068070865705,6.482594159484645,7.818005196057243,0.8291877527472009
universe.json(56),0.05,17,53,TOP5,vol60-rw,6.40001622136912,6.047484726926477,1.0582939040545227,7.626794300367856,-0.37342863820299943,,5.354342982869764,6.047484726926433,0.8853834651337846
universe.json(56),0.05,17,53,TOP5,v1gate-dg,7.060861823159015,8.652256120134583,0.8160717534387072,7.432523731190854,0.7913737256127429,9.391926330932984,6.7456271364734866,8.652256120134627,0.779637939840427
universe.json(56),0.05,17,53,TOP5,v1gate-rw,6.30360079207426,7.432120026875055,0.8481564841902455,7.209831917692622,0.12163223826052727,59.27566589911545,5.53297639660415,7.432120026875277,0.7444681163108726
universe.json(56),0.05,17,53,TOP5,stop15,2.1879144042991294,-3.102442639744507,,1.0772819332864447,2.2192111195757813,0.4854346320562665,3.1160270852249816,-3.102442639744485,
universe.json(56),0.05,17,53,TOP5,stop25,0.36299118153344523,-2.723558614170818,,0.1295283423849547,0.6165363705527671,0.210090350823624,0.5593415396676127,-2.7235586141707846,
universe.json(56),0.05,17,53,TOP5,ddctl-8/.5/recover,9.08788906939546,7.063255789924261,1.286643063721314,7.173871837738854,4.787589813810566,1.498430758843349,10.677778470202304,7.063255789924295,1.511736058806494
universe.json(56),0.05,17,53,TOP5,ddctl-8/.5/high,8.446741173678918,7.06325578992425,1.1958707747393507,7.152250238901736,4.787589813810578,1.4939145827133964,9.527030439959505,7.063255789924305,1.3488157194518937
universe.json(56),0.05,17,53,TOP5,ebud-0.10,5.918231899630566,0.0,,4.486100677450744,1.7524895220244696,2.559844507525738,7.112174390380477,0.0,
universe.json(56),0.05,17,53,TOP5,ebud-0.20,2.012369108879475,-2.220446049250313e-14,,1.0683867034723349,0.6056292336119706,1.7640936800564933,2.802181452374186,1.1102230246251565e-14,
universe.json(56),0.05,17,53,TOP10,g200-dg,0.6046009599565583,1.7722206455447642,0.34115445019584995,0.45998929528456856,1.8972657154256,0.242448536093102,0.7257255601457624,1.7722206455448308,0.4095006803865857
universe.json(56),0.05,17,53,TOP10,g200-rw,0.6103873994451225,1.7279315177660681,0.35324744827518006,0.5480878493212549,2.172685395665519,0.25226286806855863,0.6625814496381999,1.7279315177661125,0.38345353552830147
universe.json(56),0.05,17,53,TOP10,band3-dg,0.40404108987035503,1.7722206455447975,0.22798577078202864,0.09351381034017336,1.9252886362134292,0.048571319947170156,0.6638423672862492,1.7722206455448197,0.3745822332874186
universe.json(56),0.05,17,53,TOP10,band3-rw,0.4651833552892448,1.727931517766057,0.26921399980634275,0.3150227325292132,1.6167702504534809,0.19484693786322071,0.5909577146372635,1.7279315177661347,0.34200297208609987
universe.json(56),0.05,17,53,TOP10,abs12-dg,0.6164366377112263,-3.3306690738754696e-14,,0.7103107414272225,5.551115123125783e-14,,0.5376003670575447,0.0,
universe.json(56),0.05,17,53,TOP10,abs12-rw,0.46011056129058314,-1.1102230246251565e-14,,0.025233633782506537,4.440892098500626e-14,,0.8236022459080505,-1.1102230246251565e-14,
universe.json(56),0.05,17,53,TOP10,vol60-dg,3.739286093611094,9.051474766188438,0.4131134638500132,4.102590022232322,0.09079590985555663,,3.433281480254946,10.343014341215717,0.3319420593447034
universe.json(56),0.05,17,53,TOP10,vol60-rw,3.1687939344739346,6.43835541374258,0.4921744344386748,4.432049960279683,-1.4160813829682373,,2.0976937407476193,6.438355413742613,0.3258120445277237
