book,rung,CAGR,Sharpe,MaxDD,H1,H2,N,ym
LIVE-v2-g075-W,2014-04-21,0.08790868216302639,1.1800646884776969,-0.07887184188036012,1.0628837264333564,1.3588228627476964,1326,2014-04
LIVE-v2-g075-W,2014-04-22,0.08878292418730505,1.1910372878786806,-0.07887184188036012,1.0628837264333564,1.3841653168818875,1327,2014-04
LIVE-v2-g075-W,2014-04-23,0.08810152927851278,1.1827477191126183,-0.07887184188036012,1.0727892400616406,1.3516893203972529,1328,2014-04
LIVE-v2-g075-W,2014-04-24,0.08842790761674513,1.187189765637823,-0.07887184188036012,1.0727892400616406,1.3620436529854911,1329,2014-04
LIVE-v2-g075-W,2014-04-25,0.08665437741733051,1.164055947775669,-0.07887184188036012,1.072256904290832,1.3076084246094004,1330,2014-04
LIVE-v2-g075-W,2014-04-28,0.08656291313949449,1.1633198314417459,-0.07887184188036012,1.072256904290832,1.3059286767175236,1331,2014-04
LIVE-v2-g075-W,2014-04-29,0.0872738653006282,1.1723810047379388,-0.07887184188036012,1.069063610196138,1.331025100864017,1332,2014-04
LIVE-v2-g075-W,2014-04-30,0.08762273498137207,1.1770949717377248,-0.07887184188036012,1.069063610196138,1.341985101208361,1333,2014-04
LIVE-v2-g075-W,2014-05-01,0.08773673891120559,1.1789270395150913,-0.07887184188036012,1.0691510895694647,1.3461127358326714,1334,2014-05
LIVE-v2-g075-W,2014-05-02,0.08759029167893484,1.1775019821738621,-0.07887184188036012,1.0691510895694647,1.342807574230209,1335,2014-05
LIVE-v2-g075-W,2014-05-05,0.08767783947637509,1.179006445756842,-0.07887184188036012,1.070061057178588,1.345096572629513,1336,2014-05
LIVE-v2-g075-W,2014-05-06,0.08669379244758346,1.1666737812622383,-0.07887184188036012,1.070061057178588,1.3160587045273298,1337,2014-05
LIVE-v2-g075-W,2014-05-07,0.08699944864721743,1.1708647262208305,-0.07887184188036012,1.0789811644068652,1.3141590490343145,1338,2014-05
LIVE-v2-g075-W,2014-05-08,0.0863839159101123,1.1633980195155982,-0.07887184188036012,1.0789811644068652,1.296694434094152,1339,2014-05
LIVE-v2-g075-W,2014-05-09,0.08630043107086083,1.1627563682001967,-0.07887184188036012,1.0822322970769362,1.2909123738917558,1340,2014-05
LIVE-v2-g075-W,2014-05-12,0.08753333351421677,1.1778987195035955,-0.07887184188036012,1.0822322970769362,1.3256436192000092,1341,2014-05
LIVE-v2-g075-W,2014-05-13,0.08769395015079229,1.1803084776189052,-0.07887184188036012,1.0650008795658596,1.354078341893746,1342,2014-05
LIVE-v2-g075-W,2014-05-14,0.08715686348604024,1.1738652067634028,-0.07887184188036012,1.0650008795658596,1.3390000507591373,1343,2014-05
LIVE-v2-g075-W,2014-05-15,0.08611163331740057,1.1606827818612315,-0.07887184188036012,1.065200714502821,1.3076749395497984,1344,2014-05
LIVE-v2-g075-W,2014-05-16,0.08647178701586355,1.165542143696507,-0.07887184188036012,1.065200714502821,1.3189499211519609,1345,2014-05
LIVE-v2-g075-W,2014-05-19,0.08707206104736076,1.173304563555299,-0.07887184188036012,1.073810878809301,1.3256727506088555,1346,2014-05
LIVE-v2-g075-W,2014-05-20,0.08641685574978974,1.1653038922064467,-0.07887184188036012,1.073810878809301,1.3069695664910796,1347,2014-05
LIVE-v2-g075-W,2014-05-21,0.08723728528509733,1.175682044524261,-0.07887184188036012,1.0826602167719215,1.3193445061653153,1348,2014-05
LIVE-v2-g075-W,2014-05-22,0.08746832995338494,1.178961752710813,-0.07887184188036012,1.0826602167719215,1.3269739021758438,1349,2014-05
LIVE-v2-g075-W,2014-05-23,0.08812260047809017,1.1873694711876217,-0.07887184188036012,1.086498711369754,1.341320726057129,1350,2014-05
LIVE-v2-g075-W,2014-05-27,0.08880479023362464,1.1961070276465047,-0.07887184188036012,1.086498711369754,1.361450680479354,1351,2014-05
LIVE-v2-g075-W,2014-05-28,0.08866356684430343,1.1947445199885662,-0.07887184188036012,1.09683142219303,1.34491886545205,1352,2014-05
LIVE-v2-g075-W,2014-05-29,0.08918582971307276,1.2015721891161417,-0.07887184188036012,1.09683142219303,1.3606918831231873,1353,2014-05
LIVE-v2-g075-W,2014-05-30,0.0890282099812647,1.2000028023752076,-0.07887184188036012,1.096038598660188,1.3580509430122865,1354,2014-05
LIVE-v2-g075-W,2014-06-02,0.0888347500291371,1.1979762808464833,-0.07887184188036012,1.096038598660188,1.3533625019150446,1355,2014-06
LIVE-v2-g075-W,2014-06-03,0.08857197205979017,1.1950629801147163,-0.07887184188036012,1.0983292258779866,1.3435713453910674,1356,2014-06
LIVE-v2-g075-W,2014-06-04,0.08875603603356419,1.1977701288827127,-0.07887184188036012,1.0983292258779866,1.3498715354801036,1357,2014-06
LIVE-v2-g075-W,2014-06-05,0.08957740040147377,1.2081632784947196,-0.07887184188036012,1.085090471397714,1.391162969933689,1358,2014-06
LIVE-v2-g075-W,2014-06-06,0.0900214080210262,1.2140534290357874,-0.07887184188036012,1.085090471397714,1.4047552177164773,1359,2014-06
LIVE-v2-g075-W,2014-06-09,0.09006572638487942,1.2150282063286835,-0.07887184188036012,1.053636541487041,1.4493616719338336,1360,2014-06
LIVE-v2-g075-W,2014-06-10,0.09016262583100909,1.2166591759578156,-0.07887184188036012,1.053636541487041,1.4531235398757565,1361,2014-06
LIVE-v2-g075-W,2014-06-11,0.08987536589323164,1.2134345228410053,-0.07887184188036012,1.0381249134838813,1.4662742881323503,1362,2014-06
LIVE-v2-g075-W,2014-06-12,0.08941499224989236,1.2079696583909454,-0.07887184188036012,1.0381249134838813,1.4534182706673664,1363,2014-06
LIVE-v2-g075-W,2014-06-13,0.08959043699067482,1.2105753752761925,-0.07887184188036012,1.0401969223854577,1.4567968378553469,1364,2014-06
LIVE-v2-g075-W,2014-06-16,0.08990626963545956,1.2149121854610903,-0.07887184188036012,1.0401969223854577,1.4668015385570388,1365,2014-06
LIVE-v2-g075-W,2014-06-17,0.09028650179864739,1.220037180076918,-0.07887184188036012,1.0394183725296733,1.479717428004742,1366,2014-06
LIVE-v2-g075-W,2014-06-18,0.09093075510336779,1.228345037249102,-0.07887184188036012,1.0394183725296733,1.4987849602264869,1367,2014-06
LIVE-v2-g075-W,2014-06-19,0.0906595505764094,1.225324430022503,-0.07887184188036012,1.0288431508589202,1.505800903435783,1368,2014-06
LIVE-v2-g075-W,2014-06-20,0.09061859642031123,1.2252302467871854,-0.07887184188036012,1.0288431508589202,1.5055222966460122,1369,2014-06
LIVE-v2-g075-W,2014-06-23,0.09057190971925522,1.2250631908744074,-0.07887184188036012,1.0256820105460305,1.5093513586137002,1370,2014-06
LIVE-v2-g075-W,2014-06-24,0.08983793034715148,1.21598397693287,-0.07887184188036012,1.0256820105460305,1.4878925645293948,1371,2014-06
LIVE-v2-g075-W,2014-06-25,0.09054543541875804,1.2250555842737763,-0.07887184188036012,1.0185692079669326,1.5181782119826397,1372,2014-06
LIVE-v2-g075-W,2014-06-26,0.09024918869982312,1.221704136626125,-0.07887184188036012,1.0185692079669326,1.5102706287147858,1373,2014-06
LIVE-v2-g075-W,2014-06-27,0.09056881086288482,1.2260953265324603,-0.07887184188036012,1.0082637600528588,1.5341677722660705,1374,2014-06
LIVE-v2-g075-W,2014-06-30,0.09069088422096638,1.2280446713243414,-0.07887184188036012,1.0082637600528588,1.5386138953158608,1375,2014-06
LIVE-v2-g075-W,2014-07-01,0.09160358562590165,1.2395323147259272,-0.07887184188036012,1.0063281300988969,1.5674776836920465,1376,2014-07
LIVE-v2-g075-W,2014-07-02,0.09122678345785018,1.2351429675868675,-0.07887184188036012,1.0063281300988969,1.5571002248278225,1377,2014-07
LIVE-v2-g075-W,2014-07-03,0.09164364644153888,1.240725077408305,-0.07887184188036012,1.011446000429333,1.5634203839189198,1378,2014-07
LIVE-v2-g075-W,2014-07-07,0.09064791675534156,1.2281123832890677,-0.07887184188036012,1.011446000429333,1.5334710488584935,1379,2014-07
LIVE-v2-g075-W,2014-07-08,0.08954959028360054,1.214089243372578,-0.07887184188036012,1.0140168342398157,1.496998439071486,1380,2014-07
LIVE-v2-g075-W,2014-07-09,0.09006290810037543,1.2208431028532916,-0.07887184188036012,1.0140168342398157,1.5124593618448428,1381,2014-07
LIVE-v2-g075-W,2014-07-10,0.08943581878169637,1.2131550213348588,-0.07887184188036012,1.0121500154103373,1.4969266070017888,1382,2014-07
LIVE-v2-g075-W,2014-07-11,0.08969028268382062,1.2167459787843184,-0.07887184188036012,1.0121500154103373,1.5051529356735533,1383,2014-07
LIVE-v2-g075-W,2014-07-14,0.09042817380341206,1.2261931778257298,-0.07887184188036012,1.0256392748791494,1.5095794415677868,1384,2014-07
LIVE-v2-g075-W,2014-07-15,0.0896637352568137,1.216673961285248,-0.07887184188036012,1.0256392748791494,1.487147164384535,1385,2014-07
LIVE-v2-g075-W,2014-07-16,0.09006302555850554,1.2220460162207145,-0.07887184188036012,1.0253607517307426,1.499937806683713,1386,2014-07
LIVE-v2-g075-W,2014-07-17,0.08874989024580637,1.205026086128022,-0.07887184188036012,1.0253607517307426,1.4595969394574861,1387,2014-07
LIVE-v2-g075-W,2014-07-18,0.08929703719306237,1.212194165821967,-0.07887184188036012,1.0262837995212126,1.4748901944818347,1388,2014-07
LIVE-v2-g075-W,2014-07-21,0.08926494107657157,1.2121989975499199,-0.07887184188036012,1.0262837995212126,1.4748488818789338,1389,2014-07
LIVE-v2-g075-W,2014-07-22,0.08945837727160777,1.2150341554697748,-0.07887184188036012,1.0298537687204805,1.476830151648508,1390,2014-07
LIVE-v2-g075-W,2014-07-23,0.08972671759568862,1.2187991525849566,-0.07887184188036012,1.0298537687204805,1.4854528818466175,1391,2014-07
LIVE-v2-g075-W,2014-07-24,0.08945271922744924,1.2157106746944601,-0.07887184188036012,1.039293957628191,1.4662087799382961,1392,2014-07
LIVE-v2-g075-W,2014-07-25,0.08888659206374583,1.20880104385441,-0.07887184188036012,1.039293957628191,1.450028088763385,1393,2014-07
LIVE-v2-g075-W,2014-07-28,0.08883770663278256,1.208589297952381,-0.07887184188036012,1.0306849343520172,1.4608605644735067,1394,2014-07
LIVE-v2-g075-W,2014-07-29,0.0883584523149441,1.2028141905045309,-0.07887184188036012,1.0306849343520172,1.4473450246218083,1395,2014-07
LIVE-v2-g075-W,2014-07-30,0.08832388703190897,1.2027810548868894,-0.07887184188036012,1.041547242435482,1.4333906586685605,1396,2014-07
LIVE-v2-g075-W,2014-07-31,0.08592118166823237,1.1699197013552896,-0.07887184188036012,1.041547242435482,1.3550293502522852,1397,2014-07
LIVE-v2-g075-W,2014-08-01,0.08585263480527283,1.1694416408927346,-0.07887184188036012,1.0238415452543734,1.3771479539563236,1398,2014-08
LIVE-v2-g075-W,2014-08-04,0.0865741917291547,1.1787210947437519,-0.07887184188036012,1.0238415452543734,1.3982846493157386,1399,2014-08
LIVE-v2-g075-W,2014-08-05,0.08563320218549886,1.1667582988708645,-0.07887184188036012,1.0212033635332256,1.3737746128763388,1400,2014-08
LIVE-v2-g075-W,2014-08-06,0.08598798056500967,1.17158565551644,-0.07887184188036012,1.0212033635332256,1.384814719193955,1401,2014-08
LIVE-v2-g075-W,2014-08-07,0.08567008915052687,1.1678968662959013,-0.07887184188036012,1.0263879593402678,1.3696597879137502,1402,2014-08
LIVE-v2-g075-W,2014-08-08,0.08664484935896644,1.1801770973853072,-0.07887184188036012,1.0263879593402678,1.3974944193463894,1403,2014-08
LIVE-v2-g075-W,2014-08-11,0.08709042667051059,1.1861200703171662,-0.07887184188036012,1.0363101430614141,1.3984852010666136,1404,2014-08
LIVE-v2-g075-W,2014-08-12,0.08686233520458031,1.1835996869035534,-0.07887184188036012,1.0363101430614141,1.3926401051652109,1405,2014-08
LIVE-v2-g075-W,2014-08-13,0.08760574367465668,1.193140993689729,-0.07887184188036012,1.0237382955577186,1.4307689457943944,1406,2014-08
LIVE-v2-g075-W,2014-08-14,0.08788663587087986,1.1970595205674237,-0.07887184188036012,1.0237382955577186,1.439708220531414,1407,2014-08
LIVE-v2-g075-W,2014-08-15,0.08794854673933039,1.1982421044583933,-0.07887184188036012,1.014676903181908,1.4542623068347424,1408,2014-08
LIVE-v2-g075-W,2014-08-18,0.08871216798223625,1.2080221006571075,-0.07887184188036012,1.014676903181908,1.4764248234329427,1409,2014-08
LIVE-v2-g075-W,2014-08-19,0.08913012128587394,1.2136305452866698,-0.07887184188036012,1.0257913989100884,1.475200740762537,1410,2014-08
LIVE-v2-g075-W,2014-08-20,0.08909651962076848,1.2136090935919888,-0.07887184188036012,1.0257913989100884,1.4750952228430412,1411,2014-08
LIVE-v2-g075-W,2014-08-21,0.08908187072675267,1.2138278881936475,-0.07887184188036012,1.0311596575733624,1.4687901606396567,1412,2014-08
LIVE-v2-g075-W,2014-08-22,0.08902634056306091,1.2135265722977642,-0.07887184188036012,1.0311596575733624,1.4680445147028107,1413,2014-08
LIVE-v2-g075-W,2014-08-25,0.08934505127568437,1.2179200935507937,-0.07887184188036012,1.00634369911863,1.5110831441115686,1414,2014-08
LIVE-v2-g075-W,2014-08-26,0.0896161452776918,1.2217255086258214,-0.07887184188036012,1.00634369911863,1.5197377172420337,1415,2014-08
LIVE-v2-g075-W,2014-08-27,0.089536188733224,1.2211141865025046,-0.07887184188036012,0.9797129741899779,1.5540115529286642,1416,2014-08
LIVE-v2-g075-W,2014-08-28,0.08929645216592297,1.218447400329529,-0.07887184188036012,0.9797129741899779,1.5477171886119936,1417,2014-08
LIVE-v2-g075-W,2014-08-29,0.08992190014165335,1.2265863607273892,-0.07887184188036012,0.992384144340311,1.5502834824477125,1418,2014-08
LIVE-v2-g075-W,2014-09-02,0.08998913984663948,1.2278446492322503,-0.07887184188036012,0.992384144340311,1.5530911797914282,1419,2014-09
LIVE-v2-g075-W,2014-09-03,0.08990522810715551,1.2271828990393776,-0.07887184188036012,1.0217455374395032,1.5152456166201376,1420,2014-09
LIVE-v2-g075-W,2014-09-04,0.0896786134811074,1.2246841152828658,-0.07887184188036012,1.0217455374395032,1.5093699162848149,1421,2014-09
LIVE-v2-g075-W,2014-09-05,0.09010337911812272,1.2303916869305065,-0.07887184188036012,1.011039316521019,1.5366411224307654,1422,2014-09
LIVE-v2-g075-W,2014-09-08,0.08984021184359436,1.227418145719763,-0.07887184188036012,1.011039316521019,1.5296417725121645,1423,2014-09
LIVE-v2-g075-W,2014-09-09,0.08906129230859317,1.2176010481513035,-0.07887184188036012,1.0193539519482424,1.4959962690820006,1424,2014-09
LIVE-v2-g075-W,2014-09-10,0.08940282341266492,1.2222870600257911,-0.07887184188036012,1.0193539519482424,1.5067066770764028,1425,2014-09
LIVE-v2-g075-W,2014-09-11,0.0893789011473547,1.2223861147141655,-0.07887184188036012,1.0301506589872398,1.4931923929127782,1426,2014-09
LIVE-v2-g075-W,2014-09-12,0.08835471215061941,1.2092022860331733,-0.07887184188036012,1.0301506589872398,1.4621151279861038,1427,2014-09
LIVE-v2-g075-W,2014-09-15,0.08750163292434698,1.198353837321947,-0.07887184188036012,0.9901061720730531,1.4910632074065935,1428,2014-09
LIVE-v2-g075-W,2014-09-16,0.08820615617224092,1.2074672882585527,-0.07887184188036012,0.9901061720730531,1.511829099354344,1429,2014-09
LIVE-v2-g075-W,2014-09-17,0.08813325919769754,1.2069330170095063,-0.07887184188036012,0.9895627262123179,1.5113768948636588,1430,2014-09
