isolate,panel,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,cost_share,maj_cost,flip
SCALER on COMP,B136,10,0.75,NORM,-0.09201746330135885,-0.21587809025048876,-0.40194560653974987,-0.07604827735989472,-0.07090255328603301,5.978795888877613,0.5737526527375304,True,False
SCALER on COMP,B136,10,1.0,LIT,-0.08735421303929736,-0.2125319914528453,-0.40064797805883573,-0.09944045569146787,-0.09246402480635063,8.326549985568583,0.5889832281617766,True,False
SCALER on COMP,B136,10,1.0,NORM,-0.09554740414566631,-0.21944167195704756,-0.4055642406662433,-0.10118121774956768,-0.09467879268192192,7.98876245232826,0.5645886066509359,True,False
SCALER on COMP,SMALL439,5,0.75,LIT,0.38182418646955246,0.2783818532525536,0.12304252571733637,0.031460670769623666,0.036187391179345996,3.386728185432194,0.37158432566060223,False,False
SCALER on COMP,SMALL439,5,0.75,NORM,0.38427266807985655,0.2805664029147634,0.12483088888533789,0.03148853028295573,0.03622103570610169,3.3849230423350782,0.3696318022674984,False,False
SCALER on COMP,SMALL439,5,1.0,LIT,0.37941258951674867,0.27616906777640055,0.12113145399666905,0.051223102291624745,0.058477171143470175,4.5008379895229425,0.37384172880627936,False,False
SCALER on COMP,SMALL439,5,1.0,NORM,0.38185407343307365,0.27835320341696246,0.12292921389531924,0.05128306663678295,0.058549575949836674,4.497419074938286,0.3718328682608004,False,False
SCALER on COMP,SMALL439,10,0.75,LIT,0.10778853525241949,0.011936415063116879,-0.1320574857160673,-0.02056237135854544,-0.016361624266733044,4.340732646838788,8.030226804485247,True,False
SCALER on COMP,SMALL439,10,0.75,NORM,0.10415563583419996,0.009736194510799712,-0.13206271989248528,-0.02056516305316891,-0.01636708288176325,4.3404189664954345,9.697776807834627,True,False
SCALER on COMP,SMALL439,10,1.0,LIT,0.10451739667304982,0.008755731980580939,-0.13509889827752036,-0.023414227866638937,-0.017755740594763036,5.7968841695726,10.937025585622727,True,False
SCALER on COMP,SMALL439,10,1.0,NORM,0.10073360099149731,0.0065163597437816745,-0.13497775673617116,-0.023417746138024276,-0.01776272853981986,5.796962343072089,14.458569654264979,True,False
BLEND at no-scaler,U56,5,0.75,LIT,-0.09467553625293079,-0.11314530724725291,-0.1409987096248494,-0.03408338230163932,-0.03162500331287599,2.520991557918622,0.1632393905118902,False,False
BLEND at no-scaler,U56,5,0.75,NORM,-0.1212779807704627,-0.1427952796598707,-0.1752096256571063,-0.03765769062810653,-0.034273675125214176,3.357376709270591,0.1506863457998111,False,False
BLEND at no-scaler,U56,5,1.0,LIT,-0.09368203462833424,-0.11219599558173932,-0.14011648330851878,-0.046602611693680185,-0.04338116761452704,3.361190390825925,0.16501445401335116,False,False
BLEND at no-scaler,U56,5,1.0,NORM,-0.12025986590771165,-0.14183697540921647,-0.17434235946719834,-0.051819262242920994,-0.0473250025602483,4.485160989205269,0.1521261253580197,False,False
BLEND at no-scaler,U56,10,0.75,LIT,-0.0962725136364726,-0.11082167270000531,-0.1328296246653593,-0.023461897075361948,-0.021871488537205996,1.6520410536354095,0.13128442035807691,False,False
BLEND at no-scaler,U56,10,0.75,NORM,-0.0950346153537649,-0.11200586755256747,-0.13767165463937348,-0.02274542618834774,-0.020603592027850004,2.129060475335475,0.15152109947130668,False,False
BLEND at no-scaler,U56,10,1.0,LIT,-0.0957852286941745,-0.11034224373847468,-0.13236151591281464,-0.032083433594943145,-0.03000745378409153,2.2014654344864795,0.13192603803491781,False,False
BLEND at no-scaler,U56,10,1.0,NORM,-0.09450013995610562,-0.111489941020402,-0.1371839728213523,-0.031187654271715326,-0.02834230992765474,2.839774911566824,0.1523886451889623,False,False
