panel,book,dial,value,what,fail4a_lo,fail4a_10,fail4a_hi,fail4b_lo,fail4b_10,fail4b_hi,Sharpe_10,turn_yr
SMALL439,TOPN,K,3.0,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4948056480189722,15.755387781391562
SMALL439,TOPN,K,6.0,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.6003639141261036,10.572604912831297
SMALL439,TOPN,K,8.0,4b_bar,"H2,DD","H2,DD","H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.5349331555655545,8.694344491667477
SMALL439,V1C,N,3.0,4b_bar,DD,DD,"H1,H2,DD","H1,H2,OOS,DD","H1,H2,OOS,DD","H1,H2,OOS,DD,CAGR",0.6246047797479913,46.747369813710236
SMALL439,V1C,N,5.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5637910264291438,43.21601024857883
SMALL439,V1C,N,8.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5116453635577587,38.97785453457718
SMALL439,V1C,N,10.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5237060169426548,37.05215791964268
SMALL439,V1C,N,15.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4561577072807415,34.57896719681023
SMALL439,V1C,N,20.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5130787733380059,32.41318000334677
SMALL439,V1C,N,25.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5386133794656803,29.874488495849615
SMALL439,V1C,N,30.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5139242407154322,28.269591359324192
SMALL439,V1C,N,40.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5821898264246991,25.22199883397885
SMALL439,V1C,G,0.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5130787733380059,32.41318000334677
SMALL439,V1C,G,0.01,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5312575665655602,32.32358598198169
SMALL439,V1C,G,0.02,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.532051674557517,32.26211865034143
SMALL439,V1C,G,0.03,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5265175241319083,32.184691100728884
SMALL439,V1C,G,0.05,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5153761861284157,32.18430323981802
SMALL439,V1C,G,0.08,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5485901239067381,32.34153037676632
SMALL439,V1C,G,0.12,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.510341162791552,32.120088284963096
SMALL439,V1C,V,0.4,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4625950309024125,32.24743518600395
SMALL439,V1C,V,0.5,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5059181132448712,32.331856244612105
SMALL439,V1C,V,0.6,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5130787733380059,32.41318000334677
SMALL439,V1C,V,0.8,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4943164582087127,32.43144069843288
SMALL439,V1C,V,1.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4751442661846497,32.490657884013466
SMALL439,V1C,V,5.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5135427323793016,32.63332138207484
SMALL439,V1C,K,1.0,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5130787733380059,32.41318000334677
SMALL439,V1C,K,2.0,4b_bar,"H2,DD","H2,DD","H2,DD","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.47267147476674637,23.28169990312926
SMALL439,V1C,K,4.0,4b_bar,"H2,DD","H2,DD","H2,DD","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4296026176032784,16.19425998652965
SMALL439,V1C,K,6.0,4b_bar,"H2,DD","H2,DD","H2,DD","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.4281587418992799,11.924723141527057
SMALL439,V1C,K,8.0,4b_bar,"H2,DD","H2,DD","H2,DD","H2,OOS,DD,CAGR","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.5159138697650258,9.238018426193198
SMALL439,EWALL,V,0.2,4b_bar,"H2,DD","H2,DD","H1,H2,DD","H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR","H1,H2,OOS,DD,CAGR",0.18574841234379275,39.74270334596273
