panel,fold,chooser,base,ladder_set,L,ladder,rung,point_widest,runner_up,t,F,call,moved,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,2015,CH_RAW/ALL4/L63,CH_RAW,ALL4,63,N,5,N,CADENCE,1.46184283944922,23,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/ALL4/L63,CH_POINT,ALL4,63,N,5,N,CADENCE,1.46184283944922,23,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/ALL4/L63,CH_RES,ALL4,63,CADENCE,W,N,CADENCE,1.46184283944922,23,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/ALL4/L126,CH_ANCHOR,ALL4,126,CADENCE,W,N,CADENCE,0.08826275659332972,11,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/ALL4/L126,CH_RAW,ALL4,126,N,5,N,CADENCE,0.08826275659332972,11,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/ALL4/L126,CH_POINT,ALL4,126,N,5,N,CADENCE,0.08826275659332972,11,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/ALL4/L126,CH_RES,ALL4,126,CADENCE,W,N,CADENCE,0.08826275659332972,11,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/ALL4/L252,CH_ANCHOR,ALL4,252,CADENCE,W,N,CADENCE,-0.05387276227016003,5,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/ALL4/L252,CH_RAW,ALL4,252,N,5,N,CADENCE,-0.05387276227016003,5,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/ALL4/L252,CH_POINT,ALL4,252,N,5,N,CADENCE,-0.05387276227016003,5,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/ALL4/L252,CH_RES,ALL4,252,CADENCE,W,N,CADENCE,-0.05387276227016003,5,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/ALL4/L504,CH_ANCHOR,ALL4,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/ALL4/L504,CH_RAW,ALL4,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/ALL4/L504,CH_POINT,ALL4,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/ALL4/L504,CH_RES,ALL4,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/NG/L63,CH_ANCHOR,NG,63,CADENCE,W,N,CADENCE,1.46184283944922,23,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/NG/L63,CH_RAW,NG,63,N,5,N,CADENCE,1.46184283944922,23,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/NG/L63,CH_POINT,NG,63,N,5,N,CADENCE,1.46184283944922,23,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/NG/L63,CH_RES,NG,63,CADENCE,W,N,CADENCE,1.46184283944922,23,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/NG/L126,CH_ANCHOR,NG,126,CADENCE,W,N,CADENCE,0.08826275659332972,11,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/NG/L126,CH_RAW,NG,126,N,5,N,CADENCE,0.08826275659332972,11,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/NG/L126,CH_POINT,NG,126,N,5,N,CADENCE,0.08826275659332972,11,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/NG/L126,CH_RES,NG,126,CADENCE,W,N,CADENCE,0.08826275659332972,11,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/NG/L252,CH_ANCHOR,NG,252,CADENCE,W,N,CADENCE,-0.05387276227016003,5,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/NG/L252,CH_RAW,NG,252,N,5,N,CADENCE,-0.05387276227016003,5,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/NG/L252,CH_POINT,NG,252,N,5,N,CADENCE,-0.05387276227016003,5,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/NG/L252,CH_RES,NG,252,CADENCE,W,N,CADENCE,-0.05387276227016003,5,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_ANCHOR/NG/L504,CH_ANCHOR,NG,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2015,CH_RAW/NG/L504,CH_RAW,NG,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_POINT/NG/L504,CH_POINT,NG,504,N,5,N,CADENCE,1.700734988421279,2,TIE,True,0.7610247737648295,0.12206638965940497,-0.14280935682143547
U56,2015,CH_RES/NG/L504,CH_RES,NG,504,CADENCE,W,N,CADENCE,1.700734988421279,2,TIE,False,1.197036834754362,0.1579831175398807,-0.08881948044790366
U56,2016,CH_ANCHOR/ALL4/L63,CH_ANCHOR,ALL4,63,CADENCE,W,H,N,-1.1610935583788868,27,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/ALL4/L63,CH_RAW,ALL4,63,H,252,H,N,-1.1610935583788868,27,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/ALL4/L63,CH_POINT,ALL4,63,H,252,H,N,-1.1610935583788868,27,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/ALL4/L63,CH_RES,ALL4,63,CADENCE,W,H,N,-1.1610935583788868,27,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/ALL4/L126,CH_ANCHOR,ALL4,126,CADENCE,W,H,N,-0.5133275632551083,13,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/ALL4/L126,CH_RAW,ALL4,126,H,252,H,N,-0.5133275632551083,13,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/ALL4/L126,CH_POINT,ALL4,126,H,252,H,N,-0.5133275632551083,13,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/ALL4/L126,CH_RES,ALL4,126,CADENCE,W,H,N,-0.5133275632551083,13,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/ALL4/L252,CH_ANCHOR,ALL4,252,CADENCE,W,H,N,0.8048755880615345,6,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_RAW/ALL4/L252,CH_RAW,ALL4,252,H,252,H,N,0.8048755880615345,6,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_POINT/ALL4/L252,CH_POINT,ALL4,252,H,252,H,N,0.8048755880615345,6,TIE,True,0.8266248644594987,0.08053141764080163,-0.08491952543175718
U56,2016,CH_RES/ALL4/L252,CH_RES,ALL4,252,CADENCE,W,H,N,0.8048755880615345,6,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
U56,2016,CH_ANCHOR/ALL4/L504,CH_ANCHOR,ALL4,504,CADENCE,W,H,N,-1.0093503652126212,3,TIE,False,1.0648806940963775,0.11184324938645496,-0.09767824750637621
