char,flavour,level,n,achieved,n_from_B,premium,sd,prem_IS,prem_OOS,n_fit,intercept,slope,r2,span,effect,sd_within,ratio_to_GAP,r2_vs_tpers,mono_down,mono_up,req_sign,sign_ok
tpers,POOL,0.977975,6,0.9746132724261635,12.5,0.23265264799366991,0.07769198881966463,0.07583548644837115,0.30691321893297935,30,-32.35666662353093,33.38118697033348,0.8472100010824005,0.021197788894816383,0.7076073544555244,0.09110492314947416,7.235249023062622,1.0000000012776058,False,True,1.0,True
tpers,SONLY,0.952679,6,0.9553431017443135,0.0,-0.4833640084343953,0.061964871215933505,-0.46151406270239437,-0.4929818271112283,30,-30.046846996922977,30.94172271658338,0.7929631812098535,0.021381174196720476,0.6615703633498924,0.10099275950644618,6.7645231426369365,0.9359700442745642,False,True,1.0,True
tpers,SONLY,0.960691,6,0.9615615810158825,0.0,-0.2588054655476338,0.1097901636079298,-0.18881361916386796,-0.2962478207327395,30,-30.046846996922977,30.94172271658338,0.7929631812098535,0.021381174196720476,0.6615703633498924,0.10099275950644618,6.7645231426369365,0.9359700442745642,False,True,1.0,True
tpers,SONLY,0.965932,6,0.9652464138144916,0.0,-0.22237052425128356,0.10861186973234038,-0.25525346662328513,-0.20760132622414482,30,-30.046846996922977,30.94172271658338,0.7929631812098535,0.021381174196720476,0.6615703633498924,0.10099275950644618,6.7645231426369365,0.9359700442745642,False,True,1.0,True
tpers,SONLY,0.970456,6,0.968386686684178,0.0,-0.11709798656677994,0.08202115791281551,-0.22894421016291722,-0.06144527458323942,30,-30.046846996922977,30.94172271658338,0.7929631812098535,0.021381174196720476,0.6615703633498924,0.10099275950644618,6.7645231426369365,0.9359700442745642,False,True,1.0,True
tpers,SONLY,0.977975,6,0.9750339518039749,0.0,0.15890557548176207,0.14257573506321164,0.03480649217511827,0.2246179174546138,30,-30.046846996922977,30.94172271658338,0.7929631812098535,0.021381174196720476,0.6615703633498924,0.10099275950644618,6.7645231426369365,0.9359700442745642,False,True,1.0,True
volpers,BONLY,0.944416,6,0.9465063405133183,36.0,-0.07821713594188756,0.03967669946261249,-0.03499318242080003,-0.1015049700529732,24,-7.936756057230645,8.293067130335428,0.18932760830719475,0.007508262854329928,0.06226652788316199,0.043901426004142416,0.6366720642450101,0.2234718762847402,False,False,1.0,True
volpers,BONLY,0.947955,6,0.9487401698973071,36.0,-0.08064366862521444,0.0461881380838771,-0.050894008049070405,-0.09721788188374803,24,-7.936756057230645,8.293067130335428,0.18932760830719475,0.007508262854329928,0.06226652788316199,0.043901426004142416,0.6366720642450101,0.2234718762847402,False,False,1.0,True
volpers,BONLY,0.951045,6,0.9503031467749207,36.0,-0.06274466476439668,0.03595547503557224,-0.03855240827732426,-0.0746842103330927,24,-7.936756057230645,8.293067130335428,0.18932760830719475,0.007508262854329928,0.06226652788316199,0.043901426004142416,0.6366720642450101,0.2234718762847402,False,False,1.0,True
volpers,BONLY,0.955635,6,0.9531414976049734,36.0,-0.022618005501890137,0.05378539143450783,-0.002832462165171181,-0.031794709004647266,24,-7.936756057230645,8.293067130335428,0.18932760830719475,0.007508262854329928,0.06226652788316199,0.043901426004142416,0.6366720642450101,0.2234718762847402,False,False,1.0,True
