panel,arm,cost,window,n_rungs,smin,smax,spread
SMALL,CAND20,10.0,ISH1_HALF,150,0.9405290732701841,0.9481523303284903,0.007623257058306243
SMALL,CAND20,10.0,IS,150,0.5446910252126657,0.5571973945716898,0.012506369359024161
SMALL,CAND20,10.0,FULL,150,0.49771222122936604,0.5096576506173076,0.011945429387941575
SMALL,CAND20,25.0,ISH1_HALF,150,0.752102061250871,0.7612827992758898,0.009180738025018842
SMALL,CAND20,25.0,IS,150,0.3441266284314108,0.35826138299111887,0.014134754559708085
SMALL,CAND20,25.0,FULL,150,0.3005198392452772,0.3145398429417042,0.014020003696426975
SMALL,EWELIG,0.0,ISH1_HALF,150,0.8421360608623195,0.8537481873474524,0.011612126485132879
SMALL,EWELIG,0.0,IS,150,0.7653587465572372,0.7717005049662217,0.0063417584089844325
SMALL,EWELIG,0.0,FULL,150,0.5326394231551227,0.5361535639071436,0.0035141407520209444
SMALL,EWELIG,10.0,ISH1_HALF,150,0.7508109482113272,0.7680959572557233,0.017285009044396116
SMALL,EWELIG,10.0,IS,150,0.6643749667328628,0.6766011291287289,0.012226162395866158
SMALL,EWELIG,10.0,FULL,150,0.43575240521670155,0.43823576934907665,0.002483364132375099
SMALL,EWELIG,25.0,ISH1_HALF,150,0.6139858050894907,0.6397549946736356,0.02576918958414487
SMALL,EWELIG,25.0,IS,150,0.5130044345140841,0.5340404875399897,0.02103605302590561
SMALL,EWELIG,25.0,FULL,150,0.28529780787298226,0.2967850866158972,0.011487278742914941
SMALL,CAND20_NG,0.0,ISH1_HALF,150,1.5738364833624838,1.5761296004828946,0.0022931171204108036
SMALL,CAND20_NG,0.0,IS,150,0.8969262032168672,0.9065309471720092,0.009604743955141992
SMALL,CAND20_NG,0.0,FULL,150,0.8311825624114132,0.8341535122121371,0.0029709498007238766
SMALL,CAND20_NG,10.0,ISH1_HALF,150,1.4804775483156039,1.481570814639459,0.001093266323855202
SMALL,CAND20_NG,10.0,IS,150,0.7949541217156983,0.8055908971303147,0.010636775414616384
