panel,book,cost,stop,arm,fires,fires_yr,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,dCAGR,dSharpe,dMaxDD,gross,turn_yr,lever_pp,d_crash_ann,d_trend_ann,y2020,y2022,fail4a,fail4b
u56,v1,25,0.20,always,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.20,spy200,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.20,breadth20,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.25,always,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.25,spy200,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,v1,25,0.25,breadth20,0,0.0,0.02751817304906079,0.3169259386690001,-0.15629933763153747,0.2848945732875525,0.3460135787879513,0.20560330044696404,0.39920030769495,0.037834702288707334,-0.14177187688535975,0.0,0.0,0.0,0.7495210220604044,23.58532168462946,,0.0,0.0,0.0,0.0,H1|H2|DD,H1|H2|OOS|CAGR
u56,top20,10,none,none,0,0.0,0.1265973583235207,1.092135905431323,-0.1830834869787813,1.0882791557222313,1.1015451872229007,0.9928968404730495,1.167991233806965,0.14360571273280298,-0.18308348697878107,0.0,0.0,0.0,0.7168121232219334,9.630697203129404,,0.0,0.0,0.0,0.0,DD,
u56,top20,10,0.10,always,857,48.651498085154316,0.11453532571421499,1.043691673150628,-0.14968593172580613,1.0472043870040888,1.0443381608566638,0.9445765246580852,1.1200653215894327,0.1289178715794237,-0.14968593172580646,-1.2062032609305717,-0.048444232280695054,3.3397555252975164,0.7033755878650059,12.048007751883274,0.7361480156879943,-0.800922666054413,-1.2097067733882754,-0.7381065975781587,0.4761044294753547,DD,
u56,top20,10,0.10,spy200,328,18.62041000225276,0.1208560386915396,1.0716179597090494,-0.16417002152855098,1.073522936132593,1.0745473359099578,0.9751590120978919,1.1457531338889595,0.13606322467211407,-0.1641700215285511,-0.5741319631981101,-0.020517945722273723,1.8913465450230316,0.7119355842334397,10.403734366435764,0.7407250371214541,-1.7437753669686418,-0.2974960265491703,-1.5676780360508902,-1.0279596909331556,DD,
u56,top20,10,0.10,breadth20,228,12.943455733273261,0.11985290621677236,1.0604516441800997,-0.15938078882773354,1.0579181072266695,1.0667539521416336,0.9590995451151346,1.1384587360325331,0.13513104970683987,-0.15938078882773343,-0.6744452106748344,-0.03168426125122337,2.370269815104775,0.7136285177698554,10.159236920926494,0.7392065313507666,-2.3727052517247205,-0.2709820834267229,-0.9154706878727215,-0.25197042304619943,DD,
u56,top20,10,0.15,always,294,16.69024555079973,0.1207622200878189,1.0712105981941902,-0.16241037832836525,1.0899708998431217,1.0591119506238809,0.9936544530315126,1.131295226965923,0.13385516053578805,-0.16241037832836525,-0.5835138235701809,-0.02092530723713293,2.067310865041605,0.7124431713552994,10.259167243443406,0.7401665275227356,-0.7615901117646772,-0.5100156121878352,-1.259913066598628,-0.4819603545326956,DD,
u56,top20,10,0.15,spy200,140,7.9477359765713,0.12263348333170021,1.0775377493953493,-0.16677322746362255,1.0855872546299883,1.0752778162727927,0.9891911917891929,1.1456149700194596,0.13725459490539493,-0.16677322746362266,-0.3963874991820493,-0.014598156035973808,1.6310259515158743,0.7148618746704005,9.857880585973135,0.7415525413474305,-1.283872673213454,-0.18784768008869776,-1.450081890997179,-1.022700037788704,DD,
u56,top20,10,0.15,breadth20,91,5.166028384771345,0.12343274912007818,1.0841763283217176,-0.15591846308121837,1.088050534586725,1.0851414592041533,0.992248441204473,1.1550828796423702,0.13812935904247037,-0.15591846308121848,-0.31646092034425255,-0.007959577109605487,2.7165023897562923,0.7155694551092833,9.780609335596631,0.7381118789416279,-0.967981905988547,-0.16757052926791324,0.03689571700984384,-0.8249565317053675,DD,
u56,top20,10,0.20,always,101,5.733723811669296,0.12431197434834718,1.0883649771568045,-0.1695977787597529,1.0917017353808836,1.0906429796226969,0.9953152292690132,1.1598626886793297,0.13980622989066438,-0.16959777875975268,-0.22853839751735272,-0.0037709282745186368,1.3485708219028392,0.715362648537126,9.816599200129573,0.7424520929880256,-1.0958438902638319,-0.04244551075981619,-1.8982988344921736,-0.41810502866211907,DD,
u56,top20,10,0.20,spy200,57,3.2358639333183152,0.12432873526781196,1.085107481705629,-0.16959777875975302,1.0837611657884358,1.091388454370963,0.9875793034417879,1.159939048124003,0.14026250563917708,-0.1695977787597528,-0.22686230557087406,-0.007028423725694122,1.348570821902828,0.7159713752745759,9.720095728136632,0.7424520929880153,-1.1191410987515582,-0.0304143265982771,-1.6744985592679562,-0.41810502866211907,DD,
