panel,book,gross,cost_bps,d,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dOOS_CAGR,dTurn,dm_DD,dm_CAGR,one4b,d4b
B136,CAP2,1.0,50.0,3,0.0010927573998236184,-0.011768165308417289,-0.037498576893640334,-0.02172650292277789,0.0009889917236138857,0.009977136289609945,-0.037498576893640334,0.0010927573998236184,False,False
B136,CAP2,1.0,50.0,5,-0.0023050077188819795,-0.041855969470594334,-0.04991458649696068,-0.05818694824892112,-0.0031417568722156286,0.01941263214297484,-0.04991458649696068,-0.0023050077188819795,False,False
B136,CAND,0.75,0.0,2,0.0003732326238674588,-0.006762662504754102,-0.01773011583894435,-0.019984341881352785,-0.0005584071370470234,0.006875961168633982,-0.01773011583894435,0.0003732326238674588,True,True
B136,CAND,0.75,0.0,3,0.0038037813317715052,0.017349210512415558,-0.01620840659727385,0.011704422240052192,0.004091953975561058,0.005850985988199442,-0.01620840659727385,0.0038037813317715052,True,True
B136,CAND,0.75,0.0,5,0.002408711553057996,-0.00396454862816964,-0.029740800198230333,0.012125292961725265,0.006079741141800543,0.01223915146891974,-0.029740800198230333,0.002408711553057996,True,False
B136,CAND,0.75,10.0,2,0.00034494752163327647,-0.005748413707312272,-0.017640023213075562,-0.018490690508243368,-0.0005631161717667421,0.006875961168633982,-0.017640023213075562,0.00034494752163327647,True,True
B136,CAND,0.75,10.0,3,0.003758863650470401,0.018123932439474855,-0.015347937365600028,0.012807527650655848,0.00406006914576218,0.005850985988199442,-0.015347937365600028,0.003758863650470401,True,True
B136,CAND,0.75,10.0,5,0.0023341716817129043,-0.003149111258709203,-0.02975129479088534,0.013451451354136168,0.005986369519077828,0.01223915146891974,-0.02975129479088534,0.0023341716817129043,True,False
B136,CAND,0.75,25.0,2,0.0003030398962395875,-0.004362869088857746,-0.017505004389021583,-0.01639244047250954,-0.0005700157143730955,0.006875961168633982,-0.017505004389021583,0.0003030398962395875,True,True
B136,CAND,0.75,25.0,3,0.003692134297334171,0.019214705123771658,-0.014059438183098516,0.014411211571691895,0.004012655839975565,0.005850985988199442,-0.014059438183098516,0.003692134297334171,True,True
B136,CAND,0.75,25.0,5,0.0022235915055830446,-0.0019752520515283756,-0.029766615704257315,0.015391708128510206,0.0058477344998373315,0.01223915146891974,-0.029766615704257315,0.0022235915055830446,True,False
B136,CAND,0.75,50.0,2,0.00023456437386970563,-0.002421295820831393,-0.010988163018556651,-0.013283324824850617,-0.0005810840087410174,0.006875961168633982,-0.010988163018556651,0.00023456437386970563,False,False
B136,CAND,0.75,50.0,3,0.0035826263040839024,0.020838516041338906,-0.0056256845239490705,0.016941835264896232,0.003934726187953652,0.005850985988199442,-0.0056256845239490705,0.0035826263040839024,False,False
B136,CAND,0.75,50.0,5,0.0020425339568441725,-0.00015471267836508762,-0.023498900582918036,0.01848729253440662,0.0056204281913971865,0.01223915146891974,-0.023498900582918036,0.0020425339568441725,False,False
B136,CAND,1.0,0.0,2,0.00021756651703808139,-0.007690155918916863,-0.02172112245025315,-0.01884859014850182,-0.0008742589659240796,0.008927084299900967,-0.02172112245025315,0.00021756651703808139,False,False
B136,CAND,1.0,0.0,3,0.005517944533927954,0.018612586534189735,-0.02048295942238343,0.014835311391639294,0.006235525219557614,0.01182694197354528,-0.02048295942238343,0.005517944533927954,False,False
B136,CAND,1.0,0.0,5,0.003321070809282789,-0.0020239538515716138,-0.037727545154490616,0.015203492375399641,0.008315156781599331,0.02077423148850932,-0.037727545154490616,0.003321070809282789,False,False
B136,CAND,1.0,10.0,2,0.00017274348918117077,-0.006776386760360298,-0.021562134378723674,-0.01749914729040203,-0.0008887034980797903,0.008927084299900967,-0.021562134378723674,0.00017274348918117077,False,False
