uni,book,cost,family,reentry,arming,arm,s,fires,releases,blk_mean,terminal_blocked,blocked_day_frac,zero_day_frac,stuck,gross,TO,dSharpe,dd_gain,rate_DD,rate_gross,m_H1,m_H2,m_OOS,m_DD,m_CAGR,p4b,f4b,p4a,IS4b,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
u56,CAND20,25,STOP,nhigh,spy_below,s15%/nhigh/spy_below,0.15,106,102,282.3333333333333,4,0.9387103639072143,0.05405405405405406,True,0.646985992424483,8.625813837397745,-0.10856446831317978,0.04049859494082997,0.5767191423825013,0.6022522800716293,-0.044192600794175196,-0.022271602729326934,0.012917667869184801,0.05839488463384723,-0.01950627223537371,False,"H1,H2,CAGR",True,False,0.0870900426705925,0.8582652687906729,-0.14390852706654234,0.9124274318095162,0.811744334913115,0.8115620237529965,0.09413146082123758,0.894928435051469,-0.1439085270665431
u56,CAND20,25,STOP,nhigh,spy_below,s20%/nhigh/spy_below,0.2,49,48,288.2916666666667,1,0.9155139391359863,0.05405405405405406,True,0.6835300230545942,9.0904396646183,-0.07593248552407239,0.0132433221761733,1.1478987298822656,0.6022522800716293,-0.050494318345086664,0.048129041973264175,0.07088413516003678,0.031139611869190564,-0.011351949998852917,False,"H1,CAGR",False,False,0.0952443649071133,0.8908972515797803,-0.171163799831199,0.9061257142586048,0.8821449796157061,0.8099665653653461,0.1074934213268115,0.952894902342321,-0.17116379983119867
u56,CAND20,25,STOP,nhigh,spy_below,s25%/nhigh/spy_below,0.25,21,21,335.9047619047619,0,0.8210257501596084,0.05405405405405406,False,0.7012090236744275,9.355639377626067,-0.05757946346163234,-0.0009187522418612204,,0.6022522800716293,-0.07034949744484154,0.0992198191561735,0.12313539650506555,0.016977537451156044,-0.005754525631725627,False,"H1,CAGR",False,False,0.10084178927424059,0.9092502736422203,-0.18532587424923352,0.8862705351588499,0.9332357567986155,0.7830112736678176,0.11786202421990755,1.0051461636873498,-0.1853258742492333
u56,CAND20,25,STOP,bookhigh,always,s10%/bookhigh/always,0.1,89,38,49.55263157894737,51,0.9344541391785486,0.19110449031708873,True,0.13006476383354842,2.4240226475449336,-0.8734999050102529,0.09291087343542548,1.1620515392877553,0.6022522800716293,-0.8279686329130822,-0.8039163888638411,-0.7319874716327872,0.11080716312844274,-0.10411718078560794,False,"H1,H2,OOS,CAGR",False,False,0.002479134120358273,0.09332983209359984,-0.09149624857194683,0.1286513996906093,0.03009954877860093,0.10986053037238996,0.0011818669156105077,0.15002329554949695,-0.026094179848217824
u56,CAND20,25,STOP,bookhigh,always,s15%/bookhigh/always,0.15,169,161,261.58385093167703,8,0.7680357522877208,0.05405405405405406,True,0.5608646258543436,7.862313960481361,-0.21225840385684513,0.06691288636386405,0.7105820376449765,0.6022522800716293,-0.1812294973238412,-0.10097760676207179,-0.05635183440895852,0.08480917605688132,-0.043697052430543226,False,"H1,H2,OOS,CAGR",True,False,0.06289926247542299,0.7545713332470075,-0.11749423564350825,0.7753905352798502,0.7330383308803702,0.6780671761764504,0.06633902970125694,0.8256589327733257,-0.11749423564350792
u56,CAND20,25,STOP,bookhigh,always,s20%/bookhigh/always,0.2,73,71,244.6338028169014,2,0.6431155565013833,0.05405405405405406,True,0.6485210390747982,8.953912502265684,-0.13749379339814527,0.013243322176173744,2.1167566288503536,0.6022522800716293,-0.07841312403391199,-0.04842776901022694,-0.010242496071111717,0.03113961186919101,-0.02418284729781861,False,"H1,H2,OOS,CAGR",False,False,0.0824134676081476,0.8293359437057074,-0.17116379983119856,0.8782069085697795,0.785588168632215,0.7758276525321749,0.08880667958210364,0.8717682711111725,-0.17116379983119845
u56,CAND20,25,STOP,bookhigh,always,s25%/bookhigh/always,0.25,33,32,204.46875,1,0.47903809321132157,0.05405405405405406,True,0.6892343346108516,9.342281305840544,-0.09201107112913554,-0.0009187522418611094,,0.6022522800716293,-0.1023392317800591,0.06150136755249169,0.0996449802720486,0.016977537451156155,-0.012824349304971006,False,"H1,CAGR",False,False,0.09377196560099521,0.8748186659747171,-0.1853258742492334,0.8542808008236323,0.8955173051949337,0.737344533029169,0.10974876741507855,0.9816557474543328,-0.1853258742492334
u56,CAND20,25,STOP,bookhigh,spy_below,s10%/bookhigh/spy_below,0.1,59,9,55.666666666666664,50,0.8929559480740583,0.11172589912747392,True,0.19144245184556857,3.2842562132937316,-0.7302304205393614,0.07598220931475685,1.331681301456038,0.6022522800716293,-0.6684191171863083,-0.6098458994520505,-0.5329702901674053,0.09387849900777412,-0.09733404468118245,False,"H1,H2,OOS,CAGR",False,False,0.009262270224783764,0.23659931656449126,-0.10842491269261545,0.2882009154173831,0.2241700381903915,0.2627911323537028,0.005042136375888351,0.34904047701487895,-0.0312571494721261
u56,CAND20,25,STOP,bookhigh,spy_below,s15%/bookhigh/spy_below,0.15,106,106,287.6509433962264,0,0.5352202596297084,0.05405405405405406,False,0.605547088109058,8.434643241205755,-0.13768817588955262,0.03258476243862196,0.9860697826368433,0.6022522800716293,-0.08965046194177984,-0.04221963366171744,-0.00899459195104968,0.050481052131639226,-0.02828080690852708,False,"H1,H2,OOS,CAGR",True,False,0.07831550799743914,0.8291415612143,-0.15182235956875034,0.8669695706619116,0.7917963039807245,0.7769704159800879,0.08213134617891305,0.8730161752312345,-0.15182235956875068
u56,CAND20,25,STOP,bookhigh,spy_below,s20%/bookhigh/spy_below,0.2,49,49,302.38775510204084,0,0.5135135135135135,0.05405405405405406,False,0.656583277514945,9.020005589879496,-0.11907256996825433,0.013243322176173744,1.860152328622591,0.6022522800716293,-0.06640082947151826,-0.024591621985946777,0.010704633330060331,0.03113961186919101,-0.020784553878110734,False,"H1,H2,CAGR",False,False,0.08581176102785548,0.8477571671355983,-0.17116379983119856,0.8902192031321732,0.8094243156564952,0.7913944516629597,0.09230532560074778,0.8927154005123445,-0.17116379983119856
