panel,theta,cad,family,con,CAGR,Sharpe,MaxDD,H1,H2,isCAGR,isSharpe,isMaxDD,oCAGR,oSharpe,oMaxDD,p4a,f4b,pass4b
U56,0.06,Q,QUANTILE-F,DEGROSS,0.06777857177451607,1.1344313072205907,-0.12412223958239832,1.2759178756716123,1.031641054157035,0.06456876772526043,1.1848661379585745,-0.06625785004378504,0.070431463025461,1.1048210873455009,-0.12412223958239865,False,CAGR,False
U56,0.0,W,MA-THRESH,RESPREAD,0.11551466393347187,1.0913835754263106,-0.18623041492877745,1.1807114195285642,1.025985714122393,0.10560695653746976,1.0734444675159842,-0.10805187183281861,0.12374760726120404,1.107781355058995,-0.1862304149287769,False,,True
U56,0.0,W,MA-THRESH,DEGROSS,0.08177186272213732,1.1710014220220986,-0.12062094554854697,1.1973253510222097,1.1499770403373528,0.07144907915391152,1.0622414749654185,-0.0856953945286415,0.09035493707201114,1.2564849609396378,-0.12062094554854674,False,CAGR,False
U56,0.0,W,QUANTILE-M,RESPREAD,0.1315616754697786,1.1406326621642648,-0.20558608295700675,1.2437850090463871,1.0552711377388637,0.12612244924447258,1.1393186343280302,-0.12060141663285218,0.13606459409641491,1.1427137649501375,-0.2055860829570071,False,DD,False
U56,0.0,W,QUANTILE-M,DEGROSS,0.09370024642553121,1.1381160340921184,-0.15153043627621465,1.240810667512991,1.0523798029171159,0.09003786219966137,1.136361718946191,-0.08736734200328378,0.09672814238663752,1.1403780228210576,-0.15153043627621443,False,CAGR,False
U56,0.0,W,QUANTILE-F,RESPREAD,0.13225403528893365,1.1457427779774991,-0.20444043145972024,1.2522564177695663,1.057511582145969,0.12734680205912485,1.1494923149947032,-0.11949622791671388,0.13631477877137566,1.1439764028475083,-0.20444043145972013,False,DD,False
U56,0.0,W,QUANTILE-F,DEGROSS,0.09332092667368519,1.1452606820480848,-0.14788198175371803,1.2511974387158544,1.057400121894279,0.08983834955061942,1.1484558769680169,-0.08584087378580252,0.096199735955804,1.143890871940659,-0.14788198175371814,False,CAGR,False
U56,0.0,M,MA-THRESH,RESPREAD,0.1260094314002118,1.1593950929595147,-0.1820781888734181,1.2207120270382843,1.1151307823169634,0.11398704496360357,1.1174177139597457,-0.11434451065819007,0.13601612494262416,1.1930482167782164,-0.18207818887341853,False,,True
U56,0.0,M,MA-THRESH,DEGROSS,0.08897322132692254,1.2116139702352438,-0.11871487397329772,1.259031225255886,1.1684851120243422,0.08234783819992986,1.1367032563409358,-0.07761672658690066,0.09446453950946454,1.2722242528628822,-0.11871487397329794,False,CAGR,False
U56,0.0,M,QUANTILE-M,RESPREAD,0.1429988035902443,1.217132208333011,-0.20153311039761224,1.3241043233101624,1.1278989281832625,0.1380758226000054,1.2205621320820652,-0.11465487548817144,0.14707247775562804,1.2154424453755646,-0.20153311039761224,False,,True
U56,0.0,M,QUANTILE-M,DEGROSS,0.10140448543094371,1.2133515880702244,-0.14864720649745244,1.3189458004267316,1.1243885518865704,0.09808115138911333,1.2151944767552891,-0.08300717115970213,0.10415123720301933,1.2126946113015429,-0.14864720649745244,False,CAGR,False
U56,0.0,M,QUANTILE-F,RESPREAD,0.14283716331112806,1.2145788476554276,-0.2024007938184833,1.3208139560482879,1.1259229108152216,0.13786387927524157,1.2176865277764581,-0.11378173358430144,0.14695263051695728,1.2131435497927894,-0.20240079381848375,False,DD,False
U56,0.0,M,QUANTILE-F,DEGROSS,0.10038895451463015,1.21335062041808,-0.1466041656858108,1.318007436950845,1.1257738410235085,0.09683020528119113,1.2147118296986132,-0.08168603360132998,0.10333086134610303,1.2132046708942175,-0.1466041656858107,False,CAGR,False
U56,0.0,Q,MA-THRESH,RESPREAD,0.12467433351966539,1.113272629811537,-0.2213943596148632,1.3019935526201003,0.9708358697117675,0.1262270316682379,1.21440152632274,-0.12571956753032187,0.12339616262036412,1.045627191015553,-0.22139435961486342,False,DD,False
U56,0.0,Q,MA-THRESH,DEGROSS,0.08192989997546829,1.0134863552532538,-0.20584806043438875,1.1948534755877604,0.8778197130652956,0.080453858175354,1.0850083492018485,-0.09548992899680542,0.08314801372147484,0.968070753123494,-0.20584806043438864,False,DD|CAGR,False
U56,0.0,Q,QUANTILE-M,RESPREAD,0.13331866671256454,1.0946872746318925,-0.25622891380298607,1.2524801704653827,0.9686918088348936,0.13299966080475634,1.1527668032786271,-0.1280410027437503,0.13358166846946085,1.053966652686008,-0.25622891380298596,False,DD,False
U56,0.0,Q,QUANTILE-M,DEGROSS,0.09520953132016108,1.0948633603137263,-0.18849750984703606,1.2487425728104689,0.9706040599736806,0.09480668579011708,1.1487129486945034,-0.09402639086552245,0.09554168011983077,1.0566929683643438,-0.18849750984703606,False,CAGR,False
U56,0.0,Q,QUANTILE-F,RESPREAD,0.13268123448111835,1.0870298786949892,-0.2571656407889358,1.2393855563367926,0.9647998396770081,0.132140787807014,1.1407357129988922,-0.1313112595936552,0.13312688078281254,1.0492317318822013,-0.2571656407889358,False,DD,False
U56,0.0,Q,QUANTILE-F,DEGROSS,0.0938986674626614,1.0899179555760028,-0.18561955454457957,1.2389134644858029,0.9696558389429778,0.09320872031189142,1.1399821416923261,-0.09420980581571892,0.0944676699371878,1.0545322343588603,-0.1856195545445798,False,CAGR,False
U56,-0.06,W,MA-THRESH,RESPREAD,0.1165258358140564,1.1299909636662517,-0.1881373471273402,1.2429440161050076,1.0387518772309117,0.1132637601702291,1.148000183958804,-0.11075540024712516,0.11922172113510165,1.1176624146700238,-0.18813734712734076,False,,True
U56,-0.06,W,MA-THRESH,DEGROSS,0.09694508655030432,1.1661405382405168,-0.13881061204052514,1.2292274706505988,1.1116486868287547,0.09012009191257286,1.1123400661528642,-0.11027708609190268,0.10260256387983535,1.2089652189920703,-0.13881061204052536,False,CAGR,False
U56,-0.06,W,QUANTILE-M,RESPREAD,0.13168823531459828,1.1484659946583677,-0.2122983599817131,1.2365137835547,1.074849448872808,0.12763201422696513,1.1471136625822436,-0.12752915068349824,0.1350424612008334,1.150015972099687,-0.21229835998171298,False,DD,False
U56,-0.06,W,QUANTILE-M,DEGROSS,0.1142877152533135,1.1481136409561492,-0.1866513930455801,1.2359496919273698,1.0754016923343048,0.11040343500617955,1.1463387655689032,-0.11262788209030172,0.11749946838891479,1.1501258416326796,-0.18665139304558043,False,,True
U56,-0.06,W,QUANTILE-F,RESPREAD,0.1305931088804,1.1419755016287552,-0.21188486007785634,1.2333668974600687,1.0655318422188118,0.12659069520950061,1.1416976817792173,-0.12781451128812482,0.13390270594814369,1.1427244228620297,-0.211884860077856,False,DD,False
U56,-0.06,W,QUANTILE-F,DEGROSS,0.11181857058649869,1.141769718645601,-0.18374785250541714,1.232723735484124,1.0656341134099556,0.10837240359501799,1.1410303939692716,-0.11044367157896784,0.1146670586286247,1.142865482721764,-0.18374785250541703,False,,True
U56,-0.06,M,MA-THRESH,RESPREAD,0.1240155154997058,1.1618580353862988,-0.20223902382550707,1.2574169788735832,1.090508716486448,0.11697060959177552,1.166472735970116,-0.11400923348536729,0.1298555304587894,1.1611565332462692,-0.20223902382550718,False,,True
U56,-0.06,M,MA-THRESH,DEGROSS,0.10258087291035456,1.1612915638229622,-0.1726083907816265,1.2459653536633137,1.0921837176394995,0.09618371085009159,1.1364580423570632,-0.10070257265659355,0.10788166265508403,1.1814328867641875,-0.17260839078162615,False,CAGR,False
U56,-0.06,M,QUANTILE-M,RESPREAD,0.13400715985599976,1.1673280431456974,-0.2102142772981136,1.2813722325953931,1.0705886335214267,0.13337176898160807,1.1932249991905983,-0.12645840818119936,0.1345311358526975,1.1475229471718043,-0.2102142772981137,False,DD,False
U56,-0.06,M,QUANTILE-M,DEGROSS,0.11617026819875931,1.1668816521401135,-0.18464899179633554,1.2798997101238656,1.0716773456725963,0.11518291514839696,1.19146533870682,-0.11171344689014817,0.11698473134801679,1.148282702416058,-0.18464899179633565,False,,True
