panel,family,depth,bps,arm,thr,n_pool,empty,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,sd_across_draws,d_vs_S0,d_vs_SPY
U56,BUDGET,skip,25,S2_MAX_K400,,0.34,False,1.047465087930137,,,0.019938217940052336,-0.014292568482091372,0.16545410334045385
U56,BUDGET,skip,25,S3_EXACT_MAX,0.3,1.0,False,1.0197206902884306,0.12793819019879904,-0.20932153135807863,0.0,-0.042036966123797814,0.1377097056987474
U56,BUDGET,skip,25,S2_Q95_K20,,1.6825,False,1.0029844192898003,,,0.013540138533435032,-0.0587732371224281,0.12097343470011712
U56,BUDGET,skip,25,S2_Q95_K50,,1.335,False,1.010522657053646,,,0.013048732629922684,-0.051234999358582334,0.1285116724639629
U56,BUDGET,skip,25,S2_Q95_K100,,1.2875,False,1.0117675036568499,,,0.012535978294220616,-0.04999015275537855,0.12975651906716668
U56,BUDGET,skip,25,S2_Q95_K200,,1.15,False,1.015571201611084,,,0.009890129199275295,-0.04618645480114436,0.13356021702140086
U56,BUDGET,skip,25,S2_Q95_K400,,1.0425,False,1.018545001829849,,,0.005587412421872269,-0.04321265458237944,0.13653401724016578
U56,BUDGET,skip,25,S3_EXACT_Q95,0.3,1.0,False,1.0197206902884306,0.12793819019879904,-0.20932153135807863,0.0,-0.042036966123797814,0.1377097056987474
U56,BUDGET,skip,25,ORACLE_OOS,0.3,5.0,False,1.0197206902884306,0.12793819019879904,-0.20932153135807863,0.0,-0.042036966123797814,0.1377097056987474
U56,BUDGET,half,10,S0_do_nothing,,0.0,True,1.1774914098378444,0.14486780221909457,-0.1820705506780067,0.0,0.0,0.2954804252481612
U56,BUDGET,half,10,S1_IS_argmax,0.5,5.0,False,1.1464313452558323,0.14233445935247357,-0.1818217776995421,0.0,-0.031060064582012048,0.26442036066614916
U56,BUDGET,half,10,S2_MAX_K20,,1.825,False,1.1559306227793515,,,0.008067189679577131,-0.021560787058492847,0.27391963818966836
U56,BUDGET,half,10,S2_MAX_K50,,1.27,False,1.157706999976604,,,0.006579915297556066,-0.019784409861240304,0.2756960153869209
U56,BUDGET,half,10,S2_MAX_K100,,0.9125,False,1.1600460040373293,,,0.008766580276806213,-0.017445405800515124,0.2780350194476461
U56,BUDGET,half,10,S2_MAX_K200,,0.68,False,1.1626247159681662,,,0.010269945908717994,-0.014866693869678205,0.280613731378483
U56,BUDGET,half,10,S2_MAX_K400,,0.3325,False,1.1701952095254196,,,0.010350709185432263,-0.007296200312424839,0.28818422493573637
U56,BUDGET,half,10,S3_EXACT_MAX,0.3,2.0,False,1.1555479502516033,0.14363914537157063,-0.1818217776995421,0.0,-0.02194345958624111,0.2735369656619201
U56,BUDGET,half,10,S2_Q95_K20,,2.5925,False,1.1536948383263839,,,0.010533928080029885,-0.02379657151146053,0.2716838537367007
U56,BUDGET,half,10,S2_Q95_K50,,2.1175,False,1.153956605810123,,,0.004718609754881164,-0.023534804027721457,0.27194562122043975
U56,BUDGET,half,10,S2_Q95_K100,,2.1225,False,1.1542488340397061,,,0.0031908117485198286,-0.023242575798138265,0.27223784945002294
U56,BUDGET,half,10,S2_Q95_K200,,2.0375,False,1.155206077564262,,,0.0017341740726553297,-0.022285332273582314,0.2731950929745789
U56,BUDGET,half,10,S2_Q95_K400,,2.0,False,1.1555479502516035,,,2.223226821848096e-16,-0.021943459586240888,0.2735369656619203
U56,BUDGET,half,10,S3_EXACT_Q95,0.3,2.0,False,1.1555479502516033,0.14363914537157063,-0.1818217776995421,0.0,-0.02194345958624111,0.2735369656619201
U56,BUDGET,half,10,ORACLE_OOS,0.05,5.0,False,1.2057250646223874,0.15184105916609858,-0.18173759790414423,0.0,0.028233654784542983,0.3237140800327042
U56,BUDGET,half,25,S0_do_nothing,,0.0,True,1.0617576564122284,0.1289245657348439,-0.18334964014435562,0.0,0.0,0.17974667182254522
U56,BUDGET,half,25,S1_IS_argmax,0.05,5.0,False,1.1302916378294015,0.1411602147254718,-0.1825033809272213,0.0,0.06853398141717304,0.24828065323971826
U56,BUDGET,half,25,S2_MAX_K20,,1.0425,False,1.0442335322216052,,,0.006765692093754245,-0.017524124190623214,0.162222547631922
U56,BUDGET,half,25,S2_MAX_K50,,0.7925,False,1.048006021690124,,,0.0072724407591937415,-0.0137516347221045,0.16599503710044072
U56,BUDGET,half,25,S2_MAX_K100,,0.57,False,1.0519112989920458,,,0.008562802836849624,-0.009846357420182583,0.16990031440236264
U56,BUDGET,half,25,S2_MAX_K200,,0.3575,False,1.0555820901355348,,,0.008289319471298434,-0.006175566276693578,0.17357110554585164
U56,BUDGET,half,25,S2_MAX_K400,,0.05,False,1.0608939408490543,,,0.0037695637591959375,-0.0008637155631741056,0.17888295625937112
U56,BUDGET,half,25,S3_EXACT_MAX,0.3,1.0,False,1.0444833451487507,0.12816694363618986,-0.18282132057413825,0.0,-0.01727431126347767,0.16247236055906755
U56,BUDGET,half,25,S2_Q95_K20,,1.4425,False,1.0396059068141386,,,0.006922517212174983,-0.022151749598089854,0.15759492222445537
U56,BUDGET,half,25,S2_Q95_K50,,1.1975,False,1.0421431344353242,,,0.004723212460974701,-0.019614521976904165,0.16013214984564106
U56,BUDGET,half,25,S2_Q95_K100,,1.085,False,1.0434761658543643,,,0.0033086545137642753,-0.0182814905578641,0.16146518126468112
U56,BUDGET,half,25,S2_Q95_K200,,1.0125,False,1.044335230546635,,,0.001318120060793261,-0.017422425865593505,0.16232424595695172
U56,BUDGET,half,25,S2_Q95_K400,,1.0,False,1.0444833451487505,,,2.223226821848096e-16,-0.017274311263477893,0.16247236055906733
