panel,kind,etf_share,width,seed,theta,cad,family,window,ident_max_err,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,CAGR_rs0,CAGR_dg0
U56,anchor,0.6363636363636364,55,-1,0.0,Q,QUANTILE-F,FULL,3.469446951953614e-17,0.7121057024330679,0.007688763890208024,-3.930306686051055,-3.876782487829389,-0.0535241982216661,0.13438107824973056,0.09507801138922001
U56,anchor,0.6363636363636364,55,-1,0.0,Q,QUANTILE-F,IS,3.469446951953614e-17,0.7113828735630314,0.007326513244167001,-3.9299597893580396,-3.87314037279638,-0.056819416561659786,0.13334843822203246,0.09404884032845207
U56,anchor,0.6363636363636364,55,-1,0.0,Q,QUANTILE-F,OOS,3.469446951953614e-17,0.7127019694047751,0.00792723560137391,-3.930590792137423,-3.8797236277822833,-0.050867164355139494,0.13523361892931507,0.09592771100794084
U56,anchor,0.6363636363636364,55,-1,-0.06,W,MA-THRESH,FULL,4.85722573273506e-17,0.8571565037683351,0.16102827594810665,-2.199898351398377,-1.755917902211479,-0.44398044918689816,0.12183222128062066,0.09983323776663688
U56,anchor,0.6363636363636364,55,-1,-0.06,W,MA-THRESH,IS,4.85722573273506e-17,0.8481738556428776,0.15932428743993973,-2.545620331384746,-1.809223240857949,-0.7363970905267969,0.11798510743137469,0.09252890411752723
U56,anchor,0.6363636363636364,55,-1,-0.06,W,MA-THRESH,OOS,4.85722573273506e-17,0.8645663577707162,0.1620787170680627,-1.9120316223452338,-1.7070623728699275,-0.20496924947530637,0.12501569680989144,0.1058953805864391
U56,anchor,0.6363636363636364,55,-1,-0.06,W,QUANTILE-F,FULL,4.5102810375396984e-17,0.8577803114419653,0.0011778619285775917,-1.9313173581827048,-1.9237491188067946,-0.007568239375910224,0.13409315073490413,0.11477997715307708
U56,anchor,0.6363636363636364,55,-1,-0.06,W,QUANTILE-F,IS,4.5102810375396984e-17,0.857760199060823,0.0011332748191547634,-1.8665048658229821,-1.8579085988212896,-0.008596267001692581,0.12951828411267718,0.11085323545444736
U56,anchor,0.6363636363636364,55,-1,-0.06,W,QUANTILE-F,OOS,4.5102810375396984e-17,0.8577969022964465,0.0012133905983600923,-1.985131475003743,-1.9784041017797627,-0.006727373223980315,0.13788093629462295,0.11802962154458552
U56,anchor,0.6363636363636364,55,-1,-0.06,M,MA-THRESH,FULL,2.6020852139652106e-17,0.8572796625598478,0.1608761344049141,-2.2470458392902737,-1.825187252159255,-0.42185858713101876,0.1266523760038547,0.10418191761095197
