panel,theta,cad,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.2,Q,QUANTILE-F,3.903127820947816e-18,OOS,0.10549140559095574,0.006578267871630742,-20.05317687478072,-19.946820977247626,-0.1063558975330956,0.9946963068147645,0.22354806672196403,0.02301629797415683
U56,0.12,W,MA-THRESH,5.204170427930421e-18,FULL,0.231770052324682,0.14496164800466663,-17.201616196528935,-15.920006815504518,-1.281609381024417,0.9254948275567834,0.20635799635910912,0.03434183439381977
U56,0.12,W,MA-THRESH,5.204170427930421e-18,IS,0.21132215929170325,0.15440295683270142,-16.403645840646398,-15.202648923617579,-1.200996917028819,0.9267847569561102,0.19234679085720607,0.028310332450742104
U56,0.12,W,MA-THRESH,5.204170427930421e-18,OOS,0.2486376730880146,0.13439318174374557,-17.869590218828456,-16.48299258745338,-1.386597631375075,0.9224046206770834,0.21803978706652427,0.0393438848782397
U56,0.12,W,QUANTILE-M,3.469446951953614e-18,FULL,0.24153893870282553,0.005840383378187828,-13.218251433773176,-13.207457145943845,-0.010794287829330784,0.9991833800496674,0.17344006472152262,0.041257550383790864
U56,0.12,W,QUANTILE-M,3.469446951953614e-18,IS,0.24447561088491912,0.006276319184865356,-11.84979285669594,-11.854491282882517,0.004698426186577009,1.0003964985922873,0.15626715029684424,0.03776922172988484
U56,0.12,W,QUANTILE-M,3.469446951953614e-18,OOS,0.23911645573140683,0.0040962709621511755,-14.365401795610744,-14.349067278829741,-0.016334516781002506,0.9988629265638784,0.1877979408742534,0.04414392291814595
U56,0.12,W,QUANTILE-F,4.336808689942018e-18,FULL,0.23230346728697873,0.002202034726513112,-13.51651676094685,-13.504668750983884,-0.011848009962966088,0.9991234420692469,0.17523609497700932,0.04007092736754081
U56,0.12,W,QUANTILE-F,4.336808689942018e-18,IS,0.23222073705688895,0.0019883301355945607,-12.284822832024457,-12.280288874536627,-0.0045339574878298095,0.9996309301688902,0.15930370357632406,0.036455475256079506
U56,0.12,W,QUANTILE-F,4.336808689942018e-18,OOS,0.23237171207604174,0.0023620507281490433,-14.54806899865584,-14.529957067028398,-0.01811193162744118,0.9987550284763487,0.18854352178485856,0.04306283179830017
U56,0.12,M,MA-THRESH,5.204170427930421e-18,FULL,0.22872654621816815,0.13981950698557868,-16.724154719172233,-16.088323793140002,-0.6358309260322308,0.9619812817622808,0.20769880721163303,0.04045726001991068
U56,0.12,M,MA-THRESH,5.204170427930421e-18,IS,0.21049713190097116,0.15022598980139257,-17.821006901851778,-17.185459587607156,-0.6355473142446222,0.964337182643783,0.21629092900877311,0.038080859990255345
U56,0.12,M,MA-THRESH,5.204170427930421e-18,OOS,0.24376412720239102,0.12871451730273437,-15.823514135839577,-15.206929763885114,-0.6165843719544633,0.9610336637828176,0.2006568058087601,0.04242166445036433
U56,0.12,M,QUANTILE-M,3.469446951953614e-18,FULL,0.24269515488403956,0.007596833098984652,-14.427981092237152,-14.364986673308255,-0.06299441892889668,0.9956338715357209,0.1886581850740512,0.04437837415167967
U56,0.12,M,QUANTILE-M,3.469446951953614e-18,IS,0.2454586691281651,0.007776811908009791,-13.246961448458805,-13.194886394962623,-0.05207505349618202,0.9960689057865235,0.17383035824393822,0.04136074375935017
U56,0.12,M,QUANTILE-M,3.469446951953614e-18,OOS,0.24041551119807159,0.006629631254053989,-15.41564292084525,-15.349573230046154,-0.06606969079909675,0.9957141138298062,0.20103065009129484,0.04687422088284232
U56,0.12,M,QUANTILE-F,5.204170427930421e-18,FULL,0.23339607589627795,0.005145732426298198,-14.722605711341409,-14.654890934090247,-0.0677147772511617,0.9954006255021148,0.19018064124544232,0.04295458413202824
U56,0.12,M,QUANTILE-F,5.204170427930421e-18,IS,0.23314468390559082,0.004594057004092937,-13.753727366717516,-13.690125317212898,-0.06360204950461856,0.9953756499740914,0.17746307392993121,0.03992580026275605
U56,0.12,M,QUANTILE-F,5.204170427930421e-18,OOS,0.23360345104026034,0.005552142110759416,-15.531509349918448,-15.45991212808,-0.07159722183844863,0.9953901954906382,0.20077478282735206,0.045459689328167574
U56,0.12,Q,MA-THRESH,8.673617379884035e-18,FULL,0.22251836103793082,0.14177321532455195,-15.142380177760927,-14.807806819853763,-0.33457335790716414,0.9779048370216896,0.1903392117515077,0.03891540997389842
U56,0.12,Q,MA-THRESH,8.673617379884035e-18,IS,0.21162954243676554,0.14795677918886044,-18.154715212544236,-17.513140955307783,-0.6415742572364529,0.9646607369091007,0.22057378204686606,0.039026629921423694
