panel,rung,seed,cost,Sharpe,CAGR,MaxDD,OOS,H1,H2,turn,gross,fail4b
U56,2x,1577,10.0,0.9562528847157683,0.09139000567990752,-0.15296536100015157,1.0066049167354945,0.9880270839585504,0.9288482667161795,19.446725409034265,0.7195032573289902,CAGR
U56,2x,1578,10.0,0.9127222237852961,0.08684413339860098,-0.15846879513730228,0.9762671406392077,0.9172894593987568,0.9093899960603176,19.32363345277045,0.7195032573289902,H1+CAGR
U56,2x,1579,10.0,0.9392403527679017,0.08823702228947639,-0.16347979193179418,1.0773758239694535,0.8917200993755591,0.9843007158009558,19.534366812470505,0.7195032573289902,H1+CAGR
U56,2x,1580,10.0,0.9772078454544709,0.09281712278982956,-0.15210811544623204,1.10962670727439,0.9234838780748951,1.0281215418792071,19.00118132125987,0.7195032573289902,H1+CAGR
U56,2x,1581,10.0,0.8816137677677173,0.08249126524358918,-0.15432574862508353,0.869420382317751,1.0132228164502441,0.7610639964786429,19.33048633247987,0.7195032573289902,H2+OOS+CAGR
U56,2x,1582,10.0,0.8829710110090162,0.08304527975602993,-0.15153230180812027,0.9097426701749557,0.948266234003759,0.8269430656543593,18.948093834780003,0.7195032573289902,H1+CAGR
U56,2x,1583,10.0,0.928806761707592,0.08864318949446481,-0.17066328416731602,1.050694129847281,0.8920345338924858,0.9641680548587123,19.225459629475917,0.7195032573289902,H1+CAGR
U56,2x,1584,10.0,0.9500258903196648,0.08982614674265821,-0.1627609737242559,1.0430328936951012,0.9902383099568541,0.9162920425436286,19.414985319440156,0.7195032573289902,CAGR
U56,2x,1585,10.0,0.9695769395489747,0.09242912926321312,-0.14735812201027754,1.0820727801895447,0.9002912721246249,1.034629922137849,18.94641817104764,0.7195032573289902,H1+CAGR
U56,2x,1586,10.0,0.9601534899661408,0.0903200836371787,-0.15762762572898825,0.9975724290489693,0.9915985485348024,0.933436648392112,19.132145129221996,0.7195032573289902,CAGR
U56,2x,1587,10.0,0.9114115643387459,0.08556847024393721,-0.15674200208438271,1.0245197149371081,0.8690411464676107,0.951740326087732,19.58810569287645,0.7195032573289902,H1+CAGR
U56,2x,1588,10.0,0.8845872630300615,0.08510045144258616,-0.16875214759382196,0.9379948077021476,0.8646297172346419,0.9046169269012558,19.292191374688297,0.7195032573289902,H1+CAGR
U56,2x,1589,10.0,1.0072623177633568,0.09827092428575357,-0.16426821828019345,1.0088556650979879,1.071246758123072,0.9533169412454781,19.302112704165957,0.7195032573289902,CAGR
U56,2x,1590,10.0,0.9297933981671838,0.08945154754490048,-0.17382347464873493,0.9629088886016579,0.9949965732895205,0.8740311103687998,19.08174548751818,0.7195032573289902,CAGR
U56,2x,1591,10.0,0.9726681249367686,0.09434775955370855,-0.1584015910750214,0.9938754167170509,1.0276962834051107,0.9230814809207688,19.400507262422344,0.7195032573289902,CAGR
U56,2x,1592,10.0,1.0165982940050493,0.09734431101418162,-0.15235115191468773,1.1437637793594715,0.9804433601354121,1.0515451622727272,19.12621449135574,0.7195032573289902,CAGR
U56,2x,1593,10.0,0.8612972398846446,0.08134965418459927,-0.14680606725244383,0.9352418595469126,0.8514879410650958,0.872134023053316,19.472224618486123,0.7195032573289902,H1+CAGR
U56,2x,1594,10.0,0.9481564117809883,0.09108038128982998,-0.17052055288465096,1.0134899326613627,0.9257812141770367,0.9710569294210588,19.26493446084565,0.7195032573289902,H1+CAGR
U56,2x,1595,10.0,0.9132474720428152,0.08628558857338064,-0.15890609383638443,0.9934288697334731,0.9442166749552323,0.887120219734382,19.663240350779027,0.7195032573289902,H1+CAGR
U56,2x,1596,10.0,0.913464711286143,0.08648614365651275,-0.16562575600476048,0.98060916201971,0.9640014912357697,0.8694810207112212,19.233928361797552,0.7195032573289902,CAGR
U56,2x,1597,10.0,0.8451273154799991,0.07904798659074275,-0.16530273033286202,0.9440074555251253,0.8382402590970441,0.8526332452388868,19.13171576941938,0.7195032573289902,H1+CAGR
U56,2x,1598,10.0,0.9075256092414941,0.08629088459515266,-0.1468452069541858,0.9401211485680669,0.9543604603589447,0.8669175565811851,19.065072817290265,0.7195032573289902,H1+CAGR
U56,2x,1599,10.0,0.8413767178984247,0.07960231227069481,-0.16625556844898604,0.8871307174252261,0.9080366682085266,0.7827144998619181,19.167924607692857,0.7195032573289902,H1+H2+CAGR
U56,2x,1600,10.0,0.9349264937657158,0.08876475906672376,-0.1559265638667433,1.0022000210576116,0.9408226331268753,0.9308901467527539,19.443575172719715,0.7195032573289902,H1+CAGR
U56,2x,1601,10.0,1.0409185962318106,0.09971291793599968,-0.15844437655346122,1.1319980513713797,1.0371312294930213,1.0454452569253232,19.285562193385278,0.7195032573289902,CAGR
U56,2x,1602,10.0,0.946488871684631,0.09035223837360795,-0.1488703790752337,1.0380346618274974,0.9765935336844589,0.9187803828985162,19.084130248802065,0.7195032573289902,CAGR
U56,2x,1603,10.0,0.9838359456838601,0.09427849859769499,-0.15470136797655987,1.0776297494478042,0.9847779052068757,0.985330920298864,19.201601691951854,0.7195032573289902,CAGR
U56,2x,1604,10.0,1.0463699675904379,0.1003353929898747,-0.1401613853585848,1.1376021593841057,1.0650615824856133,1.0305636949699575,19.120949966476047,0.7195032573289902,CAGR
U56,2x,1605,10.0,0.9084641814789385,0.08595611052697749,-0.1647420691835113,1.0367121799111152,0.8342297397844438,0.9776819646919919,19.438674249325203,0.7195032573289902,H1+CAGR
U56,2x,1606,10.0,0.965265041506913,0.09172924017555917,-0.1603696545982115,1.117230911580231,0.9227383533466837,1.0060260245417008,19.068831438432195,0.7195032573289902,H1+CAGR
U56,2x,1607,10.0,0.9633434671967052,0.09134607466868849,-0.17301869169149608,1.0791552934662954,0.926301223944144,0.9989148053721195,19.43163791598898,0.7195032573289902,H1+CAGR
U56,2x,1608,10.0,0.9195588511066751,0.08671004993813791,-0.1424331109582223,0.9704387816345107,0.963676056220003,0.8803154431698669,19.76973055739611,0.7195032573289902,CAGR
U56,2x,1609,10.0,1.0172759522394583,0.097719096689306,-0.16489973304263728,1.110299550426788,1.0285083113625957,1.0089888351064555,19.427580541916885,0.7195032573289902,CAGR
U56,2x,1610,10.0,0.9179942052814754,0.0865483949590351,-0.16277459500721758,1.0832899955401651,0.8246685278724589,1.0058041324349598,19.52897117784294,0.7195032573289902,H1+CAGR
U56,2x,1611,10.0,0.9618021268343003,0.09187077428890977,-0.14763528168651174,1.0772736119369142,0.9130062131456551,1.008093775207597,19.2386589758757,0.7195032573289902,H1+CAGR
U56,2x,1612,10.0,0.9632098860020384,0.09168736714751291,-0.14994370595984485,1.0963743872218985,0.8940729645565543,1.028626552558911,19.33068154836161,0.7195032573289902,H1+CAGR
U56,2x,1613,10.0,1.036602673113436,0.09925203530311655,-0.14547682195964018,1.0794581734497557,1.098285193110654,0.9815573752171942,18.977798154301947,0.7195032573289902,CAGR
U56,2x,1614,10.0,0.9438359602940795,0.08889371406324442,-0.1638996189988574,1.0345411570813028,0.8607006807354414,1.0215889539778626,19.280268095036263,0.7195032573289902,H1+CAGR
U56,2x,1615,10.0,0.8534657386122226,0.08012518284871462,-0.14328205969235175,0.8981087953329164,0.9013426662584725,0.8123081435543312,19.02765227742636,0.7195032573289902,H1+H2+CAGR
