load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv

==================================================================================================================================================================================================================
UNIVERSE universe_broad.json (136, PRIMARY): 136 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
INDEX SANITY: 251.6 rows/yr (must be ~252; the calendar-day bug of idea 38 gave ~365)  -> OK trading-day index
SPY   CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS 0.884
RULES v1 @10bps  CAGR 6.44%  Sharpe 0.640  MaxDD -21.19%  halves 0.762/0.537
4b bars: Sharpe > 0.957(H1) / 0.837(H2) / 0.884(OOS), MaxDD <= 20.23%, CAGR >= 10.68%
mean eligible names E_t = 91.5
==================================================================================================================================================================================================================

--- universe_broad.json (136, PRIMARY) | gross convention MATCHED | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.100  1 CTRL 0.144   0.881 -0.215 1.086 0.715 False False         H2,OOS,DD
10 0.200  2   HI 0.119   0.798 -0.214 1.137 0.521 False False         H2,OOS,DD
10 0.200  2   LO 0.153   0.882 -0.249 1.166 0.647 False False         H2,OOS,DD
10 0.200  2 CTRL 0.150   0.893 -0.218 1.111 0.719 False False         H2,OOS,DD
10 0.300  3   HI 0.103   0.718 -0.204 1.034 0.456 False False    H2,OOS,DD,CAGR
10 0.300  3   LO 0.159   0.877 -0.251 1.120 0.678 False False         H2,OOS,DD
10 0.300  3 CTRL 0.163   0.928 -0.213 1.097 0.797 False False         H2,OOS,DD
10 0.500  5   HI 0.071   0.537 -0.220 0.871 0.255 False False H1,H2,OOS,DD,CAGR
10 0.500  5   LO 0.186   0.917 -0.328 1.058 0.804 False False         H2,OOS,DD
10 0.500  5 CTRL 0.167   0.877 -0.240 0.996 0.785 False False         H2,OOS,DD
20 0.000  0   HI 0.130   0.944 -0.201 1.105 0.805  True False                H2
20 0.100  2   HI 0.115   0.879 -0.192 1.067 0.714  True False            H2,OOS
20 0.100  2   LO 0.128   0.888 -0.240 1.063 0.737 False False         H2,OOS,DD
20 0.100  2 CTRL 0.132   0.936 -0.204 1.075 0.816  True False             H2,DD
20 0.200  4   HI 0.102   0.809 -0.192 1.003 0.642  True False       H2,OOS,CAGR
20 0.200  4   LO 0.137   0.903 -0.252 1.084 0.745 False False         H2,OOS,DD
20 0.200  4 CTRL 0.135   0.935 -0.210 1.094 0.799  True False         H2,OOS,DD
20 0.300  6   HI 0.087   0.723 -0.193 0.915 0.553  True False    H1,H2,OOS,CAGR
20 0.300  6   LO 0.130   0.827 -0.296 1.065 0.615 False False         H2,OOS,DD
20 0.300  6 CTRL 0.138   0.929 -0.216 1.154 0.739 False False         H2,OOS,DD
20 0.500 10   HI 0.087   0.752 -0.208 0.778 0.732  True False H1,H2,OOS,DD,CAGR
20 0.500 10   LO 0.158   0.917 -0.253 1.138 0.729 False False         H2,OOS,DD
20 0.500 10 CTRL 0.143   0.895 -0.214 1.118 0.711 False False         H2,OOS,DD
30 0.000  0   HI 0.122   0.953 -0.203 1.112 0.812  True False             H2,DD
30 0.100  3   HI 0.103   0.860 -0.198 1.027 0.713  True False       H2,OOS,CAGR
30 0.100  3   LO 0.124   0.925 -0.240 1.084 0.784 False False         H2,OOS,DD
30 0.100  3 CTRL 0.126   0.966 -0.203 1.114 0.835  True False             H2,DD
30 0.200  6   HI 0.097   0.834 -0.203 1.065 0.630  True False    H2,OOS,DD,CAGR
30 0.200  6   LO 0.122   0.858 -0.304 1.036 0.694 False False         H2,OOS,DD
30 0.200  6 CTRL 0.125   0.943 -0.201 1.091 0.812  True False                H2
30 0.300  9   HI 0.087   0.783 -0.197 0.979 0.609  True False       H2,OOS,CAGR
30 0.300  9   LO 0.137   0.943 -0.221 1.054 0.844 False False                DD
30 0.300  9 CTRL 0.128   0.942 -0.208 1.098 0.806  True False             H2,DD
30 0.500 15   HI 0.076   0.725 -0.187 0.821 0.645  True False    H1,H2,OOS,CAGR
30 0.500 15   LO 0.156   0.977 -0.247 1.206 0.777 False False         H2,OOS,DD
30 0.500 15 CTRL 0.133   0.911 -0.215 1.089 0.759 False False         H2,OOS,DD

==================================================================================================================================================================================================================
UNIVERSE universe.json (56): 56 names, 2008-01-02 -> 2026-09-03 | eval 2009-01-13 -> 2026-09-03 | IS <= 2016-12-31 | OOS >= 2017-01-01
INDEX SANITY: 251.6 rows/yr (must be ~252; the calendar-day bug of idea 38 gave ~365)  -> OK trading-day index
SPY   CAGR 15.26%  Sharpe 0.890  MaxDD -33.72%  halves 0.957/0.837  OOS 0.884
RULES v1 @10bps  CAGR 6.48%  Sharpe 0.666  MaxDD -13.83%  halves 0.641/0.692
4b bars: Sharpe > 0.957(H1) / 0.837(H2) / 0.884(OOS), MaxDD <= 20.23%, CAGR >= 10.68%
mean eligible names E_t = 37.5
==================================================================================================================================================================================================================

--- universe.json (56) | gross convention MATCHED | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.894  0.750 12.560 0.154   1.043 -0.206 1.025 1.067    1.094  0.174  -0.206 False False             DD
10 0.100  1   HI  8.894  0.750 15.205 0.143   1.017 -0.199 0.919 1.106    1.150  0.177  -0.199 False False             H1
10 0.100  1   LO  8.894  0.750 14.645 0.158   1.022 -0.204 1.016 1.035    1.065  0.178  -0.204 False False             DD
10 0.100  1 CTRL  8.930  0.750 12.805 0.157   1.035 -0.211 1.002 1.071    1.103  0.182  -0.211 False False             DD
10 0.200  2   HI  7.894  0.750 17.157 0.120   0.902 -0.206 0.890 0.918    1.003  0.144  -0.206 False False          H1,DD
10 0.200  2   LO  7.894  0.750 15.854 0.168   1.027 -0.209 1.029 1.035    1.056  0.186  -0.209 False False             DD
10 0.200  2 CTRL  7.958  0.750 13.309 0.166   1.047 -0.213 0.989 1.105    1.133  0.197  -0.213 False False             DD
10 0.300  3   HI  6.894  0.750 18.944 0.111   0.861 -0.208 0.840 0.887    0.939  0.130  -0.208 False False          H1,DD
10 0.300  3   LO  6.894  0.750 17.549 0.178   1.033 -0.214 1.021 1.052    1.061  0.198  -0.214 False False             DD
10 0.300  3 CTRL  6.978  0.750 13.956 0.170   1.026 -0.215 0.952 1.097    1.105  0.201  -0.215 False False          H1,DD
10 0.500  5   HI  4.896  0.745 23.809 0.104   0.849 -0.196 0.741 0.945    0.994  0.133  -0.196 False False        H1,CAGR
10 0.500  5   LO  4.896  0.745 20.951 0.165   0.879 -0.298 0.971 0.805    0.819  0.160  -0.298 False False      H2,OOS,DD
10 0.500  5 CTRL  4.998  0.750 15.153 0.199   1.062 -0.241 1.037 1.094    1.091  0.225  -0.241 False False             DD
20 0.000  0   HI 19.163  0.750 10.403 0.123   1.027 -0.188 1.133 0.948    1.016  0.129  -0.188 False  True              -
20 0.100  2   HI 17.163  0.750 12.544 0.106   0.954 -0.184 1.082 0.854    0.961  0.113  -0.184 False False           CAGR
20 0.100  2   LO 17.163  0.750 12.342 0.127   0.991 -0.196 1.108 0.904    0.969  0.132  -0.196 False  True              -
20 0.100  2 CTRL 17.377  0.750 10.670 0.126   1.023 -0.188 1.144 0.934    1.005  0.132  -0.188 False  True              -
20 0.200  4   HI 15.164  0.749 14.266 0.087   0.841 -0.194 0.995 0.720    0.821  0.090  -0.194 False False    H2,OOS,CAGR
20 0.200  4   LO 15.164  0.749 13.851 0.134   0.960 -0.227 1.082 0.871    0.933  0.138  -0.227 False False             DD
20 0.200  4 CTRL 15.557  0.750 11.071 0.133   1.039 -0.190 1.148 0.960    1.016  0.139  -0.190 False  True              -
20 0.300  6   HI 13.173  0.741 15.905 0.083   0.842 -0.176 0.971 0.742    0.842  0.088  -0.176 False False    H2,OOS,CAGR
20 0.300  6   LO 13.173  0.741 15.129 0.132   0.905 -0.258 1.068 0.771    0.829  0.124  -0.258 False False      H2,OOS,DD
20 0.300  6 CTRL 13.701  0.750 11.282 0.139   1.043 -0.196 1.138 0.977    1.028  0.147  -0.196 False  True              -
20 0.500 10   HI  9.269  0.721 18.726 0.069   0.774 -0.173 0.870 0.700    0.812  0.078  -0.173 False False H1,H2,OOS,CAGR
20 0.500 10   LO  9.269  0.721 16.965 0.159   1.019 -0.203 1.124 0.937    0.973  0.159  -0.203 False False             DD
20 0.500 10 CTRL  9.894  0.750 12.560 0.154   1.043 -0.206 1.025 1.067    1.094  0.174  -0.206 False False             DD
30 0.000  0   HI 27.597  0.750  8.916 0.113   1.050 -0.167 1.088 1.021    1.113  0.126  -0.167 False  True              -
30 0.100  3   HI 24.597  0.750 11.056 0.091   0.926 -0.164 1.012 0.854    0.972  0.099  -0.164 False False           CAGR
30 0.100  3   LO 24.597  0.750 11.150 0.123   1.022 -0.190 1.056 0.999    1.079  0.137  -0.190 False  True              -
30 0.100  3 CTRL 25.153  0.750  9.240 0.118   1.062 -0.170 1.100 1.036    1.119  0.131  -0.170 False  True              -
30 0.200  6   HI 21.606  0.741 12.575 0.083   0.912 -0.159 1.023 0.816    0.945  0.089  -0.159 False False        H2,CAGR
30 0.200  6   LO 21.606  0.741 12.729 0.122   0.928 -0.244 1.051 0.822    0.909  0.123  -0.244 False False          H2,DD
30 0.200  6 CTRL 22.632  0.750  9.654 0.118   1.038 -0.174 1.080 1.010    1.087  0.132  -0.174 False  True              -
30 0.300  9   HI 18.667  0.723 13.544 0.072   0.854 -0.157 0.912 0.804    0.936  0.083  -0.157 False False     H1,H2,CAGR
30 0.300  9   LO 18.667  0.723 13.874 0.139   1.032 -0.205 1.068 1.006    1.076  0.151  -0.205 False False             DD
30 0.300  9 CTRL 20.042  0.750 10.183 0.121   1.029 -0.181 1.119 0.962    1.037  0.130  -0.181 False  True              -
30 0.500 15   HI 12.963  0.693 15.589 0.066   0.881 -0.130 0.857 0.904    1.033  0.080  -0.130  True False        H1,CAGR
30 0.500 15   LO 12.963  0.693 16.386 0.145   1.033 -0.209 1.052 1.018    1.084  0.158  -0.209 False False             DD
30 0.500 15 CTRL 14.634  0.750 11.220 0.135   1.035 -0.191 1.138 0.962    1.012  0.141  -0.191 False  True              -

--- universe.json (56) | gross convention MATCHED | 25 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b             fails
10 0.000  0   HI  9.894  0.750 12.560 0.132   0.915 -0.207 0.884 0.948    0.976  0.153  -0.207 False False             H1,DD
10 0.100  1   HI  8.894  0.750 15.205 0.118   0.855 -0.201 0.740 0.957    1.001  0.151  -0.201 False False                H1
10 0.100  1   LO  8.894  0.750 14.645 0.133   0.880 -0.206 0.866 0.900    0.931  0.152  -0.206 False False             H1,DD
10 0.100  1 CTRL  8.930  0.750 12.805 0.135   0.909 -0.212 0.863 0.955    0.987  0.160  -0.212 False False             H1,DD
10 0.200  2   HI  7.894  0.750 17.157 0.091   0.712 -0.208 0.683 0.741    0.826  0.115  -0.208 False False H1,H2,OOS,DD,CAGR
10 0.200  2   LO  7.894  0.750 15.854 0.140   0.882 -0.216 0.876 0.894    0.918  0.158  -0.216 False False             H1,DD
10 0.200  2 CTRL  7.958  0.750 13.309 0.143   0.922 -0.213 0.852 0.987    1.017  0.174  -0.213 False False             H1,DD
10 0.300  3   HI  6.894  0.750 18.944 0.080   0.646 -0.210 0.603 0.686    0.740  0.099  -0.210 False False H1,H2,OOS,DD,CAGR
10 0.300  3   LO  6.894  0.750 17.549 0.148   0.881 -0.216 0.860 0.906    0.916  0.166  -0.216 False False             H1,DD
10 0.300  3 CTRL  6.978  0.750 13.956 0.146   0.901 -0.216 0.814 0.980    0.989  0.176  -0.216 False False             H1,DD
10 0.500  5   HI  4.896  0.745 23.809 0.066   0.565 -0.220 0.429 0.681    0.728  0.093  -0.220 False False H1,H2,OOS,DD,CAGR
10 0.500  5   LO  4.896  0.745 20.951 0.129   0.718 -0.333 0.807 0.645    0.662  0.123  -0.333 False False      H1,H2,OOS,DD
10 0.500  5 CTRL  4.998  0.750 15.153 0.172   0.940 -0.246 0.907 0.978    0.975  0.196  -0.246 False False             H1,DD
20 0.000  0   HI 19.163  0.750 10.403 0.105   0.897 -0.189 0.995 0.823    0.891  0.111  -0.189 False False           H2,CAGR
20 0.100  2   HI 17.163  0.750 12.544 0.085   0.785 -0.200 0.907 0.690    0.797  0.092  -0.200 False False    H1,H2,OOS,CAGR
20 0.100  2   LO 17.163  0.750 12.342 0.107   0.847 -0.203 0.956 0.766    0.832  0.111  -0.203 False False H1,H2,OOS,DD,CAGR
20 0.100  2 CTRL 17.377  0.750 10.670 0.108   0.893 -0.190 1.004 0.810    0.882  0.114  -0.190 False False            H2,OOS
20 0.200  4   HI 15.164  0.749 14.266 0.064   0.639 -0.221 0.784 0.523    0.624  0.066  -0.221 False False H1,H2,OOS,DD,CAGR
20 0.200  4   LO 15.164  0.749 13.851 0.110   0.813 -0.250 0.924 0.731    0.792  0.114  -0.250 False False      H1,H2,OOS,DD
20 0.200  4 CTRL 15.557  0.750 11.071 0.114   0.908 -0.191 1.007 0.837    0.894  0.120  -0.191 False  True                 -
20 0.300  6   HI 13.173  0.741 15.905 0.058   0.606 -0.193 0.723 0.514    0.613  0.062  -0.193 False False    H1,H2,OOS,CAGR
20 0.300  6   LO 13.173  0.741 15.129 0.106   0.752 -0.292 0.905 0.627    0.684  0.099  -0.292 False False H1,H2,OOS,DD,CAGR
20 0.300  6 CTRL 13.701  0.750 11.282 0.120   0.916 -0.198 0.997 0.860    0.913  0.128  -0.198 False  True                 -
20 0.500 10   HI  9.269  0.721 18.726 0.040   0.468 -0.180 0.540 0.413    0.520  0.047  -0.180 False False    H1,H2,OOS,CAGR
20 0.500 10   LO  9.269  0.721 16.965 0.130   0.857 -0.224 0.949 0.784    0.822  0.130  -0.224 False False      H1,H2,OOS,DD
20 0.500 10 CTRL  9.894  0.750 12.560 0.132   0.915 -0.207 0.884 0.948    0.976  0.153  -0.207 False False             H1,DD
30 0.000  0   HI 27.597  0.750  8.916 0.099   0.925 -0.169 0.963 0.897    0.991  0.111  -0.169 False False              CAGR
30 0.100  3   HI 24.597  0.750 11.056 0.073   0.758 -0.175 0.848 0.682    0.804  0.080  -0.175 False False    H1,H2,OOS,CAGR
30 0.100  3   LO 24.597  0.750 11.150 0.104   0.883 -0.210 0.915 0.861    0.942  0.117  -0.210 False False        H1,DD,CAGR
30 0.100  3 CTRL 25.153  0.750  9.240 0.103   0.937 -0.171 0.973 0.911    0.996  0.115  -0.171 False False              CAGR
30 0.200  6   HI 21.606  0.741 12.575 0.063   0.707 -0.190 0.822 0.607    0.739  0.068  -0.190 False False    H1,H2,OOS,CAGR
30 0.200  6   LO 21.606  0.741 12.729 0.101   0.785 -0.271 0.905 0.681    0.770  0.101  -0.271 False False H1,H2,OOS,DD,CAGR
30 0.200  6 CTRL 22.632  0.750  9.654 0.102   0.911 -0.176 0.948 0.885    0.964  0.115  -0.176 False False           H1,CAGR
30 0.300  9   HI 18.667  0.723 13.544 0.051   0.617 -0.183 0.674 0.568    0.703  0.060  -0.183 False False    H1,H2,OOS,CAGR
30 0.300  9   LO 18.667  0.723 13.874 0.115   0.877 -0.207 0.904 0.858    0.929  0.128  -0.207 False False             H1,DD
30 0.300  9 CTRL 20.042  0.750 10.183 0.104   0.899 -0.183 0.983 0.837    0.912  0.112  -0.183 False False           H2,CAGR
30 0.500 15   HI 12.963  0.693 15.589 0.041   0.571 -0.152 0.534 0.606    0.735  0.056  -0.138 False False    H1,H2,OOS,CAGR
30 0.500 15   LO 12.963  0.693 16.386 0.117   0.857 -0.217 0.863 0.854    0.920  0.131  -0.217 False False             H1,DD
30 0.500 15 CTRL 14.634  0.750 11.220 0.116   0.906 -0.192 0.995 0.842    0.893  0.122  -0.192 False  True                 -

--- universe.json (56) | gross convention LITERAL | 10 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.894  0.742 12.208 0.152   1.038 -0.206 1.030 1.054    1.082  0.171  -0.206 False False             DD
10 0.100  1   HI  8.894  0.667 13.298 0.127   1.006 -0.180 0.928 1.079    1.125  0.154  -0.180 False False             H1
10 0.100  1   LO  8.894  0.667 12.814 0.140   1.015 -0.185 1.022 1.017    1.049  0.155  -0.185 False  True              -
10 0.100  1 CTRL  8.930  0.744 12.520 0.155   1.028 -0.211 1.004 1.056    1.089  0.179  -0.211 False False             DD
10 0.200  2   HI  7.894  0.592 13.333 0.096   0.904 -0.167 0.898 0.915    1.001  0.115  -0.167 False False        H1,CAGR
10 0.200  2   LO  7.894  0.592 12.286 0.132   1.020 -0.170 1.035 1.017    1.040  0.144  -0.170 False  True              -
10 0.200  2 CTRL  7.958  0.746 13.091 0.165   1.041 -0.213 0.992 1.091    1.120  0.194  -0.213 False False             DD
10 0.300  3   HI  6.894  0.517 12.864 0.078   0.866 -0.148 0.846 0.890    0.943  0.092  -0.148 False False        H1,CAGR
10 0.300  3   LO  6.894  0.517 11.882 0.122   1.022 -0.153 1.029 1.024    1.036  0.132  -0.153 False  True              -
10 0.300  3 CTRL  6.978  0.748 13.799 0.168   1.020 -0.215 0.953 1.084    1.093  0.198  -0.215 False False          H1,DD
10 0.500  5   HI  4.896  0.367 11.637 0.053   0.855 -0.100 0.749 0.950    0.999  0.067  -0.100  True False        H1,CAGR
10 0.500  5   LO  4.896  0.367 10.218 0.086   0.904 -0.123 0.972 0.853    0.864  0.087  -0.123  True False       OOS,CAGR
10 0.500  5 CTRL  4.998  0.750 15.105 0.199   1.061 -0.241 1.037 1.093    1.090  0.224  -0.241 False False             DD
20 0.000  0   HI 19.163  0.719  9.237 0.121   1.047 -0.188 1.146 0.972    1.042  0.128  -0.188 False  True              -
20 0.100  2   HI 17.163  0.644  9.959 0.096   0.989 -0.167 1.102 0.901    1.009  0.104  -0.167 False False           CAGR
20 0.100  2   LO 17.163  0.644  9.738 0.112   1.019 -0.177 1.126 0.936    1.004  0.117  -0.177 False  True              -
20 0.100  2 CTRL 17.377  0.724  9.707 0.124   1.038 -0.188 1.160 0.945    1.018  0.130  -0.188 False  True              -
20 0.200  4   HI 15.164  0.569  9.957 0.074   0.909 -0.147 1.008 0.833    0.929  0.081  -0.147 False False        H2,CAGR
20 0.200  4   LO 15.164  0.569  9.574 0.105   1.022 -0.159 1.120 0.948    1.013  0.110  -0.159 False False           CAGR
20 0.200  4 CTRL 15.557  0.729 10.294 0.131   1.048 -0.190 1.162 0.963    1.021  0.136  -0.190 False  True              -
20 0.300  6   HI 13.173  0.494  9.791 0.061   0.890 -0.125 0.980 0.822    0.920  0.067  -0.125  True False        H2,CAGR
20 0.300  6   LO 13.173  0.494  9.169 0.094   1.003 -0.142 1.091 0.937    0.990  0.099  -0.142 False False           CAGR
20 0.300  6 CTRL 13.701  0.734 10.678 0.137   1.046 -0.196 1.148 0.972    1.025  0.144  -0.196 False  True              -
20 0.500 10   HI  9.269  0.348  8.488 0.037   0.818 -0.088 0.880 0.774    0.881  0.042  -0.088  True False H1,H2,OOS,CAGR
20 0.500 10   LO  9.269  0.348  7.578 0.077   1.026 -0.105 1.095 0.977    1.013  0.081  -0.105  True False           CAGR
20 0.500 10 CTRL  9.894  0.742 12.208 0.152   1.038 -0.206 1.030 1.054    1.082  0.171  -0.206 False False             DD
30 0.000  0   HI 27.597  0.690  6.704 0.109   1.097 -0.158 1.105 1.094    1.193  0.124  -0.158 False  True              -
30 0.100  3   HI 24.597  0.615  7.349 0.083   1.004 -0.139 1.031 0.984    1.105  0.095  -0.139 False False           CAGR
30 0.100  3   LO 24.597  0.615  7.331 0.103   1.089 -0.149 1.089 1.092    1.183  0.117  -0.149 False False           CAGR
30 0.100  3 CTRL 25.153  0.699  7.334 0.114   1.097 -0.169 1.113 1.089    1.177  0.129  -0.169 False  True              -
30 0.200  6   HI 21.606  0.540  7.344 0.068   0.996 -0.116 1.022 0.974    1.103  0.079  -0.116  True False           CAGR
30 0.200  6   LO 21.606  0.540  7.368 0.096   1.084 -0.145 1.090 1.082    1.173  0.109  -0.145 False False           CAGR
30 0.200  6 CTRL 22.632  0.707  8.067 0.115   1.063 -0.176 1.087 1.049    1.129  0.130  -0.176 False  True              -
30 0.300  9   HI 18.667  0.467  7.142 0.053   0.920 -0.098 0.901 0.940    1.072  0.063  -0.098  True False        H1,CAGR
30 0.300  9   LO 18.667  0.467  7.288 0.088   1.093 -0.132 1.060 1.127    1.204  0.103  -0.132  True False           CAGR
30 0.300  9 CTRL 20.042  0.716  8.916 0.119   1.050 -0.181 1.130 0.991    1.068  0.129  -0.181 False  True              -
30 0.500 15   HI 12.963  0.324  6.125 0.034   0.928 -0.061 0.907 0.948    1.079  0.041  -0.059  True False        H1,CAGR
30 0.500 15   LO 12.963  0.324  6.466 0.064   1.028 -0.091 0.966 1.088    1.158  0.077  -0.091  True False           CAGR
30 0.500 15 CTRL 14.634  0.732 10.533 0.133   1.040 -0.191 1.148 0.959    1.011  0.138  -0.191 False  True              -

--- universe.json (56) | gross convention LITERAL | 25 bps | ALL grid points ---
 K     d  D  arm   held  gross   turn  CAGR  Sharpe  MaxDD    H1    H2  oSharpe  oCAGR  oMaxDD   p4a   p4b          fails
10 0.000  0   HI  9.894  0.742 12.208 0.131   0.913 -0.207 0.890 0.939    0.968  0.150  -0.207 False False          H1,DD
10 0.100  1   HI  8.894  0.667 13.298 0.105   0.848 -0.182 0.751 0.935    0.981  0.132  -0.182 False False        H1,CAGR
10 0.100  1   LO  8.894  0.667 12.814 0.118   0.876 -0.186 0.873 0.886    0.918  0.133  -0.186 False False             H1
10 0.100  1 CTRL  8.930  0.744 12.520 0.134   0.904 -0.212 0.865 0.943    0.976  0.157  -0.212 False False          H1,DD
10 0.200  2   HI  7.894  0.592 13.333 0.075   0.718 -0.168 0.693 0.745    0.831  0.093  -0.168 False False H1,H2,OOS,CAGR
10 0.200  2   LO  7.894  0.592 12.286 0.111   0.878 -0.172 0.883 0.881    0.906  0.123  -0.172 False False             H1
10 0.200  2 CTRL  7.958  0.746 13.091 0.142   0.917 -0.213 0.855 0.976    1.006  0.171  -0.213 False False          H1,DD
10 0.300  3   HI  6.894  0.517 12.864 0.058   0.656 -0.150 0.612 0.698    0.751  0.071  -0.150 False False H1,H2,OOS,CAGR
10 0.300  3   LO  6.894  0.517 11.882 0.102   0.873 -0.154 0.869 0.883    0.895  0.112  -0.154 False False        H1,CAGR
10 0.300  3 CTRL  6.978  0.748 13.799 0.144   0.895 -0.216 0.815 0.969    0.979  0.173  -0.216 False False          H1,DD
10 0.500  5   HI  4.896  0.367 11.637 0.035   0.577 -0.111 0.441 0.693    0.739  0.049  -0.111 False False H1,H2,OOS,CAGR
10 0.500  5   LO  4.896  0.367 10.218 0.069   0.744 -0.140 0.807 0.695    0.708  0.070  -0.140 False False H1,H2,OOS,CAGR
10 0.500  5 CTRL  4.998  0.750 15.105 0.172   0.940 -0.246 0.907 0.977    0.975  0.196  -0.246 False False          H1,DD
20 0.000  0   HI 19.163  0.719  9.237 0.105   0.927 -0.189 1.016 0.859    0.929  0.112  -0.189 False False           CAGR
20 0.100  2   HI 17.163  0.644  9.959 0.080   0.836 -0.168 0.938 0.757    0.863  0.088  -0.168 False False H1,H2,OOS,CAGR
20 0.100  2   LO 17.163  0.644  9.738 0.096   0.886 -0.179 0.982 0.812    0.880  0.101  -0.179 False False    H2,OOS,CAGR
20 0.100  2 CTRL 17.377  0.724  9.707 0.108   0.916 -0.190 1.027 0.833    0.905  0.114  -0.190 False False             H2
20 0.200  4   HI 15.164  0.569  9.957 0.059   0.728 -0.148 0.814 0.662    0.758  0.065  -0.148 False False H1,H2,OOS,CAGR
20 0.200  4   LO 15.164  0.569  9.574 0.090   0.883 -0.161 0.968 0.817    0.882  0.095  -0.161 False False    H2,OOS,CAGR
20 0.200  4 CTRL 15.557  0.729 10.294 0.114   0.924 -0.191 1.025 0.849    0.907  0.119  -0.191 False  True              -
20 0.300  6   HI 13.173  0.494  9.791 0.046   0.677 -0.127 0.752 0.621    0.716  0.051  -0.127 False False H1,H2,OOS,CAGR
20 0.300  6   LO 13.173  0.494  9.169 0.079   0.857 -0.143 0.930 0.802    0.855  0.084  -0.143 False False H1,H2,OOS,CAGR
20 0.300  6 CTRL 13.701  0.734 10.678 0.119   0.924 -0.198 1.009 0.862    0.916  0.126  -0.198 False  True              -
20 0.500 10   HI  9.269  0.348  8.488 0.024   0.538 -0.090 0.578 0.509    0.611  0.029  -0.090 False False H1,H2,OOS,CAGR
20 0.500 10   LO  9.269  0.348  7.578 0.064   0.874 -0.106 0.928 0.835    0.871  0.068  -0.106  True False H1,H2,OOS,CAGR
20 0.500 10 CTRL  9.894  0.742 12.208 0.131   0.913 -0.207 0.890 0.939    0.968  0.150  -0.207 False False          H1,DD
30 0.000  0   HI 27.597  0.690  6.704 0.098   0.995 -0.159 1.001 0.994    1.093  0.113  -0.159 False False           CAGR
30 0.100  3   HI 24.597  0.615  7.349 0.071   0.871 -0.140 0.897 0.850    0.973  0.082  -0.140 False False        H1,CAGR
30 0.100  3   LO 24.597  0.615  7.331 0.091   0.972 -0.151 0.969 0.979    1.069  0.105  -0.151 False False           CAGR
30 0.100  3 CTRL 25.153  0.699  7.334 0.102   0.991 -0.170 1.003 0.986    1.073  0.117  -0.170 False False           CAGR
30 0.200  6   HI 21.606  0.540  7.344 0.057   0.836 -0.117 0.864 0.813    0.942  0.066  -0.117  True False     H1,H2,CAGR
30 0.200  6   LO 21.606  0.540  7.368 0.084   0.959 -0.146 0.960 0.962    1.053  0.097  -0.146 False False           CAGR
30 0.200  6 CTRL 22.632  0.707  8.067 0.102   0.951 -0.177 0.968 0.942    1.023  0.116  -0.177 False False           CAGR
30 0.300  9   HI 18.667  0.467  7.142 0.041   0.734 -0.099 0.714 0.753    0.884  0.052  -0.099  True False H1,H2,OOS,CAGR
30 0.300  9   LO 18.667  0.467  7.288 0.077   0.958 -0.133 0.916 0.998    1.075  0.091  -0.133  True False        H1,CAGR
30 0.300  9 CTRL 20.042  0.716  8.916 0.104   0.932 -0.183 1.004 0.880    0.956  0.114  -0.183 False False           CAGR
30 0.500 15   HI 12.963  0.324  6.125 0.025   0.678 -0.067 0.653 0.702    0.829  0.031  -0.060  True False H1,H2,OOS,CAGR
30 0.500 15   LO 12.963  0.324  6.466 0.054   0.872 -0.091 0.793 0.944    1.013  0.066  -0.091  True False        H1,CAGR
30 0.500 15 CTRL 14.634  0.732 10.533 0.115   0.916 -0.192 1.008 0.847    0.900  0.120  -0.192 False  True              -

--- universe.json (56) | HI minus CTRL (MATCHED gross, 10 bps) — 'does the vol screen beat simply holding K-D names?' ---
 K       d  D  dS_HI_CTRL  dC_HI_CTRL  dS_LO_CTRL  dC_LO_CTRL  dS_HI_LO  dC_HI_LO
10 +0.1000  1     -0.0183     -0.0140     -0.0134     +0.0007   -0.0050   -0.0148
10 +0.2000  2     -0.1458     -0.0465     -0.0204     +0.0011   -0.1254   -0.0476
10 +0.3000  3     -0.1651     -0.0592     +0.0064     +0.0085   -0.1715   -0.0677
10 +0.5000  5     -0.2128     -0.0947     -0.1830     -0.0337   -0.0298   -0.0610
20 +0.1000  2     -0.0692     -0.0202     -0.0322     +0.0012   -0.0371   -0.0214
20 +0.2000  4     -0.1974     -0.0454     -0.0782     +0.0010   -0.1192   -0.0464
20 +0.3000  6     -0.2015     -0.0555     -0.1382     -0.0074   -0.0632   -0.0481
