panel,anchor,cost_bps,chooser,pick_H,anchor_H,reach_anchor,pick_is_FAST,pick_OOS_S,anchor_OOS_S,delta_vs_anchor,ladder_mean_OOS_S,best_OOS_S,worst_OOS_S,spy_OOS_S,pick_OOS_CAGR,pick_OOS_DD,anchor_OOS_CAGR,anchor_OOS_DD,spy_OOS_CAGR,spy_OOS_DD,rank_IS_OOS,keep4b,fail4b,keep4a,fail4a
B135,A,0.0,C_ISCAGR,21,126,0,1,1.0471053380071362,1.0318070287949073,0.015298309212228967,1.0017360395674992,1.0616979472852506,0.91094816397449,0.8769078511614361,0.16465276063966616,-0.25614955958680297,0.16422215641898896,-0.2061899124811417,0.15331427255204866,-0.3371595330739301,-0.2,False,L_DD,False,"A_H2,A_DD"
B135,A,0.0,C_ISDD,10,126,0,0,0.91094816397449,1.0318070287949073,-0.1208588648204173,1.0017360395674992,1.0616979472852506,0.91094816397449,0.8769078511614361,0.13462562520357357,-0.2487061897755507,0.16422215641898896,-0.2061899124811417,0.15331427255204866,-0.3371595330739301,-0.2,False,"L_H2,L_DD",False,"A_H2,A_DD"
B135,A,10.0,C_ISSHARPE,63,126,0,0,0.9962408428094426,1.0102419886913445,-0.014001145881901933,0.9634614382294413,1.0478010287266173,0.8429849544670711,0.8769078511614361,0.16487229134834314,-0.28694818362899355,0.16023726571201902,-0.20740302267849475,0.15331427255204866,-0.3371595330739301,-0.15000000000000002,False,L_DD,False,"A_H2,A_DD"
B135,A,10.0,C_ISCAGR,63,126,0,0,0.9962408428094426,1.0102419886913445,-0.014001145881901933,0.9634614382294413,1.0478010287266173,0.8429849544670711,0.8769078511614361,0.16487229134834314,-0.28694818362899355,0.16023726571201902,-0.20740302267849475,0.15331427255204866,-0.3371595330739301,-0.15000000000000002,False,L_DD,False,"A_H2,A_DD"
B135,A,10.0,C_ISDD,10,126,0,0,0.8429849544670711,1.0102419886913445,-0.1672570342242734,0.9634614382294413,1.0478010287266173,0.8429849544670711,0.8769078511614361,0.12306368112206112,-0.25031072464803195,0.16023726571201902,-0.20740302267849475,0.15331427255204866,-0.3371595330739301,-0.15000000000000002,False,"L_H2,L_OOS,L_DD",False,"A_H2,A_DD"
B135,A,25.0,C_ISSHARPE,63,126,0,0,0.9522863107928984,0.9778043561914415,-0.025518045398543077,0.9059334239945773,1.026883806441859,0.7409244018125478,0.8769078511614361,0.15633304453207342,-0.2871288224219989,0.15428235913158406,-0.2092213718253031,0.15331427255204866,-0.3371595330739301,0.45000000000000007,False,L_DD,False,"A_H2,A_DD"
B135,A,25.0,C_ISCAGR,63,126,0,0,0.9522863107928984,0.9778043561914415,-0.025518045398543077,0.9059334239945773,1.026883806441859,0.7409244018125478,0.8769078511614361,0.15633304453207342,-0.2871288224219989,0.15428235913158406,-0.2092213718253031,0.15331427255204866,-0.3371595330739301,0.45000000000000007,False,L_DD,False,"A_H2,A_DD"
B135,A,25.0,C_ISDD,10,126,0,0,0.7409244018125478,0.9778043561914415,-0.23687995437889364,0.9059334239945773,1.026883806441859,0.7409244018125478,0.8769078511614361,0.1059333696035687,-0.25271439376539173,0.15428235913158406,-0.2092213718253031,0.15331427255204866,-0.3371595330739301,0.45000000000000007,False,"L_H2,L_OOS,L_DD",False,"A_H1,A_H2,A_DD"
B135,A,50.0,C_ISSHARPE,63,126,0,0,0.8786691406561046,0.9235313172974946,-0.04486217664139003,0.809852442104555,0.9918423254674308,0.518826034180472,0.8769078511614361,0.14222654457968043,-0.2874298078072649,0.1444170623958314,-0.21224844512857488,0.15331427255204866,-0.3371595330739301,0.8333333333333334,False,"L_H2,L_DD",False,"A_H2,A_DD"
B135,A,50.0,C_ISCAGR,63,126,0,0,0.8786691406561046,0.9235313172974946,-0.04486217664139003,0.809852442104555,0.9918423254674308,0.518826034180472,0.8769078511614361,0.14222654457968043,-0.2874298078072649,0.1444170623958314,-0.21224844512857488,0.15331427255204866,-0.3371595330739301,0.8333333333333334,False,"L_H2,L_DD",False,"A_H2,A_DD"
