selector,pick,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,book,family,m,cost,dOOS
S0 do-nothing,-,-0.14265156712849664,-0.018282750875762477,-0.4049271919560824,SMALLk40d00,SMALL,0.2,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.14172239406452278,-0.01818944664846034,-0.40540270161283043,SMALLk40d00,SMALL,0.2,25.0,0.0009291730639738593
RANDOM (same pool),MOM/NEG,-0.14808232534289745,-0.01877164043657098,-0.40393223431605096,SMALLk40d00,SMALL,0.2,25.0,-0.00543075821440081
C-MOM/POS,MOM/POS,-0.14172239406452278,-0.01818944664846034,-0.40540270161283043,SMALLk40d00,SMALL,0.2,25.0,0.0009291730639738593
C-MOM/NEG,MOM/NEG,-0.14808232534289745,-0.01877164043657098,-0.40393223431605096,SMALLk40d00,SMALL,0.2,25.0,-0.00543075821440081
C-R3/POS,R3/POS,-0.14768736526410353,-0.01876369935793698,-0.4059628075062679,SMALLk40d00,SMALL,0.2,25.0,-0.005035798135606895
C-R3/NEG,R3/NEG,-0.15190060334517733,-0.01913679913498767,-0.41058169164160174,SMALLk40d00,SMALL,0.2,25.0,-0.00924903621668069
C-REBASED/POS,REBASED/POS,-0.14782390387673291,-0.01877147371465493,-0.4051980252317354,SMALLk40d00,SMALL,0.2,25.0,-0.005172336748236278
C-REBASED/NEG,REBASED/NEG,-0.14435569463650927,-0.018439183906097445,-0.4071978074079702,SMALLk40d00,SMALL,0.2,25.0,-0.0017041275080126317
ORACLE-OOS,MOM/POS,-0.14172239406452278,-0.01818944664846034,-0.40540270161283043,SMALLk40d00,SMALL,0.2,25.0,0.0009291730639738593
S0 do-nothing,-,-0.04068213988892199,-0.00855898057007154,-0.37309290399462725,SMALLk40d00,SMALL,0.5,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.04650179732274706,-0.009109953361298606,-0.3753653953609307,SMALLk40d00,SMALL,0.5,10.0,-0.005819657433825072
RANDOM (same pool),MOM/NEG,-0.052029527500444636,-0.009620192068105604,-0.37815419493802194,SMALLk40d00,SMALL,0.5,10.0,-0.011347387611522645
C-MOM/POS,MOM/POS,-0.04650179732274706,-0.009109953361298606,-0.3753653953609307,SMALLk40d00,SMALL,0.5,10.0,-0.005819657433825072
C-MOM/NEG,MOM/NEG,-0.052029527500444636,-0.009620192068105604,-0.37815419493802194,SMALLk40d00,SMALL,0.5,10.0,-0.011347387611522645
C-R3/POS,R3/POS,-0.03532261108968471,-0.008045107576824195,-0.3692220166535325,SMALLk40d00,SMALL,0.5,10.0,0.005359528799237283
C-R3/NEG,R3/NEG,-0.06978788102460398,-0.011298356916835117,-0.3905733508397241,SMALLk40d00,SMALL,0.5,10.0,-0.02910574113568199
C-REBASED/POS,REBASED/POS,-0.04958042859175588,-0.009384234394795521,-0.37126138832293487,SMALLk40d00,SMALL,0.5,10.0,-0.008898288702833893
C-REBASED/NEG,REBASED/NEG,-0.04996489980823992,-0.009443311266138732,-0.3787184797933605,SMALLk40d00,SMALL,0.5,10.0,-0.009282759919317929
ORACLE-OOS,R3/POS,-0.03532261108968471,-0.008045107576824195,-0.3692220166535325,SMALLk40d00,SMALL,0.5,10.0,0.005359528799237283
S0 do-nothing,-,-0.14265156712849664,-0.018282750875762477,-0.4049271919560824,SMALLk40d00,SMALL,0.5,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.14840529058655816,-0.018817401743975393,-0.40695121850782234,SMALLk40d00,SMALL,0.5,25.0,-0.0057537234580615215
RANDOM (same pool),R3/NEG,-0.17288687005960696,-0.021077091056484365,-0.42201304393901073,SMALLk40d00,SMALL,0.5,25.0,-0.03023530293111032
C-MOM/POS,MOM/POS,-0.14840529058655816,-0.018817401743975393,-0.40695121850782234,SMALLk40d00,SMALL,0.5,25.0,-0.0057537234580615215
C-MOM/NEG,MOM/NEG,-0.15462847738955687,-0.019376572160578087,-0.40998959315324246,SMALLk40d00,SMALL,0.5,25.0,-0.011976910261060236
C-R3/POS,R3/POS,-0.13728282688731233,-0.01777235110413422,-0.40118480411780655,SMALLk40d00,SMALL,0.5,25.0,0.0053687402411843055
C-R3/NEG,R3/NEG,-0.17288687005960696,-0.021077091056484365,-0.42201304393901073,SMALLk40d00,SMALL,0.5,25.0,-0.03023530293111032
C-REBASED/POS,REBASED/POS,-0.1520801783982498,-0.019134689192392584,-0.40352393983375034,SMALLk40d00,SMALL,0.5,25.0,-0.009428611269753168
C-REBASED/NEG,REBASED/NEG,-0.1516120322590562,-0.01912465479358616,-0.4100653097017102,SMALLk40d00,SMALL,0.5,25.0,-0.008960465130559564
ORACLE-OOS,R3/POS,-0.13728282688731233,-0.01777235110413422,-0.40118480411780655,SMALLk40d00,SMALL,0.5,25.0,0.0053687402411843055
S0 do-nothing,-,-0.04068213988892199,-0.00855898057007154,-0.37309290399462725,SMALLk40d00,SMALL,1.0,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.06494271612647201,-0.01086110067974344,-0.3827561838449036,SMALLk40d00,SMALL,1.0,10.0,-0.02426057623755002
RANDOM (same pool),MOM/POS,-0.06494271612647201,-0.01086110067974344,-0.3827561838449036,SMALLk40d00,SMALL,1.0,10.0,-0.02426057623755002
C-MOM/POS,MOM/POS,-0.06494271612647201,-0.01086110067974344,-0.3827561838449036,SMALLk40d00,SMALL,1.0,10.0,-0.02426057623755002
C-MOM/NEG,MOM/NEG,-0.0479677502206557,-0.009190298024600474,-0.3770205173275665,SMALLk40d00,SMALL,1.0,10.0,-0.007285610331733708
C-R3/POS,R3/POS,-0.03543941867363825,-0.008048431545049528,-0.3691141578733371,SMALLk40d00,SMALL,1.0,10.0,0.005242721215283741
C-R3/NEG,R3/NEG,-0.07212450242694159,-0.01152471922407261,-0.3900335777504833,SMALLk40d00,SMALL,1.0,10.0,-0.031442362538019596
C-REBASED/POS,REBASED/POS,-0.054648121204665924,-0.009804651800873976,-0.37259107327911056,SMALLk40d00,SMALL,1.0,10.0,-0.013965981315743933
C-REBASED/NEG,REBASED/NEG,-0.055019903258431056,-0.00990803463515988,-0.38075555881380097,SMALLk40d00,SMALL,1.0,10.0,-0.014337763369509066
ORACLE-OOS,R3/POS,-0.03543941867363825,-0.008048431545049528,-0.3691141578733371,SMALLk40d00,SMALL,1.0,10.0,0.005242721215283741
S0 do-nothing,-,-0.14265156712849664,-0.018282750875762477,-0.4049271919560824,SMALLk40d00,SMALL,1.0,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,-0.16703099584248723,-0.02056303838599194,-0.4141736397900173,SMALLk40d00,SMALL,1.0,25.0,-0.024379428713990597
RANDOM (same pool),REBASED/POS,-0.15700011917733567,-0.019492098807569413,-0.40453890017189564,SMALLk40d00,SMALL,1.0,25.0,-0.01434855204883903
C-MOM/POS,MOM/POS,-0.16703099584248723,-0.02056303838599194,-0.4141736397900173,SMALLk40d00,SMALL,1.0,25.0,-0.024379428713990597
C-MOM/NEG,MOM/NEG,-0.15158461073657642,-0.01901780467504155,-0.4091818246209795,SMALLk40d00,SMALL,1.0,25.0,-0.008933043608079783
C-R3/POS,R3/POS,-0.1380527745723827,-0.01783210088143472,-0.40134659127022443,SMALLk40d00,SMALL,1.0,25.0,0.004598792556113923
C-R3/NEG,R3/NEG,-0.17552411708102322,-0.021332695472817575,-0.4219400106194239,SMALLk40d00,SMALL,1.0,25.0,-0.032872549952526586
C-REBASED/POS,REBASED/POS,-0.15700011917733567,-0.019492098807569413,-0.40453890017189564,SMALLk40d00,SMALL,1.0,25.0,-0.01434855204883903
C-REBASED/NEG,REBASED/NEG,-0.15723955391691422,-0.019626970714260672,-0.4122444396165974,SMALLk40d00,SMALL,1.0,25.0,-0.014587986788417578
ORACLE-OOS,R3/POS,-0.1380527745723827,-0.01783210088143472,-0.40134659127022443,SMALLk40d00,SMALL,1.0,25.0,0.004598792556113923
S0 do-nothing,-,0.5636652133286768,0.0568708582536217,-0.19435104725592012,SMALLk40d01,SMALL,0.2,10.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.5768608636407242,0.05851453579696675,-0.19144515874911705,SMALLk40d01,SMALL,0.2,10.0,0.013195650312047391
RANDOM (same pool),MOM/POS,0.5533907861164389,0.055707277732157445,-0.19698065327199443,SMALLk40d01,SMALL,0.2,10.0,-0.010274427212237924
C-MOM/POS,MOM/POS,0.5533907861164389,0.055707277732157445,-0.19698065327199443,SMALLk40d01,SMALL,0.2,10.0,-0.010274427212237924
C-MOM/NEG,MOM/NEG,0.5620066196917858,0.05661968869224565,-0.19077025626622757,SMALLk40d01,SMALL,0.2,10.0,-0.001658593636891026
C-R3/POS,R3/POS,0.5693375364373774,0.05753277986395333,-0.19308774318174216,SMALLk40d01,SMALL,0.2,10.0,0.005672323108700583
C-R3/NEG,R3/NEG,0.5768608636407242,0.05851453579696675,-0.19144515874911705,SMALLk40d01,SMALL,0.2,10.0,0.013195650312047391
C-REBASED/POS,REBASED/POS,0.5422870158008307,0.05425256908356979,-0.1909852440730191,SMALLk40d01,SMALL,0.2,10.0,-0.021378197527846088
C-REBASED/NEG,REBASED/NEG,0.5649574032743883,0.05715037586533045,-0.19777778186045136,SMALLk40d01,SMALL,0.2,10.0,0.0012921899457114527
ORACLE-OOS,R3/NEG,0.5768608636407242,0.05851453579696675,-0.19144515874911705,SMALLk40d01,SMALL,0.2,10.0,0.013195650312047391
S0 do-nothing,-,0.4610497825456257,0.04518325399475276,-0.21210089186744785,SMALLk40d01,SMALL,0.2,25.0,0.0
S2LF IS-argmax (leak-free),R3/NEG,0.47465039770361583,0.04683005419724706,-0.20933229056304337,SMALLk40d01,SMALL,0.2,25.0,0.013600615157990159
RANDOM (same pool),MOM/NEG,0.45958448806594365,0.044974684147655486,-0.20842471797469586,SMALLk40d01,SMALL,0.2,25.0,-0.0014652944796820222
C-MOM/POS,MOM/POS,0.4507389588966796,0.044032412700629964,-0.21491983937426073,SMALLk40d01,SMALL,0.2,25.0,-0.010310823648946088
C-MOM/NEG,MOM/NEG,0.45958448806594365,0.044974684147655486,-0.20842471797469586,SMALLk40d01,SMALL,0.2,25.0,-0.0014652944796820222
C-R3/POS,R3/POS,0.466811685997803,0.04585207881093112,-0.21095278161457587,SMALLk40d01,SMALL,0.2,25.0,0.005761903452177308
C-R3/NEG,R3/NEG,0.47465039770361583,0.04683005419724706,-0.20933229056304337,SMALLk40d01,SMALL,0.2,25.0,0.013600615157990159
C-REBASED/POS,REBASED/POS,0.43917767957034737,0.042577993577666895,-0.20898002511256075,SMALLk40d01,SMALL,0.2,25.0,-0.021872102975278307
C-REBASED/NEG,REBASED/NEG,0.46158080386822165,0.04534854788306286,-0.21570334188596108,SMALLk40d01,SMALL,0.2,25.0,0.0005310213225959703
ORACLE-OOS,R3/NEG,0.47465039770361583,0.04683005419724706,-0.20933229056304337,SMALLk40d01,SMALL,0.2,25.0,0.013600615157990159
S0 do-nothing,-,0.5636652133286768,0.0568708582536217,-0.19435104725592012,SMALLk40d01,SMALL,0.5,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,0.5124799172884902,0.05040775880435855,-0.18907630873833758,SMALLk40d01,SMALL,0.5,10.0,-0.05118529604018662
RANDOM (same pool),MOM/NEG,0.5689813839535787,0.0572154472295785,-0.19076526641340952,SMALLk40d01,SMALL,0.5,10.0,0.005316170624901861
C-MOM/POS,MOM/POS,0.5432516541308737,0.05449634496314637,-0.19794955888323684,SMALLk40d01,SMALL,0.5,10.0,-0.020413559197803077
C-MOM/NEG,MOM/NEG,0.5689813839535787,0.0572154472295785,-0.19076526641340952,SMALLk40d01,SMALL,0.5,10.0,0.005316170624901861
C-R3/POS,R3/POS,0.5572757900915715,0.05589193941883619,-0.17799031780350116,SMALLk40d01,SMALL,0.5,10.0,-0.0063894232371053405
C-R3/NEG,R3/NEG,0.5775071159772559,0.05811678877181481,-0.1909046645147776,SMALLk40d01,SMALL,0.5,10.0,0.013841902648579096
C-REBASED/POS,REBASED/POS,0.5124799172884902,0.05040775880435855,-0.18907630873833758,SMALLk40d01,SMALL,0.5,10.0,-0.05118529604018662
C-REBASED/NEG,REBASED/NEG,0.5769888866789038,0.058432510471698285,-0.19556298847592846,SMALLk40d01,SMALL,0.5,10.0,0.013323673350226994
ORACLE-OOS,R3/NEG,0.5775071159772559,0.05811678877181481,-0.1909046645147776,SMALLk40d01,SMALL,0.5,10.0,0.013841902648579096
S0 do-nothing,-,0.4610497825456257,0.04518325399475276,-0.21210089186744785,SMALLk40d01,SMALL,0.5,25.0,0.0
S2LF IS-argmax (leak-free),REBASED/POS,0.4084633509976963,0.038788196805062736,-0.20728496144816266,SMALLk40d01,SMALL,0.5,25.0,-0.05258643154792936
RANDOM (same pool),R3/NEG,0.47174332167237626,0.046140046806643964,-0.20916206493870926,SMALLk40d01,SMALL,0.5,25.0,0.010693539126750584
C-MOM/POS,MOM/POS,0.44019460884691725,0.04279613097747714,-0.21620982266532207,SMALLk40d01,SMALL,0.5,25.0,-0.02085517369870843
C-MOM/NEG,MOM/NEG,0.4621167851942225,0.04510980214617688,-0.20929044984706757,SMALLk40d01,SMALL,0.5,25.0,0.0010670026485968265
C-R3/POS,R3/POS,0.4532330315830374,0.044113965238611774,-0.19602418842312552,SMALLk40d01,SMALL,0.5,25.0,-0.00781675096258827
C-R3/NEG,R3/NEG,0.47174332167237626,0.046140046806643964,-0.20916206493870926,SMALLk40d01,SMALL,0.5,25.0,0.010693539126750584
C-REBASED/POS,REBASED/POS,0.4084633509976963,0.038788196805062736,-0.20728496144816266,SMALLk40d01,SMALL,0.5,25.0,-0.05258643154792936
C-REBASED/NEG,REBASED/NEG,0.47262600605883026,0.04653127983213179,-0.2138865393710231,SMALLk40d01,SMALL,0.5,25.0,0.011576223513204587
ORACLE-OOS,REBASED/NEG,0.47262600605883026,0.04653127983213179,-0.2138865393710231,SMALLk40d01,SMALL,0.5,25.0,0.011576223513204587
S0 do-nothing,-,0.5636652133286768,0.0568708582536217,-0.19435104725592012,SMALLk40d01,SMALL,1.0,10.0,0.0
S2LF IS-argmax (leak-free),R3/POS,0.5722481989624054,0.057647967255454624,-0.17505195082623726,SMALLk40d01,SMALL,1.0,10.0,0.008582985633728613
RANDOM (same pool),MOM/NEG,0.5120308874013791,0.05043724310050002,-0.20269597869314648,SMALLk40d01,SMALL,1.0,10.0,-0.051634325927297664
C-MOM/POS,MOM/POS,0.5376443660370569,0.053732470853377734,-0.1895976943466824,SMALLk40d01,SMALL,1.0,10.0,-0.02602084729161991
C-MOM/NEG,MOM/NEG,0.5120308874013791,0.05043724310050002,-0.20269597869314648,SMALLk40d01,SMALL,1.0,10.0,-0.051634325927297664
C-R3/POS,R3/POS,0.5722481989624054,0.057647967255454624,-0.17505195082623726,SMALLk40d01,SMALL,1.0,10.0,0.008582985633728613
C-R3/NEG,R3/NEG,0.5475342417809026,0.054227953629009784,-0.18841359406007263,SMALLk40d01,SMALL,1.0,10.0,-0.01613097154777421
C-REBASED/POS,REBASED/POS,0.49634975379962015,0.048356013450630675,-0.189929097890568,SMALLk40d01,SMALL,1.0,10.0,-0.06731545952905665
C-REBASED/NEG,REBASED/NEG,0.583633658876061,0.059151339099040134,-0.1958110207732625,SMALLk40d01,SMALL,1.0,10.0,0.019968445547384195
ORACLE-OOS,REBASED/NEG,0.583633658876061,0.059151339099040134,-0.1958110207732625,SMALLk40d01,SMALL,1.0,10.0,0.019968445547384195
S0 do-nothing,-,0.4610497825456257,0.04518325399475276,-0.21210089186744785,SMALLk40d01,SMALL,1.0,25.0,0.0
S2LF IS-argmax (leak-free),R3/POS,0.4662759045831953,0.04562537140787226,-0.19368356750265825,SMALLk40d01,SMALL,1.0,25.0,0.005226122037569614
RANDOM (same pool),MOM/NEG,0.400901571227141,0.03800553191319467,-0.22111115036867723,SMALLk40d01,SMALL,1.0,25.0,-0.06014821131848469
C-MOM/POS,MOM/POS,0.43389686221003726,0.04199608441179925,-0.20814152352196102,SMALLk40d01,SMALL,1.0,25.0,-0.027152920335588415
C-MOM/NEG,MOM/NEG,0.400901571227141,0.03800553191319467,-0.22111115036867723,SMALLk40d01,SMALL,1.0,25.0,-0.06014821131848469
C-R3/POS,R3/POS,0.4662759045831953,0.04562537140787226,-0.19368356750265825,SMALLk40d01,SMALL,1.0,25.0,0.005226122037569614
C-R3/NEG,R3/NEG,0.4364149551139417,0.04181134523920549,-0.2070720779923062,SMALLk40d01,SMALL,1.0,25.0,-0.024634827431683992
C-REBASED/POS,REBASED/POS,0.3915933219545122,0.03673914762058739,-0.20837423000870492,SMALLk40d01,SMALL,1.0,25.0,-0.06945646059111349
C-REBASED/NEG,REBASED/NEG,0.4781276600549824,0.04712316835745667,-0.2142151176044711,SMALLk40d01,SMALL,1.0,25.0,0.017077877509356743
ORACLE-OOS,REBASED/NEG,0.4781276600549824,0.04712316835745667,-0.2142151176044711,SMALLk40d01,SMALL,1.0,25.0,0.017077877509356743
S0 do-nothing,-,0.1722983798053847,0.012822897160944091,-0.184466761722623,SMALLk40d02,SMALL,0.2,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.18256028104345842,0.013952630371229846,-0.18446676172262366,SMALLk40d02,SMALL,0.2,10.0,0.010261901238073717
RANDOM (same pool),REBASED/POS,0.15775671905149086,0.01124209810406196,-0.18446676172262266,SMALLk40d02,SMALL,0.2,10.0,-0.014541660753893848
C-MOM/POS,MOM/POS,0.18256028104345842,0.013952630371229846,-0.18446676172262366,SMALLk40d02,SMALL,0.2,10.0,0.010261901238073717
C-MOM/NEG,MOM/NEG,0.1765316973085566,0.013285529475391966,-0.18446676172262289,SMALLk40d02,SMALL,0.2,10.0,0.004233317503171907
C-R3/POS,R3/POS,0.17189064533411094,0.01280386395034272,-0.18446676172262289,SMALLk40d02,SMALL,0.2,10.0,-0.00040773447127376294
C-R3/NEG,R3/NEG,0.18208012224271128,0.013866389112657362,-0.184466761722623,SMALLk40d02,SMALL,0.2,10.0,0.009781742437326574
C-REBASED/POS,REBASED/POS,0.15775671905149086,0.01124209810406196,-0.18446676172262266,SMALLk40d02,SMALL,0.2,10.0,-0.014541660753893848
C-REBASED/NEG,REBASED/NEG,0.18022640971406864,0.013694917708846122,-0.18446676172262255,SMALLk40d02,SMALL,0.2,10.0,0.007928029908683937
ORACLE-OOS,MOM/POS,0.18256028104345842,0.013952630371229846,-0.18446676172262366,SMALLk40d02,SMALL,0.2,10.0,0.010261901238073717
S0 do-nothing,-,0.07125183679256471,0.0018856704580469952,-0.1977120159417346,SMALLk40d02,SMALL,0.2,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.08177644599675289,0.0030157787380002965,-0.19762849335771981,SMALLk40d02,SMALL,0.2,25.0,0.010524609204188184
RANDOM (same pool),REBASED/NEG,0.07985504127170631,0.002808702805126906,-0.2013763446017679,SMALLk40d02,SMALL,0.2,25.0,0.008603204479141605
C-MOM/POS,MOM/POS,0.08177644599675289,0.0030157787380002965,-0.19762849335771981,SMALLk40d02,SMALL,0.2,25.0,0.010524609204188184
C-MOM/NEG,MOM/NEG,0.07580572636808432,0.002375751104545687,-0.19762849335772004,SMALLk40d02,SMALL,0.2,25.0,0.00455388957551961
C-R3/POS,R3/POS,0.07118823768661503,0.0018654568554585804,-0.19938994707200108,SMALLk40d02,SMALL,0.2,25.0,-6.35991059496771e-05
C-R3/NEG,R3/NEG,0.081852916516664,0.0030348105912652024,-0.19780240996891552,SMALLk40d02,SMALL,0.2,25.0,0.010601079724099294
C-REBASED/POS,REBASED/POS,0.057384087237957224,0.00039403587771214,-0.19781462559420637,SMALLk40d02,SMALL,0.2,25.0,-0.013867749554607484
C-REBASED/NEG,REBASED/NEG,0.07985504127170631,0.002808702805126906,-0.2013763446017679,SMALLk40d02,SMALL,0.2,25.0,0.008603204479141605
ORACLE-OOS,R3/NEG,0.081852916516664,0.0030348105912652024,-0.19780240996891552,SMALLk40d02,SMALL,0.2,25.0,0.010601079724099294
S0 do-nothing,-,0.1722983798053847,0.012822897160944091,-0.184466761722623,SMALLk40d02,SMALL,0.5,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.16988356160907506,0.012554090751706326,-0.18446676172262377,SMALLk40d02,SMALL,0.5,10.0,-0.0024148181963096482
RANDOM (same pool),MOM/NEG,0.18413142912284633,0.0140826013147759,-0.184466761722623,SMALLk40d02,SMALL,0.5,10.0,0.011833049317461625
C-MOM/POS,MOM/POS,0.16988356160907506,0.012554090751706326,-0.18446676172262377,SMALLk40d02,SMALL,0.5,10.0,-0.0024148181963096482
C-MOM/NEG,MOM/NEG,0.18413142912284633,0.0140826013147759,-0.184466761722623,SMALLk40d02,SMALL,0.5,10.0,0.011833049317461625
C-R3/POS,R3/POS,0.17015395534063074,0.012592766421044344,-0.18446676172262289,SMALLk40d02,SMALL,0.5,10.0,-0.0021444244647539634
C-R3/NEG,R3/NEG,0.17291217541185672,0.012864078502820009,-0.18446676172262222,SMALLk40d02,SMALL,0.5,10.0,0.0006137956064720118
C-REBASED/POS,REBASED/POS,0.15595786658234204,0.011029587438757593,-0.18446676172262255,SMALLk40d02,SMALL,0.5,10.0,-0.01634051322304267
C-REBASED/NEG,REBASED/NEG,0.19435438912579933,0.015249577976026218,-0.1844667617226231,SMALLk40d02,SMALL,0.5,10.0,0.022056009320414627
ORACLE-OOS,REBASED/NEG,0.19435438912579933,0.015249577976026218,-0.1844667617226231,SMALLk40d02,SMALL,0.5,10.0,0.022056009320414627
S0 do-nothing,-,0.07125183679256471,0.0018856704580469952,-0.1977120159417346,SMALLk40d02,SMALL,0.5,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.06932207443369949,0.0016813019426717979,-0.19762849335771804,SMALLk40d02,SMALL,0.5,25.0,-0.0019297623588652169
RANDOM (same pool),R3/POS,0.06839851205558344,0.0015770668463002124,-0.2002525421116803,SMALLk40d02,SMALL,0.5,25.0,-0.002853324736981272
C-MOM/POS,MOM/POS,0.06932207443369949,0.0016813019426717979,-0.19762849335771804,SMALLk40d02,SMALL,0.5,25.0,-0.0019297623588652169
C-MOM/NEG,MOM/NEG,0.08180574415334951,0.003031082379334915,-0.20192200645705038,SMALLk40d02,SMALL,0.5,25.0,0.010553907360784806
C-R3/POS,R3/POS,0.06839851205558344,0.0015770668463002124,-0.2002525421116803,SMALLk40d02,SMALL,0.5,25.0,-0.002853324736981272
C-R3/NEG,R3/NEG,0.07218268706119108,0.0019987235809404424,-0.20044633354672692,SMALLk40d02,SMALL,0.5,25.0,0.0009308502686263681
C-REBASED/POS,REBASED/POS,0.05590083209955277,0.00025195804584066117,-0.1978930377523238,SMALLk40d02,SMALL,0.5,25.0,-0.015351004693011934
C-REBASED/NEG,REBASED/NEG,0.0934740286716587,0.004277219867190096,-0.19762849335772004,SMALLk40d02,SMALL,0.5,25.0,0.022222191879093994
ORACLE-OOS,REBASED/NEG,0.0934740286716587,0.004277219867190096,-0.19762849335772004,SMALLk40d02,SMALL,0.5,25.0,0.022222191879093994
S0 do-nothing,-,0.1722983798053847,0.012822897160944091,-0.184466761722623,SMALLk40d02,SMALL,1.0,10.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.17017263464160437,0.012577625082490052,-0.18446676172262266,SMALLk40d02,SMALL,1.0,10.0,-0.002125745163780335
RANDOM (same pool),R3/NEG,0.1862457164992915,0.01429467101306714,-0.18446676172262333,SMALLk40d02,SMALL,1.0,10.0,0.013947336693906798
C-MOM/POS,MOM/POS,0.17017263464160437,0.012577625082490052,-0.18446676172262266,SMALLk40d02,SMALL,1.0,10.0,-0.002125745163780335
C-MOM/NEG,MOM/NEG,0.19459217290002534,0.015143902236970819,-0.18446676172262222,SMALLk40d02,SMALL,1.0,10.0,0.022293793094640635
C-R3/POS,R3/POS,0.15325810111469207,0.010747433235333892,-0.18446676172262289,SMALLk40d02,SMALL,1.0,10.0,-0.019040278690692636
C-R3/NEG,R3/NEG,0.1862457164992915,0.01429467101306714,-0.18446676172262333,SMALLk40d02,SMALL,1.0,10.0,0.013947336693906798
C-REBASED/POS,REBASED/POS,0.1301644984541816,0.008229985664909067,-0.18446676172262455,SMALLk40d02,SMALL,1.0,10.0,-0.042133881351203106
C-REBASED/NEG,REBASED/NEG,0.1945139086057014,0.015318225070760416,-0.1844667617226231,SMALLk40d02,SMALL,1.0,10.0,0.022215528800316686
ORACLE-OOS,MOM/NEG,0.19459217290002534,0.015143902236970819,-0.18446676172262222,SMALLk40d02,SMALL,1.0,10.0,0.022293793094640635
S0 do-nothing,-,0.07125183679256471,0.0018856704580469952,-0.1977120159417346,SMALLk40d02,SMALL,1.0,25.0,0.0
S2LF IS-argmax (leak-free),MOM/POS,0.06981852960020035,0.0017396689033564172,-0.19976529667235365,SMALLk40d02,SMALL,1.0,25.0,-0.0014333071923643553
RANDOM (same pool),REBASED/POS,0.029989060233756446,-0.0024867818939191544,-0.20840150850747707,SMALLk40d02,SMALL,1.0,25.0,-0.041262776558808265
C-MOM/POS,MOM/POS,0.06981852960020035,0.0017396689033564172,-0.19976529667235365,SMALLk40d02,SMALL,1.0,25.0,-0.0014333071923643553
C-MOM/NEG,MOM/NEG,0.09137342677375214,0.004072892179699972,-0.19762849335771993,SMALLk40d02,SMALL,1.0,25.0,0.020121589981187432
C-R3/POS,R3/POS,0.050789022957964246,-0.0003083980573059808,-0.19855668857483444,SMALLk40d02,SMALL,1.0,25.0,-0.02046281383460046
C-R3/NEG,R3/NEG,0.08280909611849907,0.003145043881352283,-0.2038611501335873,SMALLk40d02,SMALL,1.0,25.0,0.011557259325934363
C-REBASED/POS,REBASED/POS,0.029989060233756446,-0.0024867818939191544,-0.20840150850747707,SMALLk40d02,SMALL,1.0,25.0,-0.041262776558808265
C-REBASED/NEG,REBASED/NEG,0.09333501863138442,0.004253545788540203,-0.2072541269668564,SMALLk40d02,SMALL,1.0,25.0,0.022083181838819715
ORACLE-OOS,REBASED/NEG,0.09333501863138442,0.004253545788540203,-0.2072541269668564,SMALLk40d02,SMALL,1.0,25.0,0.022083181838819715
S0 do-nothing,-,-0.03573423719760905,-0.010365598360566941,-0.3041704892674376,SMALLk40d03,SMALL,0.2,10.0,0.0
S2LF IS-argmax (leak-free),REBASED/NEG,-0.02646506646921195,-0.00932258151493126,-0.30749843596490456,SMALLk40d03,SMALL,0.2,10.0,0.0092691707283971
RANDOM (same pool),REBASED/POS,-0.03816529081843882,-0.010602763754000155,-0.3040159449770252,SMALLk40d03,SMALL,0.2,10.0,-0.002431053620829772
C-MOM/POS,MOM/POS,-0.04581934275939518,-0.011507839543857146,-0.30566763126588037,SMALLk40d03,SMALL,0.2,10.0,-0.010085105561786128
C-MOM/NEG,MOM/NEG,-0.03267890828093119,-0.010023860746354307,-0.30279617677897375,SMALLk40d03,SMALL,0.2,10.0,0.0030553289166778616
C-R3/POS,R3/POS,-0.05048818715645776,-0.012015127258226621,-0.3074890477457082,SMALLk40d03,SMALL,0.2,10.0,-0.014753949958848711
C-R3/NEG,R3/NEG,-0.03892182484410064,-0.01072750930921973,-0.30222679766747484,SMALLk40d03,SMALL,0.2,10.0,-0.003187587646491588
C-REBASED/POS,REBASED/POS,-0.03816529081843882,-0.010602763754000155,-0.3040159449770252,SMALLk40d03,SMALL,0.2,10.0,-0.002431053620829772
C-REBASED/NEG,REBASED/NEG,-0.02646506646921195,-0.00932258151493126,-0.30749843596490456,SMALLk40d03,SMALL,0.2,10.0,0.0092691707283971
ORACLE-OOS,REBASED/NEG,-0.02646506646921195,-0.00932258151493126,-0.30749843596490456,SMALLk40d03,SMALL,0.2,10.0,0.0092691707283971
S0 do-nothing,-,-0.1340051402458639,-0.021292617636690436,-0.3433619590247461,SMALLk40d03,SMALL,0.2,25.0,0.0
