kind,key,key_val,q,k_a,n_a,k_b,n_b,bind_a,bind_b,tied_a,tied_b,unique,agree,d_joint,d_rate
MATCHED-N,n,5.0,0.25,20,5.0,100,5.0,DDcap,H1,1,2,False,False,0.08333333333333333,0.2833333333333333
MATCHED-N,n,5.0,0.25,40,5.0,80,5.0,H2,OOS,3,2,False,False,0.0,0.13333333333333333
MATCHED-N,n,5.0,0.25,40,5.0,100,5.0,H2,H1,3,2,False,False,0.0,0.18333333333333335
MATCHED-N,n,5.0,0.25,80,5.0,100,5.0,OOS,H1,2,2,False,False,0.0,0.14999999999999997
MATCHED-N,n,5.0,0.5,20,5.0,40,5.0,H2,H2,3,3,False,True,0.0,0.13333333333333333
MATCHED-N,n,5.0,0.5,20,5.0,80,5.0,H2,H2,3,3,False,True,0.0,0.06666666666666667
MATCHED-N,n,5.0,0.5,20,5.0,100,5.0,H2,H1,3,4,False,False,0.0,0.08333333333333333
MATCHED-N,n,5.0,0.5,40,5.0,80,5.0,H2,H2,3,3,False,True,0.0,0.1
MATCHED-N,n,5.0,0.5,40,5.0,100,5.0,H2,H1,3,4,False,False,0.0,0.11666666666666665
MATCHED-N,n,5.0,0.5,80,5.0,100,5.0,H2,H1,3,4,False,False,0.0,0.016666666666666666
MATCHED-N,n,5.0,0.75,20,5.0,40,5.0,H2,H2,3,3,False,True,0.0,0.05
MATCHED-N,n,5.0,0.75,20,5.0,80,5.0,H2,H1,3,4,False,False,0.0,0.05
MATCHED-N,n,5.0,0.75,20,5.0,100,5.0,H2,H2,3,3,False,True,0.0,0.0
MATCHED-N,n,5.0,0.75,40,5.0,80,5.0,H2,H1,3,4,False,False,0.0,0.03333333333333333
MATCHED-N,n,5.0,0.75,40,5.0,100,5.0,H2,H2,3,3,False,True,0.0,0.05
MATCHED-N,n,5.0,0.75,80,5.0,100,5.0,H1,H2,4,3,False,False,0.0,0.05
MATCHED-N,n,5.0,1.0,20,5.0,40,5.0,H1,H1,4,5,False,True,0.0,0.016666666666666666
MATCHED-N,n,5.0,1.0,20,5.0,80,5.0,H1,H1,4,2,False,True,0.0,0.03333333333333333
MATCHED-N,n,5.0,1.0,20,5.0,100,5.0,H1,H1,4,4,False,True,0.0,0.03333333333333333
MATCHED-N,n,5.0,1.0,40,5.0,80,5.0,H1,H1,5,2,False,True,0.0,0.05
MATCHED-N,n,5.0,1.0,40,5.0,100,5.0,H1,H1,5,4,False,True,0.0,0.016666666666666666
MATCHED-N,n,5.0,1.0,80,5.0,100,5.0,H1,H1,2,4,False,True,0.0,0.03333333333333333
MATCHED-N,n,10.0,0.0,20,10.0,40,10.0,H2,H2,1,1,True,True,0.5,0.2833333333333333
MATCHED-N,n,10.0,0.0,20,10.0,80,10.0,H2,DDcap,1,1,True,False,0.5833333333333334,0.4333333333333333
MATCHED-N,n,10.0,0.0,20,10.0,100,10.0,H2,H2,1,3,False,True,0.5833333333333334,0.5166666666666667
MATCHED-N,n,10.0,0.0,40,10.0,80,10.0,H2,DDcap,1,1,True,False,0.08333333333333333,0.15000000000000002
MATCHED-N,n,10.0,0.0,40,10.0,100,10.0,H2,H2,1,3,False,True,0.08333333333333333,0.2333333333333334
MATCHED-N,n,10.0,0.0,80,10.0,100,10.0,DDcap,H2,1,3,False,False,0.0,0.08333333333333333
MATCHED-N,n,10.0,0.25,20,10.0,40,10.0,H2,H2,1,2,False,True,0.08333333333333334,0.25
MATCHED-N,n,10.0,0.25,20,10.0,80,10.0,H2,H2,1,2,False,True,0.25,0.45
MATCHED-N,n,10.0,0.25,20,10.0,100,10.0,H2,DDcap,1,1,True,False,0.25,0.4
MATCHED-N,n,10.0,0.25,40,10.0,80,10.0,H2,H2,2,2,False,True,0.16666666666666666,0.30000000000000004
MATCHED-N,n,10.0,0.25,40,10.0,100,10.0,H2,DDcap,2,1,False,False,0.16666666666666666,0.25
MATCHED-N,n,10.0,0.25,80,10.0,100,10.0,H2,DDcap,2,1,False,False,0.0,0.08333333333333333
MATCHED-N,n,10.0,0.5,20,10.0,40,10.0,H2,H2,1,2,False,True,0.0,0.3
MATCHED-N,n,10.0,0.5,20,10.0,80,10.0,H2,H2,1,3,False,True,0.0,0.2666666666666667
MATCHED-N,n,10.0,0.5,20,10.0,100,10.0,H2,H2,1,2,False,True,0.0,0.2666666666666667
MATCHED-N,n,10.0,0.5,40,10.0,80,10.0,H2,H2,2,3,False,True,0.0,0.16666666666666669
MATCHED-N,n,10.0,0.5,40,10.0,100,10.0,H2,H2,2,2,False,True,0.0,0.1
MATCHED-N,n,10.0,0.5,80,10.0,100,10.0,H2,H2,3,2,False,True,0.0,0.06666666666666667
MATCHED-N,n,10.0,0.75,20,10.0,40,10.0,H2,H2,3,4,False,True,0.0,0.06666666666666667
MATCHED-N,n,10.0,0.75,20,10.0,80,10.0,H2,H1,3,3,False,False,0.0,0.13333333333333333
MATCHED-N,n,10.0,0.75,20,10.0,100,10.0,H2,H2,3,3,False,True,0.0,0.11666666666666665
MATCHED-N,n,10.0,0.75,40,10.0,80,10.0,H2,H1,4,3,False,False,0.0,0.06666666666666667
MATCHED-N,n,10.0,0.75,40,10.0,100,10.0,H2,H2,4,3,False,True,0.0,0.05
MATCHED-N,n,10.0,0.75,80,10.0,100,10.0,H1,H2,3,3,False,False,0.0,0.05
MATCHED-N,n,10.0,1.0,20,10.0,40,10.0,H1,H1,4,5,False,True,0.0,0.03333333333333333
MATCHED-N,n,10.0,1.0,20,10.0,80,10.0,H1,H2,4,4,False,False,0.0,0.05
MATCHED-N,n,10.0,1.0,20,10.0,100,10.0,H1,H1,4,4,False,True,0.0,0.05
MATCHED-N,n,10.0,1.0,40,10.0,80,10.0,H1,H2,5,4,False,False,0.0,0.016666666666666666
MATCHED-N,n,10.0,1.0,40,10.0,100,10.0,H1,H1,5,4,False,True,0.0,0.016666666666666666
MATCHED-N,n,10.0,1.0,80,10.0,100,10.0,H2,H1,4,4,False,False,0.0,0.03333333333333333
MATCHED-N,n,20.0,0.0,20,20.0,40,20.0,CAGRfloor,H2,1,1,True,False,0.5,0.2333333333333333
MATCHED-N,n,20.0,0.0,20,20.0,80,20.0,CAGRfloor,DDcap,1,1,True,False,0.0,0.4
MATCHED-N,n,20.0,0.0,20,20.0,100,20.0,CAGRfloor,H2,1,2,False,False,0.0,0.55
MATCHED-N,n,20.0,0.0,40,20.0,80,20.0,H2,DDcap,1,1,True,False,0.5,0.16666666666666669
MATCHED-N,n,20.0,0.0,40,20.0,100,20.0,H2,H2,1,2,False,True,0.5,0.3166666666666667
MATCHED-N,n,20.0,0.0,80,20.0,100,20.0,DDcap,H2,1,2,False,False,0.0,0.15
MATCHED-N,n,20.0,0.25,20,20.0,40,20.0,CAGRfloor,H2,1,1,True,False,0.4166666666666667,0.2333333333333333
MATCHED-N,n,20.0,0.25,20,20.0,80,20.0,CAGRfloor,H2,1,2,False,False,0.08333333333333333,0.5
MATCHED-N,n,20.0,0.25,20,20.0,100,20.0,CAGRfloor,H2,1,2,False,False,0.0,0.4666666666666667
MATCHED-N,n,20.0,0.25,40,20.0,80,20.0,H2,H2,1,2,False,True,0.33333333333333337,0.3666666666666667
MATCHED-N,n,20.0,0.25,40,20.0,100,20.0,H2,H2,1,2,False,True,0.4166666666666667,0.33333333333333337
MATCHED-N,n,20.0,0.25,80,20.0,100,20.0,H2,H2,2,2,False,True,0.08333333333333333,0.16666666666666669
MATCHED-N,n,20.0,0.5,20,20.0,40,20.0,H2,H2,3,2,False,True,0.08333333333333333,0.25000000000000006
MATCHED-N,n,20.0,0.5,20,20.0,80,20.0,H2,H2,3,1,False,True,0.0,0.3
MATCHED-N,n,20.0,0.5,20,20.0,100,20.0,H2,H2,3,1,False,True,0.0,0.35
MATCHED-N,n,20.0,0.5,40,20.0,80,20.0,H2,H2,2,1,False,True,0.08333333333333333,0.3166666666666667
MATCHED-N,n,20.0,0.5,40,20.0,100,20.0,H2,H2,2,1,False,True,0.08333333333333333,0.30000000000000004
MATCHED-N,n,20.0,0.5,80,20.0,100,20.0,H2,H2,1,1,True,True,0.0,0.11666666666666667
MATCHED-N,n,20.0,0.75,20,20.0,40,20.0,H2,H1,3,4,False,False,0.0,0.09999999999999999
MATCHED-N,n,20.0,0.75,20,20.0,80,20.0,H2,H1,3,2,False,False,0.0,0.2
MATCHED-N,n,20.0,0.75,20,20.0,100,20.0,H2,H1,3,5,False,False,0.0,0.21666666666666665
MATCHED-N,n,20.0,0.75,40,20.0,80,20.0,H1,H1,4,2,False,True,0.0,0.1
MATCHED-N,n,20.0,0.75,40,20.0,100,20.0,H1,H1,4,5,False,True,0.0,0.11666666666666667
MATCHED-N,n,20.0,0.75,80,20.0,100,20.0,H1,H1,2,5,False,True,0.0,0.08333333333333333
MATCHED-N,n,20.0,1.0,20,20.0,40,20.0,H1,H1,4,4,False,True,0.0,0.08333333333333333
MATCHED-N,n,20.0,1.0,20,20.0,80,20.0,H1,H1,4,5,False,True,0.0,0.13333333333333333
MATCHED-N,n,20.0,1.0,20,20.0,100,20.0,H1,H1,4,5,False,True,0.0,0.13333333333333333
MATCHED-N,n,20.0,1.0,40,20.0,80,20.0,H1,H1,4,5,False,True,0.0,0.05
MATCHED-N,n,20.0,1.0,40,20.0,100,20.0,H1,H1,4,5,False,True,0.0,0.05
MATCHED-N,n,20.0,1.0,80,20.0,100,20.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-N,n,40.0,0.0,40,40.0,80,40.0,CAGRfloor,H1,1,5,False,False,1.0,0.2833333333333333
MATCHED-N,n,40.0,0.0,40,40.0,100,40.0,CAGRfloor,H1,1,5,False,False,1.0,0.2833333333333333
MATCHED-N,n,40.0,0.0,80,40.0,100,40.0,H1,H1,5,5,False,True,0.0,0.0
MATCHED-N,n,40.0,0.25,40,40.0,80,40.0,CAGRfloor,H2,1,2,False,False,0.5,0.2333333333333333
MATCHED-N,n,40.0,0.25,40,40.0,100,40.0,CAGRfloor,H2,1,1,True,False,0.16666666666666666,0.3
MATCHED-N,n,40.0,0.25,80,40.0,100,40.0,H2,H2,2,1,False,True,0.33333333333333337,0.16666666666666666
MATCHED-N,n,40.0,0.5,40,40.0,80,40.0,CAGRfloor,H2,1,2,False,False,0.0,0.08333333333333334
MATCHED-N,n,40.0,0.5,40,40.0,100,40.0,CAGRfloor,H2,1,1,True,False,0.16666666666666666,0.1
MATCHED-N,n,40.0,0.5,80,40.0,100,40.0,H2,H2,2,1,False,True,0.16666666666666666,0.15
MATCHED-N,n,40.0,0.75,40,40.0,80,40.0,H2,H1,3,3,False,False,0.0,0.03333333333333333
MATCHED-N,n,40.0,0.75,40,40.0,100,40.0,H2,H1,3,4,False,False,0.0,0.03333333333333334
MATCHED-N,n,40.0,0.75,80,40.0,100,40.0,H1,H1,3,4,False,True,0.0,0.03333333333333334
MATCHED-N,n,40.0,1.0,40,40.0,80,40.0,H1,H1,4,4,False,True,0.0,0.11666666666666665
MATCHED-N,n,40.0,1.0,40,40.0,100,40.0,H1,H1,4,5,False,True,0.0,0.2
MATCHED-N,n,40.0,1.0,80,40.0,100,40.0,H1,H1,4,5,False,True,0.0,0.08333333333333334
