panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.0003,18,False,BAND08@g1.00,BAND08@g1.00,1.1232382007661539,0.119858691493401,1.159303381387259,-0.1905259586498691,0.09431003070149369,1.2722411629026238,-0.12056556549131714,0.15238560923680677,0.8716090794686893,-0.33739872112810165
U56,IID,0.0003,19,False,BAND08@g1.00,BAND08@g1.00,1.1215439548651096,0.11997035070267414,1.1617520996832515,-0.19051093872412894,0.09437864750406533,1.2735230572550211,-0.12055092025897263,0.15240416973311866,0.8720318248474858,-0.33707515599540916
U56,IID,0.0003,20,False,BAND08@g1.00,BAND08@g1.00,1.1223908605215844,0.12002387182519847,1.162042010344331,-0.19053793405132058,0.09444398858554148,1.2741268272443904,-0.12059711057100964,0.15237869351491207,0.8713973458039437,-0.3373390298781046
U56,IID,0.0003,21,False,BAND08@g1.00,BAND08@g1.00,1.1206408013670428,0.11985756367890876,1.1593180993966274,-0.19049311999053742,0.09434383482417963,1.2727642520883022,-0.12052152079651257,0.15237045258711346,0.8718988924850837,-0.33721293951413156
U56,IID,0.0003,22,False,BAND08@g1.00,BAND08@g1.00,1.1233959211478608,0.11987104299020368,1.1593496619472743,-0.19050236313885094,0.09440481812907286,1.2736973452044282,-0.12054574920896433,0.15237031048730643,0.8716738740285248,-0.3370944784702713
U56,IID,0.0003,23,False,BAND08@g1.00,BAND08@g1.00,1.1219636118929615,0.12031224160201237,1.1642366459069002,-0.19050592771769603,0.09426220669342933,1.2722897641003963,-0.12054311739730139,0.1523714332957984,0.8717246256399093,-0.33688583466074584
U56,IID,0.001,0,False,BAND08@g1.00,BAND08@g1.00,1.1244481886866888,0.12056579537490797,1.1638898278685503,-0.19043644600937415,0.09429805151931481,1.2719905513179233,-0.12059551109685496,0.15234881647974663,0.8707536617160948,-0.3383834016661741
U56,IID,0.001,1,False,BAND08@g1.00,BAND08@g1.00,1.1245393456490442,0.12042623647464401,1.1638489346791874,-0.19045329054304094,0.0943084062600863,1.2732328573391358,-0.12051896496166592,0.1521815826374251,0.8688637007965674,-0.3369478644792341
U56,IID,0.001,2,False,BAND08@g1.00,BAND08@g1.00,1.1278679881052167,0.12064472005841931,1.166198989022679,-0.1905306430395569,0.09434137662954067,1.273333698089461,-0.12050541803505077,0.15224355613758878,0.8687705077346983,-0.3367740909053729
U56,IID,0.001,3,False,BAND08@g1.00,BAND08@g1.00,1.117987897691133,0.11985902951891392,1.1593858258207779,-0.19042623153925908,0.09428205936369927,1.2715315572512562,-0.120492030709477,0.15235676480737137,0.868296564887038,-0.3370809935936707
