[b] PREMISE AUDIT — idea 133's published grid, re-derived here (the queue's two rows)
panel  book       arm   cost  CAGR  Sharpe  MaxDD  OOS_Sharpe  OOS_MaxDD  gross  m_CAGR  floor_only  pass4b
  u56 S3-50  vol60-dg 10.000 0.086   1.196 -0.092       1.199     -0.092  0.731  -0.021        True   False
  u56 S3-50  vol60-dg 25.000 0.072   1.010 -0.093       1.029     -0.093  0.731  -0.035        True   False
  u56 S3-50 ebud-0.10 10.000 0.099   1.291 -0.111       1.277     -0.111  0.730  -0.007        True   False
  u56 S3-50 ebud-0.10 25.000 0.087   1.136 -0.112       1.136     -0.112  0.730  -0.020        True   False
  u56 S4-50  vol60-dg 10.000 0.088   1.177 -0.099       1.227     -0.099  0.731  -0.019        True   False
  u56 S4-50  vol60-dg 25.000 0.074   0.997 -0.100       1.060     -0.100  0.731  -0.033        True   False
  u56 S4-50 ebud-0.10 10.000 0.101   1.264 -0.118       1.298     -0.118  0.732  -0.005        True   False
  u56 S4-50 ebud-0.10 25.000 0.088   1.113 -0.119       1.158     -0.119  0.732  -0.018        True   False
broad S3-50  vol60-dg 10.000 0.083   1.039 -0.101       0.964     -0.101  0.728  -0.024        True   False
broad S3-50  vol60-dg 25.000 0.065   0.831 -0.102       0.768     -0.102  0.728  -0.041       False   False
broad S3-50 ebud-0.10 10.000 0.095   1.138 -0.119       1.019     -0.119  0.708  -0.011        True   False
broad S3-50 ebud-0.10 25.000 0.081   0.972 -0.120       0.866     -0.120  0.708  -0.026       False   False
broad S4-50  vol60-dg 10.000 0.085   1.029 -0.108       1.002     -0.108  0.728  -0.022        True   False
broad S4-50  vol60-dg 25.000 0.067   0.825 -0.109       0.807     -0.109  0.728  -0.040       False   False
broad S4-50 ebud-0.10 10.000 0.096   1.108 -0.128       1.035     -0.128  0.709  -0.011        True   False
broad S4-50 ebud-0.10 25.000 0.081   0.945 -0.129       0.883     -0.129  0.709  -0.026       False   False
    NOTE: the queue's label 'SLV50' is not a book name in that file; the f=0.50 sleeve
    books there are S3-50 and S4-50.  The queue's 8.7%/1.292/-13.6% headline is closest
    to u56/S3-50/ebud-0.10 @10bps (9.94%/1.291/-11.1%, OOS 1.277); nothing below
    depends on resolving the label — this run re-derives every f=0.50 row itself.
    idea 133 sleeve rows in the 4b-defensive class: 101; CAGR-floor shortfall (m_CAGR) min -4.10 median -1.29 max -0.06 pp/yr — the queue's '2.0-3.0 pp/yr' is the tail, not the median.

[panel] u56: 56 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[panel] broad: 136 cols, 2008-01-02..2026-09-04, eval from 2009-01-13
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% halves 0.957/0.834 OOS 0.882 | 4b bars: MaxDD <= 20.23%, CAGR >= 10.66%
[a] engine-equivalence over 13 ungated books: max|diff| = 0.000e+00 (EXACT)

[c] reproduction of idea 133's f=0.50 sleeve rows: 136 matched, max|diff| CAGR 9.71e-17 Sharpe 2.22e-16 MaxDD 9.71e-17 OOS_Sharpe 2.22e-16 gross 0.00e+00  EXACT
  u56  S4-5 0.050            g200-rw 10.000 0.140   1.121 -0.205 1.201 1.071     0.154       1.135     -0.205  0.750 10.185   0.034 -0.003   False   False                DD       False   False
  u56  S4-5 0.050            g200-rw 25.000 0.123   0.997 -0.207 1.062 0.958     0.137       1.022     -0.207  0.750 10.185   0.017 -0.005   False   False                DD       False   False
  u56  S4-5 0.050           band3-dg 10.000 0.138   1.153 -0.193 1.210 1.119     0.154       1.183     -0.193  0.709  8.680   0.032  0.009   False    True                 -       False   False
  u56  S4-5 0.050           band3-dg 25.000 0.124   1.043 -0.195 1.085 1.021     0.139       1.084     -0.195  0.709  8.680   0.017  0.008   False    True                 -       False   False
  u56  S4-5 0.050           band3-rw 10.000 0.142   1.136 -0.206 1.192 1.106     0.159       1.168     -0.206  0.750  9.264   0.036 -0.004   False   False                DD       False   False
  u56  S4-5 0.050           band3-rw 25.000 0.127   1.024 -0.208 1.065 1.004     0.143       1.065     -0.208  0.750  9.264   0.020 -0.006   False   False                DD       False   False
  u56  S4-5 0.050           abs12-dg 10.000 0.131   1.099 -0.215 1.182 1.053     0.147       1.122     -0.215  0.690  8.631   0.024 -0.013   False   False                DD       False   False
  u56  S4-5 0.050           abs12-dg 25.000 0.116   0.990 -0.216 1.056 0.955     0.132       1.022     -0.216  0.690  8.631   0.010 -0.014   False   False                DD       False   False
  u56  S4-5 0.050           abs12-rw 10.000 0.139   1.108 -0.220 1.200 1.056     0.154       1.121     -0.220  0.750  9.547   0.033 -0.018   False   False                DD       False   False
  u56  S4-5 0.050           abs12-rw 25.000 0.123   0.994 -0.222 1.068 0.952     0.138       1.016     -0.222  0.750  9.547   0.017 -0.019   False   False                DD       False   False
  u56  S4-5 0.050           vol60-dg 10.000 0.123   1.092 -0.164 1.130 1.061     0.133       1.128     -0.164  0.717  9.477   0.017  0.038   False    True                 -       False   False
  u56  S4-5 0.050           vol60-dg 25.000 0.108   0.965 -0.165 0.995 0.942     0.117       1.008     -0.165  0.717  9.477   0.001  0.037   False    True                 -       False   False
  u56  S4-5 0.050           vol60-rw 10.000 0.134   1.131 -0.188 1.155 1.116     0.146       1.176     -0.188  0.750  9.680   0.028  0.014   False    True                 -       False   False
  u56  S4-5 0.050           vol60-rw 25.000 0.118   1.007 -0.190 1.024 0.998     0.130       1.057     -0.190  0.750  9.680   0.011  0.012   False    True                 -       False   False
  u56  S4-5 0.050          v1gate-dg 10.000 0.114   1.062 -0.162 1.073 1.057     0.127       1.128     -0.162  0.682  9.332   0.008  0.041   False    True                 -       False   False
  u56  S4-5 0.050          v1gate-dg 25.000 0.099   0.932 -0.163 0.932 0.936     0.112       1.005     -0.163  0.682  9.332  -0.008  0.040   False   False           H1,CAGR       False   False
  u56  S4-5 0.050          v1gate-rw 10.000 0.125   1.072 -0.177 1.074 1.076     0.141       1.139     -0.177  0.750 10.832   0.018  0.025   False    True                 -       False   False
  u56  S4-5 0.050          v1gate-rw 25.000 0.107   0.931 -0.178 0.926 0.941     0.122       1.005     -0.178  0.750 10.832   0.000  0.024   False   False                H1       False   False
  u56  S4-5 0.050             stop15 10.000 0.140   1.135 -0.224 1.256 1.044     0.146       1.113     -0.224  0.743 10.572   0.033 -0.022   False   False                DD       False   False
  u56  S4-5 0.050             stop15 25.000 0.122   1.004 -0.227 1.116 0.920     0.127       0.989     -0.227  0.743 10.572   0.015 -0.025   False   False                DD       False   False
  u56  S4-5 0.050             stop25 10.000 0.148   1.163 -0.232 1.267 1.091     0.157       1.154     -0.232  0.749  9.421   0.041 -0.029   False   False                DD       False   False
  u56  S4-5 0.050             stop25 25.000 0.131   1.050 -0.234 1.142 0.987     0.141       1.049     -0.234  0.749  9.421   0.025 -0.031   False   False                DD       False   False
  u56  S4-5 0.050 ddctl-8/.5/recover 10.000 0.112   1.044 -0.161 1.156 0.943     0.114       1.034     -0.161  0.623  7.898   0.006  0.041   False    True                 -       False   False
  u56  S4-5 0.050 ddctl-8/.5/recover 25.000 0.095   0.911 -0.163 1.040 0.801     0.097       0.894     -0.163  0.612  7.752  -0.012  0.040   False   False           H2,CAGR       False   False
  u56  S4-5 0.050    ddctl-8/.5/high 10.000 0.101   1.007 -0.161 1.104 0.913     0.102       1.016     -0.161  0.572  7.165  -0.006  0.041   False   False              CAGR        True   False
  u56  S4-5 0.050    ddctl-8/.5/high 25.000 0.087   0.911 -0.123 0.933 0.893     0.099       0.989     -0.123  0.553  6.950  -0.020  0.079    True   False           H1,CAGR       False   False
  u56  S4-5 0.050          ebud-0.10 10.000 0.146   1.176 -0.200 1.245 1.133     0.160       1.195     -0.200  0.728  8.417   0.040  0.002   False    True                 -       False   False
  u56  S4-5 0.050          ebud-0.10 25.000 0.132   1.073 -0.201 1.128 1.040     0.146       1.101     -0.201  0.728  8.417   0.025  0.001   False    True                 -       False   False
  u56  S4-5 0.050          ebud-0.20 10.000 0.150   1.171 -0.216 1.269 1.105     0.160       1.165     -0.216  0.749  9.180   0.043 -0.013   False   False                DD       False   False
  u56  S4-5 0.050          ebud-0.20 25.000 0.134   1.061 -0.217 1.145 1.006     0.145       1.065     -0.217  0.749  9.180   0.027 -0.015   False   False                DD       False   False
  u56 S4-10 0.100            control 10.000 0.145   1.182 -0.205 1.278 1.117     0.155       1.176     -0.205  0.750  9.084   0.039 -0.003   False   False                DD       False   False
  u56 S4-10 0.100            control 25.000 0.130   1.069 -0.206 1.151 1.015     0.140       1.073     -0.206  0.750  9.084   0.023 -0.004   False   False                DD       False   False
  u56 S4-10 0.100            g200-dg 10.000 0.132   1.150 -0.183 1.216 1.109     0.145       1.174     -0.183  0.709  8.970   0.026  0.019   False    True                 -       False   False
  u56 S4-10 0.100            g200-dg 25.000 0.117   1.032 -0.185 1.081 1.002     0.130       1.066     -0.185  0.709  8.970   0.010  0.018   False    True                 -       False   False
  u56 S4-10 0.100            g200-rw 10.000 0.137   1.133 -0.197 1.206 1.086     0.150       1.149     -0.197  0.750 10.080   0.031  0.005   False    True                 -       False   False
  u56 S4-10 0.100            g200-rw 25.000 0.120   1.006 -0.199 1.064 0.971     0.133       1.034     -0.199  0.750 10.080   0.014  0.003   False    True                 -       False   False
  u56 S4-10 0.100           band3-dg 10.000 0.134   1.161 -0.185 1.213 1.130     0.149       1.193     -0.185  0.705  8.523   0.028  0.018   False    True                 -       False   False
  u56 S4-10 0.100           band3-dg 25.000 0.120   1.049 -0.186 1.085 1.030     0.134       1.091     -0.186  0.705  8.523   0.013  0.016   False    True                 -       False   False
  u56 S4-10 0.100           band3-rw 10.000 0.140   1.151 -0.197 1.199 1.124     0.155       1.184     -0.197  0.750  9.120   0.033  0.005   False    True                 -       False   False
  u56 S4-10 0.100           band3-rw 25.000 0.124   1.036 -0.199 1.070 1.020     0.140       1.079     -0.199  0.750  9.120   0.017  0.004   False    True                 -       False   False
  u56 S4-10 0.100           abs12-dg 10.000 0.126   1.107 -0.204 1.184 1.064     0.142       1.131     -0.204  0.686  8.543   0.020 -0.002   False   False                DD       False   False
  u56 S4-10 0.100           abs12-dg 25.000 0.112   0.994 -0.206 1.054 0.963     0.127       1.029     -0.206  0.686  8.543   0.006 -0.003   False   False                DD       False   False
  u56 S4-10 0.100           abs12-rw 10.000 0.135   1.115 -0.210 1.197 1.068     0.150       1.133     -0.210  0.750  9.503   0.029 -0.008   False   False                DD       False   False
  u56 S4-10 0.100           abs12-rw 25.000 0.119   0.997 -0.211 1.061 0.962     0.134       1.025     -0.211  0.750  9.503   0.013 -0.009   False   False                DD       False   False
  u56 S4-10 0.100           vol60-dg 10.000 0.120   1.103 -0.157 1.139 1.074     0.129       1.139     -0.157  0.718  9.372   0.013  0.045   False    True                 -       False   False
  u56 S4-10 0.100           vol60-dg 25.000 0.104   0.973 -0.158 1.000 0.951     0.113       1.015     -0.158  0.718  9.372  -0.002  0.044   False   False              CAGR        True   False
  u56 S4-10 0.100           vol60-rw 10.000 0.130   1.141 -0.179 1.164 1.126     0.142       1.185     -0.179  0.750  9.572   0.024  0.023   False    True                 -       False   False
  u56 S4-10 0.100           vol60-rw 25.000 0.114   1.014 -0.182 1.028 1.006     0.125       1.063     -0.182  0.750  9.572   0.007  0.021   False    True                 -       False   False
  u56 S4-10 0.100          v1gate-dg 10.000 0.111   1.071 -0.154 1.081 1.067     0.123       1.136     -0.154  0.679  9.214   0.004  0.048   False    True                 -       False   False
  u56 S4-10 0.100          v1gate-dg 25.000 0.096   0.937 -0.155 0.935 0.942     0.108       1.010     -0.155  0.679  9.214  -0.011  0.047    True   False           H1,CAGR       False   False
  u56 S4-10 0.100          v1gate-rw 10.000 0.122   1.080 -0.171 1.079 1.086     0.137       1.148     -0.171  0.750 10.706   0.015  0.031   False    True                 -       False   False
  u56 S4-10 0.100          v1gate-rw 25.000 0.104   0.936 -0.172 0.928 0.948     0.118       1.011     -0.172  0.750 10.706  -0.003  0.030   False   False           H1,CAGR       False   False
  u56 S4-10 0.100             stop15 10.000 0.135   1.146 -0.215 1.265 1.056     0.141       1.124     -0.215  0.744 10.428   0.029 -0.012   False   False                DD       False   False
  u56 S4-10 0.100             stop15 25.000 0.118   1.012 -0.217 1.121 0.929     0.123       0.997     -0.217  0.744 10.428   0.011 -0.015   False   False                DD       False   False
  u56 S4-10 0.100             stop25 10.000 0.143   1.175 -0.221 1.276 1.103     0.152       1.165     -0.221  0.749  9.318   0.036 -0.019   False   False                DD       False   False
  u56 S4-10 0.100             stop25 25.000 0.127   1.058 -0.223 1.147 0.996     0.136       1.057     -0.223  0.749  9.318   0.021 -0.021   False   False                DD       False   False
  u56 S4-10 0.100 ddctl-8/.5/recover 10.000 0.110   1.049 -0.153 1.176 0.938     0.111       1.026     -0.153  0.625  7.795   0.004  0.049   False    True                 -       False   False
  u56 S4-10 0.100 ddctl-8/.5/recover 25.000 0.093   0.908 -0.154 1.041 0.791     0.093       0.881     -0.154  0.618  7.719  -0.014  0.048    True   False       H2,OOS,CAGR       False   False
  u56 S4-10 0.100    ddctl-8/.5/high 10.000 0.093   0.956 -0.153 1.074 0.845     0.094       0.949     -0.153  0.575  7.215  -0.013  0.049   False   False              CAGR        True   False
  u56 S4-10 0.100    ddctl-8/.5/high 25.000 0.085   0.886 -0.137 0.955 0.821     0.088       0.906     -0.137  0.564  7.038  -0.022  0.066    True   False        H1,H2,CAGR       False   False
  u56 S4-10 0.100          ebud-0.10 10.000 0.142   1.187 -0.190 1.254 1.145     0.155       1.206     -0.190  0.730  8.387   0.035  0.012   False    True                 -       False   False
  u56 S4-10 0.100          ebud-0.10 25.000 0.128   1.080 -0.191 1.133 1.049     0.141       1.108     -0.191  0.730  8.387   0.021  0.011   False    True                 -       False   False
  u56 S4-10 0.100          ebud-0.20 10.000 0.145   1.182 -0.205 1.278 1.117     0.155       1.176     -0.205  0.750  9.090   0.038 -0.003   False   False                DD       False   False
  u56 S4-10 0.100          ebud-0.20 25.000 0.130   1.069 -0.206 1.150 1.015     0.140       1.073     -0.206  0.750  9.090   0.023 -0.004   False   False                DD       False   False
  u56 S4-15 0.150            control 10.000 0.140   1.193 -0.195 1.287 1.129     0.150       1.187     -0.195  0.750  9.012   0.034  0.007   False    True                 -       False   False
  u56 S4-15 0.150            control 25.000 0.125   1.076 -0.196 1.154 1.024     0.135       1.081     -0.196  0.750  9.012   0.019  0.006   False    True                 -       False   False
  u56 S4-15 0.150            g200-dg 10.000 0.128   1.159 -0.175 1.223 1.118     0.140       1.181     -0.175  0.705  8.881   0.021  0.027   False    True                 -       False   False
  u56 S4-15 0.150            g200-dg 25.000 0.113   1.037 -0.177 1.083 1.009     0.125       1.070     -0.177  0.705  8.881   0.006  0.025   False    True                 -       False   False
  u56 S4-15 0.150            g200-rw 10.000 0.134   1.144 -0.189 1.210 1.102     0.146       1.164     -0.189  0.750  9.996   0.027  0.013   False    True                 -       False   False
  u56 S4-15 0.150            g200-rw 25.000 0.117   1.014 -0.191 1.065 0.983     0.130       1.045     -0.191  0.750  9.996   0.010  0.012   False    True                 -       False   False
  u56 S4-15 0.150           band3-dg 10.000 0.130   1.169 -0.176 1.215 1.142     0.143       1.202     -0.176  0.700  8.383   0.023  0.026   False    True                 -       False   False
  u56 S4-15 0.150           band3-dg 25.000 0.116   1.054 -0.178 1.084 1.039     0.130       1.098     -0.178  0.700  8.383   0.009  0.025   False    True                 -       False   False
  u56 S4-15 0.150           band3-rw 10.000 0.137   1.165 -0.188 1.205 1.143     0.152       1.201     -0.188  0.750  8.994   0.030  0.015   False    True                 -       False   False
  u56 S4-15 0.150           band3-rw 25.000 0.121   1.048 -0.189 1.074 1.037     0.136       1.094     -0.189  0.750  8.994   0.015  0.013   False    True                 -       False   False
  u56 S4-15 0.150           abs12-dg 10.000 0.122   1.114 -0.194 1.185 1.075     0.137       1.140     -0.194  0.682  8.471   0.016  0.009   False    True                 -       False   False
  u56 S4-15 0.150           abs12-dg 25.000 0.108   0.997 -0.195 1.050 0.970     0.123       1.034     -0.195  0.682  8.471   0.001  0.007   False    True                 -       False   False
  u56 S4-15 0.150           abs12-rw 10.000 0.132   1.122 -0.199 1.193 1.081     0.146       1.144     -0.199  0.750  9.494   0.025  0.003   False    True                 -       False   False
  u56 S4-15 0.150           abs12-rw 25.000 0.116   0.999 -0.200 1.052 0.971     0.130       1.033     -0.200  0.750  9.494   0.009  0.002   False    True                 -       False   False
  u56 S4-15 0.150           vol60-dg 10.000 0.116   1.114 -0.150 1.148 1.086     0.125       1.150     -0.150  0.720  9.286   0.010  0.053   False    True                 -       False   False
  u56 S4-15 0.150           vol60-dg 25.000 0.101   0.979 -0.151 1.004 0.960     0.109       1.023     -0.151  0.720  9.286  -0.006  0.052    True   False              CAGR        True   False
  u56 S4-15 0.150           vol60-rw 10.000 0.126   1.151 -0.171 1.173 1.137     0.137       1.194     -0.171  0.750  9.482   0.019  0.031   False    True                 -       False   False
  u56 S4-15 0.150           vol60-rw 25.000 0.110   1.020 -0.173 1.032 1.013     0.121       1.069     -0.173  0.750  9.482   0.004  0.029   False    True                 -       False   False
  u56 S4-15 0.150          v1gate-dg 10.000 0.107   1.080 -0.147 1.088 1.077     0.119       1.144     -0.147  0.677  9.113   0.001  0.055   False    True                 -       False   False
  u56 S4-15 0.150          v1gate-dg 25.000 0.092   0.942 -0.148 0.938 0.948     0.104       1.014     -0.148  0.677  9.113  -0.014  0.054    True   False           H1,CAGR       False   False
  u56 S4-15 0.150          v1gate-rw 10.000 0.119   1.088 -0.165 1.083 1.096     0.133       1.157     -0.165  0.750 10.599   0.012  0.037   False    True                 -       False   False
  u56 S4-15 0.150          v1gate-rw 25.000 0.101   0.941 -0.166 0.929 0.955     0.115       1.016     -0.166  0.750 10.599  -0.006  0.036   False   False           H1,CAGR       False   False
  u56 S4-15 0.150             stop15 10.000 0.131   1.157 -0.205 1.273 1.068     0.136       1.135     -0.205  0.744 10.304   0.025 -0.002   False   False                DD       False   False
  u56 S4-15 0.150             stop15 25.000 0.114   1.018 -0.207 1.124 0.938     0.119       1.004     -0.207  0.744 10.304   0.007 -0.005   False   False                DD       False   False
  u56 S4-15 0.150             stop25 10.000 0.139   1.186 -0.212 1.285 1.116     0.147       1.176     -0.212  0.749  9.235   0.032 -0.009   False   False                DD       False   False
  u56 S4-15 0.150             stop25 25.000 0.123   1.065 -0.214 1.150 1.006     0.131       1.064     -0.214  0.749  9.235   0.016 -0.011   False   False                DD       False   False
  u56 S4-15 0.150 ddctl-8/.5/recover 10.000 0.104   1.026 -0.145 1.098 0.962     0.109       1.048     -0.145  0.630  7.864  -0.003  0.058   False   False              CAGR        True   False
  u56 S4-15 0.150 ddctl-8/.5/recover 25.000 0.089   0.900 -0.146 1.007 0.804     0.091       0.892     -0.146  0.623  7.725  -0.017  0.056    True   False           H2,CAGR       False   False
  u56 S4-15 0.150    ddctl-8/.5/high 10.000 0.095   1.003 -0.145 1.055 0.952     0.099       1.048     -0.145  0.584  7.231  -0.012  0.058   False   False              CAGR        True   False
  u56 S4-15 0.150    ddctl-8/.5/high 25.000 0.080   0.861 -0.130 0.896 0.827     0.085       0.911     -0.130  0.566  7.027  -0.027  0.072    True   False        H1,H2,CAGR       False   False
  u56 S4-15 0.150          ebud-0.10 10.000 0.138   1.198 -0.181 1.262 1.157     0.150       1.217     -0.181  0.732  8.361   0.031  0.022   False    True                 -       False   False
  u56 S4-15 0.150          ebud-0.10 25.000 0.123   1.087 -0.182 1.136 1.057     0.136       1.115     -0.182  0.732  8.361   0.017  0.021   False    True                 -       False   False
  u56 S4-15 0.150          ebud-0.20 10.000 0.140   1.193 -0.195 1.287 1.129     0.150       1.187     -0.195  0.750  9.019   0.034  0.007   False    True                 -       False   False
  u56 S4-15 0.150          ebud-0.20 25.000 0.125   1.076 -0.196 1.153 1.025     0.135       1.081     -0.196  0.750  9.019   0.018  0.006   False    True                 -       False   False
  u56 S4-20 0.200            control 10.000 0.136   1.204 -0.186 1.295 1.142     0.144       1.198     -0.186  0.750  8.953   0.029  0.017   False    True                 -       False   False
  u56 S4-20 0.200            control 25.000 0.121   1.083 -0.187 1.156 1.033     0.130       1.088     -0.187  0.750  8.953   0.014  0.015   False    True                 -       False   False
  u56 S4-20 0.200            g200-dg 10.000 0.123   1.167 -0.168 1.228 1.128     0.135       1.189     -0.168  0.701  8.804   0.017  0.035   False    True                 -       False   False
  u56 S4-20 0.200            g200-dg 25.000 0.109   1.041 -0.169 1.084 1.014     0.120       1.074     -0.169  0.701  8.804   0.002  0.033   False    True                 -       False   False
  u56 S4-20 0.200            g200-rw 10.000 0.130   1.156 -0.181 1.213 1.118     0.142       1.178     -0.181  0.750  9.926   0.024  0.021   False    True                 -       False   False
  u56 S4-20 0.200            g200-rw 25.000 0.114   1.022 -0.183 1.065 0.995     0.126       1.055     -0.183  0.750  9.926   0.007  0.019   False    True                 -       False   False
  u56 S4-20 0.200           band3-dg 10.000 0.125   1.176 -0.168 1.216 1.153     0.138       1.211     -0.168  0.695  8.254   0.019  0.035   False    True                 -       False   False
  u56 S4-20 0.200           band3-dg 25.000 0.111   1.058 -0.169 1.081 1.048     0.125       1.104     -0.169  0.695  8.254   0.005  0.033   False    True                 -       False   False
  u56 S4-20 0.200           band3-rw 10.000 0.134   1.178 -0.178 1.210 1.162     0.148       1.218     -0.178  0.750  8.879   0.027  0.024   False    True                 -       False   False
  u56 S4-20 0.200           band3-rw 25.000 0.119   1.059 -0.180 1.076 1.053     0.133       1.108     -0.180  0.750  8.879   0.012  0.022   False    True                 -       False   False
  u56 S4-20 0.200           abs12-dg 10.000 0.118   1.121 -0.183 1.185 1.086     0.132       1.149     -0.183  0.678  8.412   0.011  0.019   False    True                 -       False   False
  u56 S4-20 0.200           abs12-dg 25.000 0.104   0.999 -0.185 1.044 0.978     0.118       1.040     -0.185  0.678  8.412  -0.003  0.018   False   False              CAGR        True   False
  u56 S4-20 0.200           abs12-rw 10.000 0.128   1.128 -0.188 1.187 1.094     0.142       1.156     -0.188  0.750  9.505   0.021  0.014   False    True                 -       False   False
  u56 S4-20 0.200           abs12-rw 25.000 0.112   1.001 -0.190 1.041 0.980     0.126       1.041     -0.190  0.750  9.505   0.005  0.013   False    True                 -       False   False
  u56 S4-20 0.200           vol60-dg 10.000 0.113   1.125 -0.142 1.156 1.099     0.120       1.161     -0.142  0.721  9.213   0.006  0.060   False    True                 -       False   False
  u56 S4-20 0.200           vol60-dg 25.000 0.097   0.986 -0.143 1.006 0.969     0.105       1.030     -0.143  0.721  9.213  -0.009  0.059    True   False              CAGR        True   False
  u56 S4-20 0.200           vol60-rw 10.000 0.122   1.161 -0.163 1.181 1.148     0.132       1.204     -0.163  0.750  9.404   0.015  0.040   False    True                 -       False   False
  u56 S4-20 0.200           vol60-rw 25.000 0.106   1.025 -0.165 1.034 1.021     0.116       1.075     -0.165  0.750  9.404  -0.000  0.037   False   False              CAGR        True   False
  u56 S4-20 0.200          v1gate-dg 10.000 0.104   1.088 -0.140 1.094 1.086     0.115       1.151     -0.140  0.674  9.023  -0.003  0.062   False   False              CAGR        True   False
  u56 S4-20 0.200          v1gate-dg 25.000 0.089   0.946 -0.141 0.939 0.954     0.100       1.018     -0.141  0.674  9.023  -0.018  0.061    True   False           H1,CAGR       False   False
  u56 S4-20 0.200          v1gate-rw 10.000 0.116   1.095 -0.159 1.086 1.107     0.129       1.166     -0.159  0.750 10.505   0.009  0.043   False    True                 -       False   False
  u56 S4-20 0.200          v1gate-rw 25.000 0.098   0.945 -0.160 0.929 0.963     0.111       1.022     -0.160  0.750 10.505  -0.008  0.042   False   False           H1,CAGR       False   False
  u56 S4-20 0.200             stop15 10.000 0.127   1.167 -0.195 1.281 1.081     0.131       1.146     -0.195  0.744 10.191   0.020  0.008   False    True                 -       False   False
  u56 S4-20 0.200             stop15 25.000 0.110   1.025 -0.197 1.126 0.947     0.114       1.011     -0.197  0.744 10.191   0.003  0.005   False    True                 -       False   False
  u56 S4-20 0.200             stop25 10.000 0.134   1.197 -0.202 1.293 1.128     0.141       1.187     -0.202  0.749  9.165   0.027  0.001   False    True                 -       False   False
  u56 S4-20 0.200             stop25 25.000 0.118   1.072 -0.204 1.152 1.015     0.126       1.072     -0.204  0.749  9.165   0.012 -0.001   False   False                DD       False   False
  u56 S4-20 0.200 ddctl-8/.5/recover 10.000 0.103   1.028 -0.137 1.102 0.965     0.108       1.046     -0.137  0.657  8.105  -0.004  0.065    True   False              CAGR        True   False
  u56 S4-20 0.200 ddctl-8/.5/recover 25.000 0.088   0.909 -0.138 1.026 0.806     0.089       0.890     -0.138  0.634  7.794  -0.019  0.064    True   False           H2,CAGR       False   False
  u56 S4-20 0.200    ddctl-8/.5/high 10.000 0.090   0.973 -0.137 1.052 0.899     0.093       0.994     -0.137  0.605  7.452  -0.016  0.065    True   False              CAGR        True   False
  u56 S4-20 0.200    ddctl-8/.5/high 25.000 0.077   0.852 -0.124 0.913 0.794     0.080       0.876     -0.124  0.576  7.082  -0.030  0.078    True   False    H1,H2,OOS,CAGR       False   False
  u56 S4-20 0.200          ebud-0.10 10.000 0.133   1.209 -0.171 1.271 1.170     0.145       1.228     -0.171  0.733  8.331   0.026  0.031   False    True                 -       False   False
  u56 S4-20 0.200          ebud-0.10 25.000 0.119   1.094 -0.172 1.140 1.066     0.131       1.122     -0.172  0.733  8.331   0.012  0.030   False    True                 -       False   False
  u56 S4-20 0.200          ebud-0.20 10.000 0.136   1.204 -0.186 1.294 1.142     0.144       1.198     -0.186  0.750  8.961   0.029  0.017   False    True                 -       False   False
  u56 S4-20 0.200          ebud-0.20 25.000 0.120   1.082 -0.187 1.155 1.034     0.130       1.088     -0.187  0.750  8.961   0.014  0.015   False    True                 -       False   False
  u56 S4-25 0.250            control 10.000 0.131   1.215 -0.177 1.302 1.155     0.139       1.209     -0.177  0.750  8.905   0.024  0.026   False    True                 -       False   False
  u56 S4-25 0.250            control 25.000 0.116   1.089 -0.178 1.157 1.042     0.124       1.095     -0.178  0.750  8.905   0.009  0.024   False    True                 -       False   False
  u56 S4-25 0.250            g200-dg 10.000 0.119   1.175 -0.160 1.232 1.137     0.129       1.196     -0.160  0.697  8.734   0.012  0.042   False    True                 -       False   False
  u56 S4-25 0.250            g200-dg 25.000 0.104   1.044 -0.162 1.083 1.019     0.115       1.077     -0.162  0.697  8.734  -0.002  0.041   False   False              CAGR        True   False
  u56 S4-25 0.250            g200-rw 10.000 0.127   1.166 -0.173 1.215 1.134     0.138       1.192     -0.173  0.750  9.869   0.020  0.029   False    True                 -       False   False
  u56 S4-25 0.250            g200-rw 25.000 0.110   1.028 -0.175 1.062 1.007     0.122       1.064     -0.175  0.750  9.869   0.004  0.027   False    True                 -       False   False
  u56 S4-25 0.250           band3-dg 10.000 0.120   1.183 -0.159 1.215 1.165     0.133       1.220     -0.159  0.690  8.133   0.014  0.043   False    True                 -       False   False
  u56 S4-25 0.250           band3-dg 25.000 0.107   1.061 -0.161 1.076 1.057     0.120       1.110     -0.161  0.690  8.133   0.000  0.041   False    True                 -       False   False
  u56 S4-25 0.250           band3-rw 10.000 0.130   1.192 -0.169 1.214 1.181     0.144       1.235     -0.169  0.750  8.775   0.024  0.033   False    True                 -       False   False
  u56 S4-25 0.250           band3-rw 25.000 0.116   1.070 -0.171 1.077 1.070     0.129       1.123     -0.171  0.750  8.775   0.009  0.031   False    True                 -       False   False
  u56 S4-25 0.250           abs12-dg 10.000 0.113   1.127 -0.174 1.183 1.097     0.127       1.158     -0.174  0.673  8.359   0.006  0.028   False    True                 -       False   False
