panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.3 d2,mix,0.3,2.0,22.586746987951805,23.0,0.8854750093348269,1.027880089077109,0.9860236780058367,1.0195214138815951,-0.08571428571428573,0.9265650080256822,0.4,10.0,0.06804992995747772,0.0899749510581469,0.5579464285714286,0.5607462686567164,0.556089108910891
MIX q=0.3 d3,mix,0.3,3.0,24.010843373493977,26.0,0.832956997340559,0.9390250313362106,0.8782095481904056,0.8959381999160488,0.8857142857142858,0.9037634408602151,0.6666666666666666,30.0,0.021941245753769212,-0.017742788771138995,0.593125,0.602089552238806,0.5871782178217821
MIX q=0.3 d4,mix,0.3,4.0,24.14457831325301,25.0,0.8283433133732535,0.8884763297076471,0.8242854254677731,0.8788701964471677,-0.14285714285714288,0.9143288084464556,0.4666666666666667,10.0,0.12718308871245831,0.16511369712276902,0.5964285714285714,0.5939552238805971,0.598069306930693
MIX q=0.3 d5,mix,0.3,5.0,22.867469879518072,24.5,0.8746048472075869,0.9061061245493723,0.9442823895427761,0.9599531521234304,0.7714285714285715,0.9219354838709676,0.6666666666666666,20.0,0.05849410299279589,0.11234113056685391,0.5648809523809524,0.5727611940298507,0.5596534653465347
MIX q=0.4 d0,mix,0.4,0.0,20.427710843373493,22.0,0.9790622235328812,0.8101372598852281,0.8076086322415125,0.8101540954184522,-0.8285714285714287,0.9382892057026476,0.5333333333333333,20.0,-0.030008210458146944,-0.029991374924922876,0.5046130952380953,0.5093283582089553,0.5014851485148515
MIX q=0.4 d1,mix,0.4,1.0,22.196385542168674,23.0,0.9010476035390544,0.8599708310098517,0.861167249825624,0.8368014753462141,0.48571428571428577,0.9239929947460593,0.6666666666666666,15.0,0.06506901236462637,0.0595637511562398,0.5483035714285714,0.5483582089552238,0.5482673267326733
MIX q=0.4 d2,mix,0.4,2.0,19.49277108433735,20.5,1.026021385746956,0.9677578514800584,0.947300545952672,0.974126622660263,0.4285714285714286,0.9344298245614036,0.4,15.0,-0.009512241958751555,0.06052002236661891,0.48151785714285716,0.4502238805970149,0.5022772277227723
MIX q=0.4 d3,mix,0.4,3.0,20.972289156626506,22.0,0.9536393404952032,0.8917586505573494,0.7818101318560242,0.8397291326464383,-0.08571428571428573,0.9293478260869565,0.8666666666666667,20.0,0.03651041350162265,-0.015519104409288387,0.5180654761904762,0.4993283582089552,0.5304950495049504
MIX q=0.4 d4,mix,0.4,4.0,22.12409638554217,23.0,0.9039917224854326,0.919325169662267,0.8375085073453244,0.9417369386952056,-0.942857142857143,0.9232758620689655,0.06666666666666667,5.0,0.10628651978030546,0.2326948854526808,0.5465178571428572,0.5327611940298508,0.5556435643564357
MIX q=0.4 d5,mix,0.4,5.0,20.803614457831326,21.0,0.9613714020964845,0.7728619131645287,0.6942681603188654,0.7793543028855461,0.028571428571428574,0.9373076923076923,0.4,20.0,0.020650855784406508,0.027143245505423907,0.5138988095238095,0.5107462686567164,0.5159900990099011
MIX q=0.5 d0,mix,0.5,0.0,19.495180722891565,21.0,1.0258945677028615,0.8295305057413289,0.8002041355583714,0.8306532732903539,0.6571428571428573,0.9388768898488121,0.8,40.0,0.12391193927305433,0.14968617596702005,0.48157738095238095,0.46164179104477615,0.49480198019801985
MIX q=0.5 d1,mix,0.5,1.0,18.896385542168673,20.0,1.058403468502933,0.7713340978014476,0.8748481099071104,0.7808321287317777,0.48571428571428577,0.9403037383177569,0.8666666666666667,20.0,0.023746758060442574,0.033244788990772656,0.4667857142857143,0.45417910447761195,0.4751485148514851
