panel,key,n,p,p_over_n,lam,preregistered,t_raw,R2_raw,raw_signal_strong,b_resid,t_resid,pR2,survive,kill,R2_control_reproduces_key,R2_fit_y,ctrl_t_resid,ctrl_survive,V_KILL,V_SIGN,V_SIG,readable
U56,sd_ann_ret,50,20,0.4,1000.0,False,1.93277683278786,0.07220607062445983,False,0.8700250643092322,1.9082039523125263,0.07051035489817425,,,0.03173340687233628,0.020422997409668575,48.02793702409984,0.9996973821145991,,1,False,False
U56,sd_ann_ret,50,40,0.8,0.0,False,1.93277683278786,0.07220607062445983,False,0.0344203559279006,0.5036533834324854,0.0052569420694801305,,,0.9879134904091393,0.9794351533510104,0.6727461259103784,0.009532318110927421,,1,False,False
U56,sd_ann_ret,50,40,0.8,0.001,False,1.93277683278786,0.07220607062445983,False,0.034692981594028616,0.5076590330436581,0.005340445138037775,,,0.987913279872983,0.9794347617021069,0.6791445650776374,0.009712768772117025,,1,False,False
U56,sd_ann_ret,50,40,0.8,0.01,True,1.93277683278786,0.07220607062445983,False,0.03707007234219453,0.5421773377257274,0.006086812683703924,,,0.9878942008017135,0.9793991621893705,0.7352955150879383,0.011366617631690735,,1,False,False
U56,sd_ann_ret,50,40,0.8,0.1,False,1.93277683278786,0.07220607062445983,False,0.055761932143579954,0.7830903160645154,0.01261447629635759,,,0.9869003625753294,0.9775076747528317,1.1997044210100798,0.02970909185148234,,1,False,False
U56,sd_ann_ret,50,40,0.8,1.0,True,1.93277683278786,0.07220607062445983,False,0.1336560767001347,1.2932445204075358,0.03367018000263433,,,0.9717473607477342,0.951587229979509,3.6171528887509017,0.21858522838030914,,1,False,False
U56,sd_ann_ret,50,40,0.8,10.0,False,1.93277683278786,0.07220607062445983,False,0.3184311485804323,1.566629865334806,0.04864456979288978,,,0.8324576033913537,0.8097937985190973,11.419140779791197,0.7459211848625903,,1,False,False
U56,sd_ann_ret,50,40,0.8,100.0,True,1.93277683278786,0.07220607062445983,False,0.6916027737178493,1.8124945569437203,0.06405630835625642,,,0.3241371283052771,0.3186355048856052,34.39655511740596,0.9807121178667034,,1,False,False
U56,sd_ann_ret,50,40,0.8,1000.0,False,1.93277683278786,0.07220607062445983,False,0.8633699430924581,1.9175260852314913,0.07115182683506616,,,0.04493622966601407,0.044048743907611265,46.981856903497274,0.9987806300035562,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.0,False,1.93277683278786,0.07220607062445983,False,5.1279764722685525e-15,0.35173073038786434,0.0025707597172691665,,,1.0,1.0,-0.15783854423141794,0.0005293862242313433,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.001,False,1.93277683278786,0.07220607062445983,False,6.498375214661864e-05,0.5171741438277495,0.005541394650655729,,,0.9999999532763255,0.9999999304626015,0.9125674497040712,0.01740329948924522,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.01,True,1.93277683278786,0.07220607062445983,False,0.0006490937742558074,0.541875190410401,0.006080071631657247,,,0.9999955308889816,0.9999936768403945,0.9955295602155743,0.020644501656588606,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.1,False,1.93277683278786,0.07220607062445983,False,0.0063840851771286705,0.6971605509452112,0.010024182334329335,,,0.9996838521499444,0.9996289979232187,1.6096733350689227,0.05226547610282956,,1,False,False
U56,sd_ann_ret,50,55,1.1,1.0,True,1.93277683278786,0.07220607062445983,False,0.053167934417460525,1.1653138219591386,0.027512409454209852,,,0.990873523587756,0.9906244036135404,3.904785782134236,0.24601702840640396,,1,False,False
U56,sd_ann_ret,50,55,1.1,10.0,False,1.93277683278786,0.07220607062445983,False,0.2616195915794908,1.5114762925447511,0.04543264486039067,,,0.8774684083662683,0.8625323655253732,11.715786711682197,0.7560928722853011,,1,False,False
U56,sd_ann_ret,50,55,1.1,100.0,True,1.93277683278786,0.07220607062445983,False,0.6779907864863782,1.8169400419846282,0.06435066898618691,,,0.3617270651479617,0.3481878212181232,33.99441151373245,0.9798029514459813,,1,False,False
U56,sd_ann_ret,50,55,1.1,1000.0,False,1.93277683278786,0.07220607062445983,False,0.8616199893006614,1.9188512160595552,0.07124319303746462,,,0.05135936932659879,0.0491410279021981,46.83778822651861,0.9986496751300435,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.0,False,1.93277683278786,0.07220607062445983,False,5.1279764722685525e-15,0.35173073038786434,0.0025707597172691665,,,1.0,1.0,-0.15783854423141794,0.0005293862242313433,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.001,False,1.93277683278786,0.07220607062445983,False,6.498375214661864e-05,0.5171741438277495,0.005541394650655729,,,0.9999999532763255,0.9999999304626015,0.9125674497040712,0.01740329948924522,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.01,True,1.93277683278786,0.07220607062445983,False,0.0006490937742558074,0.541875190410401,0.006080071631657247,,,0.9999955308889816,0.9999936768403945,0.9955295602155743,0.020644501656588606,,1,False,False
U56,sd_ann_ret,50,55,1.1,0.1,False,1.93277683278786,0.07220607062445983,False,0.0063840851771286705,0.6971605509452112,0.010024182334329335,,,0.9996838521499444,0.9996289979232187,1.6096733350689227,0.05226547610282956,,1,False,False
U56,sd_ann_ret,50,55,1.1,1.0,True,1.93277683278786,0.07220607062445983,False,0.053167934417460525,1.1653138219591386,0.027512409454209852,,,0.990873523587756,0.9906244036135404,3.904785782134236,0.24601702840640396,,1,False,False
U56,sd_ann_ret,50,55,1.1,10.0,False,1.93277683278786,0.07220607062445983,False,0.2616195915794908,1.5114762925447511,0.04543264486039067,,,0.8774684083662683,0.8625323655253732,11.715786711682197,0.7560928722853011,,1,False,False
U56,sd_ann_ret,50,55,1.1,100.0,True,1.93277683278786,0.07220607062445983,False,0.6779907864863782,1.8169400419846282,0.06435066898618691,,,0.3617270651479617,0.3481878212181232,33.99441151373245,0.9798029514459813,,1,False,False
U56,sd_ann_ret,50,55,1.1,1000.0,False,1.93277683278786,0.07220607062445983,False,0.8616199893006614,1.9188512160595552,0.07124319303746462,,,0.05135936932659879,0.0491410279021981,46.83778822651861,0.9986496751300435,,1,False,False
U56,sd_ann_ret,100,2,0.02,0.0,False,1.9301599202066677,0.03662323294893377,False,0.5740237846426561,1.8318179089161202,0.03310678719218785,,,0.008514223500817875,0.01356717626587478,54.87166366453725,0.9913790400164596,,1,False,False
U56,sd_ann_ret,100,2,0.02,0.001,False,1.9301599202066677,0.03662323294893377,False,0.5740250611921413,1.831822122093256,0.03310693444154078,,,0.00851422348823494,0.013567176246813029,54.87223318042999,0.9913796887111864,,1,False,False
U56,sd_ann_ret,100,2,0.02,0.01,True,1.9301599202066677,0.03662323294893377,False,0.5740365457787615,1.8318600246986854,0.033108259140127605,,,0.008514222243388603,0.013567174361016954,54.87735668956392,0.9913855236632256,,1,False,False
U56,sd_ann_ret,100,2,0.02,0.1,False,1.9301599202066677,0.03662323294893377,False,0.5741509617743294,1.8322374744437049,0.03312145233134978,,,0.008514098640300283,0.013566987066923608,54.928381241913456,0.991443548075746,,1,False,False
U56,sd_ann_ret,100,2,0.02,1.0,True,1.9301599202066677,0.03662323294893377,False,0.5752537173704493,1.8358606551181784,0.03324821511517573,,,0.008502570225060402,0.01354947409205809,55.4182690434395,0.9919928469590765,,1,False,False
