panel,device,turn_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,FULL_4b,FULL_4a_POOLED,FULL_4a_H2_MIN,FULL_4a_H2_ALL,FULL_4a_T3_MIN,FULL_4a_T3_ALL,FULL_4a_Y_MIN,FULL_4a_Y_ALL,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_4b,IS_4a_POOLED,IS_4a_H2_MIN,IS_4a_H2_ALL,IS_4a_T3_MIN,IS_4a_T3_ALL,IS_4a_Y_MIN,IS_4a_Y_ALL,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_4a_POOLED,OOS_4a_H2_MIN,OOS_4a_H2_ALL,OOS_4a_T3_MIN,OOS_4a_T3_ALL,OOS_4a_Y_MIN,OOS_4a_Y_ALL
U56,TOP10_G0.75,14.724943728052464,0.1311178518408369,0.933074120542843,-0.17538212357398986,False,False,False,False,False,False,False,False,0.10910358567986567,0.8514717594821011,-0.13937694185099003,False,False,False,False,False,False,False,False,0.1495450148587636,0.9950979834220056,-0.17538212357398975,True,False,False,False,False,False,False,False
U56,TOP20_G0.75,11.001016894878342,0.12761322354859983,1.0620725464736944,-0.18308359983487854,True,False,False,False,False,False,False,False,0.10810112143291883,0.9765487353063766,-0.11846664075836266,False,False,False,False,False,False,False,False,0.14391326534133575,1.1274853383673564,-0.18308359983487843,True,False,False,False,False,False,False,False
U56,TOP40_G0.75,8.41793101600683,0.10686458469297455,1.0475058609421914,-0.16663463981157145,True,False,False,False,False,False,False,False,0.09166491041863312,0.9415605274497495,-0.11065327947799408,False,False,False,False,False,False,False,False,0.11952022285578989,1.1299949840237895,-0.16663463981157145,True,False,False,False,False,False,False,False
U56,BAND0.00_G1.00,4.167052539107,0.1091617940232088,1.166833377136765,-0.15838559366707272,True,False,False,False,False,False,False,False,0.0949637983124767,1.055212838549852,-0.11500966470690688,False,False,False,False,False,False,False,False,0.12097324915722063,1.2544730839808282,-0.15838559366707272,True,False,False,False,False,False,False,False
U56,BAND0.03_G1.00,2.3519481633058517,0.11531379250731555,1.2008265236326539,-0.1591100739598582,True,False,False,False,False,False,False,False,0.1016303032821213,1.1047419089429602,-0.10451957756523977,False,False,False,False,False,False,False,False,0.12669164118494436,1.2759272265148862,-0.1591100739598581,True,False,False,False,False,False,False,False
U56,BAND0.08_G1.00,1.4817021136038941,0.11368213252700277,1.1444156414935613,-0.19050615829316653,True,False,False,False,False,False,False,False,0.10609195087824363,1.1226107712047717,-0.11217297883830757,True,False,False,False,False,False,False,False,0.11996181203906264,1.1624334333666386,-0.19050615829316675,True,False,False,False,False,False,False,False
U56,MAXVOL0.60_G1.00,10.846302919917248,0.13815082468022122,1.0459551503843556,-0.2088030367731457,False,False,False,False,False,False,False,False,0.12359359222346833,0.9699540206691876,-0.1479116485740759,False,False,False,False,False,False,False,False,0.1502610162264031,1.1059172873643959,-0.2088030367731455,False,False,False,False,False,False,False,False
U56,MAXVOL0.80_G1.00,10.39899481548123,0.14242521809061026,1.0525586849921558,-0.21157049194541067,False,False,False,False,False,False,False,False,0.1362568404197959,1.046406563905463,-0.14516166752851456,False,False,False,False,False,False,False,False,0.14752195979659222,1.0581240123088913,-0.21157049194541055,False,False,False,False,False,False,False,False
U56,TOP10_G1.00,19.619991956607485,0.17359256631924547,0.9345994454686192,-0.22995305587210002,False,False,False,False,False,False,False,False,0.1439264615132836,0.8526583900641692,-0.18461265270245397,False,False,False,False,False,False,False,False,0.19855960545394247,0.9968718123651713,-0.2299530558720999,False,False,False,False,False,False,False,False
U56,TOP20_G1.00,14.646764211951595,0.17007054456747306,1.0623258636969954,-0.2397890571170158,False,False,False,False,False,False,False,False,0.1435523966099752,0.9764649103852714,-0.15648894471126462,False,False,False,False,False,False,False,False,0.19233389965793624,1.1279816074565805,-0.2397890571170158,False,False,False,False,False,False,False,False
U56,TOP40_G1.00,11.164849878782169,0.14241766362854924,1.0473924775030743,-0.21888362062673883,False,False,False,False,False,False,False,False,0.12170449571600961,0.9416274018590495,-0.14617256133395762,False,False,False,False,False,False,False,False,0.15973432568926849,1.129709840423807,-0.21888362062673905,False,False,False,False,False,False,False,False
