scope,neutral,q,tau,n,abstain_rate,D_raw,t_raw,D_net,t_net,FREE,t_free,verdict_raw,verdict_net,flips,file
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.6,0.008926225683469294,18,0.6111111111111112,0.015960513317432923,1.0014880224355251,-0.01408274780098321,-0.7280374976053632,0.030043261118416136,2.7642219551080367,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.7,0.017935633988906633,18,0.6666666666666666,0.023517613591284972,1.3648571468111368,-0.007916700962837357,-0.38519437289189185,0.031434314554122336,2.929417229742215,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.8,0.020786727771329085,18,0.7777777777777778,0.025279981736377077,1.4756307895965701,-0.015998562442345765,-0.7576021598094538,0.04127854417872284,3.69817681773035,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,0.9,0.04171771177011477,18,0.8888888888888888,0.035334925903573094,1.9990701583664177,-0.007879817460474385,-0.3527155284583663,0.043214743364047487,3.9585060733146196,POS,NEG/0,True,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,MENU-MEAN,1.0,inf,18,1.0,0.053630865037746056,2.4692452580191535,0.0069729068328325755,0.2628816138151121,0.04665795820491348,4.500053774046443,POS,POS,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.1,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.2,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.3,0.0,18,0.0,0.0,,0.0,,0.0,,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.4,0.0001286362931581601,18,0.3888888888888889,0.0,,-0.025904909966781478,-1.2162687631031757,0.025904909966781478,1.2162687631031757,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
2026-09-05_cagr-floor-calibration_B.grid.csv,IS-MEDIAN-ARM,0.5,0.0028858515773153,18,0.5,0.0,,-0.025063151986371494,-1.1725103386678113,0.025063151986371494,1.1725103386678113,NEG/0,NEG/0,False,2026-09-05_cagr-floor-calibration_B.grid.csv
