panel,N,H,gross,cadence,full_CAGR,full_Sharpe,full_MaxDD,h1_CAGR,h1_Sharpe,h1_MaxDD,h2_CAGR,h2_Sharpe,h2_MaxDD,is__CAGR,is__Sharpe,is__MaxDD,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4a,keep4b,fail4a,fail4b
B135,20,126,0.75,2W,0.17544805899947802,1.0735594728571065,-0.257105105533292,0.17955659712362393,1.2781436902840506,-0.16010550271153456,0.1713556707853603,0.9448361614839889,-0.25710510553329224,0.15662487552564408,1.1148880502176528,-0.16010550271153456,0.19118626492717272,1.0612311268420174,-0.25710510553329213,False,False,"H2,DD",DD
B135,20,126,0.75,4Q,0.1400044763002517,0.9612050122773201,-0.25632341241590495,0.17716808479121404,1.302104133150216,-0.17923175234409527,0.10403007491530558,0.6925326536247843,-0.25632341241590484,0.15796586671291246,1.1569058505761745,-0.17923175234409527,0.12541575467747523,0.8284950410005733,-0.25632341241590506,False,False,"H2,DD","H2,OOS,DD"
B135,20,126,0.75,D,0.1658275110791685,1.0109437543582858,-0.283637731649679,0.1765122553493248,1.2464031207278732,-0.1387144071101475,0.15524454582072766,0.859513591699188,-0.28363773164967887,0.1601733696976615,1.123999026682161,-0.1387144071101475,0.17050660867462075,0.9524145858482902,-0.283637731649679,False,False,"H2,DD",DD
B135,20,126,0.75,M,0.1667276717164461,1.0721798058978906,-0.2762786363864471,0.17140821522590088,1.2522860162190914,-0.16058079977187767,0.16206792388906321,0.9504996654122361,-0.276278636386447,0.15009659673116138,1.0977462157323028,-0.16058079977187767,0.18061041709598946,1.0656931344087794,-0.2762786363864471,False,False,"H2,DD",DD
B135,20,126,0.75,Q,0.14826441782126,1.001016843857147,-0.2211674828660266,0.15686400670532707,1.1788297448459248,-0.16535159832322743,0.1397325814066026,0.8727822705647419,-0.22116748286602683,0.1399030077260588,1.05087338904807,-0.16535159832322743,0.15519937566578412,0.9747409405730435,-0.22116748286602672,False,False,"H1,H2,DD",DD
B135,20,126,0.75,W,0.16040704123612182,1.0635515852799864,-0.20740302267849475,0.18048656585175382,1.2901570913907343,-0.14636241107806824,0.14067786698134443,0.8846768312401104,-0.20740302267849442,0.16061313997190863,1.1444770504563138,-0.14636241107806824,0.16023726571201902,1.0102419886913445,-0.20740302267849475,False,False,"H2,DD",DD
B135,20,126,0.85,W,0.18183019275966306,1.0643150198889575,-0.2327299271332719,0.2053698609565333,1.290907784963428,-0.1652269903477157,0.15876051572298766,0.8855457323912302,-0.2327299271332719,0.18231773019308473,1.145110280109222,-0.1652269903477157,0.18142866580479255,1.0111294788319667,-0.2327299271332719,False,False,"H2,DD",DD
B135,20,126,1.0,W,0.2138598224290431,1.06536809177867,-0.2697291008060032,0.24296875691165942,1.2919452014775987,-0.19320089419784126,0.18544522916515294,0.8867646160996224,-0.2697291008060032,0.21490354668676792,1.14597307188693,-0.19320089419784126,0.2130005804912496,1.0123692007023095,-0.2697291008060032,False,False,"H2,DD",DD
B135,20,189,0.75,W,0.16851599029881315,1.044271857203748,-0.25806797738319187,0.1774059673095323,1.2898086343785111,-0.15278840551139738,0.15969709251729558,0.8913220196111064,-0.25806797738319187,0.15246480964281695,1.1118205799827252,-0.15278840551139738,0.1819082544125621,1.0181529666507185,-0.25806797738319187,False,False,"H2,DD",DD
B135,20,21,0.75,W,0.16273672121545713,1.0849487209169302,-0.2569070436953068,0.1835113674151463,1.3049441358890832,-0.1333054081542968,0.14233584500371044,0.9062371712397752,-0.2569070436953069,0.17161433050886887,1.2114595525934069,-0.1333054081542968,0.15547309710536084,0.9968160714786513,-0.2569070436953067,False,False,"H2,DD",DD
B135,20,42,0.75,W,0.16289558326972853,1.042610928657494,-0.25338253587072257,0.18221281638181086,1.278829266655211,-0.13616789265136287,0.1439024730687608,0.8648817127834213,-0.2533825358707229,0.16552769053223138,1.1562494144851196,-0.13616789265136287,0.1607314787820342,0.9706252328644834,-0.2533825358707228,False,False,"H2,DD",DD
B135,20,5,0.75,W,0.13361450922978602,0.9647254996428617,-0.19836791437306767,0.15758652473850332,1.177783265582234,-0.1340921829347339,0.11014937596247698,0.7790059203248105,-0.19836791437306778,0.14496026453396027,1.0773791246763054,-0.1340921829347339,0.12435135826621968,0.8803726154512447,-0.19836791437306778,False,False,"H1,H2,DD",H2
B135,20,63,0.75,W,0.1695140686096932,1.0824587656405376,-0.2869481836289933,0.19186166553214146,1.3390299995792514,-0.13655282794379697,0.1475952684877917,0.8875525851508034,-0.28694818362899366,0.1751728910680972,1.2160967214286185,-0.13655282794379697,0.16487229134834314,0.9962408428094426,-0.28694818362899355,False,False,"H2,DD",DD
B135,20,90,0.75,W,0.15963113670740148,0.9910456602007205,-0.2788266044551594,0.17664663706818162,1.2183280658428113,-0.14763250744150458,0.14286918988349484,0.8268036019513177,-0.2788266044551596,0.16441104744138912,1.1264481114549096,-0.14763250744150458,0.15570775438147866,0.9079172429253972,-0.2788266044551596,False,False,"H1,H2,DD",DD
B135,25,126,0.75,W,0.16366123249678388,1.096951672731227,-0.216146994859019,0.17506639010536595,1.2783008204819821,-0.13583116427242126,0.15237183126921572,0.9572811070146158,-0.21614699485901923,0.15929717640987096,1.151612545031576,-0.13583116427242126,0.16726908215706393,1.0624688615212503,-0.21614699485901911,False,False,"H2,DD",DD
B135,30,126,0.75,W,0.1601345108161336,1.0982574943956533,-0.24354358049436975,0.16782021093058552,1.2735551910789238,-0.1318403191007732,0.15250281692618017,0.9691499350749245,-0.24354358049436953,0.1529253327475546,1.1476064923602618,-0.1318403191007732,0.1661079493963833,1.0697726790348028,-0.24354358049436964,False,False,DD,DD
B135,5,126,0.75,W,0.18905908768145907,0.9777127981825937,-0.281238810087446,0.23618966224167548,1.3074296361205187,-0.2679179203071377,0.1437454068548909,0.7258465799772291,-0.281238810087446,0.23791409235330785,1.2860497954477663,-0.2679179203071377,0.150259915145035,0.7688460468839476,-0.2812388100874458,False,False,"H2,DD","H2,OOS,DD"
B135,8,126,0.75,W,0.1782211925038646,0.9884632865946442,-0.24535256443898135,0.22694556683478218,1.3696289282324543,-0.21002331052310796,0.13145239080949533,0.7068212244849961,-0.24535256443898135,0.21911842781946667,1.2954214327378388,-0.21002331052310796,0.1455591690419591,0.7868081988787825,-0.24535256443898168,False,False,"H2,DD","H2,OOS,DD"
