panel,book,cost,instr,regime,armed_frac,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,ann_pp,d_ann,L_per_armed,total,LEAK,gross,turn_yr,pass4a_v2,pass4a_v1,pass4b,IS_Sharpe
broad,TOP20,10.0,stop25,breadth20,0.0808740707366524,0.14458578307331438,0.9676255052032708,-0.2822515591915177,1.139363181949615,0.8369486293344184,0.9150289397830464,0.14452231147082029,-0.28225155919151734,14.659655750780082,-0.21200973441546012,-2.6214796965744496,-2.2596162026175226,-0.6642150382092779,0.7472151925224425,13.257132531190567,False,False,False,1.049699798778395
broad,TOP20,10.0,stop25,hivol80,0.10858301419238567,0.14459951617092015,0.9680538174551594,-0.28225155919151734,1.136200189159262,0.8405979998632044,0.9184375679077984,0.1451684512915805,-0.28225155919151756,14.659893622187006,-0.21177186300853634,-1.9503221989520598,-1.5884587049951393,0.0157617737261044,0.747252887093098,13.248824355078508,False,False,False,1.046122654890556
broad,TOP20,10.0,ddctl8,always,1.0,0.09780496608292699,0.8291748669011175,-0.18684216781520302,0.9704376412679732,0.7134949218884771,0.8250090168840654,0.10299655409178743,-0.18684216781520335,10.073061498143982,-4.79860398705156,-4.79860398705156,,,0.5660512487636171,10.166896984224957,False,True,False,0.8397256624642863
broad,TOP20,10.0,ddctl8,spy200,0.17053390403243973,0.13090049894793232,0.9665718526041452,-0.18684216781520335,1.0801152896085977,0.8763907971016072,0.9632533382381105,0.137693122802649,-0.18684216781520313,13.245581894880596,-1.6260835903149466,-9.535251066589232,-4.7366470795376845,-8.842372164661167,0.6887603099047115,12.813330722652912,False,True,True,0.9758430638732397
broad,TOP20,10.0,ddctl8,breadth20,0.0808740707366524,0.13936318979527873,0.9752280451417195,-0.2162248031769043,1.1236370566568736,0.8511584727670832,0.9353763471970766,0.13861087138748762,-0.21622480317690385,14.09826902469075,-0.7733964605047934,-9.56297183337264,-4.764367846321077,-6.686277255552471,0.7196823169096793,13.076971017715724,False,False,False,1.031429359131696
broad,TOP20,10.0,ddctl8,hivol80,0.10858301419238567,0.13821706174747694,0.989041209776028,-0.1868421678152029,1.1370046457646665,0.8574373933104815,0.9455940640129801,0.13477834571809244,-0.1868421678152029,13.945952434373382,-0.9257130508221607,-8.525394673443094,-3.726790686391521,-1.395041411285103,0.7131559400294305,13.025531426257656,False,True,True,1.0458468404708243
broad,TOP20,10.0,gross50,always,1.0,0.07361222258169664,0.9718632264225914,-0.13665377108268484,1.135172384397905,0.8498294597782998,0.9258844904410442,0.07484914608427173,-0.13665377108268495,7.39370587443446,-7.477959610761083,-7.477959610761083,,,0.37408646779352456,6.634089056069625,False,True,False,1.0458287480393038
broad,TOP20,10.0,gross50,spy200,0.17053390403243973,0.13202445826605724,0.9872023261493741,-0.18684216781520324,1.1473347813379584,0.8641241427971144,0.9521599998365143,0.13543778044373744,-0.18684216781520313,13.315536593535032,-1.55612889166051,-9.125041149380454,-1.6470815386193918,-10.536316043110768,0.6824442875608859,12.781693080834886,False,True,True,1.045027490708875
broad,TOP20,10.0,gross50,breadth20,0.0808740707366524,0.14093532001142228,0.9873924211935788,-0.21622480317690418,1.1384112153432295,0.860888101447578,0.9448203588116103,0.13976290443974904,-0.21622480317690385,14.229700681493343,-0.6419648037021997,-7.937832210679845,-0.4598725999187927,-8.391591455767955,0.7181186751402763,13.08834426622892,False,False,False,1.047178705705029
broad,TOP20,10.0,gross50,hivol80,0.10858301419238567,0.13653726755890983,0.9849449985015593,-0.18684216781520313,1.1750756001834852,0.8147699529627217,0.9067019210992281,0.12739428450736123,-0.18684216781520302,13.78315688052857,-1.0885086046669734,-10.024667419329242,-2.5467078085681534,-1.902598686606139,0.7078592563923768,13.080295153796607,False,True,False,1.0864317817498679
